sql_stmt_seq,conflict_or_where_key,source_csv_row
83,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row84 PRD_000149→QTY_UNIT.01
84,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row85 PRD_000150→QTY_UNIT.01
85,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row86 PRD_000151→QTY_UNIT.01
86,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row87 PRD_000152→QTY_UNIT.01
87,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row88 PRD_000153→QTY_UNIT.01
88,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row89 PRD_000154→QTY_UNIT.01
89,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row90 PRD_000155→QTY_UNIT.01
90,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row91 PRD_000156→QTY_UNIT.01
91,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row92 PRD_000157→QTY_UNIT.01
92,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row93 PRD_000158→QTY_UNIT.01
93,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row94 PRD_000159→QTY_UNIT.01
94,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row95 PRD_000160→QTY_UNIT.01
95,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row96 PRD_000161→QTY_UNIT.01
96,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row97 PRD_000162→QTY_UNIT.01
97,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row98 PRD_000163→QTY_UNIT.01
98,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row99 PRD_000164→QTY_UNIT.01
99,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row100 PRD_000165→QTY_UNIT.01
100,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row101 PRD_000166→QTY_UNIT.01
101,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row102 PRD_000168→QTY_UNIT.01
102,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row103 PRD_000169→QTY_UNIT.01
103,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row104 PRD_000118→QTY_UNIT.01
104,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row105 PRD_000119→QTY_UNIT.01
105,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row106 PRD_000120→QTY_UNIT.01
106,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row107 PRD_000121→QTY_UNIT.01
107,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row108 PRD_000122→QTY_UNIT.01
108,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row109 PRD_000123→QTY_UNIT.01
109,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row110 PRD_000124→QTY_UNIT.01
110,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row111 PRD_000125→QTY_UNIT.01
111,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row112 PRD_000126→QTY_UNIT.01
112,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row113 PRD_000127→QTY_UNIT.01
113,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row114 PRD_000128→QTY_UNIT.01
114,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row115 PRD_000129→QTY_UNIT.01
115,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row116 PRD_000130→QTY_UNIT.01
116,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row117 PRD_000131→QTY_UNIT.01
117,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row118 PRD_000132→QTY_UNIT.01
118,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row119 PRD_000133→QTY_UNIT.01
119,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row120 PRD_000134→QTY_UNIT.01
120,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row121 PRD_000135→QTY_UNIT.01
121,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row122 PRD_000136→QTY_UNIT.01
122,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row123 PRD_000137→QTY_UNIT.01
123,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row124 PRD_000138→QTY_UNIT.01
124,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row125 PRD_000139→QTY_UNIT.01
125,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row126 PRD_000140→QTY_UNIT.01
126,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row127 PRD_000141→QTY_UNIT.01
127,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row128 PRD_000142→QTY_UNIT.01
128,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row129 PRD_000143→QTY_UNIT.01
129,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row130 PRD_000144→QTY_UNIT.01
130,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row131 PRD_000145→QTY_UNIT.01
131,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row132 PRD_000100→QTY_UNIT.03
132,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row133 PRD_000001→QTY_UNIT.01
133,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row134 PRD_000002→QTY_UNIT.01
134,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row135 PRD_000003→QTY_UNIT.01
135,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row136 PRD_000004→QTY_UNIT.01
136,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row137 PRD_000005→QTY_UNIT.01
137,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row138 PRD_000006→QTY_UNIT.01
138,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row139 PRD_000007→QTY_UNIT.01
139,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row140 PRD_000008→QTY_UNIT.01
140,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row141 PRD_000009→QTY_UNIT.01
141,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row142 PRD_000010→QTY_UNIT.01
142,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row143 PRD_000011→QTY_UNIT.01
