prd_cd,siz_cd,siz_nm,min_qty,max_qty,qty_incr,dflt_yn
PRD_000066,SIZ_000247,직사각90x70mm(1EA),,,,Y
PRD_000066,SIZ_000249,직사각90x80mm(1EA),,,,Y
PRD_000066,SIZ_000422,원형35x35,,,,N
PRD_000066,SIZ_000501,원형10x10,,,,N
PRD_000066,SIZ_000502,원형15x15,,,,N
PRD_000066,SIZ_000503,원형20x20,,,,N
PRD_000066,SIZ_000504,원형25x25,,,,N
PRD_000066,SIZ_000505,원형30x30,,,,N
PRD_000066,SIZ_000506,원형40x40,,,,N
PRD_000066,SIZ_000507,원형45x45,,,,N
PRD_000066,SIZ_000508,원형50x50,,,,N
PRD_000066,SIZ_000509,원형55x55,,,,N
PRD_000066,SIZ_000510,원형60x60,,,,N
PRD_000067,SIZ_000060,90x190,,,,Y
PRD_000068,SIZ_000170,A5(148x210mm),,,,Y
PRD_000068,SIZ_000172,A4(210x297mm),,,,Y
PRD_000069,SIZ_000170,A5(148x210mm),,,,Y
PRD_000069,SIZ_000172,A4(210x297mm),,,,Y
PRD_000070,SIZ_000170,A5(148x210mm),,,,Y
PRD_000070,SIZ_000172,A4(210x297mm),,,,Y
PRD_000071,SIZ_000170,A5(148x210mm),,,,Y
PRD_000071,SIZ_000172,A4(210x297mm),,,,Y
PRD_000071,SIZ_000253,A5(210x148mm),,,,Y
PRD_000071,SIZ_000255,A4(297x210mm),,,,Y
PRD_000072,SIZ_000170,A5(148x210mm),,,,Y
PRD_000072,SIZ_000172,A4(210x297mm),,,,Y
PRD_000077,SIZ_000170,A5(148x210mm),,,,Y
PRD_000077,SIZ_000172,A4(210x297mm),,,,Y
PRD_000082,SIZ_000170,A5(148x210mm),,,,Y
PRD_000082,SIZ_000172,A4(210x297mm),,,,Y
PRD_000082,SIZ_000253,A5(210x148mm),,,,Y
PRD_000082,SIZ_000255,A4(297x210mm),,,,Y
PRD_000088,SIZ_000258,A4 (210x297mm),,,,Y
PRD_000094,SIZ_000003,100x150,,,,Y
PRD_000094,SIZ_000004,135x135,,,,Y
PRD_000094,SIZ_000124,150x100,,,,Y
PRD_000095,SIZ_000003,100x150,,,,Y
PRD_000095,SIZ_000004,135x135,,,,N
PRD_000095,SIZ_000124,150x100,,,,N
PRD_000096,SIZ_000003,100x150,,,,Y
PRD_000096,SIZ_000004,135x135,,,,N
PRD_000096,SIZ_000124,150x100,,,,N
PRD_000097,SIZ_000119,90x90,,,,Y
PRD_000097,SIZ_000266,70x120,,,,Y
PRD_000100,SIZ_000170,A5(148x210mm),,,,Y
PRD_000100,SIZ_000172,A4(210x297mm),,,,Y
PRD_000100,SIZ_000269,8x8(200x200mm),,,,Y
PRD_000100,SIZ_000274,10x10(250x250mm),,,,Y
PRD_000108,SIZ_000069,220x145,,,,Y
PRD_000108,SIZ_000070,130x220,,,,Y
PRD_000109,SIZ_000018,90x100,,,,Y
PRD_000109,SIZ_000071,148x60,,,,Y
PRD_000110,SIZ_000007,148x210,,,,Y
PRD_000110,SIZ_000069,220x145,,,,Y
PRD_000110,SIZ_000070,130x220,,,,Y
PRD_000110,SIZ_000072,145x145,,,,Y
PRD_000110,SIZ_000073,220x130,,,,Y
PRD_000110,SIZ_000074,145x300,,,,Y
PRD_000111,SIZ_000050,A4 (210X297),,,,Y
PRD_000111,SIZ_000075,210x420,,,,Y
PRD_000111,SIZ_000076,300x420,,,,Y
PRD_000112,SIZ_000077,300x625,,,,Y
PRD_000118,SIZ_000198,A2 (420X594mm),,,,Y
PRD_000118,SIZ_000294,A1 (594X841mm),,,,Y
PRD_000118,SIZ_000315,A3 (297x420mm),,,,Y
PRD_000119,SIZ_000174,A3(297x420mm),,,,Y
PRD_000119,SIZ_000197,A2(420x594mm),,,,Y
PRD_000119,SIZ_000293,A1(594x841mm),,,,Y
PRD_000120,SIZ_000174,A3(297x420mm),,,,Y
PRD_000120,SIZ_000197,A2(420x594mm),,,,Y
PRD_000120,SIZ_000293,A1(594x841mm),,,,Y
PRD_000121,SIZ_000174,A3(297x420mm),,,,Y
PRD_000121,SIZ_000197,A2(420x594mm),,,,Y
PRD_000121,SIZ_000293,A1(594x841mm),,,,Y
PRD_000122,SIZ_000174,A3(297x420mm),,,,Y
PRD_000122,SIZ_000197,A2(420x594mm),,,,Y
PRD_000122,SIZ_000293,A1(594x841mm),,,,Y
PRD_000123,SIZ_000174,A3(297x420mm),,,,Y
PRD_000123,SIZ_000197,A2(420x594mm),,,,Y
PRD_000123,SIZ_000293,A1(594x841mm),,,,Y
PRD_000124,SIZ_000542,A3세로 (297x420mm),,,,N
PRD_000124,SIZ_000543,A3가로 (420x297mm),,,,N
PRD_000124,SIZ_000544,A2세로 (420x594mm),,,,N
PRD_000124,SIZ_000545,A2가로(594x420mm),,,,N
PRD_000124,SIZ_000546,A1세로(594x841mm),,,,N
PRD_000124,SIZ_000547,A1가로 (841x594mm),,,,N
PRD_000125,SIZ_000174,A3(297x420mm),,,,Y
PRD_000125,SIZ_000197,A2(420x594mm),,,,Y
PRD_000125,SIZ_000293,A1(594x841mm),,,,Y
PRD_000126,SIZ_000174,A3(297x420mm),,,,Y
PRD_000126,SIZ_000197,A2(420x594mm),,,,Y
PRD_000126,SIZ_000293,A1(594x841mm),,,,Y
PRD_000127,SIZ_000174,A3(297x420mm),,,,Y
PRD_000127,SIZ_000197,A2(420x594mm),,,,Y
PRD_000127,SIZ_000293,A1(594x841mm),,,,Y
PRD_000128,SIZ_000174,A3(297x420mm),,,,Y
PRD_000128,SIZ_000197,A2(420x594mm),,,,Y
PRD_000128,SIZ_000293,A1(594x841mm),,,,Y
PRD_000129,SIZ_000198,A2 (420X594mm),,,,Y
PRD_000129,SIZ_000315,A3 (297x420mm),,,,Y
PRD_000130,SIZ_000174,A3(297x420mm),,,,Y
PRD_000130,SIZ_000197,A2(420x594mm),,,,Y
PRD_000131,SIZ_000174,A3(297x420mm),,,,Y
PRD_000131,SIZ_000197,A2(420x594mm),,,,Y
PRD_000132,SIZ_000172,A4(210x297mm),,,,Y
PRD_000132,SIZ_000174,A3(297x420mm),,,,Y
PRD_000132,SIZ_000304,5x5(127x127mm),,,,Y
PRD_000132,SIZ_000306,5x7(127x178mm),,,,Y
PRD_000132,SIZ_000308,8x8(203x203mm),,,,Y
PRD_000132,SIZ_000310,8x10(203x254mm),,,,Y
PRD_000133,SIZ_000172,A4(210x297mm),,,,Y
PRD_000133,SIZ_000174,A3(297x420mm),,,,Y
PRD_000133,SIZ_000197,A2(420x594mm),,,,Y
PRD_000134,SIZ_000258,A4 (210x297mm),,,,Y
PRD_000134,SIZ_000315,A3 (297x420mm),,,,Y
PRD_000134,SIZ_000317,A2,,,,Y
PRD_000135,SIZ_000174,A3(297x420mm),,,,Y
PRD_000135,SIZ_000197,A2(420x594mm),,,,Y
PRD_000135,SIZ_000294,A1 (594X841mm),,,,Y
PRD_000135,SIZ_000319,300x600,,,,Y
PRD_000135,SIZ_000320,900x1200,,,,Y
PRD_000136,SIZ_000321,600x1800mm,,,,Y
PRD_000137,SIZ_000321,600x1800mm,,,,Y
PRD_000138,SIZ_000322,5000x900,,,,Y
PRD_000139,SIZ_000320,900x1200,,,,Y
PRD_000139,SIZ_000322,5000x900,,,,Y
PRD_000139,SIZ_000323,900x900,,,,Y
PRD_000140,SIZ_000198,A2 (420X594mm),,,,Y
PRD_000140,SIZ_000258,A4 (210x297mm),,,,Y
PRD_000140,SIZ_000315,A3 (297x420mm),,,,Y
PRD_000141,SIZ_000172,A4(210x297mm),,,,Y
PRD_000141,SIZ_000174,A3(297x420mm),,,,Y
PRD_000141,SIZ_000197,A2(420x594mm),,,,Y
PRD_000142,SIZ_000324,290x90mm,,,,Y
PRD_000142,SIZ_000325,290x190mm,,,,Y
PRD_000142,SIZ_000326,390x290mm,,,,Y
PRD_000142,SIZ_000327,590x390mm,,,,Y
PRD_000143,SIZ_000324,290x90mm,,,,Y
PRD_000143,SIZ_000325,290x190mm,,,,Y
PRD_000143,SIZ_000326,390x290mm,,,,Y
PRD_000143,SIZ_000327,590x390mm,,,,Y
PRD_000144,SIZ_000170,A5(148x210mm),,,,Y
PRD_000144,SIZ_000172,A4(210x297mm),,,,Y
PRD_000144,SIZ_000174,A3(297x420mm),,,,Y
PRD_000145,SIZ_000028,150x300,,,,Y
PRD_000145,SIZ_000328,180x420,,,,Y
PRD_000146,SIZ_000011,50x50,,,,Y
PRD_000146,SIZ_000329,20x30,,,,Y
PRD_000146,SIZ_000330,30x30,,,,Y
PRD_000146,SIZ_000331,30x40,,,,Y
PRD_000146,SIZ_000332,30x70,,,,Y
PRD_000146,SIZ_000333,40x40,,,,Y
PRD_000146,SIZ_000334,40x50,,,,Y
PRD_000146,SIZ_000335,40x60,,,,Y
PRD_000147,SIZ_000011,50x50,,,,Y
PRD_000147,SIZ_000148,60x60,,,,Y
PRD_000147,SIZ_000330,30x30,,,,Y
PRD_000147,SIZ_000331,30x40,,,,Y
PRD_000147,SIZ_000333,40x40,,,,Y
PRD_000147,SIZ_000334,40x50,,,,Y
PRD_000147,SIZ_000336,20x20,,,,Y
PRD_000148,SIZ_000011,50x50,,,,Y
PRD_000148,SIZ_000330,30x30,,,,Y
PRD_000148,SIZ_000333,40x40,,,,Y
PRD_000149,SIZ_000011,50x50,,,,Y
PRD_000149,SIZ_000330,30x30,,,,Y
PRD_000149,SIZ_000333,40x40,,,,Y
PRD_000150,SIZ_000011,50x50,,,,Y
PRD_000150,SIZ_000148,60x60,,,,Y
PRD_000150,SIZ_000344,70x60,,,,Y
PRD_000151,SIZ_000011,50x50,,,,Y
PRD_000151,SIZ_000148,60x60,,,,Y
PRD_000151,SIZ_000344,70x60,,,,Y
PRD_000152,SIZ_000346,60x20,,,,Y
PRD_000152,SIZ_000348,70x25,,,,Y
PRD_000152,SIZ_000350,80x30,,,,Y
PRD_000153,SIZ_000346,60x20,,,,Y
PRD_000153,SIZ_000348,70x25,,,,Y
PRD_000153,SIZ_000350,80x30,,,,Y
PRD_000154,SIZ_000330,30x30,,,,Y
PRD_000154,SIZ_000333,40x40,,,,Y
PRD_000154,SIZ_000336,20x20,,,,Y
PRD_000155,SIZ_000330,30x30,,,,Y
PRD_000155,SIZ_000333,40x40,,,,Y
PRD_000155,SIZ_000336,20x20,,,,Y
PRD_000156,SIZ_000330,30x30,,,,Y
PRD_000156,SIZ_000336,20x20,,,,Y
PRD_000156,SIZ_000352,15x15,,,,Y
PRD_000156,SIZ_000353,25x25,,,,Y
PRD_000156,SIZ_000354,35x35,,,,Y
PRD_000157,SIZ_000012,55x86,,,,Y
PRD_000157,SIZ_000148,60x60,,,,Y
PRD_000158,SIZ_000012,55x86,,,,Y
PRD_000159,SIZ_000355,100x100mm원형,,,,Y
PRD_000159,SIZ_000356,100x100mm사각,,,,Y
PRD_000160,SIZ_000357,120x60,,,,Y
PRD_000160,SIZ_000358,120x90,,,,Y
PRD_000160,SIZ_000359,120x120,,,,Y
PRD_000160,SIZ_000360,120x150,,,,Y
PRD_000160,SIZ_000361,120x180,,,,Y
PRD_000161,SIZ_000359,120x120,,,,Y
PRD_000161,SIZ_000361,120x180,,,,Y
PRD_000162,SIZ_000364,68x103,,,,Y
PRD_000163,SIZ_000365,120x50,,,,Y
PRD_000164,SIZ_000011,50x50,,,,Y
PRD_000164,SIZ_000043,80x80,,,,Y
PRD_000164,SIZ_000148,60x60,,,,Y
PRD_000164,SIZ_000211,70x70,,,,Y
PRD_000164,SIZ_000330,30x30,,,,Y
PRD_000164,SIZ_000333,40x40,,,,Y
PRD_000165,SIZ_000012,55x86,,,,Y
PRD_000166,SIZ_000366,40x69mm자물쇠,,,,Y
PRD_000166,SIZ_000367,43x71mm하트자물쇠,,,,Y
PRD_000166,SIZ_000368,59x54mm하트,,,,Y
PRD_000166,SIZ_000369,68x70mm원형,,,,Y
PRD_000169,SIZ_000003,100x150,,,,Y
PRD_000169,SIZ_000043,80x80,,,,Y
PRD_000170,SIZ_000011,50x50,,,,Y
PRD_000170,SIZ_000370,60x70,,,,Y
PRD_000170,SIZ_000371,60x80,,,,Y
PRD_000170,SIZ_000372,60x90mm,,,,Y
PRD_000170,SIZ_000373,60x100,,,,Y
PRD_000170,SIZ_000374,60x110,,,,Y
PRD_000172,SIZ_000375,130x190,,,,Y
PRD_000173,SIZ_000375,130x190,,,,Y
PRD_000174,SIZ_000375,130x190,,,,Y
PRD_000175,SIZ_000375,130x190,,,,Y
PRD_000176,SIZ_000170,A5(148x210mm),,,,Y
PRD_000177,SIZ_000170,A5(148x210mm),,,,Y
PRD_000178,SIZ_000377,90x145,,,,Y
PRD_000179,SIZ_000379,144x206,,,,Y
PRD_000179,SIZ_000380,B5 (182X257),,,,Y
PRD_000180,SIZ_000379,144x206,,,,Y
PRD_000181,SIZ_000196,A6(105x148mm),,,,Y
PRD_000186,SIZ_000384,S(75x130mm),,,,Y
PRD_000186,SIZ_000386,M(95x166mm),,,,Y
PRD_000186,SIZ_000388,L(120x218mm),,,,Y
PRD_000187,SIZ_000384,S(75x130mm),,,,Y
