comp_price_id,comp_cd,apply_ymd,siz_cd,mat_cd,clr_cd,proc_cd,opt_cd,print_opt_cd,plt_siz_cd,coat_side_cnt,bdl_qty,min_qty,siz_width,siz_height,unit_price,dim_vals
5363,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,60.00,100.00,6800.00,
5364,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,70.00,100.00,7600.00,
5365,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,100.00,40.00,5120.00,
5366,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,50.00,30.00,3040.00,
5367,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,60.00,40.00,3760.00,
5368,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,80.00,50.00,5120.00,
22346,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,20.00,40.00,3000.00,
22347,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,20.00,50.00,3200.00,
22348,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,20.00,70.00,3600.00,
22349,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,20.00,80.00,3800.00,
22350,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,20.00,90.00,4000.00,
22351,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,20.00,100.00,4200.00,
22352,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,20.00,120.00,4600.00,
22353,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,20.00,140.00,5000.00,
22354,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,20.00,160.00,5400.00,
22355,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,20.00,180.00,5800.00,
22356,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,20.00,200.00,6200.00,
22357,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,30.00,60.00,4000.00,
22358,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,30.00,90.00,5000.00,
