prd_nm,attr,raw_token,reason
아크릴코롯토,size,30~80,R-SIZE-4/5 비치수옵션축
아크릴코롯토,size,30~80,R-SIZE-4/5 비치수옵션축
아크릴코롯토,size,사용자입력,R-SIZE-4/5 비치수옵션축
아크릴코롯토,size,30~80,R-SIZE-4/5 비치수옵션축
아크릴코롯토,size,30~80,R-SIZE-4/5 비치수옵션축
아크릴코롯토,size,사용자입력,R-SIZE-4/5 비치수옵션축
아크릴코롯토,size,사용자입력,R-SIZE-4/5 비치수옵션축
아크릴입체코롯토,size,사용자입력,R-SIZE-4/5 비치수옵션축
아크릴입체블럭,size,80*80,비치수정규형
아크릴입체블럭,size,100*150,비치수정규형
틴거울,size,무광 75mm,비치수정규형
컴팩트거울,size,무광 75mm,비치수정규형
레더코스터,size,원형 90mm,비치수정규형
레더코스터,size,사각 90mm,비치수정규형
코르크코스터,size,원형 90mm,비치수정규형
우드코스터,size,원형 90mm,비치수정규형
우드코스터,size,사각 90mm,비치수정규형
린넨패브릭코스터,size,사각 110mm,비치수정규형
규조토코스터,size,원형 102mm,비치수정규형
규조토코스터,size,사각 100mm,비치수정규형
머그컵,size,11온스,R-SIZE-4/5 비치수옵션축
워터북보틀,size,350ml,R-SIZE-4/5 비치수옵션축
워터북보틀,size,500ml,R-SIZE-4/5 비치수옵션축
벨벳쿠션,size,단면,비치수정규형
벨벳쿠션,size,양면,비치수정규형
핀버튼,size,원형 58mm,비치수정규형
핀버튼,size,사각 57mm,비치수정규형
레더스트랩키링,size,미니 50mm,비치수정규형
레더스트랩키링,size,일반 100mm,비치수정규형
키캡키링,size,2구,비치수정규형
키캡키링,size,3구,비치수정규형
키캡키링,size,4구,비치수정규형
LED투명키캡키링,size,1구,비치수정규형
LED투명키캡키링,size,2구,비치수정규형
LED투명키캡키링,size,3구,비치수정규형
LED투명키캡키링,size,4구,비치수정규형
미니CD앨범,size,CD 커버 세트 (미조립),비치수정규형
슬로건,size,양면 가로형,비치수정규형
슬로건,size,양면 세로형,비치수정규형
틴케이스,size,미니틴케이스,비치수정규형
자석북마크,size,2개1팩,R-SIZE-4/5 비치수옵션축
투명클립보드,size,A5용,비치수정규형
투명클립보드,size,A4용,비치수정규형
타이벡북커버,size,A5,비치수정규형
폰스트랩,size,단면,비치수정규형
폰스트랩,size,양면,비치수정규형
말랑키링,size,원형,비치수정규형
말랑키링,size,사각,비치수정규형
말랑키링,size,꽃,비치수정규형
말랑키링,size,별,비치수정규형
말랑키링,size,하트,비치수정규형
아크릴쉐이커코롯토,size,양면인쇄,비치수정규형
아크릴쉐이커코롯토,size,전면만 인쇄,비치수정규형
아크릴쉐이커코롯토,size,배면만 인쇄,비치수정규형
미니우치와키링,size,양면,비치수정규형
하트 이미지피켓,size,양면유광,비치수정규형
이미지피켓,size,양면유광 M,비치수정규형
이미지피켓,size,양면유광 L,비치수정규형
레더 플랫 파우치,size,M,비치수정규형
레더 플랫 파우치,size,L,비치수정규형
레더 슬림 파우치,size,M,비치수정규형
레더 슬림 파우치,size,L,비치수정규형
레더 삼각 파우치,size,M,비치수정규형
레더 삼각 파우치,size,L,비치수정규형
레더 볼륨 파우치,size,정사각M,비치수정규형
레더 볼륨 파우치,size,직사각M,비치수정규형
레더 스트링 파우치,size,M,비치수정규형
레더 아이패드/노트북 파우치,size,11인치,비치수정규형
레더 아이패드/노트북 파우치,size,13인치,비치수정규형
레더 아이패드/노트북 파우치,size,15인치,비치수정규형
캔버스 플랫 파우치,size,M,비치수정규형
캔버스 플랫 파우치,size,L,비치수정규형
캔버스 삼각 파우치,size,M,비치수정규형
캔버스 삼각 파우치,size,L,비치수정규형
캔버스 스트랩 라벨파우치,size,70*100,비치수정규형
광목 스트링 라벨파우치,size,100*70,비치수정규형
광목 스트링 라벨파우치,size,100*40,비치수정규형
린넨 스트링 파우치,size,S,비치수정규형
린넨 스트링 파우치,size,M,비치수정규형
린넨 스트링 파우치,size,L,비치수정규형
타이벡 플랫 파우치,size,M,비치수정규형
타이벡 플랫 파우치,size,L,비치수정규형
타이벡 플랫 파우치,size,XL,비치수정규형
타이벡 슬림 파우치,size,M,비치수정규형
타이벡 슬림 파우치,size,L,비치수정규형
타이벡 삼각 파우치,size,M,비치수정규형
타이벡 삼각 파우치,size,L,비치수정규형
타이벡 스트링 파우치,size,M,비치수정규형
타이벡 스트링 파우치,size,L,비치수정규형
타이벡 스트링 파우치,size,XL,비치수정규형
메쉬슬림파우치,size,M,비치수정규형
메쉬슬림파우치,size,L,비치수정규형
메쉬볼륨파우치,size,직사각L,비치수정규형
레더 슬림 미니파우치,size,직사각,비치수정규형
레더 슬림 미니파우치,size,정사각,비치수정규형
레더 볼륨 미니파우치,size,정사각,비치수정규형
레더 볼륨 미니파우치,size,직사각,비치수정규형
레더 원형 미니파우치,size,마카롱,비치수정규형
레더숄더백,size,세로형,비치수정규형
린넨 에코백,size,세로형,비치수정규형
린넨 에코백,size,가로형,비치수정규형
캔버스심플백,size,세로M,비치수정규형
캔버스 포켓심플백,size,블랙M,비치수정규형
캔버스에코백,size,가로L,비치수정규형
캔버스숄더백,size,세로형,비치수정규형
타이벡 양면 백팩,size,M,비치수정규형
타이벡 양면 백팩,size,L,비치수정규형
타이벡보냉보틀백,size,M,비치수정규형
타이벡보냉보틀백,size,L,비치수정규형
타이벡 에코백,size,세로형,비치수정규형
타이벡 보냉에코백,size,세로형,비치수정규형
메쉬 토트백,size,가로형,비치수정규형
메쉬 에코백,size,가로형,비치수정규형
볼체인,size,오렌지 (3개1팩),R-SIZE-4/5 비치수옵션축
볼체인,size,핑크 (3개1팩),R-SIZE-4/5 비치수옵션축
볼체인,size,핫핑크 (3개1팩),R-SIZE-4/5 비치수옵션축
볼체인,size,민트그린 (3개1팩),R-SIZE-4/5 비치수옵션축
볼체인,size,블루 (3개1팩),R-SIZE-4/5 비치수옵션축
볼체인,size,바이올렛 (3개1팩),R-SIZE-4/5 비치수옵션축
볼체인,size,블랙 (3개1팩),R-SIZE-4/5 비치수옵션축
볼체인,size,화이트 (3개1팩),R-SIZE-4/5 비치수옵션축
와이어링,size,실버,비치수정규형
와이어링,size,화이트,비치수정규형
와이어링,size,블랙,비치수정규형
천정고리,size,2개1세트,비치수정규형
행택끈,size,사각검정 (100개),비치수정규형
행택끈,size,사각백색 (100개),비치수정규형
행택끈,size,사각마사 (100개),비치수정규형
우드거치대,size,120mm (4mm홈) 내추럴,비치수정규형
우드봉,size,270mm + 면끈,비치수정규형
우드봉,size,360mm + 면끈,비치수정규형
우드봉,size,480mm + 면끈,비치수정규형
우드행거,size,230mm + 면끈,비치수정규형
우드행거,size,320mm + 면끈,비치수정규형
우드행거,size,440mm + 면끈,비치수정규형
만년스탬프 리필잉크,size,청보라 (5cc),비치수정규형
만년스탬프 리필잉크,size,빨강 (5cc),비치수정규형
만년스탬프 리필잉크,size,검정 (5cc),비치수정규형
만년스탬프 리필잉크,size,파랑 (5cc),비치수정규형
만년스탬프 리필잉크,size,초록 (5cc),비치수정규형
만년스탬프 리필잉크,size,핑크 (5cc),비치수정규형
만년스탬프 리필잉크,size,노랑 (5cc),비치수정규형
반칼 자유형 스티커,process,*최대20조각,R-PROC-7 노이즈
반칼 자유형 스티커,process,*최대40조각,R-PROC-7 노이즈
낱장 자유형 스티커,process,*최소크기 30x30 / 10조각이내,R-PROC-7 노이즈
낱장 자유형 투명스티커,process,*최소크기 30x30 / 10조각이내,R-PROC-7 노이즈
대형 자유형 스티커,process,*최소크기 30x30 / 10조각이내,R-PROC-7 노이즈
소량자유형스티커,process,*1조각,R-PROC-7 노이즈
포토북 [디자인명],process,10 / 12 / 14 /16,R-PROC-7 노이즈
포토북 [디자인명],process,10 / 12 / 14 /16,R-PROC-7 노이즈
포토북 [디자인명],process,4 / 6 / 8 / 10 / 12 / 14,R-PROC-7 노이즈
포토북 [디자인명],process,10 / 12 / 14 /16,R-PROC-7 노이즈
포토북 [디자인명],process,10 / 12 / 14 /16,R-PROC-7 노이즈
포토북 [디자인명],process,10 / 12 / 14 /16,R-PROC-7 노이즈
포토북 [디자인명],process,10 / 12 / 14 /16,R-PROC-7 노이즈
포토북 [디자인명],process,4 / 6 / 8 / 10 / 12 / 14,R-PROC-7 노이즈
포토북 [디자인명],process,10 / 12 / 14 /16,R-PROC-7 노이즈
포토북 [디자인명],process,10 / 12 / 14 /16,R-PROC-7 노이즈
포토북 [디자인명],process,4 / 6 / 8 / 10 / 12 / 14,R-PROC-7 노이즈
방수포스터,process,0.0,R-PROC-7 노이즈
방수포스터,process,0.0,R-PROC-7 노이즈
접착방수포스터,process,0.0,R-PROC-7 노이즈
접착방수포스터,process,0.0,R-PROC-7 노이즈
폼보드,process,0.0,R-PROC-7 노이즈
폼보드,process,0.0,R-PROC-7 노이즈
캔버스 행잉포스터,process,0.0,R-PROC-7 노이즈
린넨 우드봉 족자,process,0.0,R-PROC-7 노이즈
족자포스터,process,0.0,R-PROC-7 노이즈
PET배너,process,0.0,R-PROC-7 노이즈
PET배너,process,10000.0,R-PROC-7 노이즈
PET배너,process,23000.0,R-PROC-7 노이즈
메쉬배너,process,0.0,R-PROC-7 노이즈
메쉬배너,process,10000.0,R-PROC-7 노이즈
메쉬배너,process,23000.0,R-PROC-7 노이즈
일반현수막,process,*가격표참고,R-PROC-7 노이즈
아크릴키링,process,0.0,R-PROC-7 노이즈
아크릴키링,process,*가격표참고,R-PROC-7 노이즈
아크릴키링,process,*가격표참고,R-PROC-7 노이즈
아크릴마그넷,process,*가격표참고,R-PROC-7 노이즈
아크릴뱃지,process,*가격표참고,R-PROC-7 노이즈
아크릴집게,process,*가격표참고,R-PROC-7 노이즈
아크릴스마트톡,process,*가격표참고,R-PROC-7 노이즈
맥세이프 스마트톡,process,0.0,R-PROC-7 노이즈
아크릴명찰,process,*가격표참고,R-PROC-7 노이즈
아크릴 머리끈,process,*가격표참고,R-PROC-7 노이즈
아크릴볼펜,process,*가격표참고,R-PROC-7 노이즈
아크릴지비츠,process,*가격표참고,R-PROC-7 노이즈
아크릴네임택,process,*가격표참고,R-PROC-7 노이즈
아크릴자유형스탠드,process,0.0,R-PROC-7 노이즈
아크릴자유형스탠드,process,0.0,R-PROC-7 노이즈
아크릴자유형스탠드,process,0.0,R-PROC-7 노이즈
아크릴자유형스탠드,process,0.0,R-PROC-7 노이즈
아크릴자유형스탠드,process,0.0,R-PROC-7 노이즈
아크릴미니파츠,process,0.0,R-PROC-7 노이즈
아크릴카라비너,process,0.0,R-PROC-7 노이즈
아크릴카라비너,process,0.0,R-PROC-7 노이즈
아크릴카라비너,process,0.0,R-PROC-7 노이즈
아크릴카라비너,process,0.0,R-PROC-7 노이즈
아크릴카라비너,process,0.0,R-PROC-7 노이즈
아크릴카라비너,process,0.0,R-PROC-7 노이즈
아크릴카라비너,process,0.0,R-PROC-7 노이즈
지비츠★,process,500.0,R-PROC-7 노이즈
미니우치와키링,process,0.0,R-PROC-7 노이즈
캔버스 플랫 파우치,process,0.0,R-PROC-7 노이즈
캔버스 플랫 파우치,process,300.0,R-PROC-7 노이즈
캔버스 삼각 파우치,process,0.0,R-PROC-7 노이즈
캔버스 삼각 파우치,process,300.0,R-PROC-7 노이즈
캔버스 플랫 필통,process,0.0,R-PROC-7 노이즈
캔버스 플랫 필통,process,300.0,R-PROC-7 노이즈
캔버스 삼각 필통,process,0.0,R-PROC-7 노이즈
캔버스 삼각 필통,process,300.0,R-PROC-7 노이즈
캔버스심플백,process,0.0,R-PROC-7 노이즈
캔버스심플백,process,300.0,R-PROC-7 노이즈
캔버스에코백,process,0.0,R-PROC-7 노이즈
캔버스에코백,process,300.0,R-PROC-7 노이즈
반칼 자유형 스티커,material,비코팅스티커,R-MAT-3 공정축분해
반칼 자유형 스티커,material,무광코팅스티커,R-MAT-3 공정축분해
반칼 자유형 스티커,material,유광코팅스티커,R-MAT-3 공정축분해
낱장 자유형 스티커,material,엠보코팅,R-MAT-3 공정축분해
대형 자유형 스티커,material,엠보코팅,R-MAT-3 공정축분해
반칼원형스티커,material,비코팅스티커,R-MAT-3 공정축분해
반칼원형스티커,material,무광코팅스티커,R-MAT-3 공정축분해
반칼원형스티커,material,유광코팅스티커,R-MAT-3 공정축분해
반칼정사각스티커,material,비코팅스티커,R-MAT-3 공정축분해
반칼정사각스티커,material,무광코팅스티커,R-MAT-3 공정축분해
반칼정사각스티커,material,유광코팅스티커,R-MAT-3 공정축분해
반칼직사각스티커,material,비코팅스티커,R-MAT-3 공정축분해
반칼직사각스티커,material,무광코팅스티커,R-MAT-3 공정축분해
반칼직사각스티커,material,유광코팅스티커,R-MAT-3 공정축분해
반칼띠지스티커,material,비코팅스티커,R-MAT-3 공정축분해
반칼띠지스티커,material,무광코팅스티커,R-MAT-3 공정축분해
반칼띠지스티커,material,유광코팅스티커,R-MAT-3 공정축분해
반칼팬시스티커,material,비코팅스티커,R-MAT-3 공정축분해
반칼팬시스티커,material,무광코팅스티커,R-MAT-3 공정축분해
반칼팬시스티커,material,유광코팅스티커,R-MAT-3 공정축분해
소량자유형스티커,material,비코팅스티커,R-MAT-3 공정축분해
소량자유형스티커,material,무광코팅스티커,R-MAT-3 공정축분해
소량자유형스티커,material,유광코팅스티커,R-MAT-3 공정축분해
스티커팩,material,비코팅스티커,R-MAT-3 공정축분해
합판도무송스티커,material,비코팅스티커,R-MAT-3 공정축분해
합판도무송스티커,material,무광코팅스티커,R-MAT-3 공정축분해
합판도무송스티커,material,유광코팅스티커,R-MAT-3 공정축분해
포토북 [디자인명],material,무광코팅,R-MAT-3 공정축분해
포토북 [디자인명],material,무광코팅,R-MAT-3 공정축분해
포토북 [디자인명],material,무광코팅,R-MAT-3 공정축분해
포토북 [디자인명],material,무광코팅,R-MAT-3 공정축분해
포토북 [디자인명],material,무광코팅,R-MAT-3 공정축분해
포토북 [디자인명],material,무광코팅,R-MAT-3 공정축분해
포토북 [디자인명],material,무광코팅,R-MAT-3 공정축분해
아크릴입체블럭,material,투명아크릴라미(10T),R-MAT-3 공정축분해
만년다이어리(소프트커버),material,무광코팅,R-MAT-3 공정축분해
만년다이어리(하드커버),material,무광코팅,R-MAT-3 공정축분해
먼슬리플래너,material,무광코팅,R-MAT-3 공정축분해
스프링노트,material,무광코팅,R-MAT-3 공정축분해
스프링수첩,material,무광코팅,R-MAT-3 공정축분해
메모패드,material,무광코팅,R-MAT-3 공정축분해
중철노트,material,무광코팅,R-MAT-3 공정축분해
