sql_file,sql_block_no,source_csv,source_row_no,natural_key
03_t_prc_formula_components.sql,19,t_prc_formula_components_DGP.csv,20,PRF_DGP_A|COMP_PP_PERF_1L
03_t_prc_formula_components.sql,20,t_prc_formula_components_DGP.csv,21,PRF_DGP_A|COMP_PP_PERF_2L
03_t_prc_formula_components.sql,21,t_prc_formula_components_DGP.csv,22,PRF_DGP_A|COMP_PP_PERF_3L
03_t_prc_formula_components.sql,22,t_prc_formula_components_DGP.csv,23,PRF_DGP_A|COMP_PP_VARTEXT_1EA
03_t_prc_formula_components.sql,23,t_prc_formula_components_DGP.csv,24,PRF_DGP_A|COMP_PP_VARTEXT_2EA
03_t_prc_formula_components.sql,24,t_prc_formula_components_DGP.csv,25,PRF_DGP_A|COMP_PP_VARTEXT_3EA
03_t_prc_formula_components.sql,25,t_prc_formula_components_DGP.csv,26,PRF_DGP_A|COMP_PP_VARIMG_1EA
03_t_prc_formula_components.sql,26,t_prc_formula_components_DGP.csv,27,PRF_DGP_A|COMP_PP_VARIMG_2EA
03_t_prc_formula_components.sql,27,t_prc_formula_components_DGP.csv,28,PRF_DGP_A|COMP_PP_VARIMG_3EA
03_t_prc_formula_components.sql,28,t_prc_formula_components_DGP.csv,29,PRF_DGP_A|COMP_PP_CORNER_RIGHT
03_t_prc_formula_components.sql,29,t_prc_formula_components_DGP.csv,30,PRF_DGP_A|COMP_PP_CORNER_ROUND
03_t_prc_formula_components.sql,30,t_prc_formula_components_DGP.csv,31,PRF_DGP_B|COMP_PRINT_DIGITAL_S1
03_t_prc_formula_components.sql,31,t_prc_formula_components_DGP.csv,32,PRF_DGP_B|COMP_PRINT_DIGITAL_S2
03_t_prc_formula_components.sql,32,t_prc_formula_components_DGP.csv,33,PRF_DGP_B|COMP_PAPER
03_t_prc_formula_components.sql,33,t_prc_formula_components_DGP.csv,34,PRF_DGP_B|COMP_CUT_FULL_DIECUT
03_t_prc_formula_components.sql,34,t_prc_formula_components_DGP.csv,35,PRF_DGP_C|COMP_PRINT_DIGITAL_S1
03_t_prc_formula_components.sql,35,t_prc_formula_components_DGP.csv,36,PRF_DGP_C|COMP_PRINT_DIGITAL_S2
03_t_prc_formula_components.sql,36,t_prc_formula_components_DGP.csv,37,PRF_DGP_C|COMP_PAPER
03_t_prc_formula_components.sql,37,t_prc_formula_components_DGP.csv,38,PRF_DGP_C|COMP_FOLD_CARD_2H
03_t_prc_formula_components.sql,38,t_prc_formula_components_DGP.csv,39,PRF_DGP_C|COMP_CUT_PERF_1H6
03_t_prc_formula_components.sql,39,t_prc_formula_components_DGP.csv,40,PRF_DGP_D|COMP_PRINT_DIGITAL_S1
03_t_prc_formula_components.sql,40,t_prc_formula_components_DGP.csv,41,PRF_DGP_D|COMP_PRINT_DIGITAL_S2
03_t_prc_formula_components.sql,41,t_prc_formula_components_DGP.csv,42,PRF_DGP_D|COMP_COAT_GLOSSY
03_t_prc_formula_components.sql,42,t_prc_formula_components_DGP.csv,43,PRF_DGP_D|COMP_COAT_MATTE
03_t_prc_formula_components.sql,43,t_prc_formula_components_DGP.csv,44,PRF_DGP_D|COMP_PAPER
03_t_prc_formula_components.sql,44,t_prc_formula_components_DGP.csv,45,PRF_DGP_D|COMP_CUT_PERF_1H6
03_t_prc_formula_components.sql,45,t_prc_formula_components_DGP.csv,46,PRF_DGP_D|COMP_PP_CREASE_1L
03_t_prc_formula_components.sql,46,t_prc_formula_components_DGP.csv,47,PRF_DGP_D|COMP_PP_CREASE_2L
03_t_prc_formula_components.sql,47,t_prc_formula_components_DGP.csv,48,PRF_DGP_D|COMP_PP_CREASE_3L
03_t_prc_formula_components.sql,48,t_prc_formula_components_DGP.csv,49,PRF_DGP_D|COMP_PP_PERF_1L
03_t_prc_formula_components.sql,49,t_prc_formula_components_DGP.csv,50,PRF_DGP_D|COMP_PP_PERF_2L
03_t_prc_formula_components.sql,50,t_prc_formula_components_DGP.csv,51,PRF_DGP_D|COMP_PP_PERF_3L
03_t_prc_formula_components.sql,51,t_prc_formula_components_DGP.csv,52,PRF_DGP_D|COMP_PP_VARTEXT_1EA
03_t_prc_formula_components.sql,52,t_prc_formula_components_DGP.csv,53,PRF_DGP_D|COMP_PP_VARTEXT_2EA
03_t_prc_formula_components.sql,53,t_prc_formula_components_DGP.csv,54,PRF_DGP_D|COMP_PP_VARTEXT_3EA
03_t_prc_formula_components.sql,54,t_prc_formula_components_DGP.csv,55,PRF_DGP_D|COMP_PP_VARIMG_1EA
03_t_prc_formula_components.sql,55,t_prc_formula_components_DGP.csv,56,PRF_DGP_D|COMP_PP_VARIMG_2EA
03_t_prc_formula_components.sql,56,t_prc_formula_components_DGP.csv,57,PRF_DGP_D|COMP_PP_VARIMG_3EA
03_t_prc_formula_components.sql,57,t_prc_formula_components_DGP.csv,58,PRF_DGP_D|COMP_PP_CORNER_RIGHT
03_t_prc_formula_components.sql,58,t_prc_formula_components_DGP.csv,59,PRF_DGP_D|COMP_PP_CORNER_ROUND
03_t_prc_formula_components.sql,59,t_prc_formula_components_DGP.csv,60,PRF_DGP_E|COMP_PRINT_DIGITAL_S1
03_t_prc_formula_components.sql,60,t_prc_formula_components_DGP.csv,61,PRF_DGP_E|COMP_PRINT_DIGITAL_S2
03_t_prc_formula_components.sql,61,t_prc_formula_components_DGP.csv,62,PRF_DGP_E|COMP_COAT_GLOSSY
03_t_prc_formula_components.sql,62,t_prc_formula_components_DGP.csv,63,PRF_DGP_E|COMP_COAT_MATTE
03_t_prc_formula_components.sql,63,t_prc_formula_components_DGP.csv,64,PRF_DGP_E|COMP_PAPER
03_t_prc_formula_components.sql,64,t_prc_formula_components_DGP.csv,65,PRF_DGP_E|COMP_FOLD_LEAF_HALF
03_t_prc_formula_components.sql,65,t_prc_formula_components_DGP.csv,66,PRF_DGP_E|COMP_FOLD_LEAF_3FOLD
03_t_prc_formula_components.sql,66,t_prc_formula_components_DGP.csv,67,PRF_DGP_E|COMP_FOLD_LEAF_4ACC
03_t_prc_formula_components.sql,67,t_prc_formula_components_DGP.csv,68,PRF_DGP_E|COMP_FOLD_LEAF_4GATE
03_t_prc_formula_components.sql,68,t_prc_formula_components_DGP.csv,69,PRF_DGP_E|COMP_CUT_PERF_1H6
03_t_prc_formula_components.sql,69,t_prc_formula_components_DGP.csv,70,PRF_DGP_F|COMP_PAPER
03_t_prc_formula_components.sql,70,t_prc_formula_components_DGP.csv,71,PRF_DGP_F|COMP_PRINT_DIGITAL_S1
03_t_prc_formula_components.sql,71,t_prc_formula_components_DGP.csv,72,PRF_DGP_F|COMP_PRINT_DIGITAL_S2
03_t_prc_formula_components.sql,72,t_prc_formula_components_DGP.csv,73,PRF_DGP_F|COMP_CUT_FULL_DIECUT
04_t_prc_component_prices.sql,1,t_prc_component_prices_PAPER.csv,2,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000072
04_t_prc_component_prices.sql,2,t_prc_component_prices_PAPER.csv,3,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000073
04_t_prc_component_prices.sql,3,t_prc_component_prices_PAPER.csv,4,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000074
04_t_prc_component_prices.sql,4,t_prc_component_prices_PAPER.csv,5,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000076
04_t_prc_component_prices.sql,5,t_prc_component_prices_PAPER.csv,6,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000077
04_t_prc_component_prices.sql,6,t_prc_component_prices_PAPER.csv,7,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000078
04_t_prc_component_prices.sql,7,t_prc_component_prices_PAPER.csv,8,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000079
04_t_prc_component_prices.sql,8,t_prc_component_prices_PAPER.csv,9,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000080
04_t_prc_component_prices.sql,9,t_prc_component_prices_PAPER.csv,10,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000081
04_t_prc_component_prices.sql,10,t_prc_component_prices_PAPER.csv,11,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000082
04_t_prc_component_prices.sql,11,t_prc_component_prices_PAPER.csv,12,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000086
04_t_prc_component_prices.sql,12,t_prc_component_prices_PAPER.csv,13,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000087
04_t_prc_component_prices.sql,13,t_prc_component_prices_PAPER.csv,14,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000088
04_t_prc_component_prices.sql,14,t_prc_component_prices_PAPER.csv,15,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000089
04_t_prc_component_prices.sql,15,t_prc_component_prices_PAPER.csv,16,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000090
04_t_prc_component_prices.sql,16,t_prc_component_prices_PAPER.csv,17,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000091
04_t_prc_component_prices.sql,17,t_prc_component_prices_PAPER.csv,18,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000092
04_t_prc_component_prices.sql,18,t_prc_component_prices_PAPER.csv,19,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000095
04_t_prc_component_prices.sql,19,t_prc_component_prices_PAPER.csv,20,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000101
04_t_prc_component_prices.sql,20,t_prc_component_prices_PAPER.csv,21,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000102
04_t_prc_component_prices.sql,21,t_prc_component_prices_PAPER.csv,22,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000104
04_t_prc_component_prices.sql,22,t_prc_component_prices_PAPER.csv,23,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000105
04_t_prc_component_prices.sql,23,t_prc_component_prices_PAPER.csv,24,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000106
04_t_prc_component_prices.sql,24,t_prc_component_prices_PAPER.csv,25,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000107
04_t_prc_component_prices.sql,25,t_prc_component_prices_PAPER.csv,26,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000108
04_t_prc_component_prices.sql,26,t_prc_component_prices_PAPER.csv,27,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000109
04_t_prc_component_prices.sql,27,t_prc_component_prices_PAPER.csv,28,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000113
04_t_prc_component_prices.sql,28,t_prc_component_prices_PAPER.csv,29,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000114
04_t_prc_component_prices.sql,29,t_prc_component_prices_PAPER.csv,30,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000115
04_t_prc_component_prices.sql,30,t_prc_component_prices_PAPER.csv,31,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000116
04_t_prc_component_prices.sql,31,t_prc_component_prices_PAPER.csv,32,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000117
04_t_prc_component_prices.sql,32,t_prc_component_prices_PAPER.csv,33,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000118
04_t_prc_component_prices.sql,33,t_prc_component_prices_PAPER.csv,34,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000120
04_t_prc_component_prices.sql,34,t_prc_component_prices_PAPER.csv,35,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000121
04_t_prc_component_prices.sql,35,t_prc_component_prices_PAPER.csv,36,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000125
04_t_prc_component_prices.sql,36,t_prc_component_prices_PAPER.csv,37,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000126
04_t_prc_component_prices.sql,37,t_prc_component_prices_PAPER.csv,38,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000127
04_t_prc_component_prices.sql,38,t_prc_component_prices_PAPER.csv,39,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000128
04_t_prc_component_prices.sql,39,t_prc_component_prices_PAPER.csv,40,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000129
04_t_prc_component_prices.sql,40,t_prc_component_prices_PAPER.csv,41,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000130
04_t_prc_component_prices.sql,41,t_prc_component_prices_PAPER.csv,42,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000136
04_t_prc_component_prices.sql,42,t_prc_component_prices_PAPER.csv,43,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000137
04_t_prc_component_prices.sql,43,t_prc_component_prices_PAPER.csv,44,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000138
04_t_prc_component_prices.sql,44,t_prc_component_prices_PAPER.csv,45,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000139
04_t_prc_component_prices.sql,45,t_prc_component_prices_PAPER.csv,46,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000140
04_t_prc_component_prices.sql,46,t_prc_component_prices_PAPER.csv,47,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000141
04_t_prc_component_prices.sql,47,t_prc_component_prices_PAPER.csv,48,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000142
04_t_prc_component_prices.sql,48,t_prc_component_prices_PAPER.csv,49,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000150
04_t_prc_component_prices.sql,49,t_prc_component_prices_PAPER.csv,50,COMP_PAPER|2026-06-01|SIZ_000499|MAT_000151
05_t_prd_product_price_formulas.sql,1,t_prd_product_price_formulas_DGP.csv,2,PRD_000016|PRF_DGP_A
05_t_prd_product_price_formulas.sql,2,t_prd_product_price_formulas_DGP.csv,3,PRD_000017|PRF_DGP_A
05_t_prd_product_price_formulas.sql,3,t_prd_product_price_formulas_DGP.csv,4,PRD_000018|PRF_DGP_A
05_t_prd_product_price_formulas.sql,4,t_prd_product_price_formulas_DGP.csv,5,PRD_000020|PRF_DGP_A
05_t_prd_product_price_formulas.sql,5,t_prd_product_price_formulas_DGP.csv,6,PRD_000021|PRF_DGP_A
05_t_prd_product_price_formulas.sql,6,t_prd_product_price_formulas_DGP.csv,7,PRD_000022|PRF_DGP_A
05_t_prd_product_price_formulas.sql,7,t_prd_product_price_formulas_DGP.csv,8,PRD_000023|PRF_DGP_B
05_t_prd_product_price_formulas.sql,8,t_prd_product_price_formulas_DGP.csv,9,PRD_000026|PRF_DGP_A
05_t_prd_product_price_formulas.sql,9,t_prd_product_price_formulas_DGP.csv,10,PRD_000027|PRF_DGP_E
05_t_prd_product_price_formulas.sql,10,t_prd_product_price_formulas_DGP.csv,11,PRD_000028|PRF_DGP_E
05_t_prd_product_price_formulas.sql,11,t_prd_product_price_formulas_DGP.csv,12,PRD_000029|PRF_DGP_E
05_t_prd_product_price_formulas.sql,12,t_prd_product_price_formulas_DGP.csv,13,PRD_000041|PRF_DGP_A
05_t_prd_product_price_formulas.sql,13,t_prd_product_price_formulas_DGP.csv,14,PRD_000042|PRF_DGP_A
05_t_prd_product_price_formulas.sql,14,t_prd_product_price_formulas_DGP.csv,15,PRD_000043|PRF_DGP_C
05_t_prd_product_price_formulas.sql,15,t_prd_product_price_formulas_DGP.csv,16,PRD_000044|PRF_DGP_C
05_t_prd_product_price_formulas.sql,16,t_prd_product_price_formulas_DGP.csv,17,PRD_000045|PRF_DGP_C
05_t_prd_product_price_formulas.sql,17,t_prd_product_price_formulas_DGP.csv,18,PRD_000046|PRF_DGP_B
05_t_prd_product_price_formulas.sql,18,t_prd_product_price_formulas_DGP.csv,19,PRD_000047|PRF_DGP_D
05_t_prd_product_price_formulas.sql,19,t_prd_product_price_formulas_DGP.csv,20,PRD_000051|PRF_DGP_F
