적용일,공정,수량(이상),고정,비고
,PROC_000059,100,270.0,
,PROC_000060,100,330.0,
,PROC_000073,100,300.0,
,PROC_000074,100,300.0,
,PROC_000059,150,240.0,
,PROC_000060,150,300.0,
,PROC_000073,150,281.0,
,PROC_000074,150,281.0,
,PROC_000059,200,210.0,
,PROC_000060,200,270.0,
,PROC_000073,200,262.0,
,PROC_000074,200,262.0,
,PROC_000059,250,180.0,
,PROC_000060,250,240.0,
,PROC_000073,250,243.0,
,PROC_000074,250,243.0,
,PROC_000059,300,150.0,
,PROC_000060,300,210.0,
,PROC_000073,300,224.0,
,PROC_000074,300,224.0,
,PROC_000059,350,120.0,
,PROC_000060,350,190.0,
,PROC_000073,350,205.0,
,PROC_000074,350,205.0,
,PROC_000059,400,100.0,
,PROC_000060,400,170.0,
,PROC_000073,400,186.0,
,PROC_000074,400,186.0,
,PROC_000059,450,90.0,
,PROC_000060,450,160.0,
,PROC_000073,450,167.0,
,PROC_000074,450,167.0,
,PROC_000059,500,80.0,
,PROC_000060,500,150.0,
,PROC_000073,500,150.0,
,PROC_000074,500,150.0,
,PROC_000059,600,75.0,
,PROC_000060,600,140.0,
,PROC_000073,600,139.0,
,PROC_000074,600,139.0,
,PROC_000059,700,70.0,
,PROC_000060,700,130.0,
,PROC_000073,700,128.0,
,PROC_000074,700,128.0,
,PROC_000059,800,65.0,
,PROC_000060,800,120.0,
,PROC_000073,800,117.0,
,PROC_000074,800,117.0,
,PROC_000059,900,60.0,
,PROC_000060,900,110.0,
,PROC_000073,900,106.0,
,PROC_000074,900,106.0,
,PROC_000059,1000,60.0,
,PROC_000060,1000,100.0,
,PROC_000073,1000,95.0,
,PROC_000074,1000,95.0,
,PROC_000059,1200,58.0,
,PROC_000060,1200,95.0,
,PROC_000073,1200,93.0,
,PROC_000074,1200,93.0,
,PROC_000059,1400,56.0,
,PROC_000060,1400,90.0,
,PROC_000073,1400,91.0,
,PROC_000074,1400,91.0,
,PROC_000059,1600,54.0,
,PROC_000060,1600,85.0,
,PROC_000073,1600,89.0,
,PROC_000074,1600,89.0,
,PROC_000059,1800,52.0,
,PROC_000060,1800,80.0,
,PROC_000073,1800,87.0,
,PROC_000074,1800,87.0,
,PROC_000059,2000,50.0,
,PROC_000060,2000,75.0,
,PROC_000073,2000,85.0,
,PROC_000074,2000,85.0,
,PROC_000059,2500,48.0,
,PROC_000060,2500,70.0,
,PROC_000073,2500,79.0,
,PROC_000074,2500,79.0,
,PROC_000059,3000,46.0,
,PROC_000060,3000,65.0,
,PROC_000073,3000,73.0,
,PROC_000074,3000,73.0,
,PROC_000059,3500,44.0,
,PROC_000060,3500,60.0,
,PROC_000073,3500,67.0,
,PROC_000074,3500,67.0,
,PROC_000059,4000,42.0,
,PROC_000060,4000,55.0,
,PROC_000073,4000,61.0,
,PROC_000074,4000,61.0,
,PROC_000059,4500,41.0,
,PROC_000060,4500,50.0,
,PROC_000073,4500,56.0,
,PROC_000074,4500,56.0,
,PROC_000059,5000,40.0,
,PROC_000060,5000,50.0,
,PROC_000073,5000,50.0,
,PROC_000074,5000,50.0,
,PROC_000059,100000,40.0,
,PROC_000060,100000,50.0,
,PROC_000073,100000,50.0,
,PROC_000074,100000,50.0,
