적용일,판형사이즈,공정,앞면별색,뒷면별색,별색면수,수량(이상),단가,비고
,SIZ_000499,PROC_000011,,,1,80,1050.0,
,SIZ_000499,PROC_000011,,,2,80,2100.0,
,SIZ_000499,PROC_000012,,,1,80,1050.0,
,SIZ_000499,PROC_000012,,,2,80,2100.0,
,SIZ_000499,PROC_000008,,,1,90,850.0,
,SIZ_000499,PROC_000008,,,2,90,1700.0,
,SIZ_000499,PROC_000009,,,1,90,850.0,
,SIZ_000499,PROC_000009,,,2,90,1700.0,
,SIZ_000499,PROC_000010,,,1,90,1000.0,
,SIZ_000499,PROC_000010,,,2,90,2000.0,
,SIZ_000499,PROC_000011,,,1,90,1000.0,
,SIZ_000499,PROC_000011,,,2,90,2000.0,
,SIZ_000499,PROC_000012,,,1,90,1000.0,
,SIZ_000499,PROC_000012,,,2,90,2000.0,
,SIZ_000499,PROC_000008,,,1,100,800.0,
,SIZ_000499,PROC_000008,,,2,100,1600.0,
,SIZ_000499,PROC_000009,,,1,100,800.0,
,SIZ_000499,PROC_000009,,,2,100,1600.0,
,SIZ_000499,PROC_000010,,,1,100,950.0,
,SIZ_000499,PROC_000010,,,2,100,1900.0,
,SIZ_000499,PROC_000011,,,1,100,950.0,
,SIZ_000499,PROC_000011,,,2,100,1900.0,
,SIZ_000499,PROC_000012,,,1,100,950.0,
,SIZ_000499,PROC_000012,,,2,100,1900.0,
,SIZ_000499,PROC_000008,,,1,150,750.0,
,SIZ_000499,PROC_000008,,,2,150,1500.0,
,SIZ_000499,PROC_000009,,,1,150,750.0,
,SIZ_000499,PROC_000009,,,2,150,1500.0,
,SIZ_000499,PROC_000010,,,1,150,900.0,
,SIZ_000499,PROC_000010,,,2,150,1800.0,
,SIZ_000499,PROC_000011,,,1,150,900.0,
,SIZ_000499,PROC_000011,,,2,150,1800.0,
,SIZ_000499,PROC_000012,,,1,150,900.0,
,SIZ_000499,PROC_000012,,,2,150,1800.0,
,SIZ_000499,PROC_000008,,,1,200,700.0,
,SIZ_000499,PROC_000008,,,2,200,1400.0,
,SIZ_000499,PROC_000009,,,1,200,700.0,
,SIZ_000499,PROC_000009,,,2,200,1400.0,
,SIZ_000499,PROC_000010,,,1,200,850.0,
,SIZ_000499,PROC_000010,,,2,200,1700.0,
,SIZ_000499,PROC_000011,,,1,200,850.0,
,SIZ_000499,PROC_000011,,,2,200,1700.0,
,SIZ_000499,PROC_000012,,,1,200,850.0,
,SIZ_000499,PROC_000012,,,2,200,1700.0,
,SIZ_000499,PROC_000008,,,1,250,660.0,
,SIZ_000499,PROC_000008,,,2,250,1320.0,
,SIZ_000499,PROC_000009,,,1,250,660.0,
,SIZ_000499,PROC_000009,,,2,250,1320.0,
,SIZ_000499,PROC_000010,,,1,250,810.0,
,SIZ_000499,PROC_000010,,,2,250,1620.0,
,SIZ_000499,PROC_000011,,,1,250,810.0,
,SIZ_000499,PROC_000011,,,2,250,1620.0,
,SIZ_000499,PROC_000012,,,1,250,810.0,
,SIZ_000499,PROC_000012,,,2,250,1620.0,
,SIZ_000499,PROC_000008,,,1,300,620.0,
,SIZ_000499,PROC_000008,,,2,300,1240.0,
,SIZ_000499,PROC_000009,,,1,300,620.0,
,SIZ_000499,PROC_000009,,,2,300,1240.0,
,SIZ_000499,PROC_000010,,,1,300,770.0,
,SIZ_000499,PROC_000010,,,2,300,1540.0,
,SIZ_000499,PROC_000011,,,1,300,770.0,
,SIZ_000499,PROC_000011,,,2,300,1540.0,
,SIZ_000499,PROC_000012,,,1,300,770.0,
,SIZ_000499,PROC_000012,,,2,300,1540.0,
,SIZ_000499,PROC_000008,,,1,350,580.0,
,SIZ_000499,PROC_000008,,,2,350,1160.0,
,SIZ_000499,PROC_000009,,,1,350,580.0,
,SIZ_000499,PROC_000009,,,2,350,1160.0,
,SIZ_000499,PROC_000010,,,1,350,730.0,
,SIZ_000499,PROC_000010,,,2,350,1460.0,
,SIZ_000499,PROC_000011,,,1,350,730.0,
,SIZ_000499,PROC_000011,,,2,350,1460.0,
,SIZ_000499,PROC_000012,,,1,350,730.0,
,SIZ_000499,PROC_000012,,,2,350,1460.0,
,SIZ_000499,PROC_000008,,,1,400,540.0,
,SIZ_000499,PROC_000008,,,2,400,1080.0,
,SIZ_000499,PROC_000009,,,1,400,540.0,
,SIZ_000499,PROC_000009,,,2,400,1080.0,
,SIZ_000499,PROC_000010,,,1,400,690.0,
,SIZ_000499,PROC_000010,,,2,400,1380.0,
,SIZ_000499,PROC_000011,,,1,400,690.0,
,SIZ_000499,PROC_000011,,,2,400,1380.0,
,SIZ_000499,PROC_000012,,,1,400,690.0,
,SIZ_000499,PROC_000012,,,2,400,1380.0,
,SIZ_000499,PROC_000008,,,1,450,500.0,
,SIZ_000499,PROC_000008,,,2,450,1000.0,
,SIZ_000499,PROC_000009,,,1,450,500.0,
,SIZ_000499,PROC_000009,,,2,450,1000.0,
,SIZ_000499,PROC_000010,,,1,450,650.0,
,SIZ_000499,PROC_000010,,,2,450,1300.0,
,SIZ_000499,PROC_000011,,,1,450,650.0,
,SIZ_000499,PROC_000011,,,2,450,1300.0,
,SIZ_000499,PROC_000012,,,1,450,650.0,
,SIZ_000499,PROC_000012,,,2,450,1300.0,
,SIZ_000499,PROC_000008,,,1,500,460.0,
,SIZ_000499,PROC_000008,,,2,500,920.0,
,SIZ_000499,PROC_000009,,,1,500,460.0,
,SIZ_000499,PROC_000009,,,2,500,920.0,
,SIZ_000499,PROC_000010,,,1,500,610.0,
,SIZ_000499,PROC_000010,,,2,500,1220.0,
,SIZ_000499,PROC_000011,,,1,500,610.0,
,SIZ_000499,PROC_000011,,,2,500,1220.0,
,SIZ_000499,PROC_000012,,,1,500,610.0,
,SIZ_000499,PROC_000012,,,2,500,1220.0,
,SIZ_000499,PROC_000008,,,1,600,440.0,
,SIZ_000499,PROC_000008,,,2,600,880.0,
,SIZ_000499,PROC_000009,,,1,600,440.0,
,SIZ_000499,PROC_000009,,,2,600,880.0,
,SIZ_000499,PROC_000010,,,1,600,590.0,
,SIZ_000499,PROC_000010,,,2,600,1180.0,
,SIZ_000499,PROC_000011,,,1,600,590.0,
,SIZ_000499,PROC_000011,,,2,600,1180.0,
,SIZ_000499,PROC_000012,,,1,600,590.0,
,SIZ_000499,PROC_000012,,,2,600,1180.0,
,SIZ_000499,PROC_000008,,,1,700,420.0,
,SIZ_000499,PROC_000008,,,2,700,840.0,
,SIZ_000499,PROC_000009,,,1,700,420.0,
,SIZ_000499,PROC_000009,,,2,700,840.0,
,SIZ_000499,PROC_000010,,,1,700,570.0,
,SIZ_000499,PROC_000010,,,2,700,1140.0,
,SIZ_000499,PROC_000011,,,1,700,570.0,
,SIZ_000499,PROC_000011,,,2,700,1140.0,
,SIZ_000499,PROC_000012,,,1,700,570.0,
,SIZ_000499,PROC_000012,,,2,700,1140.0,
,SIZ_000499,PROC_000008,,,1,800,400.0,
,SIZ_000499,PROC_000008,,,2,800,800.0,
,SIZ_000499,PROC_000009,,,1,800,400.0,
,SIZ_000499,PROC_000009,,,2,800,800.0,
,SIZ_000499,PROC_000010,,,1,800,550.0,
,SIZ_000499,PROC_000010,,,2,800,1100.0,
,SIZ_000499,PROC_000011,,,1,800,550.0,
,SIZ_000499,PROC_000011,,,2,800,1100.0,
,SIZ_000499,PROC_000012,,,1,800,550.0,
,SIZ_000499,PROC_000012,,,2,800,1100.0,
,SIZ_000499,PROC_000008,,,1,900,380.0,
,SIZ_000499,PROC_000008,,,2,900,760.0,
,SIZ_000499,PROC_000009,,,1,900,380.0,
,SIZ_000499,PROC_000009,,,2,900,760.0,
,SIZ_000499,PROC_000010,,,1,900,530.0,
,SIZ_000499,PROC_000010,,,2,900,1060.0,
,SIZ_000499,PROC_000011,,,1,900,530.0,
,SIZ_000499,PROC_000011,,,2,900,1060.0,
,SIZ_000499,PROC_000012,,,1,900,530.0,
,SIZ_000499,PROC_000012,,,2,900,1060.0,
,SIZ_000499,PROC_000008,,,1,1000,360.0,
,SIZ_000499,PROC_000008,,,2,1000,720.0,
,SIZ_000499,PROC_000009,,,1,1000,360.0,
,SIZ_000499,PROC_000009,,,2,1000,720.0,
,SIZ_000499,PROC_000010,,,1,1000,510.0,
,SIZ_000499,PROC_000010,,,2,1000,1020.0,
,SIZ_000499,PROC_000011,,,1,1000,510.0,
,SIZ_000499,PROC_000011,,,2,1000,1020.0,
,SIZ_000499,PROC_000012,,,1,1000,510.0,
,SIZ_000499,PROC_000012,,,2,1000,1020.0,
,SIZ_000499,PROC_000008,,,1,1200,350.0,
,SIZ_000499,PROC_000008,,,2,1200,700.0,
,SIZ_000499,PROC_000009,,,1,1200,350.0,
,SIZ_000499,PROC_000009,,,2,1200,700.0,
,SIZ_000499,PROC_000010,,,1,1200,500.0,
,SIZ_000499,PROC_000010,,,2,1200,1000.0,
,SIZ_000499,PROC_000011,,,1,1200,500.0,
,SIZ_000499,PROC_000011,,,2,1200,1000.0,
,SIZ_000499,PROC_000012,,,1,1200,500.0,
,SIZ_000499,PROC_000012,,,2,1200,1000.0,
,SIZ_000499,PROC_000008,,,1,1400,350.0,
,SIZ_000499,PROC_000008,,,2,1400,700.0,
,SIZ_000499,PROC_000009,,,1,1400,350.0,
,SIZ_000499,PROC_000009,,,2,1400,700.0,
,SIZ_000499,PROC_000010,,,1,1400,500.0,
,SIZ_000499,PROC_000010,,,2,1400,1000.0,
,SIZ_000499,PROC_000011,,,1,1400,500.0,
,SIZ_000499,PROC_000011,,,2,1400,1000.0,
,SIZ_000499,PROC_000012,,,1,1400,500.0,
,SIZ_000499,PROC_000012,,,2,1400,1000.0,
,SIZ_000499,PROC_000008,,,1,1600,340.0,
,SIZ_000499,PROC_000008,,,2,1600,680.0,
,SIZ_000499,PROC_000009,,,1,1600,340.0,
,SIZ_000499,PROC_000009,,,2,1600,680.0,
,SIZ_000499,PROC_000010,,,1,1600,490.0,
,SIZ_000499,PROC_000010,,,2,1600,980.0,
,SIZ_000499,PROC_000011,,,1,1600,490.0,
,SIZ_000499,PROC_000011,,,2,1600,980.0,
,SIZ_000499,PROC_000012,,,1,1600,490.0,
,SIZ_000499,PROC_000012,,,2,1600,980.0,
,SIZ_000499,PROC_000008,,,1,1800,340.0,
,SIZ_000499,PROC_000008,,,2,1800,680.0,
,SIZ_000499,PROC_000009,,,1,1800,340.0,
,SIZ_000499,PROC_000009,,,2,1800,680.0,
,SIZ_000499,PROC_000010,,,1,1800,490.0,
,SIZ_000499,PROC_000010,,,2,1800,980.0,
,SIZ_000499,PROC_000011,,,1,1800,490.0,
,SIZ_000499,PROC_000011,,,2,1800,980.0,
,SIZ_000499,PROC_000012,,,1,1800,490.0,
,SIZ_000499,PROC_000012,,,2,1800,980.0,
,SIZ_000499,PROC_000008,,,1,2000,330.0,
,SIZ_000499,PROC_000008,,,2,2000,660.0,
,SIZ_000499,PROC_000009,,,1,2000,330.0,
,SIZ_000499,PROC_000009,,,2,2000,660.0,
,SIZ_000499,PROC_000010,,,1,2000,480.0,
,SIZ_000499,PROC_000010,,,2,2000,960.0,
,SIZ_000499,PROC_000011,,,1,2000,480.0,
,SIZ_000499,PROC_000011,,,2,2000,960.0,
,SIZ_000499,PROC_000012,,,1,2000,480.0,
,SIZ_000499,PROC_000012,,,2,2000,960.0,
,SIZ_000499,PROC_000008,,,1,2500,330.0,
,SIZ_000499,PROC_000008,,,2,2500,660.0,
,SIZ_000499,PROC_000009,,,1,2500,330.0,
,SIZ_000499,PROC_000009,,,2,2500,660.0,
,SIZ_000499,PROC_000010,,,1,2500,480.0,
,SIZ_000499,PROC_000010,,,2,2500,960.0,
,SIZ_000499,PROC_000011,,,1,2500,480.0,
,SIZ_000499,PROC_000011,,,2,2500,960.0,
,SIZ_000499,PROC_000012,,,1,2500,480.0,
,SIZ_000499,PROC_000012,,,2,2500,960.0,
,SIZ_000499,PROC_000008,,,1,3000,320.0,
,SIZ_000499,PROC_000008,,,2,3000,640.0,
,SIZ_000499,PROC_000009,,,1,3000,320.0,
,SIZ_000499,PROC_000009,,,2,3000,640.0,
,SIZ_000499,PROC_000010,,,1,3000,470.0,
,SIZ_000499,PROC_000010,,,2,3000,940.0,
,SIZ_000499,PROC_000011,,,1,3000,470.0,
,SIZ_000499,PROC_000011,,,2,3000,940.0,
,SIZ_000499,PROC_000012,,,1,3000,470.0,
,SIZ_000499,PROC_000012,,,2,3000,940.0,
,SIZ_000499,PROC_000008,,,1,3500,320.0,
,SIZ_000499,PROC_000008,,,2,3500,640.0,
,SIZ_000499,PROC_000009,,,1,3500,320.0,
,SIZ_000499,PROC_000009,,,2,3500,640.0,
,SIZ_000499,PROC_000010,,,1,3500,470.0,
,SIZ_000499,PROC_000010,,,2,3500,940.0,
,SIZ_000499,PROC_000011,,,1,3500,470.0,
,SIZ_000499,PROC_000011,,,2,3500,940.0,
,SIZ_000499,PROC_000012,,,1,3500,470.0,
,SIZ_000499,PROC_000012,,,2,3500,940.0,
,SIZ_000499,PROC_000008,,,1,4000,310.0,
,SIZ_000499,PROC_000008,,,2,4000,620.0,
,SIZ_000499,PROC_000009,,,1,4000,310.0,
,SIZ_000499,PROC_000009,,,2,4000,620.0,
,SIZ_000499,PROC_000010,,,1,4000,460.0,
,SIZ_000499,PROC_000010,,,2,4000,920.0,
,SIZ_000499,PROC_000011,,,1,4000,460.0,
,SIZ_000499,PROC_000011,,,2,4000,920.0,
,SIZ_000499,PROC_000012,,,1,4000,460.0,
,SIZ_000499,PROC_000012,,,2,4000,920.0,
,SIZ_000499,PROC_000008,,,1,4500,310.0,
,SIZ_000499,PROC_000008,,,2,4500,620.0,
,SIZ_000499,PROC_000009,,,1,4500,310.0,
,SIZ_000499,PROC_000009,,,2,4500,620.0,
,SIZ_000499,PROC_000010,,,1,4500,460.0,
,SIZ_000499,PROC_000010,,,2,4500,920.0,
,SIZ_000499,PROC_000011,,,1,4500,460.0,
,SIZ_000499,PROC_000011,,,2,4500,920.0,
,SIZ_000499,PROC_000012,,,1,4500,460.0,
,SIZ_000499,PROC_000012,,,2,4500,920.0,
,SIZ_000499,PROC_000008,,,1,5000,300.0,
,SIZ_000499,PROC_000008,,,2,5000,600.0,
,SIZ_000499,PROC_000009,,,1,5000,300.0,
,SIZ_000499,PROC_000009,,,2,5000,600.0,
,SIZ_000499,PROC_000010,,,1,5000,450.0,
,SIZ_000499,PROC_000010,,,2,5000,900.0,
,SIZ_000499,PROC_000011,,,1,5000,450.0,
,SIZ_000499,PROC_000011,,,2,5000,900.0,
,SIZ_000499,PROC_000012,,,1,5000,450.0,
,SIZ_000499,PROC_000012,,,2,5000,900.0,
,SIZ_000499,PROC_000008,,,1,6000,300.0,
,SIZ_000499,PROC_000008,,,2,6000,600.0,
,SIZ_000499,PROC_000009,,,1,6000,300.0,
,SIZ_000499,PROC_000009,,,2,6000,600.0,
,SIZ_000499,PROC_000010,,,1,6000,450.0,
,SIZ_000499,PROC_000010,,,2,6000,900.0,
,SIZ_000499,PROC_000011,,,1,6000,450.0,
,SIZ_000499,PROC_000011,,,2,6000,900.0,
,SIZ_000499,PROC_000012,,,1,6000,450.0,
,SIZ_000499,PROC_000012,,,2,6000,900.0,
,SIZ_000499,PROC_000008,,,1,7000,300.0,
,SIZ_000499,PROC_000008,,,2,7000,600.0,
,SIZ_000499,PROC_000009,,,1,7000,300.0,
,SIZ_000499,PROC_000009,,,2,7000,600.0,
,SIZ_000499,PROC_000010,,,1,7000,450.0,
,SIZ_000499,PROC_000010,,,2,7000,900.0,
,SIZ_000499,PROC_000011,,,1,7000,450.0,
,SIZ_000499,PROC_000011,,,2,7000,900.0,
,SIZ_000499,PROC_000012,,,1,7000,450.0,
,SIZ_000499,PROC_000012,,,2,7000,900.0,
,SIZ_000499,PROC_000008,,,1,8000,300.0,
,SIZ_000499,PROC_000008,,,2,8000,600.0,
,SIZ_000499,PROC_000009,,,1,8000,300.0,
,SIZ_000499,PROC_000009,,,2,8000,600.0,
,SIZ_000499,PROC_000010,,,1,8000,450.0,
,SIZ_000499,PROC_000010,,,2,8000,900.0,
,SIZ_000499,PROC_000011,,,1,8000,450.0,
