category,cell,col,row,type,raw,norm
08 문구,H4,H,4,product,만년다이어리(레더하드커버),만년다이어리레더하드커버
09 아크릴,I4,I,4,product,아크릴마그넷,아크릴마그넷
10 라이프,J4,J,4,product,컴팩트거울,컴팩트거울
11 에코백,K4,K,4,product,레더 슬림 파우치,레더슬림파우치
12 포장,L4,L,4,product,인쇄배경지(투명케이스타입),인쇄배경지투명케이스타입
01 엽서,A5,A,5,product,스탠다드엽서,스탠다드엽서
02 스티커,B5,B,5,product,반칼 자유형 홀로그램스티커,반칼자유형홀로그램스티커
03 인쇄홍보물,C5,C,5,product,스탠다드명함,스탠다드명함
04 포스터,D5,D,5,product,방수포스터,방수포스터
05 사인,E5,E,5,product,일반현수막,일반현수막
06 책자,F5,F,5,product,PUR책자,PUR책자
07 캘린더,G5,G,5,product,엽서캘린더,엽서캘린더
08 문구,H5,H,5,product,만년다이어리(소프트커버),만년다이어리소프트커버
09 아크릴,I5,I,5,product,아크릴뱃지,아크릴뱃지
10 라이프,J5,J,5,product,카드거울,카드거울
11 에코백,K5,K,5,product,레더 삼각 파우치,레더삼각파우치
12 포장,L5,L,5,product,인쇄헤더택,인쇄헤더택
01 엽서,A6,A,6,product,투명엽서,투명엽서
02 스티커,B6,B,6,product,소량 자유형 스티커,소량자유형스티커
03 인쇄홍보물,C6,C,6,product,펄명함,펄명함
04 포스터,D6,D,6,product,접착방수포스터,접착방수포스터
05 사인,E6,E,6,product,메쉬현수막,메쉬현수막
06 책자,F6,F,6,product,트윈링책자,트윈링책자
08 문구,H6,H,6,product,만년다이어리(하드커버),만년다이어리하드커버
09 아크릴,I6,I,6,product,아크릴집게,아크릴집게
10 라이프,J6,J,6,product,사각손거울,사각손거울
11 에코백,K6,K,6,product,레더 볼륨 파우치,레더볼륨파우치
01 엽서,A7,A,7,product,화이트인쇄엽서,화이트인쇄엽서
02 스티커,B7,B,7,product,낱장 자유형 스티커,낱장자유형스티커
03 인쇄홍보물,C7,C,7,product,투명명함,투명명함
04 포스터,D7,D,7,product,접착투명포스터,접착투명포스터
07 캘린더,G7,G,7,section,▶︎벽걸이캘린더,벽걸이캘린더
08 문구,H7,H,7,product,먼슬리플래너,먼슬리플래너
09 아크릴,I7,I,7,product,아크릴스마트톡,아크릴스마트톡
10 라이프,J7,J,7,product,블랙사각손거울,블랙사각손거울
11 에코백,K7,K,7,product,레더 스트링 파우치,레더스트링파우치
12 포장,L7,L,7,section,▶︎봉투/케이스,봉투케이스
01 엽서,A8,A,8,product,핑크별색엽서,핑크별색엽서
02 스티커,B8,B,8,product,낱장 자유형 투명스티커,낱장자유형투명스티커
03 인쇄홍보물,C8,C,8,product,화이트인쇄명함,화이트인쇄명함
05 사인,E8,E,8,section,▶︎시트커팅/스티커,시트커팅스티커
06 책자,F8,F,8,section,▶︎하드커버,하드커버
07 캘린더,G8,G,8,product,벽걸이캘린더,벽걸이캘린더
09 아크릴,I8,I,8,product,맥세이프 스마트톡,맥세이프스마트톡
11 에코백,K8,K,8,product,레더 스트링 원형파우치,레더스트링원형파우치
12 포장,L8,L,8,product,OPP접착봉투,OPP접착봉투
01 엽서,A9,A,9,product,금은별색엽서,금은별색엽서
02 스티커,B9,B,9,product,대형 자유형 스티커,대형자유형스티커
03 인쇄홍보물,C9,C,9,product,모양명함,모양명함
04 포스터,D9,D,9,section,▶︎패브릭포스터,패브릭포스터
05 사인,E9,E,9,product,무광시트커팅,무광시트커팅
06 책자,F9,F,9,product,하드커버책자,하드커버책자
07 캘린더,G9,G,9,product,와이드벽걸이캘린더,와이드벽걸이캘린더
09 아크릴,I9,I,9,product,아크릴명찰,아크릴명찰
10 라이프,J9,J,9,section,▶︎라이프,라이프
11 에코백,K9,K,9,product,레더 플랫 클러치,레더플랫클러치
12 포장,L9,L,9,product,OPP비접착봉투,OPP비접착봉투
01 엽서,A10,A,10,product,모양엽서,모양엽서
03 인쇄홍보물,C10,C,10,product,미니모양명함,미니모양명함
04 포스터,D10,D,10,product,아트패브릭포스터,아트패브릭포스터
05 사인,E10,E,10,product,홀로그램시트커팅,홀로그램시트커팅
06 책자,F10,F,10,product,레더하드커버책자,레더하드커버책자
08 문구,H10,H,10,section,▶︎노트,노트
09 아크릴,I10,I,10,product,골드실버아크릴명찰,골드실버아크릴명찰
10 라이프,J10,J,10,product,머그컵,머그컵
11 에코백,K10,K,10,product,레더 삼각 클러치,레더삼각클러치
12 포장,L10,L,10,product,투명케이스,투명케이스
02 스티커,B11,B,11,section,▶︎규격 스티커,규격스티커
03 인쇄홍보물,C11,C,11,product,오리지널박명함,오리지널박명함
04 포스터,D11,D,11,product,린넨패브릭포스터,린넨패브릭포스터
05 사인,E11,E,11,product,유광아크릴스티커,유광아크릴스티커
06 책자,F11,F,11,product,하드커버링책자,하드커버링책자
07 캘린더,G11,G,11,section,▶︎부자재,부자재
08 문구,H11,H,11,product,스프링노트,스프링노트
09 아크릴,I11,I,11,product,아크릴볼펜,아크릴볼펜
10 라이프,J11,J,11,product,아이스머그컵,아이스머그컵
11 에코백,K11,K,11,product,레더아이패드/노트북파우치,레더아이패드노트북파우치
12 포장,L11,L,11,product,카드봉투,카드봉투
01 엽서,A12,A,12,section,▶︎접지카드,접지카드
02 스티커,B12,B,12,product,반칼 원형 스티커,반칼원형스티커
03 인쇄홍보물,C12,C,12,product,형압명함,형압명함
04 포스터,D12,D,12,product,캔버스패브릭포스터,캔버스패브릭포스터
05 사인,E12,E,12,product,미러아크릴스티커,미러아크릴스티커
07 캘린더,G12,G,12,alias,→캘린더봉투,캘린더봉투
08 문구,H12,H,12,product,스프링수첩,스프링수첩
09 아크릴,I12,I,12,product,아크릴지비츠,아크릴지비츠
10 라이프,J12,J,12,product,레더코스터,레더코스터
12 포장,L12,L,12,product,트레싱지봉투,트레싱지봉투
01 엽서,A13,A,13,product,2단접지카드,2단접지카드
02 스티커,B13,B,13,product,반칼 정사각 스티커,반칼정사각스티커
05 사인,E13,E,13,alias,→대형스티커,대형스티커
06 책자,F13,F,13,section,▶︎포토북,포토북
07 캘린더,G13,G,13,alias,→우드거치대,우드거치대
08 문구,H13,H,13,product,메모패드,메모패드
09 아크릴,I13,I,13,product,아크릴네임택,아크릴네임택
10 라이프,J13,J,13,product,코르크코스터,코르크코스터
11 에코백,K13,K,13,section,▶︎패브릭파우치,패브릭파우치
12 포장,L13,L,13,product,캘린더봉투,캘린더봉투
01 엽서,A14,A,14,product,3단접지카드,3단접지카드
02 스티커,B14,B,14,product,반칼직사각스티커,반칼직사각스티커
03 인쇄홍보물,C14,C,14,section,▶︎전단지/리플랫,전단지리플랫
04 포스터,D14,D,14,section,▶︎아트프린트,아트프린트
06 책자,F14,F,14,product,심플모던포토북,심플모던포토북
07 캘린더,G14,G,14,alias,→우드행거,우드행거
08 문구,H14,H,14,product,중철노트,중철노트
09 아크릴,I14,I,14,product,아크릴포카키링,아크릴포카키링
10 라이프,J14,J,14,product,우드코스터,우드코스터
11 에코백,K14,K,14,product,캔버스 플랫 파우치,캔버스플랫파우치
01 엽서,A15,A,15,product,미니접지카드,미니접지카드
02 스티커,B15,B,15,product,반칼띠지스티커,반칼띠지스티커
03 인쇄홍보물,C15,C,15,product,소량전단지,소량전단지
04 포스터,D15,D,15,product,레더아트프린트,레더아트프린트
05 사인,E15,E,15,section,▶︎POP,POP
06 책자,F15,F,15,product,여행포토북,여행포토북
08 문구,H15,H,15,product,떡메모지,떡메모지
09 아크릴,I15,I,15,product,아크릴코스터,아크릴코스터
10 라이프,J15,J,15,product,규조토코스터,규조토코스터
11 에코백,K15,K,15,product,캔버스 삼각 파우치,캔버스삼각파우치
12 포장,L15,L,15,section,▶︎라벨/포장스티커,라벨포장스티커
01 엽서,A16,A,16,product,지그재그엽서,지그재그엽서
02 스티커,B16,B,16,product,반칼팬시스티커,반칼팬시스티커
03 인쇄홍보물,C16,C,16,product,접지리플렛,접지리플렛
04 포스터,D16,D,16,product,타이벡프린트,타이벡프린트
05 사인,E16,E,16,product,미니스탠딩보드,미니스탠딩보드
06 책자,F16,F,16,product,큐티키즈포토북,큐티키즈포토북
07 캘린더,G16,G,16,section,▶︎디자인캘린더,디자인캘린더
09 아크릴,I16,I,16,product,아크릴머리끈,아크릴머리끈
10 라이프,J16,J,16,product,린넨코스터,린넨코스터
11 에코백,K16,K,16,product,캔버스 스트랩 라벨파우치,캔버스스트랩라벨파우치
12 포장,L16,L,16,product,라벨/택,라벨택
02 스티커,B17,B,17,product,반칼팬시투명스티커,반칼팬시투명스티커
03 인쇄홍보물,C17,C,17,product,와이드접지리플랫,와이드접지리플랫
04 포스터,D17,D,17,product,메쉬프린트,메쉬프린트
05 사인,E17,E,17,product,미니배너,미니배너
07 캘린더,G17,G,17,product,탁상형캘린더,탁상형캘린더
08 문구,H17,H,17,section,▶︎홀더/클립보드,홀더클립보드
09 아크릴,I17,I,17,product,아크릴카라비너,아크릴카라비너
10 라이프,J17,J,17,alias,→아크릴코스터,아크릴코스터
11 에코백,K17,K,17,product,광목 스트링 라벨파우치,광목스트링라벨파우치
12 포장,L17,L,17,alias,→반칼원형스티커,반칼원형스티커
01 엽서,A18,A,18,section,▶︎엽서북,엽서북
02 스티커,B18,B,18,product,합판도무송스티커,합판도무송스티커
07 캘린더,G18,G,18,product,엽서캘린더,엽서캘린더
08 문구,H18,H,18,product,레더링바인더,레더링바인더
10 라이프,J18,J,18,product,워터북보틀,워터북보틀
11 에코백,K18,K,18,product,린넨 스트링 파우치,린넨스트링파우치
12 포장,L18,L,18,alias,→반칼띠지스티커,반칼띠지스티커
01 엽서,A19,A,19,product,엽서북,엽서북
03 인쇄홍보물,C19,C,19,section,▶︎쿠폰/상품권,쿠폰상품권
04 포스터,D19,D,19,section,▶︎보드액자,보드액자
07 캘린더,G19,G,19,product,벽걸이캘린더,벽걸이캘린더
08 문구,H19,H,19,product,클립보드,클립보드
09 아크릴,I19,I,19,section,▶︎조합형,조합형
10 라이프,J19,J,19,product,극세사클리너,극세사클리너
02 스티커,B20,B,20,section,▶︎특수스티커,특수스티커
03 인쇄홍보물,C20,C,20,product,스탠다드 쿠폰/상품권,스탠다드쿠폰상품권
04 포스터,D20,D,20,product,폼보드,폼보드
08 문구,H20,H,20,product,투명클립보드,투명클립보드
09 아크릴,I20,I,20,product,아크릴자유형스탠드,아크릴자유형스탠드
10 라이프,J20,J,20,product,극세사타월,극세사타월
11 에코백,K20,K,20,section,▶︎타이벡파우치,타이벡파우치
12 포장,L20,L,20,section,▶︎포장부자재,포장부자재
01 엽서,A21,A,21,section,▶︎포토카드,포토카드
02 스티커,B21,B,21,product,타투스티커,타투스티커
03 인쇄홍보물,C21,C,21,product,프리미엄 상품권/쿠폰,프리미엄상품권쿠폰
04 포스터,D21,D,21,product,포맥스보드,포맥스보드
09 아크릴,I21,I,21,product,판아크릴,판아크릴
10 라이프,J21,J,21,product,벨벳쿠션,벨벳쿠션
11 에코백,K21,K,21,product,타이벡 플랫 파우치,타이벡플랫파우치
12 포장,L21,L,21,product,자석고정용고무판,자석고정용고무판
01 엽서,A22,A,22,product,포토카드,포토카드
04 포스터,D22,D,22,product,프레임리스액자,프레임리스액자
08 문구,H22,H,22,section,▶︎데스크소품,데스크소품
09 아크릴,I22,I,22,product,아크릴포카스탠드,아크릴포카스탠드
10 라이프,J22,J,22,alias,→아크릴마그넷,아크릴마그넷
11 에코백,K22,K,22,product,타이벡 슬림 파우치,타이벡슬림파우치
01 엽서,A23,A,23,product,투명포토카드,투명포토카드
02 스티커,B23,B,23,section,▶︎스티커팩,스티커팩
03 인쇄홍보물,C23,C,23,section,▶︎봉투/홀더 외,봉투홀더외
04 포스터,D23,D,23,product,레더아트액자,레더아트액자
08 문구,H23,H,23,product,만년스탬프,만년스탬프
11 에코백,K23,K,23,product,타이벡 삼각 파우치,타이벡삼각파우치
12 포장,L23,L,23,section,▶︎상품액세서리,상품액세서리
01 엽서,A24,A,24,product,종이슬로건,종이슬로건
02 스티커,B24,B,24,product,스티커팩,스티커팩
03 인쇄홍보물,C24,C,24,product,봉투제작,봉투제작
04 포스터,D24,D,24,product,족자포스터,족자포스터
08 문구,H24,H,24,product,자석북마크,자석북마크
09 아크릴,I24,I,24,section,▶︎코롯토,코롯토
11 에코백,K24,K,24,product,타이벡 스트링 파우치,타이벡스트링파우치
12 포장,L24,L,24,product,우드거치대,우드거치대
01 엽서,A25,A,25,alias,→말랑 포카홀더,말랑포카홀더
03 인쇄홍보물,C25,C,25,alias,→만년스탬프,만년스탬프
04 포스터,D25,D,25,product,캔버스행잉포스터,캔버스행잉포스터
08 문구,H25,H,25,alias,→아크릴집게,아크릴집게
09 아크릴,I25,I,25,product,아크릴코롯토,아크릴코롯토
10 라이프,J25,J,25,section,▶︎여행/아웃도어,여행아웃도어
11 에코백,K25,K,25,product,타이벡 플랫 클러치,타이벡플랫클러치
12 포장,L25,L,25,product,우드행거,우드행거
01 엽서,A26,A,26,alias,→아크릴 포카스탠드,아크릴포카스탠드
03 인쇄홍보물,C26,C,26,alias,→아크릴명찰,아크릴명찰
04 포스터,D26,D,26,product,린넨 우드봉족자,린넨우드봉족자
08 문구,H26,H,26,product,초슬림 마우스패드,초슬림마우스패드
09 아크릴,I26,I,26,product,아크릴포카코롯토,아크릴포카코롯토
10 라이프,J26,J,26,product,래더여권케이스,래더여권케이스
12 포장,L26,L,26,product,와블러,와블러
08 문구,H27,H,27,product,장패드,장패드
09 아크릴,I27,I,27,product,아크릴쉐이커코롯토,아크릴쉐이커코롯토
10 라이프,J27,J,27,product,말랑여권케이스,말랑여권케이스
11 에코백,K27,K,27,section,▶︎메쉬파우치,메쉬파우치
12 포장,L27,L,27,product,볼체인,볼체인
08 문구,H28,H,28,product,틴케이스,틴케이스
10 라이프,J28,J,28,alias,→아크릴네임택,아크릴네임택
11 에코백,K28,K,28,product,메쉬슬림파우치,메쉬슬림파우치
12 포장,L28,L,28,product,와이어링,와이어링
08 문구,H29,H,29,alias,→아크릴볼펜,아크릴볼펜
09 아크릴,I29,I,29,section,▶︎액세서리,액세서리
10 라이프,J29,J,29,product,말랑 네임택,말랑네임택
11 에코백,K29,K,29,product,메쉬볼륨파우치,메쉬볼륨파우치
09 아크릴,I30,I,30,product,아크릴미니파츠,아크릴미니파츠
10 라이프,J30,J,30,product,미니매트,미니매트
10 라이프,J31,J,31,product,피크닉매트,피크닉매트
11 에코백,K31,K,31,section,▶︎미니파우치,미니파우치
10 라이프,J32,J,32,product,썬캡,썬캡
11 에코백,K32,K,32,product,레더 플랫 미니파우치,레더플랫미니파우치
10 라이프,J33,J,33,product,투명부채,투명부채
11 에코백,K33,K,33,product,레더 슬림 미니파우치,레더슬림미니파우치
11 에코백,K34,K,34,product,레더 삼각 미니파우치,레더삼각미니파우치
10 라이프,J35,J,35,section,▶︎기념품/액세서리,기념품액세서리
11 에코백,K35,K,35,product,레더 볼륨 미니파우치,레더볼륨미니파우치
10 라이프,J36,J,36,product,핀버튼,핀버튼
11 에코백,K36,K,36,product,레더 원형 미니파우치,레더원형미니파우치
10 라이프,J37,J,37,product,레더스트랩키링,레더스트랩키링
10 라이프,J38,J,38,alias,→아크릴뱃지,아크릴뱃지
11 에코백,K38,K,38,section,▶︎필통,필통
10 라이프,J39,J,39,alias,→아크릴키링,아크릴키링
11 에코백,K39,K,39,product,레더 플랫 필통,레더플랫필통
10 라이프,J40,J,40,alias,→아크릴네임택,아크릴네임택
11 에코백,K40,K,40,product,레더 슬림 필통,레더슬림필통
10 라이프,J41,J,41,product,말랑키링,말랑키링
11 에코백,K41,K,41,product,레더 삼각 필통,레더삼각필통
10 라이프,J42,J,42,product,말랑증사홀더,말랑증사홀더
11 에코백,K42,K,42,product,레더 볼륨 필통,레더볼륨필통
10 라이프,J43,J,43,product,말랑포카홀더,말랑포카홀더
11 에코백,K43,K,43,product,레더 원형 필통,레더원형필통
10 라이프,J44,J,44,product,키캡키링,키캡키링
11 에코백,K44,K,44,product,캔버스 플랫 필통,캔버스플랫필통
10 라이프,J45,J,45,product,LED키캡키링,LED키캡키링
11 에코백,K45,K,45,product,캔버스 삼각 필통,캔버스삼각필통
10 라이프,J46,J,46,product,미니CD앨범,미니CD앨범
11 에코백,K47,K,47,section,▶︎레더에코백,레더에코백
10 라이프,J48,J,48,section,▶︎응원/시즌,응원시즌
11 에코백,K48,K,48,product,레더토트백,레더토트백
10 라이프,J49,J,49,product,슬로건,슬로건
11 에코백,K49,K,49,product,레더숄더백,레더숄더백
10 라이프,J50,J,50,product,이미지피켓(우치와),이미지피켓우치와
10 라이프,J51,J,51,product,하트 이미지피켓,하트이미지피켓
11 에코백,K51,K,51,section,▶︎패브릭에코백,패브릭에코백
10 라이프,J52,J,52,product,미니우치와키링,미니우치와키링
11 에코백,K52,K,52,product,린넨 미니에코백,린넨미니에코백
10 라이프,J53,J,53,product,유니폼키링,유니폼키링
11 에코백,K53,K,53,product,린넨 토트백,린넨토트백
10 라이프,J54,J,54,product,우치와키링,우치와키링
11 에코백,K54,K,54,product,린넨 에코백,린넨에코백
10 라이프,J55,J,55,product,오마모리키링,오마모리키링
11 에코백,K55,K,55,product,캔버스 심플백,캔버스심플백
11 에코백,K56,K,56,product,캔버스 포켓심플백,캔버스포켓심플백
10 라이프,J57,J,57,section,▶︎패션,패션
11 에코백,K57,K,57,product,캔버스 포켓숄더백,캔버스포켓숄더백
10 라이프,J58,J,58,product,양말,양말
11 에코백,K58,K,58,product,캔버스 에코백,캔버스에코백
10 라이프,J59,J,59,product,반팔티셔츠,반팔티셔츠
11 에코백,K59,K,59,product,캔버스 숄더백,캔버스숄더백
10 라이프,J60,J,60,product,후드티셔츠,후드티셔츠
11 에코백,K61,K,61,section,▶︎타이벡에코백,타이벡에코백
10 라이프,J62,J,62,section,▶︎폰케이스&액세서리,폰케이스&액세서리
11 에코백,K62,K,62,product,타이벡 에코백,타이벡에코백
10 라이프,J63,J,63,product,밴드톡,밴드톡
11 에코백,K63,K,63,product,타이벡 보냉에코백,타이벡보냉에코백
10 라이프,J64,J,64,product,폰스트랩,폰스트랩
11 에코백,K64,K,64,product,타이벡 보냉미니백,타이벡보냉미니백
10 라이프,J65,J,65,alias,→아크릴 스마트톡,아크릴스마트톡
11 에코백,K65,K,65,product,타이벡보냉보틀백,타이벡보냉보틀백
10 라이프,J66,J,66,alias,→맥세이프 스마트톡,맥세이프스마트톡
11 에코백,K66,K,66,product,타이벡 양면 백팩,타이벡양면백팩
11 에코백,K68,K,68,section,▶︎메쉬에코백,메쉬에코백
11 에코백,K69,K,69,product,메쉬 토트백,메쉬토트백
11 에코백,K70,K,70,product,메쉬 에코백,메쉬에코백
11 에코백,K72,K,72,section,▶︎부자재,부자재
11 에코백,K73,K,73,product,레더라벨제작,레더라벨제작
