category,cell,col,row,type,raw,norm,sheet_grade,sheet_match,live_grade,live_prd_cd,live_opt_n,live_priced,status,reason
04 포스터,D17,D,17,product,메쉬프린트,메쉬프린트,exact,실사:메쉬프린트,exact,PRD_000128,0,Y,🟡신규출시,라이브 존재(PRD_000128)·결손:옵션0
05 사인,E17,E,17,product,미니배너,미니배너,exact,실사:미니배너,exact,PRD_000145,2,Y,✅정상등록가능,라이브 opt=2·price사슬=Y
07 캘린더,G17,G,17,product,탁상형캘린더,탁상형캘린더,exact,캘린더:탁상형캘린더,exact,PRD_000108,0,N,🟡신규출시,라이브 존재(PRD_000108)·결손:옵션0/가격사슬X
08 문구,H17,H,17,section,▶︎홀더/클립보드,홀더클립보드,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
09 아크릴,I17,I,17,product,아크릴카라비너,아크릴카라비너,exact,아크릴:아크릴카라비너,exact,PRD_000166,0,N,🟡신규출시,라이브 존재(PRD_000166)·결손:옵션0/가격사슬X
10 라이프,J17,J,17,alias,→아크릴코스터,아크릴코스터,exact,아크릴 코스터,exact,PRD_000159,,,◆교차참조,별칭(→) — 본체 타 카테고리
11 에코백,K17,K,17,product,광목 스트링 라벨파우치,광목스트링라벨파우치,exact,굿즈파우치:광목 스트링 라벨파우치,exact,PRD_000242,0,N,🟡신규출시,라이브 존재(PRD_000242)·결손:옵션0/가격사슬X
12 포장,L17,L,17,alias,→반칼원형스티커,반칼원형스티커,exact,반칼원형스티커,exact,PRD_000058,,,◆교차참조,별칭(→) — 본체 타 카테고리
01 엽서,A18,A,18,section,▶︎엽서북,엽서북,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
02 스티커,B18,B,18,product,합판도무송스티커,합판도무송스티커,exact,스티커:합판도무송스티커,exact,PRD_000066,7,Y,✅정상등록가능,라이브 opt=7·price사슬=Y
07 캘린더,G18,G,18,product,엽서캘린더,엽서캘린더,exact,캘린더:엽서캘린더,exact,PRD_000110,0,N,🟡신규출시,라이브 존재(PRD_000110)·결손:옵션0/가격사슬X
08 문구,H18,H,18,product,레더링바인더,레더링바인더,exact,책자:레더 링바인더,exact,PRD_000088,0,N,🟡신규출시,라이브 존재(PRD_000088)·결손:옵션0/가격사슬X
10 라이프,J18,J,18,product,워터북보틀,워터북보틀,exact,굿즈파우치:워터북보틀,exact,PRD_000194,0,N,🟡신규출시,라이브 존재(PRD_000194)·결손:옵션0/가격사슬X
