prd_cd,siz_cd,siz_nm,min_qty,max_qty,qty_incr,disp_seq,dflt_yn
PRD_000021,SIZ_000007,148x210,,,,1,Y
PRD_000021,SIZ_000004,135x135,,,,1,Y
PRD_000021,SIZ_000003,100x150,,,,1,Y
PRD_000022,SIZ_000002,98x98,,,,1,Y
PRD_000022,SIZ_000007,148x210,,,,1,Y
PRD_000022,SIZ_000004,135x135,,,,1,Y
PRD_000022,SIZ_000003,100x150,,,,1,Y
PRD_000023,SIZ_000119,90x90,,,,1,Y
PRD_000024,SIZ_000012,55x86,,,,1,Y
PRD_000025,SIZ_000012,55x86,,,,1,Y
PRD_000026,SIZ_000015,300x100,,,,1,Y
PRD_000026,SIZ_000016,400x145,,,,1,Y
PRD_000027,SIZ_000523,100x150,,,,1,Y
PRD_000027,SIZ_000124,150x100,,,,2,Y
PRD_000027,SIZ_000524,135x135,,,,3,Y
PRD_000027,SIZ_000525,135x135,,,,4,N
PRD_000027,SIZ_000526,110x170,,,,5,Y
PRD_000027,SIZ_000129,170x110,,,,6,Y
PRD_000028,SIZ_000133,86x52mm,,,,1,Y
PRD_000028,SIZ_000008,90x50mm,,,,1,Y
PRD_000028,SIZ_000132,50x90,,,,1,Y
PRD_000028,SIZ_000135,52x86,,,,1,Y
PRD_000029,SIZ_000004,135x135,,,,1,Y
PRD_000029,SIZ_000124,150x100,,,,1,Y
PRD_000029,SIZ_000523,100x150,,,,1,Y
PRD_000030,SIZ_000032,150x600,,,,1,Y
PRD_000030,SIZ_000031,600x150,,,,1,Y
PRD_000031,SIZ_000009,90x55mm,,,,1,Y
PRD_000031,SIZ_000133,86x52mm,,,,1,Y
PRD_000031,SIZ_000008,90x50mm,,,,1,Y
PRD_000032,SIZ_000008,90x50mm,,,,1,Y
PRD_000032,SIZ_000133,86x52mm,,,,1,Y
PRD_000033,SIZ_000133,86x52mm,,,,1,Y
PRD_000033,SIZ_000008,90x50mm,,,,1,Y
PRD_000034,SIZ_000008,90x50mm,,,,1,Y
PRD_000035,SIZ_000008,90x50mm,,,,1,Y
PRD_000036,SIZ_000011,50x50,,,,1,Y
PRD_000037,SIZ_000008,90x50mm,,,,1,Y
PRD_000038,SIZ_000008,90x50mm,,,,1,Y
PRD_000039,SIZ_000008,90x50mm,,,,1,Y
PRD_000040,SIZ_000008,90x50mm,,,,1,Y
PRD_000041,SIZ_000013,148x68,,,,1,Y
PRD_000041,SIZ_000014,148x75,,,,1,Y
PRD_000042,SIZ_000014,148x75,,,,1,Y
PRD_000042,SIZ_000013,148x68,,,,1,Y
PRD_000043,SIZ_000037,62x180,,,,1,Y
PRD_000043,SIZ_000033,76x100,,,,1,Y
PRD_000043,SIZ_000034,76x120,,,,1,Y
PRD_000043,SIZ_000035,86x120,,,,1,Y
PRD_000043,SIZ_000036,94x94,,,,1,Y
PRD_000043,SIZ_000038,105x160,,,,1,Y
PRD_000044,SIZ_000039,74x74,,,,1,Y
PRD_000044,SIZ_000041,74x109,,,,1,Y
PRD_000045,SIZ_000044,110x80,,,,1,Y
PRD_000045,SIZ_000043,80x80,,,,1,Y
PRD_000045,SIZ_000046,160x80,,,,1,Y
PRD_000045,SIZ_000045,140x80,,,,1,Y
PRD_000046,SIZ_000048,25x110,,,,1,Y
PRD_000046,SIZ_000047,40x80,,,,1,Y
PRD_000046,SIZ_000011,50x50,,,,1,Y
PRD_000047,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000047,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000047,SIZ_000172,A4(210x297mm),,,,1,Y
PRD_000047,SIZ_000176,A3+(300x440mm),,,,1,Y
PRD_000049,SIZ_000055,640x297,,,,1,Y
PRD_000050,SIZ_000191,225x193,,,,1,Y
PRD_000050,SIZ_000192,238x262,,,,2,N
PRD_000050,SIZ_000193,262x238,,,,3,N
PRD_000050,SIZ_000194,510x387,,,,4,N
PRD_000051,SIZ_000195,313x400,,,,1,Y
PRD_000052,SIZ_000520,A4(210x297mm) 반칼,,,,1,N
PRD_000052,SIZ_000057,A6 (105X148),,,,1,N
PRD_000052,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000053,SIZ_000520,A4(210x297mm) 반칼,,,,1,N
PRD_000053,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000053,SIZ_000057,A6 (105X148),,,,1,Y
PRD_000054,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000054,SIZ_000520,A4(210x297mm) 반칼,,,,1,Y
PRD_000055,SIZ_000174,A3(297x420mm),,,,1,N
PRD_000055,SIZ_000197,A2(420x594mm),,,,1,N
PRD_000055,SIZ_000172,A4(210x297mm),,,,1,Y
PRD_000056,SIZ_000197,A2(420x594mm),,,,1,Y
PRD_000056,SIZ_000172,A4(210x297mm),,,,1,Y
PRD_000056,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000056,SIZ_000515,B4 (257X364),,,,2,N
PRD_000056,SIZ_000514,B3 (364X515),,,,3,N
PRD_000057,SIZ_000199,400x600,,,,1,Y
PRD_000058,SIZ_000520,A4(210x297mm) 반칼,,,,1,N
PRD_000058,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000059,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000059,SIZ_000520,A4(210x297mm) 반칼,,,,1,Y
PRD_000060,SIZ_000520,A4(210x297mm) 반칼,,,,1,Y
PRD_000060,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000061,SIZ_000520,A4(210x297mm) 반칼,,,,1,Y
PRD_000061,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000062,SIZ_000060,90x190,,,,1,Y
PRD_000062,SIZ_000059,124x186,,,,1,Y
PRD_000062,SIZ_000058,100x140,,,,2,N
PRD_000063,SIZ_000059,124x186,,,,1,Y
PRD_000063,SIZ_000060,90x190,,,,1,Y
PRD_000064,SIZ_000064,94x50,,,,1,Y
PRD_000064,SIZ_000065,65x65,,,,1,Y
PRD_000064,SIZ_000043,80x80,,,,1,Y
PRD_000064,SIZ_000036,94x94,,,,1,Y
PRD_000064,SIZ_000063,50x94,,,,1,Y
PRD_000064,SIZ_000062,70x50,,,,1,Y
PRD_000064,SIZ_000061,50x70,,,,1,Y
PRD_000065,SIZ_000068,75x110,,,,1,Y
PRD_000066,SIZ_000222,정사각60x60mm(1EA),,,,1,Y
PRD_000066,SIZ_000224,직사각35x25mm(2EA),,,,1,Y
PRD_000066,SIZ_000226,직사각40x30mm(2EA),,,,1,Y
PRD_000066,SIZ_000228,직사각42x20mm(2EA),,,,1,Y
PRD_000066,SIZ_000230,직사각50x20mm(2EA),,,,1,Y
PRD_000066,SIZ_000232,직사각50x30mm(2EA),,,,1,Y
PRD_000066,SIZ_000249,직사각90x80mm(1EA),,,,1,Y
PRD_000066,SIZ_000240,직사각55x33mm(2EA),,,,1,Y
PRD_000066,SIZ_000242,직사각90x40mm(2EA),,,,1,Y
PRD_000066,SIZ_000244,직사각90x50mm(1EA),,,,1,Y
PRD_000066,SIZ_000238,직사각55x24mm(2EA),,,,1,Y
PRD_000066,SIZ_000245,직사각90x60mm(1EA),,,,1,Y
PRD_000066,SIZ_000247,직사각90x70mm(1EA),,,,1,Y
PRD_000066,SIZ_000236,직사각55x20mm(2EA),,,,1,Y
PRD_000066,SIZ_000234,직사각55x15mm(2EA),,,,1,Y
PRD_000066,SIZ_000212,정사각10x10mm(8EA),,,,1,Y
PRD_000066,SIZ_000213,정사각15x15mm(8EA),,,,1,Y
PRD_000066,SIZ_000214,정사각20x20mm(6EA),,,,1,Y
PRD_000066,SIZ_000215,정사각25x25mm(3EA),,,,1,Y
PRD_000066,SIZ_000216,정사각30x30mm(2EA),,,,1,Y
PRD_000066,SIZ_000217,정사각35x35mm(2EA),,,,1,Y
PRD_000066,SIZ_000218,정사각40x40mm(2EA),,,,1,Y
PRD_000066,SIZ_000219,정사각45x45mm(1EA),,,,1,Y
PRD_000066,SIZ_000220,정사각50x50mm(1EA),,,,1,Y
PRD_000066,SIZ_000221,정사각55x55mm(1EA),,,,1,Y
PRD_000066,SIZ_000223,정사각90x90mm(1EA),,,,1,Y
PRD_000066,SIZ_000501,원형10x10,,,,27,N
PRD_000066,SIZ_000502,원형15x15,,,,28,N
PRD_000066,SIZ_000503,원형20x20,,,,29,N
PRD_000066,SIZ_000504,원형25x25,,,,30,N
PRD_000066,SIZ_000505,원형30x30,,,,31,N
PRD_000066,SIZ_000422,원형35x35,,,,32,N
PRD_000066,SIZ_000506,원형40x40,,,,33,N
PRD_000066,SIZ_000507,원형45x45,,,,34,N
PRD_000066,SIZ_000508,원형50x50,,,,35,N
PRD_000066,SIZ_000509,원형55x55,,,,36,N
PRD_000066,SIZ_000510,원형60x60,,,,37,N
PRD_000067,SIZ_000060,90x190,,,,1,Y
PRD_000068,SIZ_000172,A4(210x297mm),,,,1,Y
PRD_000068,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000069,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000069,SIZ_000172,A4(210x297mm),,,,1,Y
PRD_000070,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000070,SIZ_000172,A4(210x297mm),,,,1,Y
PRD_000071,SIZ_000255,A4(297x210mm),,,,1,Y
PRD_000071,SIZ_000172,A4(210x297mm),,,,1,Y
PRD_000071,SIZ_000253,A5(210x148mm),,,,1,Y
PRD_000071,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000072,SIZ_000172,A4(210x297mm),,,,1,Y
PRD_000072,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000077,SIZ_000172,A4(210x297mm),,,,1,Y
PRD_000077,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000082,SIZ_000253,A5(210x148mm),,,,1,Y
PRD_000082,SIZ_000172,A4(210x297mm),,,,1,Y
PRD_000082,SIZ_000255,A4(297x210mm),,,,1,Y
PRD_000082,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000088,SIZ_000258,A4 (210x297mm),,,,1,Y
PRD_000094,SIZ_000004,135x135,,,,1,Y
PRD_000094,SIZ_000124,150x100,,,,1,Y
PRD_000094,SIZ_000003,100x150,,,,1,Y
PRD_000095,SIZ_000003,100x150,,,,1,Y
PRD_000095,SIZ_000004,135x135,,,,2,N
PRD_000095,SIZ_000124,150x100,,,,3,N
PRD_000096,SIZ_000003,100x150,,,,1,Y
PRD_000096,SIZ_000004,135x135,,,,2,N
PRD_000096,SIZ_000124,150x100,,,,3,N
PRD_000097,SIZ_000119,90x90,,,,1,Y
PRD_000097,SIZ_000266,70x120,,,,1,Y
PRD_000100,SIZ_000274,10x10(250x250mm),,,,1,Y
PRD_000100,SIZ_000172,A4(210x297mm),,,,1,Y
PRD_000100,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000100,SIZ_000269,8x8(200x200mm),,,,1,Y
PRD_000108,SIZ_000069,220x145,,,,1,Y
PRD_000108,SIZ_000070,130x220,,,,1,Y
PRD_000109,SIZ_000071,148x60,,,,1,Y
PRD_000109,SIZ_000018,90x100,,,,1,Y
PRD_000110,SIZ_000070,130x220,,,,1,Y
PRD_000110,SIZ_000072,145x145,,,,1,Y
PRD_000110,SIZ_000073,220x130,,,,1,Y
PRD_000110,SIZ_000069,220x145,,,,1,Y
PRD_000110,SIZ_000007,148x210,,,,1,Y
PRD_000110,SIZ_000074,145x300,,,,1,Y
PRD_000111,SIZ_000050,A4 (210X297),,,,1,Y
PRD_000111,SIZ_000075,210x420,,,,1,Y
PRD_000111,SIZ_000076,300x420,,,,1,Y
PRD_000112,SIZ_000077,300x625,,,,1,Y
PRD_000118,SIZ_000315,A3 (297x420mm),,,,1,Y
PRD_000118,SIZ_000198,A2 (420X594mm),,,,1,Y
PRD_000118,SIZ_000294,A1 (594X841mm),,,,1,Y
PRD_000119,SIZ_000293,A1(594x841mm),,,,1,Y
PRD_000119,SIZ_000197,A2(420x594mm),,,,1,Y
PRD_000119,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000120,SIZ_000293,A1(594x841mm),,,,1,Y
PRD_000120,SIZ_000197,A2(420x594mm),,,,1,Y
PRD_000120,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000121,SIZ_000197,A2(420x594mm),,,,1,Y
PRD_000121,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000121,SIZ_000293,A1(594x841mm),,,,1,Y
PRD_000122,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000122,SIZ_000293,A1(594x841mm),,,,1,Y
PRD_000122,SIZ_000197,A2(420x594mm),,,,1,Y
PRD_000123,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000123,SIZ_000293,A1(594x841mm),,,,1,Y
PRD_000123,SIZ_000197,A2(420x594mm),,,,1,Y
PRD_000124,SIZ_000542,A3세로 (297x420mm),,,,2,N
PRD_000124,SIZ_000543,A3가로 (420x297mm),,,,3,N
PRD_000124,SIZ_000544,A2세로 (420x594mm),,,,4,N
PRD_000124,SIZ_000545,A2가로(594x420mm),,,,5,N
PRD_000124,SIZ_000546,A1세로(594x841mm),,,,6,N
PRD_000124,SIZ_000547,A1가로 (841x594mm),,,,7,N
PRD_000125,SIZ_000293,A1(594x841mm),,,,1,Y
PRD_000125,SIZ_000197,A2(420x594mm),,,,1,Y
PRD_000125,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000126,SIZ_000293,A1(594x841mm),,,,1,Y
PRD_000126,SIZ_000197,A2(420x594mm),,,,1,Y
PRD_000126,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000127,SIZ_000293,A1(594x841mm),,,,1,Y
PRD_000127,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000127,SIZ_000197,A2(420x594mm),,,,1,Y
PRD_000128,SIZ_000293,A1(594x841mm),,,,1,Y
PRD_000128,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000128,SIZ_000197,A2(420x594mm),,,,1,Y
PRD_000129,SIZ_000198,A2 (420X594mm),,,,1,Y
PRD_000129,SIZ_000315,A3 (297x420mm),,,,1,Y
PRD_000130,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000130,SIZ_000197,A2(420x594mm),,,,1,Y
PRD_000131,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000131,SIZ_000197,A2(420x594mm),,,,1,Y
PRD_000132,SIZ_000304,5x5(127x127mm),,,,1,Y
PRD_000132,SIZ_000306,5x7(127x178mm),,,,1,Y
PRD_000132,SIZ_000308,8x8(203x203mm),,,,1,Y
PRD_000132,SIZ_000310,8x10(203x254mm),,,,1,Y
PRD_000132,SIZ_000172,A4(210x297mm),,,,1,Y
PRD_000132,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000133,SIZ_000172,A4(210x297mm),,,,1,Y
PRD_000133,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000133,SIZ_000197,A2(420x594mm),,,,1,Y
PRD_000134,SIZ_000258,A4 (210x297mm),,,,1,Y
PRD_000134,SIZ_000315,A3 (297x420mm),,,,1,Y
PRD_000134,SIZ_000317,A2,,,,1,Y
PRD_000135,SIZ_000319,300x600,,,,1,Y
PRD_000135,SIZ_000294,A1 (594X841mm),,,,1,Y
PRD_000135,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000135,SIZ_000197,A2(420x594mm),,,,1,Y
PRD_000135,SIZ_000320,900x1200,,,,1,Y
PRD_000136,SIZ_000321,600x1800mm,,,,1,Y
PRD_000137,SIZ_000321,600x1800mm,,,,1,Y
PRD_000138,SIZ_000322,5000x900,,,,1,Y
PRD_000139,SIZ_000320,900x1200,,,,1,Y
PRD_000139,SIZ_000322,5000x900,,,,1,Y
PRD_000139,SIZ_000323,900x900,,,,1,Y
PRD_000140,SIZ_000258,A4 (210x297mm),,,,1,Y
PRD_000140,SIZ_000198,A2 (420X594mm),,,,1,Y
PRD_000140,SIZ_000315,A3 (297x420mm),,,,1,Y
PRD_000141,SIZ_000197,A2(420x594mm),,,,1,Y
PRD_000141,SIZ_000172,A4(210x297mm),,,,1,Y
PRD_000141,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000142,SIZ_000324,290x90mm,,,,1,Y
PRD_000142,SIZ_000326,390x290mm,,,,1,Y
PRD_000142,SIZ_000327,590x390mm,,,,1,Y
PRD_000142,SIZ_000325,290x190mm,,,,1,Y
PRD_000143,SIZ_000324,290x90mm,,,,1,Y
PRD_000143,SIZ_000326,390x290mm,,,,1,Y
PRD_000143,SIZ_000325,290x190mm,,,,1,Y
PRD_000143,SIZ_000327,590x390mm,,,,1,Y
PRD_000144,SIZ_000172,A4(210x297mm),,,,1,Y
PRD_000144,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000144,SIZ_000174,A3(297x420mm),,,,1,Y
PRD_000145,SIZ_000028,150x300,,,,1,Y
PRD_000145,SIZ_000328,180x420,,,,1,Y
PRD_000146,SIZ_000333,40x40,,,,1,Y
PRD_000146,SIZ_000011,50x50,,,,1,Y
PRD_000146,SIZ_000335,40x60,,,,1,Y
PRD_000146,SIZ_000334,40x50,,,,1,Y
PRD_000146,SIZ_000332,30x70,,,,1,Y
PRD_000146,SIZ_000331,30x40,,,,1,Y
PRD_000146,SIZ_000330,30x30,,,,1,Y
PRD_000146,SIZ_000329,20x30,,,,1,Y
PRD_000147,SIZ_000336,20x20,,,,1,Y
PRD_000147,SIZ_000330,30x30,,,,1,Y
PRD_000147,SIZ_000331,30x40,,,,1,Y
PRD_000147,SIZ_000333,40x40,,,,1,Y
PRD_000147,SIZ_000334,40x50,,,,1,Y
PRD_000147,SIZ_000011,50x50,,,,1,Y
PRD_000147,SIZ_000148,60x60,,,,1,Y
PRD_000148,SIZ_000330,30x30,,,,1,Y
PRD_000148,SIZ_000333,40x40,,,,1,Y
PRD_000148,SIZ_000011,50x50,,,,1,Y
PRD_000149,SIZ_000330,30x30,,,,1,Y
PRD_000149,SIZ_000333,40x40,,,,1,Y
PRD_000149,SIZ_000011,50x50,,,,1,Y
PRD_000150,SIZ_000011,50x50,,,,1,Y
PRD_000150,SIZ_000148,60x60,,,,1,Y
PRD_000150,SIZ_000344,70x60,,,,1,Y
PRD_000151,SIZ_000148,60x60,,,,1,Y
PRD_000151,SIZ_000011,50x50,,,,1,Y
PRD_000151,SIZ_000344,70x60,,,,1,Y
PRD_000152,SIZ_000346,60x20,,,,1,Y
PRD_000152,SIZ_000348,70x25,,,,1,Y
PRD_000152,SIZ_000350,80x30,,,,1,Y
PRD_000153,SIZ_000350,80x30,,,,1,Y
PRD_000153,SIZ_000346,60x20,,,,1,Y
PRD_000153,SIZ_000348,70x25,,,,1,Y
PRD_000154,SIZ_000330,30x30,,,,1,Y
PRD_000154,SIZ_000336,20x20,,,,1,Y
PRD_000154,SIZ_000333,40x40,,,,1,Y
PRD_000155,SIZ_000330,30x30,,,,1,Y
PRD_000155,SIZ_000336,20x20,,,,1,Y
PRD_000155,SIZ_000333,40x40,,,,1,Y
PRD_000156,SIZ_000330,30x30,,,,1,Y
PRD_000156,SIZ_000352,15x15,,,,1,Y
PRD_000156,SIZ_000336,20x20,,,,1,Y
PRD_000156,SIZ_000353,25x25,,,,1,Y
PRD_000156,SIZ_000354,35x35,,,,1,Y
PRD_000157,SIZ_000012,55x86,,,,1,Y
PRD_000157,SIZ_000148,60x60,,,,1,Y
PRD_000158,SIZ_000012,55x86,,,,1,Y
PRD_000159,SIZ_000355,100x100mm원형,,,,1,Y
PRD_000159,SIZ_000356,100x100mm사각,,,,1,Y
PRD_000160,SIZ_000360,120x150,,,,1,Y
PRD_000160,SIZ_000357,120x60,,,,1,Y
PRD_000160,SIZ_000358,120x90,,,,1,Y
PRD_000160,SIZ_000359,120x120,,,,1,Y
PRD_000160,SIZ_000361,120x180,,,,1,Y
PRD_000161,SIZ_000359,120x120,,,,1,Y
PRD_000161,SIZ_000361,120x180,,,,1,Y
PRD_000162,SIZ_000364,68x103,,,,1,Y
PRD_000163,SIZ_000365,120x50,,,,1,Y
PRD_000164,SIZ_000211,70x70,,,,1,Y
PRD_000164,SIZ_000330,30x30,,,,1,Y
PRD_000164,SIZ_000333,40x40,,,,1,Y
PRD_000164,SIZ_000011,50x50,,,,1,Y
PRD_000164,SIZ_000148,60x60,,,,1,Y
PRD_000164,SIZ_000043,80x80,,,,1,Y
PRD_000165,SIZ_000012,55x86,,,,1,Y
PRD_000166,SIZ_000366,40x69mm자물쇠,,,,1,Y
PRD_000166,SIZ_000369,68x70mm원형,,,,1,Y
PRD_000166,SIZ_000368,59x54mm하트,,,,1,Y
PRD_000166,SIZ_000367,43x71mm하트자물쇠,,,,1,Y
PRD_000169,SIZ_000043,80x80,,,,1,Y
PRD_000169,SIZ_000003,100x150,,,,1,Y
PRD_000170,SIZ_000011,50x50,,,,1,Y
PRD_000170,SIZ_000374,60x110,,,,1,Y
PRD_000170,SIZ_000373,60x100,,,,1,Y
PRD_000170,SIZ_000372,60x90mm,,,,1,Y
PRD_000170,SIZ_000371,60x80,,,,1,Y
PRD_000170,SIZ_000370,60x70,,,,1,Y
PRD_000172,SIZ_000375,130x190,,,,1,Y
PRD_000173,SIZ_000375,130x190,,,,1,Y
PRD_000174,SIZ_000375,130x190,,,,1,Y
PRD_000175,SIZ_000375,130x190,,,,1,Y
PRD_000176,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000177,SIZ_000170,A5(148x210mm),,,,1,Y
PRD_000178,SIZ_000377,90x145,,,,1,Y
PRD_000179,SIZ_000380,B5 (182X257),,,,1,Y
PRD_000179,SIZ_000379,144x206,,,,1,Y
PRD_000180,SIZ_000379,144x206,,,,1,Y
PRD_000181,SIZ_000196,A6(105x148mm),,,,1,Y
PRD_000186,SIZ_000388,L(120x218mm),,,,1,Y
PRD_000186,SIZ_000386,M(95x166mm),,,,1,Y
PRD_000186,SIZ_000384,S(75x130mm),,,,1,Y
PRD_000187,SIZ_000384,S(75x130mm),,,,1,Y
PRD_000187,SIZ_000386,M(95x166mm),,,,1,Y
PRD_000187,SIZ_000388,L(120x218mm),,,,1,Y
PRD_000197,SIZ_000396,45x45cm,,,,1,Y
PRD_000198,SIZ_000399,100x70cm(1인용),,,,1,Y
PRD_000198,SIZ_000402,100x150cm(2인용),,,,1,Y
PRD_000202,SIZ_000406,2x2구,,,,1,Y
PRD_000215,SIZ_000415,A4용(230x330mm),,,,1,Y
PRD_000215,SIZ_000413,A5용(164x230mm),,,,1,Y
PRD_000217,SIZ_000419,원형13x13,,,,1,Y
PRD_000217,SIZ_000424,사각67x32,,,,1,Y
PRD_000217,SIZ_000423,사각30x30,,,,1,Y
PRD_000217,SIZ_000422,원형35x35,,,,1,Y
PRD_000217,SIZ_000421,원형24x24,,,,1,Y
PRD_000217,SIZ_000420,원형19x19,,,,1,Y
PRD_000217,SIZ_000425,사각78x28,,,,1,Y
PRD_000218,SIZ_000426,A5 (148x210),,,,1,Y
PRD_000230,SIZ_000433,220x300,,,,1,Y
PRD_000230,SIZ_000434,260x340,,,,2,N
PRD_000231,SIZ_000435,220x294,,,,1,Y
PRD_000231,SIZ_000436,260x374,,,,2,N
PRD_000232,SIZ_000437,440x160,,,,1,Y
PRD_000232,SIZ_000438,520x200,,,,2,N
PRD_000241,SIZ_000448,70x100,,,,1,Y
PRD_000242,SIZ_000246,100x70,,,,1,Y
PRD_000242,SIZ_000449,100x40,,,,1,Y
PRD_000280,SIZ_000492,레더15x30,,,,1,Y
PRD_000280,SIZ_000494,레더20x40,,,,1,Y
PRD_000280,SIZ_000496,레더30x50,,,,1,Y
PRD_000281,SIZ_000500,165x115,,,,2,N
PRD_000282,SIZ_000500,165x115,,,,1,N
PRD_000283,SIZ_000102,70x100mm,,,,1,N
PRD_000283,SIZ_000083,100x100mm,,,,2,N
PRD_000283,SIZ_000096,160x110mm,,,,3,Y
PRD_000284,SIZ_000170,A5(148x210mm),,,,1,Y
