prd_cd,prd_nm,min_qty,max_qty,qty_incr,dflt_qty
PRD_000181,중철노트,4,500,4,
PRD_000183,틴거울,1,10000,1,
PRD_000184,컴팩트거울,1,10000,1,
PRD_000185,카드거울,3,10000,3,
PRD_000186,사각손거울,1,10000,1,
PRD_000187,블랙사각손거울,1,10000,1,
PRD_000188,레더코스터,1,10000,1,
PRD_000189,코르크코스터,1,10000,1,
PRD_000190,우드코스터,1,10000,1,
PRD_000191,린넨패브릭코스터,1,10000,1,
PRD_000192,규조토코스터,1,10000,1,
PRD_000193,머그컵,1,10000,1,
PRD_000194,워터북보틀,1,10000,1,
PRD_000195,벨벳쿠션,1,10000,1,
PRD_000196,레더여권케이스,1,10000,1,
PRD_000197,미니매트,1,10000,1,
PRD_000198,피크닉매트,1,10000,1,
PRD_000199,투명부채,1,10000,1,
PRD_000200,핀버튼,4,10000,4,
PRD_000201,레더스트랩키링,1,10000,1,
PRD_000202,키캡키링,1,10000,1,
PRD_000203,LED투명키캡키링,1,10000,1,
PRD_000204,미니CD앨범,1,10000,1,
PRD_000205,양말,1,10000,1,
PRD_000206,반팔티셔츠,1,10000,1,
PRD_000207,극세사타월,,,,
PRD_000208,슬로건,1,10000,1,
PRD_000209,후드티셔츠,1,10000,1,
PRD_000210,초슬림마우스패드,1,10000,1,
PRD_000211,장패드,,,,
PRD_000212,극세사클리너,1,10000,1,
PRD_000213,틴케이스,1,10000,1,
PRD_000214,자석북마크,1,10000,1,
PRD_000215,클립보드,1,10000,1,
PRD_000216,투명클립보드,1,10000,1,
PRD_000217,만년스탬프,1,10000,1,
PRD_000218,타이벡북커버,,,,
PRD_000219,밴드톡,1,10000,1,
PRD_000220,폰스트랩,1,10000,1,
PRD_000221,말랑키링,1,10000,1,
PRD_000222,말랑증사홀더,1,10000,1,
PRD_000223,말랑포카홀더,1,10000,1,
PRD_000224,말랑네임택,1,10000,1,
PRD_000225,말랑여권케이스,1,10000,1,
PRD_000226,아크릴쉐이커코롯토,1,10000,1,
PRD_000227,미니우치와키링,1,10000,1,
PRD_000228,하트 이미지피켓,1,10000,1,
PRD_000229,이미지피켓,1,10000,1,
PRD_000230,레더 플랫 파우치,1,10000,1,
PRD_000231,레더 슬림 파우치,1,10000,1,
PRD_000232,레더 삼각 파우치,1,10000,1,
PRD_000233,레더 볼륨 파우치,1,10000,1,
PRD_000234,레더 스트링 파우치,1,10000,1,
PRD_000235,레더 스트링 원형파우치,1,10000,1,
PRD_000236,레더 플랫 클러치,1,10000,1,
PRD_000237,레더 삼각 클러치,1,10000,1,
PRD_000238,레더 아이패드/노트북 파우치,1,10000,1,
PRD_000239,캔버스 플랫 파우치,1,10000,1,
PRD_000240,캔버스 삼각 파우치,1,10000,1,
PRD_000241,캔버스 스트랩 라벨파우치,1,10000,1,
PRD_000242,광목 스트링 라벨파우치,1,10000,1,
PRD_000243,린넨 스트링 파우치,1,10000,1,
PRD_000244,타이벡 플랫 파우치,1,10000,1,
PRD_000245,타이벡 슬림 파우치,1,10000,1,
PRD_000246,타이벡 삼각 파우치,1,10000,1,
PRD_000247,타이벡 스트링 파우치,1,10000,1,
PRD_000248,타이벡 플랫 클러치,1,10000,1,
PRD_000249,메쉬슬림파우치,1,10000,1,
PRD_000250,메쉬볼륨파우치,1,10000,1,
PRD_000251,레더 플랫 미니파우치,1,10000,1,
PRD_000252,레더 슬림 미니파우치,1,10000,1,
PRD_000253,레더 삼각 미니파우치,1,10000,1,
PRD_000254,레더 볼륨 미니파우치,1,10000,1,
PRD_000255,레더 원형 미니파우치,1,10000,1,
PRD_000256,레더 플랫 필통,1,10000,1,
PRD_000257,레더 슬림 필통,1,10000,1,
PRD_000258,레더 삼각 필통,1,10000,1,
PRD_000259,레더 볼륨 필통,1,10000,1,
PRD_000260,레더 원형 필통,1,10000,1,
PRD_000261,캔버스 플랫 필통,1,10000,1,
PRD_000262,캔버스 삼각 필통,1,10000,1,
PRD_000263,레더토트백,1,10000,1,
PRD_000264,레더숄더백,1,10000,1,
PRD_000265,린넨 미니에코백,1,10000,1,
PRD_000266,린넨 토트백,1,10000,1,
PRD_000267,린넨 에코백,1,10000,1,
PRD_000268,캔버스심플백,1,10000,1,
PRD_000269,캔버스 포켓심플백,1,10000,1,
PRD_000270,캔버스에코백,1,10000,1,
PRD_000271,캔버스숄더백,1,10000,1,
PRD_000272,캔버스 포켓숄더백,1,10000,1,
PRD_000273,타이벡 양면 백팩,1,10000,1,
PRD_000274,타이벡보냉보틀백,1,10000,1,
PRD_000275,타이벡 보냉 미니백,1,10000,1,
PRD_000276,타이벡 에코백,1,10000,1,
PRD_000277,타이벡 보냉에코백,1,10000,1,
PRD_000278,메쉬 토트백,1,10000,1,
PRD_000279,메쉬에코백,1,10000,1,
PRD_000280,레더라벨제작,10,10000,10,
PRD_000283,트레싱지봉투,,,,
PRD_000284,하드커버책자-내지,,,,
PRD_000285,레더 하드커버책자-내지,,,,
PRD_000286,하드커버 링책자-내지,,,,
PRD_000287,중철책자-내지,,,,
PRD_000288,중철책자-표지,,,,
PRD_000289,무선책자-내지,,,,
PRD_000290,무선책자-표지,,,,
PRD_000291,PUR책자-내지,,,,
PRD_000292,PUR책자-표지,,,,
PRD_000293,만년다이어리(소프트커버)-표지(아트250+무광코팅),,,,
PRD_000294,만년다이어리(하드커버)-표지(아트250+무광코팅),,,,
PRD_000295,만년다이어리(하드커버)-면지,,,,
PRD_000296,만년다이어리(레더하드커버)-표지(레더),,,,
PRD_000297,만년다이어리(레더하드커버)-면지,,,,
PRD_000298,만년다이어리(레더소프트커버)-표지(레더),,,,
PRD_000299,먼슬리플래너-표지(아트250+무광코팅),,,,
PRD_000300,먼슬리플래너-내지(백모조100),,,,
PRD_000301,스프링노트-표지(아트250+무광코팅),,,,
PRD_000302,스프링노트-내지(무지),,,,
PRD_000303,스프링수첩-표지(아트250+무광코팅),,,,
PRD_000304,스프링수첩-내지(무지),,,,
PRD_000305,메모패드-표지(아트250+무광코팅),,,,
PRD_000306,메모패드-내지(무지),,,,
PRD_000307,중철노트-표지(아트250+무광코팅),,,,
PRD_000308,중철노트-내지(무지),,,,
