MAT_000132	그문드컬러매트 블루300	MAT_TYPE.01	디지털인쇄용지						0	0	N	Y
MAT_000133	마테리카 클레이 360g	MAT_TYPE.01	디지털인쇄용지						0	0	N	Y
MAT_000134	마테리카테라로사360	MAT_TYPE.01	디지털인쇄용지						0	0	N	Y
MAT_000135	리메이크스카이380	MAT_TYPE.01	디지털인쇄용지						0	0	N	Y
MAT_000136	뉴에코블랙 400g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			0	1	Y	Y
MAT_000137	큐리어스스킨 화이트 270g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			1	5	Y	Y
MAT_000138	큐리어스스킨 레드 270g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			3	1	Y	Y
MAT_000139	큐리어스스킨 다크블루 270g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			3	1	Y	Y
MAT_000140	큐리어스스킨 바이올렛 270g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			3	1	Y	Y
MAT_000141	큐리어스스킨 블랙 270g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			3	1	Y	Y
MAT_000142	유니크라프트 260g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			0	1	Y	Y
MAT_000144	투명 PET 260g	MAT_TYPE.01	디지털인쇄용지	MAT_000143	315.00	467.00			0	0	N	Y
MAT_000145	투명 PET 350g	MAT_TYPE.01	디지털인쇄용지	MAT_000143	315.00	467.00			0	0	N	Y
MAT_000147	반투명 PET 260g	MAT_TYPE.01	디지털인쇄용지	MAT_000146	315.00	467.00			0	0	N	Y
MAT_000148	반투명 PET 350g	MAT_TYPE.01	디지털인쇄용지	MAT_000146	315.00	467.00			0	0	N	Y
MAT_000149	아이보리 300g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			1	0	N	Y
MAT_000150	뉴크라프트 250g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			0	1	Y	Y
MAT_000151	팬시크라프트 120g	MAT_TYPE.01	디지털인쇄용지		316.00	467.00			0	1	Y	Y
MAT_000153	유포스티커	MAT_TYPE.11	스티커용지		330.00	470.00			8	689	Y	Y
MAT_000155	무광코팅스티커	MAT_TYPE.11	스티커용지						8	468	Y	Y
MAT_000156	유광코팅스티커	MAT_TYPE.11	스티커용지						8	468	Y	Y
