prd_cd,mat_cd,usage_cd,dep_proc_cd,dflt_yn,disp_seq,reg_dt,upd_dt,_provenance
PRD_000069,MAT_000109,USAGE.02,,N,6,,,"IMPORT:무선표지 :: 코팅/오시● 몽블랑 240g→MAT_000109 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000072,USAGE.01,,Y,1,,,"IMPORT:트윈링내지● 백색모조지 100g→MAT_000072 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000071,MAT_000073,USAGE.01,,N,2,,,"IMPORT:트윈링내지● 백색모조지 120g→MAT_000073 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000071,MAT_000076,USAGE.01,,N,3,,,"IMPORT:트윈링내지● 아트지 100g→MAT_000076 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000071,MAT_000077,USAGE.01,,N,4,,,"IMPORT:트윈링내지● 아트지 120g→MAT_000077 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000071,MAT_000078,USAGE.01,,N,5,,,"IMPORT:트윈링내지● 아트지 150g→MAT_000078 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000071,MAT_000079,USAGE.01,,N,6,,,"IMPORT:트윈링내지● 아트지 180g→MAT_000079 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000071,MAT_000086,USAGE.01,,N,7,,,"IMPORT:트윈링내지● 스노우지 100g→MAT_000086 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000071,MAT_000087,USAGE.01,,N,8,,,"IMPORT:트윈링내지● 스노우지 120g→MAT_000087 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000071,MAT_000088,USAGE.01,,N,9,,,"IMPORT:트윈링내지● 스노우지 150g→MAT_000088 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000071,MAT_000089,USAGE.01,,N,10,,,"IMPORT:트윈링내지● 스노우지 180g→MAT_000089 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000071,MAT_000095,USAGE.01,,N,11,,,"IMPORT:트윈링내지● 앙상블 100g→MAT_000095 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000071,MAT_000096,USAGE.01,,N,12,,,"IMPORT:트윈링내지● 앙상블 130g→MAT_000096 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000071,MAT_000097,USAGE.01,,N,13,,,"IMPORT:트윈링내지● 앙상블 160g→MAT_000097 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000071,MAT_000104,USAGE.01,,N,14,,,"IMPORT:트윈링내지● 몽블랑 100g→MAT_000104 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000071,MAT_000105,USAGE.01,,N,15,,,"IMPORT:트윈링내지● 몽블랑 130g→MAT_000105 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000071,MAT_000106,USAGE.01,,N,16,,,"IMPORT:트윈링내지● 몽블랑 160g→MAT_000106 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000071,MAT_000072,USAGE.02,,Y,1,,,"IMPORT:트윈링표지 :: 코팅/오시● 백색모조지 100g→MAT_000072 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000073,USAGE.02,,N,2,,,"IMPORT:트윈링표지 :: 코팅/오시● 백색모조지 120g→MAT_000073 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000074,USAGE.02,,N,3,,,"IMPORT:트윈링표지 :: 코팅/오시● 백색모조지 220g→MAT_000074 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000076,USAGE.02,,N,4,,,"IMPORT:트윈링표지 :: 코팅/오시● 아트지 100g→MAT_000076 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000077,USAGE.02,,N,5,,,"IMPORT:트윈링표지 :: 코팅/오시● 아트지 120g→MAT_000077 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000078,USAGE.02,,N,6,,,"IMPORT:트윈링표지 :: 코팅/오시● 아트지 150g→MAT_000078 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000079,USAGE.02,,N,7,,,"IMPORT:트윈링표지 :: 코팅/오시● 아트지 180g→MAT_000079 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
PRD_000071,MAT_000080,USAGE.02,,N,8,,,"IMPORT:트윈링표지 :: 코팅/오시● 아트지 200g→MAT_000080 (R1 G-BK-1/2 표지 usage_cd=USAGE.02, seoljeong-import-map)"
