sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
디지털인쇄,cell,5,AP5,AP,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,AQ5,AQ,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,5,AR5,AR,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,A6,구분,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,B6,ID,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,C6,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,D6,상품명,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,E6,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,F6,판수,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,G6,파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,H6,파일사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,I6,파일사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,J6,파일사양_출력용지규격,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,K6,파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,L6,파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,M6,파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,N6,주문방법(필수)_업로드,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,O6,주문방법(필수)_편집기,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,P6,종이(필수),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,Q6,인쇄(옵션),,,FFA5A5A5,,,,,,,,
디지털인쇄,cell,6,R6,별색인쇄(옵션)_화이트,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,S6,별색인쇄(옵션)_클리어,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,T6,별색인쇄(옵션)_핑크,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,U6,별색인쇄(옵션)_금색,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,V6,별색인쇄(옵션)_은색,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,W6,코팅(옵션),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,X6,커팅(옵션),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,Y6,접지(옵션),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,Z6,제작수량(필수)_건수(옵션),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,AA6,제작수량(필수)_최소,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,AB6,제작수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,AC6,제작수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,AD6,후가공(옵션)_모서리,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,AE6,후가공(옵션)_오시,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,AF6,후가공(옵션)_미싱,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,AG6,후가공(옵션)_가변(텍스트),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,AH6,후가공(옵션)_가변(이미지),,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,AI6,박(앞면) / 박(뒷면) / 형압 (옵션)_박/형압 가공,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,AJ6,박(앞면) / 박(뒷면) / 형압 (옵션)_크기,,,Values must be of type <class 'str'>,,,,,,,,
디지털인쇄,cell,6,AK6,박(앞면) / 박(뒷면) / 형압 (옵션)_박칼라,,,Values must be of type <class 'str'>,,,,,,,,
