sheet,block_id,block_title,row_seq,col,cell_ref,row_key,band_header_path,value,cell_meta_json
인쇄후가공,B01,"모서리 (귀돌이, 합가)",9,B,B9,3000,직각모서리,0,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",9,C,C9,3000,둥근모서리,31000,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",10,A,A10,4000,,4000,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",10,B,B10,4000,직각모서리,0,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",10,C,C10,4000,둥근모서리,41000,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",11,A,A11,5000,,5000,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",11,B,B11,5000,직각모서리,0,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",11,C,C11,5000,둥근모서리,51000,
인쇄후가공,B02,100장당 1000원씩 올립니다.,12,A,A12,100장당 1000원씩 올립니다.,,100장당 1000원씩 올립니다.,"{""font_rgb"": ""FFFF0000"", ""merged_range"": ""A12:B12""}"
인쇄후가공,B03,오시 (합가),15,A,A15,오시 (합가),,오시 (합가),"{""fill_rgb"": ""FFFF00FF"", ""merged_range"": ""A15:D15""}"
인쇄후가공,B03,오시 (합가),15,F,F15,오시 (합가),제작수량,미싱 (합가),"{""fill_rgb"": ""FFFF00FF"", ""merged_range"": ""F15:I15""}"
인쇄후가공,B03,오시 (합가),16,A,A16,제작수량,,제작수량,
인쇄후가공,B03,오시 (합가),16,B,B16,제작수량,1줄,1줄,
인쇄후가공,B03,오시 (합가),16,C,C16,제작수량,2줄,2줄,
인쇄후가공,B03,오시 (합가),16,D,D16,제작수량,3줄,3줄,
인쇄후가공,B03,오시 (합가),16,F,F16,제작수량,제작수량,제작수량,
인쇄후가공,B03,오시 (합가),16,G,G16,제작수량,1줄,1줄,
인쇄후가공,B03,오시 (합가),16,H,H16,제작수량,2줄,2줄,
인쇄후가공,B03,오시 (합가),16,I,I16,제작수량,3줄,3줄,
인쇄후가공,B03,오시 (합가),17,A,A17,1,,1,
인쇄후가공,B03,오시 (합가),17,B,B17,1,1줄,5000,
인쇄후가공,B03,오시 (합가),17,C,C17,1,2줄,6000,
인쇄후가공,B03,오시 (합가),17,D,D17,1,3줄,7000,
인쇄후가공,B03,오시 (합가),17,F,F17,1,제작수량,1,
인쇄후가공,B03,오시 (합가),17,G,G17,1,1줄,5000,
인쇄후가공,B03,오시 (합가),17,H,H17,1,2줄,6000,
인쇄후가공,B03,오시 (합가),17,I,I17,1,3줄,7000,
인쇄후가공,B03,오시 (합가),18,A,A18,50,,50,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,B03,오시 (합가),18,B,B18,50,1줄,5000,
인쇄후가공,B03,오시 (합가),18,C,C18,50,2줄,6000,
인쇄후가공,B03,오시 (합가),18,D,D18,50,3줄,7000,
인쇄후가공,B03,오시 (합가),18,F,F18,50,제작수량,50,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,B03,오시 (합가),18,G,G18,50,1줄,5000,
인쇄후가공,B03,오시 (합가),18,H,H18,50,2줄,6000,
인쇄후가공,B03,오시 (합가),18,I,I18,50,3줄,7000,
인쇄후가공,B03,오시 (합가),19,A,A19,100,,100,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,B03,오시 (합가),19,B,B19,100,1줄,10000,
인쇄후가공,B03,오시 (합가),19,C,C19,100,2줄,12000,
인쇄후가공,B03,오시 (합가),19,D,D19,100,3줄,14000,
인쇄후가공,B03,오시 (합가),19,F,F19,100,제작수량,100,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,B03,오시 (합가),19,G,G19,100,1줄,10000,
인쇄후가공,B03,오시 (합가),19,H,H19,100,2줄,12000,
인쇄후가공,B03,오시 (합가),19,I,I19,100,3줄,14000,
인쇄후가공,B03,오시 (합가),20,A,A20,300,,300,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,B03,오시 (합가),20,B,B20,300,1줄,15000,
인쇄후가공,B03,오시 (합가),20,C,C20,300,2줄,17000,
인쇄후가공,B03,오시 (합가),20,D,D20,300,3줄,19000,
인쇄후가공,B03,오시 (합가),20,F,F20,300,제작수량,300,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,B03,오시 (합가),20,G,G20,300,1줄,15000,
