sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
MAP,cell,7,H7,08 문구,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,I7,09 아크릴,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,J7,10 라이프,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,K7,11 에코백,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,L7,12 포장,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,M7,M,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,N7,N,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,O7,O,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,P7,P,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,Q7,Q,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,R7,R,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,S7,S,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,T7,T,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,U7,U,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,V7,V,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,W7,W,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,X7,X,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,Y7,Y,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,Z7,Z,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,A8,01 엽서,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,D8,04 포스터,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,E8,05 사인,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,F8,06 책자,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,G8,07 캘린더,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,H8,08 문구,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,I8,09 아크릴,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,J8,10 라이프,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,K8,11 에코백,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,L8,12 포장,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,M8,M,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,N8,N,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,O8,O,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,P8,P,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,Q8,Q,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,R8,R,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,S8,S,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,T8,T,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,U8,U,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,V8,V,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,W8,W,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,X8,X,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,Y8,Y,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,8,Z8,Z,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,9,A9,01 엽서,,,Values must be of type <class 'str'>,,,,,,,,
