sheet,row_seq,ref,col,axis,meta_json
판걸이수,12,B12,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,12,E12,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,12,F12,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,12,G12,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,12,H12,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,12,I12,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,12,J12,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,12,K12,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,12,L12,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,13,A13,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,13,B13,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,13,E13,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,13,F13,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,13,G13,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,13,H13,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,13,I13,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,13,J13,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,13,K13,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,13,L13,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,14,A14,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,14,B14,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,14,E14,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,14,F14,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,14,G14,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,14,H14,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,14,I14,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,14,J14,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,14,K14,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,14,L14,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,15,A15,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,15,B15,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,15,D15,작업사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,15,E15,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,15,F15,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,15,G15,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,15,H15,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,15,I15,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,15,J15,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,15,K15,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,15,L15,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,16,A16,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,16,B16,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,16,D16,작업사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,16,E16,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,16,F16,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,16,G16,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,16,H16,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,16,I16,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,16,J16,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,16,K16,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,16,L16,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,17,A17,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,17,B17,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,17,D17,작업사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,17,E17,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,17,F17,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,17,G17,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,17,H17,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,17,I17,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,17,J17,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,17,K17,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,17,L17,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,18,A18,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,18,B18,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,18,D18,작업사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,18,E18,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,18,F18,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,18,G18,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,18,H18,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,18,I18,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,18,J18,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,18,K18,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,18,L18,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,19,A19,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,19,B19,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,19,E19,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,19,F19,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,19,G19,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,19,H19,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,19,I19,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,19,J19,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,19,K19,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,19,L19,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,20,A20,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,20,B20,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,20,E20,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,20,F20,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,20,G20,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,20,H20,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,20,I20,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,20,J20,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,20,K20,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,20,L20,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,21,A21,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,21,B21,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,21,E21,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,21,F21,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,21,G21,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,21,H21,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,21,I21,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,21,J21,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,21,K21,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,21,L21,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,22,A22,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,22,B22,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,22,E22,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,22,F22,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,22,G22,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,22,H22,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,22,I22,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,22,J22,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,22,K22,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,22,L22,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,23,A23,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,23,B23,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,23,E23,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,23,F23,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,23,G23,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,23,H23,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,23,I23,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,23,J23,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,23,K23,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,23,L23,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,24,A24,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,24,B24,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,24,E24,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,24,F24,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,24,G24,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,24,H24,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,24,I24,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,24,J24,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,24,K24,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,24,L24,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,25,A25,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,25,B25,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,25,E25,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,25,F25,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,25,G25,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,25,H25,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,25,I25,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,25,J25,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,25,K25,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,25,L25,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,26,A26,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,26,B26,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,26,E26,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,26,F26,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,26,G26,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,26,H26,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,26,I26,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,26,J26,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,26,K26,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,26,L26,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,27,A27,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,27,B27,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,27,E27,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,27,F27,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,27,G27,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,27,H27,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,27,I27,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,27,J27,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,27,K27,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,27,L27,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,28,A28,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,28,B28,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,28,E28,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,28,F28,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,28,G28,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,28,H28,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,28,I28,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,28,J28,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,28,K28,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
