sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
문구(가격포함),cell,5,Y5,표지사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,Z5,표지인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,AA5,제본옵션(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,AB5,제본사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,AC5,가격,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,AD5,제작수량(필수)_최소,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,AE5,제작수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,AF5,제작수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,AG5,주문방법(필수)_업로드,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,AH5,주문방법(필수)_편집기,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,AI5,개별포장(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,5,AJ5,구간할인적용테이블,,,FFFF9900,,,,,,,,
문구(가격포함),cell,5,AK5,COMMENT,,,FFFF9900,,,,,,,,
문구(가격포함),cell,6,A6,구분,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,B6,ID,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,C6,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,D6,상품명,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,E6,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,F6,내지파일사양_MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,G6,내지파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,H6,내지파일사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,I6,내지파일사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,J6,내지파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,K6,내지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,L6,내지파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,M6,내지(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,N6,종이(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,O6,내지인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,P6,페이지사양_최소,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,Q6,페이지사양_최대,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,R6,페이지사양_증가,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,S6,표지파일사양_MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,T6,표지파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,U6,표지파일사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,V6,표지파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,W6,표지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,X6,표지파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,Y6,표지사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,Z6,표지인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,AA6,제본옵션(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,AB6,제본사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,AC6,가격,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,AD6,제작수량(필수)_최소,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,AE6,제작수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,AF6,제작수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,AG6,주문방법(필수)_업로드,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,AH6,주문방법(필수)_편집기,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,AI6,개별포장(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,6,AJ6,구간할인적용테이블,,,FFFF9900,,,,,,,,
문구(가격포함),cell,6,AK6,COMMENT,,,FFFF9900,,,,,,,,
문구(가격포함),cell,8,A8,구분,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,B8,ID,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,C8,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,D8,상품명,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,E8,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,I8,내지파일사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,J8,내지파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,K8,내지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,L8,내지파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,M8,내지(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,N8,종이(옵션),,,FFCCCCCC,,,,,,,,
문구(가격포함),cell,8,O8,내지인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,P8,페이지사양_최소,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,8,Q8,페이지사양_최대,,,Values must be of type <class 'str'>,,,,,,,,
