prd_cd,prd_nm,edge,remediation_class,note
PRD_000018,스탠다드엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '무광코팅비' proc 가 상품 공정과 교집합 0
PRD_000018,스탠다드엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '미싱비' proc 가 상품 공정과 교집합 0
PRD_000018,스탠다드엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '별색인쇄비' proc 가 상품 공정과 교집합 0
PRD_000018,스탠다드엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '오시비' proc 가 상품 공정과 교집합 0
PRD_000018,스탠다드엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '유광코팅비' proc 가 상품 공정과 교집합 0
PRD_000018,스탠다드엽서,G1,review,
PRD_000019,투명엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '가변이미지' proc 가 상품 공정과 교집합 0
PRD_000019,투명엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '가변텍스트' proc 가 상품 공정과 교집합 0
PRD_000019,투명엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '무광코팅비' proc 가 상품 공정과 교집합 0
PRD_000019,투명엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '미싱비' proc 가 상품 공정과 교집합 0
PRD_000019,투명엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '오시비' proc 가 상품 공정과 교집합 0
PRD_000019,투명엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '유광코팅비' proc 가 상품 공정과 교집합 0
PRD_000020,화이트인쇄엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '가변이미지' proc 가 상품 공정과 교집합 0
PRD_000020,화이트인쇄엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '가변텍스트' proc 가 상품 공정과 교집합 0
PRD_000020,화이트인쇄엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '귀돌이비' proc 가 상품 공정과 교집합 0
PRD_000020,화이트인쇄엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '디지털인쇄비' proc 가 상품 공정과 교집합 0
PRD_000020,화이트인쇄엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '무광코팅비' proc 가 상품 공정과 교집합 0
PRD_000020,화이트인쇄엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '미싱비' proc 가 상품 공정과 교집합 0
PRD_000020,화이트인쇄엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '오시비' proc 가 상품 공정과 교집합 0
PRD_000020,화이트인쇄엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '유광코팅비' proc 가 상품 공정과 교집합 0
PRD_000021,핑크별색엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '가변이미지' proc 가 상품 공정과 교집합 0
PRD_000021,핑크별색엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '가변텍스트' proc 가 상품 공정과 교집합 0
PRD_000021,핑크별색엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '귀돌이비' proc 가 상품 공정과 교집합 0
PRD_000021,핑크별색엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '무광코팅비' proc 가 상품 공정과 교집합 0
PRD_000021,핑크별색엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '미싱비' proc 가 상품 공정과 교집합 0
PRD_000021,핑크별색엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '오시비' proc 가 상품 공정과 교집합 0
PRD_000021,핑크별색엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '유광코팅비' proc 가 상품 공정과 교집합 0
PRD_000023,,E3,review,차원 누락(MISSING·proc_cd): 손님선택 1값이 단가행에 없음
PRD_000024,포토카드,E4,needs_authority,ZERO_FINAL mat_cd=MAT_000082|plt_siz_cd=SIZ_000499|print_opt_cd=POPT_000002|siz_cd=SIZ_000012|qty=1
PRD_000024,포토카드,E4,needs_authority,ZERO_FINAL mat_cd=MAT_000082|print_opt_cd=POPT_000002|siz_cd=SIZ_000012|qty=1
PRD_000024,포토카드,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '둥근모서리(4방4R)' 공정 제공하나 가격 comp 없음
PRD_000024,포토카드,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '디지털인쇄' 공정 제공하나 가격 comp 없음
PRD_000024,포토카드,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '무광라미네이팅' 공정 제공하나 가격 comp 없음
PRD_000024,포토카드,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '유광라미네이팅' 공정 제공하나 가격 comp 없음
PRD_000024,포토카드,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '직각모서리' 공정 제공하나 가격 comp 없음
PRD_000024,포토카드,Q1,review,수량 함정(TRAP_MIN): '포토카드' 최소수량 1 < 구간 comp 최소 → 구간 아래 주문 시 무료
PRD_000025,투명포토카드,E4,needs_authority,ZERO_FINAL mat_cd=MAT_000144|plt_siz_cd=SIZ_000499|print_opt_cd=POPT_000001|siz_cd=SIZ_000012|qty=1
PRD_000025,투명포토카드,E4,needs_authority,ZERO_FINAL mat_cd=MAT_000144|print_opt_cd=POPT_000001|siz_cd=SIZ_000012|qty=1
PRD_000025,투명포토카드,E4,needs_authority,ZERO_FINAL mat_cd=MAT_000147|plt_siz_cd=SIZ_000499|print_opt_cd=POPT_000001|siz_cd=SIZ_000012|qty=1
PRD_000025,투명포토카드,E4,needs_authority,ZERO_FINAL mat_cd=MAT_000147|print_opt_cd=POPT_000001|siz_cd=SIZ_000012|qty=1
PRD_000025,투명포토카드,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '둥근모서리(4방4R)' 공정 제공하나 가격 comp 없음
PRD_000025,투명포토카드,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '디지털인쇄' 공정 제공하나 가격 comp 없음
PRD_000025,투명포토카드,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '직각모서리' 공정 제공하나 가격 comp 없음
PRD_000025,투명포토카드,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '화이트인쇄' 공정 제공하나 가격 comp 없음
PRD_000025,투명포토카드,Q1,review,수량 함정(TRAP_MIN): '투명포토카드' 최소수량 1 < 구간 comp 최소 → 구간 아래 주문 시 무료
PRD_000026,종이슬로건,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '가변이미지' proc 가 상품 공정과 교집합 0
PRD_000026,종이슬로건,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '가변텍스트' proc 가 상품 공정과 교집합 0
PRD_000026,종이슬로건,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '귀돌이비' proc 가 상품 공정과 교집합 0
PRD_000026,종이슬로건,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '미싱비' proc 가 상품 공정과 교집합 0
PRD_000026,종이슬로건,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '별색인쇄비' proc 가 상품 공정과 교집합 0
PRD_000026,종이슬로건,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '오시비' proc 가 상품 공정과 교집합 0
PRD_000027,2단접지카드,E3,review,차원 누락(MISSING·proc_cd): 손님선택 8값이 단가행에 없음
PRD_000027,2단접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '금유광' 공정 제공하나 가격 comp 없음
PRD_000027,2단접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '동박' 공정 제공하나 가격 comp 없음
PRD_000027,2단접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '먹유광' 공정 제공하나 가격 comp 없음
PRD_000027,2단접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '은유광' 공정 제공하나 가격 comp 없음
PRD_000027,2단접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '적박' 공정 제공하나 가격 comp 없음
PRD_000027,2단접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '청박' 공정 제공하나 가격 comp 없음
PRD_000027,2단접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '트윙클박' 공정 제공하나 가격 comp 없음
PRD_000027,2단접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '홀로그램박' 공정 제공하나 가격 comp 없음
PRD_000027,2단접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '무광코팅비' proc 가 상품 공정과 교집합 0
PRD_000027,2단접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '유광코팅비' proc 가 상품 공정과 교집합 0
PRD_000027,2단접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '접지비 리플렛 3단' proc 가 상품 공정과 교집합 0
PRD_000027,2단접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '접지비 리플렛 4단게이트' proc 가 상품 공정과 교집합 0
PRD_000027,2단접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '접지비 리플렛 4단아코디언' proc 가 상품 공정과 교집합 0
PRD_000027,2단접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '타공비 (6mm)' proc 가 상품 공정과 교집합 0
PRD_000027,2단접지카드,Q1,review,수량 함정(TRAP_MIN): '2단접지카드' 최소수량 8 < 구간 comp 최소 → 구간 아래 주문 시 무료
PRD_000028,미니접지카드,E3,review,차원 누락(MISSING·proc_cd): 손님선택 8값이 단가행에 없음
PRD_000028,미니접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '금유광' 공정 제공하나 가격 comp 없음
PRD_000028,미니접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '동박' 공정 제공하나 가격 comp 없음
PRD_000028,미니접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '먹유광' 공정 제공하나 가격 comp 없음
PRD_000028,미니접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '은유광' 공정 제공하나 가격 comp 없음
PRD_000028,미니접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '적박' 공정 제공하나 가격 comp 없음
PRD_000028,미니접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '청박' 공정 제공하나 가격 comp 없음
PRD_000028,미니접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '트윙클박' 공정 제공하나 가격 comp 없음
PRD_000028,미니접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '홀로그램박' 공정 제공하나 가격 comp 없음
PRD_000028,미니접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '무광코팅비' proc 가 상품 공정과 교집합 0
PRD_000028,미니접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '유광코팅비' proc 가 상품 공정과 교집합 0
PRD_000028,미니접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '접지비 리플렛 3단' proc 가 상품 공정과 교집합 0
PRD_000028,미니접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '접지비 리플렛 4단게이트' proc 가 상품 공정과 교집합 0
PRD_000028,미니접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '접지비 리플렛 4단아코디언' proc 가 상품 공정과 교집합 0
PRD_000028,미니접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '타공비 (6mm)' proc 가 상품 공정과 교집합 0
PRD_000028,미니접지카드,G1,review,
PRD_000029,3단접지카드,E3,review,차원 누락(MISSING·proc_cd): 손님선택 8값이 단가행에 없음
PRD_000029,3단접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '금유광' 공정 제공하나 가격 comp 없음
PRD_000029,3단접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '동박' 공정 제공하나 가격 comp 없음
PRD_000029,3단접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '먹유광' 공정 제공하나 가격 comp 없음
PRD_000029,3단접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '은유광' 공정 제공하나 가격 comp 없음
PRD_000029,3단접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '적박' 공정 제공하나 가격 comp 없음
PRD_000029,3단접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '청박' 공정 제공하나 가격 comp 없음
PRD_000029,3단접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '트윙클박' 공정 제공하나 가격 comp 없음
PRD_000029,3단접지카드,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '홀로그램박' 공정 제공하나 가격 comp 없음
PRD_000029,3단접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '무광코팅비' proc 가 상품 공정과 교집합 0
PRD_000029,3단접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '유광코팅비' proc 가 상품 공정과 교집합 0
PRD_000029,3단접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '접지비 리플렛 4단게이트' proc 가 상품 공정과 교집합 0
PRD_000029,3단접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '접지비 리플렛 4단아코디언' proc 가 상품 공정과 교집합 0
PRD_000029,3단접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '접지비 리플렛 반접지' proc 가 상품 공정과 교집합 0
PRD_000029,3단접지카드,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '타공비 (6mm)' proc 가 상품 공정과 교집합 0
PRD_000029,3단접지카드,Q1,review,수량 함정(TRAP_MIN): '3단접지카드' 최소수량 8 < 구간 comp 최소 → 구간 아래 주문 시 무료
PRD_000030,지그재그엽서,E3,review,차원 누락(MISSING·proc_cd): 손님선택 2값이 단가행에 없음
PRD_000030,지그재그엽서,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '6단미싱접지' 공정 제공하나 가격 comp 없음
PRD_000030,지그재그엽서,E4,review,공정 무료화(UNCOVERED_PROCESS): 상품이 '6단오시접지' 공정 제공하나 가격 comp 없음
PRD_000030,지그재그엽서,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '타공비 (6mm)' proc 가 상품 공정과 교집합 0
PRD_000031,프리미엄명함,E3,review,차원 누락(MISSING·proc_cd): 손님선택 9값이 단가행에 없음
PRD_000031,프리미엄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '금유광' 공정 제공하나 가격 comp 없음
PRD_000031,프리미엄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '동박' 공정 제공하나 가격 comp 없음
PRD_000031,프리미엄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '디지털인쇄' 공정 제공하나 가격 comp 없음
PRD_000031,프리미엄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '먹유광' 공정 제공하나 가격 comp 없음
PRD_000031,프리미엄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '은유광' 공정 제공하나 가격 comp 없음
PRD_000031,프리미엄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '적박' 공정 제공하나 가격 comp 없음
PRD_000031,프리미엄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '청박' 공정 제공하나 가격 comp 없음
PRD_000031,프리미엄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '트윙클박' 공정 제공하나 가격 comp 없음
PRD_000031,프리미엄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '홀로그램박' 공정 제공하나 가격 comp 없음
PRD_000031,프리미엄명함,G1,review,
PRD_000031,프리미엄명함,Q1,review,수량 함정(TRAP_MIN): '프리미엄명함' 최소수량 100 < 구간 comp 최소 → 구간 아래 주문 시 무료
PRD_000032,코팅명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '둥근모서리(4방4R)' 공정 제공하나 가격 comp 없음
PRD_000032,코팅명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '디지털인쇄' 공정 제공하나 가격 comp 없음
PRD_000032,코팅명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '무광라미네이팅' 공정 제공하나 가격 comp 없음
PRD_000032,코팅명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '유광라미네이팅' 공정 제공하나 가격 comp 없음
PRD_000032,코팅명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '직각모서리' 공정 제공하나 가격 comp 없음
PRD_000032,코팅명함,G1,review,
PRD_000032,코팅명함,Q1,review,초대량 저청구 검토(INFO_MAX): '코팅명함' max 10000 > 최대구간 100×10
PRD_000033,스탠다드명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '가변이미지' 공정 제공하나 가격 comp 없음
PRD_000033,스탠다드명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '가변텍스트' 공정 제공하나 가격 comp 없음
PRD_000033,스탠다드명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '둥근모서리(4방4R)' 공정 제공하나 가격 comp 없음
PRD_000033,스탠다드명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '디지털인쇄' 공정 제공하나 가격 comp 없음
PRD_000033,스탠다드명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '직각모서리' 공정 제공하나 가격 comp 없음
PRD_000033,스탠다드명함,G1,review,
PRD_000033,스탠다드명함,Q1,review,초대량 저청구 검토(INFO_MAX): '스탠다드명함' max 10000 > 최대구간 100×10
PRD_000034,펄명함,E3,review,차원 누락(MISSING·proc_cd): 손님선택 11값이 단가행에 없음
PRD_000034,펄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '금무광' 공정 제공하나 가격 comp 없음
PRD_000034,펄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '동박' 공정 제공하나 가격 comp 없음
PRD_000034,펄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '둥근모서리(4방4R)' 공정 제공하나 가격 comp 없음
PRD_000034,펄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '디지털인쇄' 공정 제공하나 가격 comp 없음
PRD_000034,펄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '먹유광' 공정 제공하나 가격 comp 없음
PRD_000034,펄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '은유광' 공정 제공하나 가격 comp 없음
PRD_000034,펄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '적박' 공정 제공하나 가격 comp 없음
PRD_000034,펄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '직각모서리' 공정 제공하나 가격 comp 없음
PRD_000034,펄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '청박' 공정 제공하나 가격 comp 없음
PRD_000034,펄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '트윙클박' 공정 제공하나 가격 comp 없음
PRD_000034,펄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '홀로그램박' 공정 제공하나 가격 comp 없음
PRD_000034,펄명함,G1,review,
PRD_000034,펄명함,Q1,review,수량 함정(TRAP_MIN): '펄명함' 최소수량 100 < 구간 comp 최소 → 구간 아래 주문 시 무료
PRD_000035,모양명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '디지털인쇄' 공정 제공하나 가격 comp 없음
PRD_000035,모양명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '완칼커팅' 공정 제공하나 가격 comp 없음
PRD_000035,모양명함,G1,review,
PRD_000035,모양명함,Q1,review,초대량 저청구 검토(INFO_MAX): '모양명함' max 10000 > 최대구간 100×10
PRD_000036,미니모양명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '디지털인쇄' 공정 제공하나 가격 comp 없음
PRD_000036,미니모양명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '완칼커팅' 공정 제공하나 가격 comp 없음
PRD_000036,미니모양명함,G1,review,
PRD_000036,미니모양명함,Q1,review,초대량 저청구 검토(INFO_MAX): '미니모양명함' max 10000 > 최대구간 100×10
PRD_000037,오리지널박명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '금유광' 공정 제공하나 가격 comp 없음
PRD_000037,오리지널박명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '동박' 공정 제공하나 가격 comp 없음
PRD_000037,오리지널박명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '먹유광' 공정 제공하나 가격 comp 없음
PRD_000037,오리지널박명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '은유광' 공정 제공하나 가격 comp 없음
PRD_000037,오리지널박명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '적박' 공정 제공하나 가격 comp 없음
PRD_000037,오리지널박명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '청박' 공정 제공하나 가격 comp 없음
PRD_000037,오리지널박명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '트윙클박' 공정 제공하나 가격 comp 없음
PRD_000037,오리지널박명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '홀로그램박' 공정 제공하나 가격 comp 없음
PRD_000037,오리지널박명함,G1,review,
PRD_000038,형압명함,E3,review,차원 누락(MISSING·proc_cd): 손님선택 1값이 단가행에 없음
PRD_000038,형압명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '디지털인쇄' 공정 제공하나 가격 comp 없음
PRD_000039,투명명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '둥근모서리(4방4R)' 공정 제공하나 가격 comp 없음
PRD_000039,투명명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '디지털인쇄' 공정 제공하나 가격 comp 없음
PRD_000039,투명명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '직각모서리' 공정 제공하나 가격 comp 없음
PRD_000039,투명명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '화이트인쇄' 공정 제공하나 가격 comp 없음
PRD_000039,투명명함,G1,review,
PRD_000039,투명명함,Q1,review,초대량 저청구 검토(INFO_MAX): '투명명함' max 10000 > 최대구간 100×10
PRD_000039,투명명함,W2,review,PARENT_DEAD OPV_000801#1:-=PROC_000008
PRD_000040,화이트인쇄명함,E3,review,차원 누락(MISSING·proc_cd): 손님선택 3값이 단가행에 없음
PRD_000040,화이트인쇄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '둥근모서리(4방4R)' 공정 제공하나 가격 comp 없음
PRD_000040,화이트인쇄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '직각모서리' 공정 제공하나 가격 comp 없음
PRD_000040,화이트인쇄명함,E4,review,공정 무료화(UNCOVERED_BAKED): 상품이 '화이트인쇄' 공정 제공하나 가격 comp 없음
PRD_000040,화이트인쇄명함,G1,review,
PRD_000040,화이트인쇄명함,Q1,review,초대량 저청구 검토(INFO_MAX): '화이트인쇄명함' max 10000 > 최대구간 100×10
PRD_000040,화이트인쇄명함,W2,review,PARENT_DEAD OPV_000490#1:-=PROC_000009
PRD_000040,화이트인쇄명함,W2,review,PARENT_DEAD OPV_000810#1:-=PROC_000009
PRD_000041,스탠다드 쿠폰/상품권,E3,review,차원 누락(MISSING·proc_cd): 손님선택 2값이 단가행에 없음
PRD_000041,스탠다드 쿠폰/상품권,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '귀돌이비' proc 가 상품 공정과 교집합 0
PRD_000041,스탠다드 쿠폰/상품권,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '무광코팅비' proc 가 상품 공정과 교집합 0
PRD_000041,스탠다드 쿠폰/상품권,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '미싱비' proc 가 상품 공정과 교집합 0
PRD_000041,스탠다드 쿠폰/상품권,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '별색인쇄비' proc 가 상품 공정과 교집합 0
PRD_000041,스탠다드 쿠폰/상품권,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '오시비' proc 가 상품 공정과 교집합 0
PRD_000041,스탠다드 쿠폰/상품권,E4,review,공정 오배선(PROC_MISMATCH): 코어 comp '유광코팅비' proc 가 상품 공정과 교집합 0
PRD_000041,스탠다드 쿠폰/상품권,G1,review,
PRD_000042,프리미엄 쿠폰/상품권,E3,review,차원 누락(MISSING·proc_cd): 손님선택 10값이 단가행에 없음
PRD_000042,프리미엄 쿠폰/상품권,E3,review,차원 누락(MISSING·proc_cd): 손님선택 2값이 단가행에 없음
