prd_cd,prd_nm,current_plate_siz,current_paper_typ,cur_impos,cur_cut_null,cur_work,target_siz,target_paper_typ,row_action
PRD_000024,포토카드,SIZ_000120,OUTPUT_PAPER_TYPE.03,N,t,57.00x88.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000025,투명포토카드,SIZ_000120,OUTPUT_PAPER_TYPE.03,N,t,57.00x88.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000026,종이슬로건,SIZ_000121,OUTPUT_PAPER_TYPE.03,N,t,302.00x102.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000026,종이슬로건,SIZ_000122,OUTPUT_PAPER_TYPE.03,N,t,402.00x147.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000027,2단접지카드,SIZ_000023,,Y,f,274.00x139.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REVIEW_Y_nonplate_or_goods_body
PRD_000027,2단접지카드,SIZ_000024,,Y,f,139.00x274.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REVIEW_Y_nonplate_or_goods_body
PRD_000027,2단접지카드,SIZ_000123,OUTPUT_PAPER_TYPE.03,N,t,202.00x152.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000027,2단접지카드,SIZ_000125,,N,t,152.00x202.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000027,2단접지카드,SIZ_000128,,N,t,224.00x174.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000027,2단접지카드,SIZ_000130,,N,t,174.00x224.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000028,미니접지카드,SIZ_000131,OUTPUT_PAPER_TYPE.03,N,t,92.00x104.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000028,미니접지카드,SIZ_000134,OUTPUT_PAPER_TYPE.03,N,t,88.00x106.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000029,3단접지카드,SIZ_000136,OUTPUT_PAPER_TYPE.03,N,t,300.00x152.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000029,3단접지카드,SIZ_000138,OUTPUT_PAPER_TYPE.03,N,t,152.00x300.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000029,3단접지카드,SIZ_000140,OUTPUT_PAPER_TYPE.03,N,t,407.00x139.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000029,3단접지카드,SIZ_000141,OUTPUT_PAPER_TYPE.03,N,t,139.00x407.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000030,지그재그엽서,SIZ_000142,OUTPUT_PAPER_TYPE.03,N,t,604.00x154.00,UNRESOLVED,OUTPUT_PAPER_TYPE.03,BLOCKED_unresolved_jeonji
PRD_000030,지그재그엽서,SIZ_000143,OUTPUT_PAPER_TYPE.03,N,t,154.00x604.00,UNRESOLVED,OUTPUT_PAPER_TYPE.03,BLOCKED_unresolved_jeonji
PRD_000031,프리미엄명함,SIZ_000144,OUTPUT_PAPER_TYPE.03,N,t,92.00x52.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000031,프리미엄명함,SIZ_000145,OUTPUT_PAPER_TYPE.03,N,t,92.00x57.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000031,프리미엄명함,SIZ_000146,OUTPUT_PAPER_TYPE.03,N,t,88.00x54.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
