prd_cd,siz_cd,dflt_plt_yn,output_paper_typ_cd,del_yn
PRD_000043,SIZ_000160,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000044,SIZ_000161,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000044,SIZ_000162,Y,NULL,N
PRD_000044,SIZ_000163,Y,NULL,N
PRD_000044,SIZ_000164,Y,NULL,N
PRD_000045,SIZ_000165,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000045,SIZ_000166,Y,NULL,N
PRD_000045,SIZ_000167,Y,NULL,N
PRD_000045,SIZ_000168,Y,NULL,N
PRD_000046,SIZ_000132,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000046,SIZ_000148,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000046,SIZ_000169,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000047,SIZ_000171,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000047,SIZ_000173,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000047,SIZ_000175,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000047,SIZ_000177,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000048,SIZ_000178,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000048,SIZ_000179,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000048,SIZ_000180,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000048,SIZ_000181,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000048,SIZ_000182,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000048,SIZ_000184,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000049,SIZ_000186,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000049,SIZ_000188,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000049,SIZ_000190,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000108,SIZ_000282,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000108,SIZ_000283,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000109,SIZ_000284,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000109,SIZ_000285,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000110,SIZ_000171,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000110,SIZ_000282,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000110,SIZ_000283,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000110,SIZ_000286,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000110,SIZ_000287,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000110,SIZ_000288,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000111,SIZ_000289,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000111,SIZ_000290,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000111,SIZ_000291,Y,OUTPUT_PAPER_TYPE.03,N
PRD_000112,SIZ_000292,Y,OUTPUT_PAPER_TYPE.03,N
