prd_cd,prd_nm,siz_cd,work_size,press_sheet,output_paper_typ_cd,prd_typ,repro,is_jeonji_siz
PRD_000042,프리미엄 쿠폰/상품권,SIZ_000149,152x72,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000042,프리미엄 쿠폰/상품권,SIZ_000150,152x79,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000158,66x184,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000159,72x190,316x467,,PRD_TYPE.04,N,N
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000151,80x104,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000153,80x124,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000152,86x110,316x467,,PRD_TYPE.04,N,N
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000154,86x130,316x467,,PRD_TYPE.04,N,N
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000155,90x124,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000156,96x130,316x467,,PRD_TYPE.04,N,N
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000002,98x98,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000157,104x104,316x467,,PRD_TYPE.04,N,N
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000160,115x170,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000163,78x113,316x467,,PRD_TYPE.04,Y,N
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000164,78x222,316x467,,PRD_TYPE.04,N,N
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000162,78x152,316x467,,PRD_TYPE.04,N,N
