prd_cd,prd_nm,plate_siz_cd,work_size,output_paper_typ_cd,press_sheet,lossless_verdict,reproducible_via_product_size
PRD_000027,2단접지카드,SIZ_000128,224x174,,316x467,NOT_REPRODUCIBLE,
PRD_000027,2단접지카드,SIZ_000023,274x139,,316x467,NOT_REPRODUCIBLE,
PRD_000028,미니접지카드,SIZ_000134,88x106,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000028,미니접지카드,SIZ_000131,92x104,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000029,3단접지카드,SIZ_000141,139x407,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000029,3단접지카드,SIZ_000138,152x300,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000029,3단접지카드,SIZ_000136,300x152,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000029,3단접지카드,SIZ_000140,407x139,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000030,지그재그엽서,SIZ_000143,154x604,OUTPUT_PAPER_TYPE.03,330x660,REPRODUCIBLE,SIZ_000032(150x600)
PRD_000030,지그재그엽서,SIZ_000142,604x154,OUTPUT_PAPER_TYPE.03,330x660,REPRODUCIBLE,SIZ_000031(600x150)
PRD_000031,프리미엄명함,SIZ_000146,88x54,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000031,프리미엄명함,SIZ_000144,92x52,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000008(90x50)
PRD_000031,프리미엄명함,SIZ_000145,92x57,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000009(90x55)
PRD_000032,코팅명함,SIZ_000146,88x54,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000032,코팅명함,SIZ_000144,92x52,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000008(90x50)
PRD_000033,스탠다드명함,SIZ_000146,88x54,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000033,스탠다드명함,SIZ_000144,92x52,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000008(90x50)
PRD_000034,펄명함,SIZ_000144,92x52,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000008(90x50)
PRD_000035,모양명함,SIZ_000147,100x60,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000036,미니모양명함,SIZ_000148,60x60,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000011(50x50)
PRD_000037,오리지널박명함,SIZ_000008,90x50,,316x467,REPRODUCIBLE,SIZ_000008(90x50)
PRD_000038,형압명함,SIZ_000144,92x52,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000008(90x50)
PRD_000039,투명명함,SIZ_000144,92x52,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000008(90x50)
PRD_000040,화이트인쇄명함,SIZ_000144,92x52,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000008(90x50)
PRD_000041,스탠다드 쿠폰/상품권,SIZ_000150,152x79,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000041,스탠다드 쿠폰/상품권,SIZ_000149,152x72,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000013(148x68)
PRD_000042,프리미엄 쿠폰/상품권,SIZ_000149,152x72,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000013(148x68)
PRD_000042,프리미엄 쿠폰/상품권,SIZ_000150,152x79,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000158,66x184,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000037(62x180)
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000159,72x190,,316x467,NOT_REPRODUCIBLE,
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000151,80x104,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000033(76x100)
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000153,80x124,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000034(76x120)
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000152,86x110,,316x467,NOT_REPRODUCIBLE,
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000154,86x130,,316x467,NOT_REPRODUCIBLE,
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000155,90x124,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000035(86x120)
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000156,96x130,,316x467,NOT_REPRODUCIBLE,
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000002,98x98,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000157,104x104,,316x467,NOT_REPRODUCIBLE,
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000160,115x170,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000163,78x113,,316x467,REPRODUCIBLE,SIZ_000041(74x109)
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000164,78x222,,316x467,NOT_REPRODUCIBLE,
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000162,78x152,,316x467,NOT_REPRODUCIBLE,
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000161,78x78,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000039(74x74)
PRD_000045,인쇄헤더택,SIZ_000165,84x84,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000043(80x80)
PRD_000045,인쇄헤더택,SIZ_000166,114x84,,316x467,REPRODUCIBLE,SIZ_000044(110x80)
PRD_000045,인쇄헤더택,SIZ_000167,144x84,,316x467,REPRODUCIBLE,SIZ_000045(140x80)
PRD_000045,인쇄헤더택,SIZ_000168,164x84,,316x467,REPRODUCIBLE,SIZ_000046(160x80)
PRD_000046,라벨/택,SIZ_000169,35x120,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000048(25x110)
PRD_000046,라벨/택,SIZ_000132,50x90,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000047(40x80)
PRD_000046,라벨/택,SIZ_000148,60x60,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000011(50x50)
PRD_000047,소량전단지,SIZ_000171,152x214,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000047,소량전단지,SIZ_000173,216x303,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000047,소량전단지,SIZ_000175,303x426,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000047,소량전단지,SIZ_000177,306x446,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000048,접지리플렛,SIZ_000178,214x152,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000048,접지리플렛,SIZ_000180,302x216,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000048,접지리플렛,SIZ_000179,303x216,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000048,접지리플렛,SIZ_000184,424x303,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000048,접지리플렛,SIZ_000182,425x303,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000048,접지리플렛,SIZ_000181,426x303,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000049,와이드 접지리플렛,SIZ_000186,635x303,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000049,와이드 접지리플렛,SIZ_000188,644x303,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000049,와이드 접지리플렛,SIZ_000190,646x303,OUTPUT_PAPER_TYPE.03,330x660,NOT_REPRODUCIBLE,
PRD_000050,봉투제작,SIZ_000191,225x193,,,NOT_REPRODUCIBLE,
PRD_000050,봉투제작,SIZ_000192,238x262,,,NOT_REPRODUCIBLE,
PRD_000050,봉투제작,SIZ_000193,262x238,,,NOT_REPRODUCIBLE,
PRD_000050,봉투제작,SIZ_000194,510x387,,,NOT_REPRODUCIBLE,
PRD_000051,썬캡,SIZ_000195,313x400,,330x540,REPRODUCIBLE,SIZ_000195(313x400)
PRD_000052,반칼 자유형 스티커,SIZ_000057,105x148,OUTPUT_PAPER_TYPE.03,317x440,REPRODUCIBLE,SIZ_000196(A6(105x148mm))
PRD_000052,반칼 자유형 스티커,SIZ_000007,148x210,,316x467,NOT_REPRODUCIBLE,
PRD_000052,반칼 자유형 스티커,SIZ_000050,210x297,,316x467,NOT_REPRODUCIBLE,
PRD_000053,반칼 자유형 투명스티커,SIZ_000057,105x148,OUTPUT_PAPER_TYPE.03,317x440,REPRODUCIBLE,SIZ_000196(A6(105x148mm))
PRD_000053,반칼 자유형 투명스티커,SIZ_000007,148x210,,316x467,NOT_REPRODUCIBLE,
PRD_000053,반칼 자유형 투명스티커,SIZ_000050,210x297,,316x467,NOT_REPRODUCIBLE,
PRD_000054,반칼 자유형 홀로그램스티커,SIZ_000057,105x148,OUTPUT_PAPER_TYPE.03,317x440,REPRODUCIBLE,SIZ_000196(A6(105x148mm))
PRD_000054,반칼 자유형 홀로그램스티커,SIZ_000007,148x210,,316x467,NOT_REPRODUCIBLE,
PRD_000054,반칼 자유형 홀로그램스티커,SIZ_000050,210x297,,316x467,NOT_REPRODUCIBLE,
PRD_000055,낱장 자유형 스티커,SIZ_000050,210x297,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000055,낱장 자유형 스티커,SIZ_000052,297x420,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000055,낱장 자유형 스티커,SIZ_000198,420x594,OUTPUT_PAPER_TYPE.03,,REPRODUCIBLE,SIZ_000197(A2(420x594mm))
PRD_000056,낱장 자유형 투명스티커,SIZ_000050,210x297,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000056,낱장 자유형 투명스티커,SIZ_000052,297x420,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000056,낱장 자유형 투명스티커,SIZ_000198,420x594,OUTPUT_PAPER_TYPE.03,,REPRODUCIBLE,SIZ_000197(A2(420x594mm))
PRD_000057,대형 자유형 스티커,SIZ_000199,400x600,OUTPUT_PAPER_TYPE.03,,REPRODUCIBLE,SIZ_000199(400x600)
PRD_000058,반칼원형스티커,SIZ_000007,148x210,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000058,반칼원형스티커,SIZ_000050,210x297,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000059,반칼정사각스티커,SIZ_000007,148x210,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000059,반칼정사각스티커,SIZ_000050,210x297,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000060,반칼직사각스티커,SIZ_000007,148x210,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000060,반칼직사각스티커,SIZ_000050,210x297,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000061,반칼띠지스티커,SIZ_000007,148x210,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000061,반칼띠지스티커,SIZ_000050,210x297,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000062,반칼팬시스티커,SIZ_000202,94x194,,317x440,REPRODUCIBLE,SIZ_000060(90x190)
PRD_000062,반칼팬시스티커,SIZ_000200,104x144,OUTPUT_PAPER_TYPE.03,317x440,REPRODUCIBLE,SIZ_000058(100x140)
PRD_000062,반칼팬시스티커,SIZ_000201,128x190,,317x440,REPRODUCIBLE,SIZ_000059(124x186)
PRD_000063,반칼팬시투명스티커,SIZ_000202,94x194,,317x440,REPRODUCIBLE,SIZ_000060(90x190)
PRD_000063,반칼팬시투명스티커,SIZ_000200,104x144,OUTPUT_PAPER_TYPE.03,317x440,REPRODUCIBLE,SIZ_000058(100x140)
PRD_000063,반칼팬시투명스티커,SIZ_000201,128x190,,317x440,REPRODUCIBLE,SIZ_000059(124x186)
PRD_000064,소량자유형스티커,SIZ_000063,50x94,,307x430,REPRODUCIBLE,SIZ_000063(50x94)
PRD_000064,소량자유형스티커,SIZ_000061,50x70,OUTPUT_PAPER_TYPE.03,307x430,REPRODUCIBLE,SIZ_000061(50x70)
PRD_000064,소량자유형스티커,SIZ_000065,65x65,,307x430,REPRODUCIBLE,SIZ_000065(65x65)
PRD_000064,소량자유형스티커,SIZ_000062,70x50,,307x430,REPRODUCIBLE,SIZ_000062(70x50)
PRD_000064,소량자유형스티커,SIZ_000043,80x80,,316x467,REPRODUCIBLE,SIZ_000043(80x80)
PRD_000064,소량자유형스티커,SIZ_000064,94x50,,307x430,REPRODUCIBLE,SIZ_000064(94x50)
PRD_000064,소량자유형스티커,SIZ_000036,94x94,,316x467,REPRODUCIBLE,SIZ_000036(94x94)
PRD_000065,스티커팩,SIZ_000068,75x110,OUTPUT_PAPER_TYPE.03,330x470,REPRODUCIBLE,SIZ_000068(75x110)
PRD_000066,합판도무송스티커,SIZ_000225,45x63,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000229,52x53,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000210,55x55,,,REPRODUCIBLE,SIZ_000221(정사각55x55mm(1EA))
PRD_000066,합판도무송스티커,SIZ_000231,60x53,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000148,60x60,,316x467,REPRODUCIBLE,SIZ_000222(정사각60x60mm(1EA))
PRD_000066,합판도무송스티커,SIZ_000233,60x73,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000239,65x61,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000241,65x79,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000065,65x65,,307x430,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000235,65x43,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000237,65x53,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000211,70x70,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000203,72x46,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000207,73x40,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000227,73x50,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000205,77x53,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000204,79x43,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000208,83x45,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000206,91x35,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000209,93x50,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000113,100x100,,316x467,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000147,100x60,,316x467,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000243,100x50,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000246,100x70,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000248,100x80,,,NOT_REPRODUCIBLE,
PRD_000066,합판도무송스티커,SIZ_000017,100x90,,316x467,NOT_REPRODUCIBLE,
PRD_000067,타투스티커,SIZ_000060,90x190,OUTPUT_PAPER_TYPE.03,317x440,REPRODUCIBLE,SIZ_000060(90x190)
PRD_000068,중철책자,SIZ_000250,150x214,,,NOT_REPRODUCIBLE,
PRD_000068,중철책자,SIZ_000252,213x303,,,NOT_REPRODUCIBLE,
PRD_000068,중철책자,SIZ_000251,300x214,,,NOT_REPRODUCIBLE,
PRD_000068,중철책자,SIZ_000181,426x303,,316x467,NOT_REPRODUCIBLE,
PRD_000069,무선책자,SIZ_000250,150x214,,,NOT_REPRODUCIBLE,
PRD_000069,무선책자,SIZ_000252,213x303,,,NOT_REPRODUCIBLE,
PRD_000070,PUR책자,SIZ_000250,150x214,,,NOT_REPRODUCIBLE,
PRD_000070,PUR책자,SIZ_000252,213x303,,,NOT_REPRODUCIBLE,
PRD_000071,트윈링책자,SIZ_000250,150x214,,,NOT_REPRODUCIBLE,
PRD_000071,트윈링책자,SIZ_000252,213x303,,,NOT_REPRODUCIBLE,
PRD_000071,트윈링책자,SIZ_000254,214x150,,,NOT_REPRODUCIBLE,
PRD_000071,트윈링책자,SIZ_000173,216x303,,316x467,NOT_REPRODUCIBLE,
PRD_000071,트윈링책자,SIZ_000256,303x213,,,NOT_REPRODUCIBLE,
PRD_000072,하드커버책자,SIZ_000250,150x214,,,NOT_REPRODUCIBLE,
PRD_000072,하드커버책자,SIZ_000252,213x303,,,NOT_REPRODUCIBLE,
PRD_000077,레더 하드커버책자,SIZ_000250,150x214,,,NOT_REPRODUCIBLE,
PRD_000077,레더 하드커버책자,SIZ_000252,213x303,,,NOT_REPRODUCIBLE,
PRD_000082,하드커버 링책자,SIZ_000250,150x214,,,NOT_REPRODUCIBLE,
PRD_000082,하드커버 링책자,SIZ_000254,214x150,,,NOT_REPRODUCIBLE,
PRD_000082,하드커버 링책자,SIZ_000173,216x303,,316x467,NOT_REPRODUCIBLE,
PRD_000082,하드커버 링책자,SIZ_000179,303x216,,316x467,NOT_REPRODUCIBLE,
PRD_000088,레더 링바인더,SIZ_000259,611x374,,,NOT_REPRODUCIBLE,
PRD_000088,레더 링바인더,SIZ_000260,622x374,,,NOT_REPRODUCIBLE,
PRD_000088,레더 링바인더,SIZ_000261,636x374,,,NOT_REPRODUCIBLE,
PRD_000094,엽서북,SIZ_000114,102x152,,316x467,REPRODUCIBLE,SIZ_000003(100x150)
PRD_000094,엽서북,SIZ_000115,137x137,,316x467,REPRODUCIBLE,SIZ_000004(135x135)
PRD_000094,엽서북,SIZ_000263,152x102,,316x467,NOT_REPRODUCIBLE,
PRD_000094,엽서북,SIZ_000262,218x160,,316x467,NOT_REPRODUCIBLE,
PRD_000094,엽서북,SIZ_000265,288x145,,316x467,NOT_REPRODUCIBLE,
PRD_000094,엽서북,SIZ_000264,318x110,,316x467,NOT_REPRODUCIBLE,
PRD_000097,떡메모지,SIZ_000267,74x124,,,NOT_REPRODUCIBLE,
PRD_000097,떡메모지,SIZ_000036,94x94,,316x467,NOT_REPRODUCIBLE,
PRD_000100,포토북 [디자인명],SIZ_000250,150x214,,,NOT_REPRODUCIBLE,
PRD_000100,포토북 [디자인명],SIZ_000270,203x203,,,NOT_REPRODUCIBLE,
PRD_000100,포토북 [디자인명],SIZ_000252,213x303,,,NOT_REPRODUCIBLE,
PRD_000100,포토북 [디자인명],SIZ_000275,254x254,,,NOT_REPRODUCIBLE,
PRD_000100,포토북 [디자인명],SIZ_000279,314x224,,,NOT_REPRODUCIBLE,
PRD_000100,포토북 [디자인명],SIZ_000278,352x248,,,NOT_REPRODUCIBLE,
PRD_000100,포토북 [디자인명],SIZ_000273,420x213,,,NOT_REPRODUCIBLE,
PRD_000100,포토북 [디자인명],SIZ_000281,440x313,,,NOT_REPRODUCIBLE,
PRD_000100,포토북 [디자인명],SIZ_000272,460x235,,,NOT_REPRODUCIBLE,
PRD_000100,포토북 [디자인명],SIZ_000280,472x334,,,NOT_REPRODUCIBLE,
PRD_000100,포토북 [디자인명],SIZ_000277,556x285,,,NOT_REPRODUCIBLE,
PRD_000108,탁상형캘린더,SIZ_000283,134x224,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000070(130x220)
PRD_000108,탁상형캘린더,SIZ_000282,224x149,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000069(220x145)
PRD_000109,미니탁상형캘린더,SIZ_000284,94x104,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000109,미니탁상형캘린더,SIZ_000285,152x64,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000071(148x60)
PRD_000110,엽서캘린더,SIZ_000283,134x224,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000070(130x220)
PRD_000110,엽서캘린더,SIZ_000288,149x304,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000074(145x300)
PRD_000110,엽서캘린더,SIZ_000286,149x149,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000072(145x145)
PRD_000110,엽서캘린더,SIZ_000171,152x214,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000110,엽서캘린더,SIZ_000287,224x134,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000073(220x130)
PRD_000110,엽서캘린더,SIZ_000282,224x149,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000069(220x145)
PRD_000111,벽걸이캘린더,SIZ_000290,214x424,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000075(210x420)
PRD_000111,벽걸이캘린더,SIZ_000289,214x301,OUTPUT_PAPER_TYPE.03,316x467,NOT_REPRODUCIBLE,
PRD_000111,벽걸이캘린더,SIZ_000291,304x424,OUTPUT_PAPER_TYPE.03,316x467,REPRODUCIBLE,SIZ_000076(300x420)
PRD_000112,와이드벽걸이캘린더,SIZ_000292,304x629,OUTPUT_PAPER_TYPE.03,330x660,REPRODUCIBLE,SIZ_000077(300x625)
PRD_000118,아트프린트포스터,SIZ_000052,297x420,,316x467,NOT_REPRODUCIBLE,
PRD_000118,아트프린트포스터,SIZ_000198,420x594,,,REPRODUCIBLE,SIZ_000197(A2(420x594mm))
PRD_000118,아트프린트포스터,SIZ_000294,594x841,,,REPRODUCIBLE,SIZ_000293(A1(594x841mm))
PRD_000119,아트페이퍼포스터,SIZ_000052,297x420,,316x467,NOT_REPRODUCIBLE,
