comp_cd,apply_ymd,from_siz_cd,to_siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,old_comp_price_id
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",10000,54.00,1131
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",1000000,54.00,1135
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",1200,95.00,1071
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",1400,88.00,1075
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",15,610.00,967
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",150,190.00,1019
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",1600,88.00,1079
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",1800,81.00,1083
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",2,2500.00,931
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",20,540.00,971
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",200,180.00,1023
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",2000,81.00,1087
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",25,470.00,975
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",250,160.00,1027
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",2500,75.00,1091
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",3,2000.00,935
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",30,410.00,979
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",300,150.00,1031
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",3000,75.00,1095
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",35,380.00,983
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",350,140.00,1035
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",3500,68.00,1099
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",4,1800.00,939
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",40,340.00,987
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",400,120.00,1039
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",4000,68.00,1103
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",45,340.00,991
