prd_cd,상품명,상품군,등급,축,근거
PRD_000156,아크릴지비츠,아크릴,L2+,공정,축 needed=Y이나 라이브 미적재
PRD_000166,아크릴카라비너,아크릴,L3,공정,축 needed=Y이나 라이브 미적재
PRD_000164,아크릴코롯토,아크릴,L3,공정,축 needed=Y이나 라이브 미적재
PRD_000159,아크릴 코스터,아크릴,L2+,공정,축 needed=Y이나 라이브 미적재
PRD_000123,아트패브릭포스터,실사,L3,공정,축 needed=Y이나 라이브 미적재
PRD_000123,아트패브릭포스터,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000119,아트페이퍼포스터,실사,L3,공정,축 needed=Y이나 라이브 미적재
PRD_000119,아트페이퍼포스터,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000118,아트프린트포스터,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000205,양말,굿즈파우치,L1,자재,축 needed=Y이나 라이브 미적재
PRD_000205,양말,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000049,와이드 접지리플렛,디지털인쇄,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000007,와이어링,상품악세사리,L1(기성),사이즈,축 needed=Y이나 라이브 미적재
PRD_000012,우드거치대,상품악세사리,L1(기성),사이즈,축 needed=Y이나 라이브 미적재
PRD_000013,우드봉,상품악세사리,L1(기성),사이즈,축 needed=Y이나 라이브 미적재
PRD_000190,우드코스터,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000190,우드코스터,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000014,우드행거,상품악세사리,L1(기성),사이즈,축 needed=Y이나 라이브 미적재
PRD_000194,워터북보틀,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000194,워터북보틀,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000142,유광아크릴스티커,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000229,이미지피켓,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000229,이미지피켓,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000138,일반현수막,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000214,자석북마크,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000214,자석북마크,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000211,장패드,굿즈파우치,L1,자재,축 needed=Y이나 라이브 미적재
PRD_000211,장패드,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000048,접지리플렛,디지털인쇄,L2+,사이즈,축 needed=Y이나 라이브 미적재
PRD_000121,접착방수포스터,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000122,접착투명포스터,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000135,족자포스터,실사,L2,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000008,천정고리,상품악세사리,L1(기성),사이즈,축 needed=Y이나 라이브 미적재
PRD_000210,초슬림마우스패드,굿즈파우치,L1,자재,축 needed=Y이나 라이브 미적재
PRD_000210,초슬림마우스패드,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
