comp_cd,apply_ymd,siz_cd,mat_cd,min_qty,unit_price,note,src_col,src_row
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,70,5900.00,권위 스티커 r23 c14 · 묶음 유포/비코팅/미색,c14,23
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,75,5700.00,권위 스티커 r24 c14 · 묶음 유포/비코팅/미색,c14,24
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,80,5700.00,권위 스티커 r25 c14 · 묶음 유포/비코팅/미색,c14,25
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,90,5700.00,권위 스티커 r26 c14 · 묶음 유포/비코팅/미색,c14,26
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,100,5700.00,권위 스티커 r27 c14 · 묶음 유포/비코팅/미색,c14,27
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,120,5700.00,권위 스티커 r28 c14 · 묶음 유포/비코팅/미색,c14,28
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,125,5700.00,권위 스티커 r29 c14 · 묶음 유포/비코팅/미색,c14,29
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,140,5700.00,권위 스티커 r30 c14 · 묶음 유포/비코팅/미색,c14,30
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,150,5700.00,권위 스티커 r31 c14 · 묶음 유포/비코팅/미색,c14,31
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,160,5700.00,권위 스티커 r32 c14 · 묶음 유포/비코팅/미색,c14,32
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,175,5500.00,권위 스티커 r33 c14 · 묶음 유포/비코팅/미색,c14,33
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,180,5500.00,권위 스티커 r34 c14 · 묶음 유포/비코팅/미색,c14,34
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,200,5300.00,권위 스티커 r35 c14 · 묶음 유포/비코팅/미색,c14,35
STK_KISSCUT_PRINT,2026-09-02,SIZ_000057,MAT_000611,250,5100.00,권위 스티커 r36 c14 · 묶음 유포/비코팅/미색,c14,36
