comp_cd,proc_cd,siz_width,siz_height,min_qty,unit_price,grade,authority_source
COMP_FOIL_SETUP_LARGE,PROC_000039,70,50,,11000,,"price-foil-large-l1.csv B01 동판비[가로70][세로50] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,70,70,,11000,,"price-foil-large-l1.csv B01 동판비[가로70][세로70] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,70,90,,14000,,"price-foil-large-l1.csv B01 동판비[가로70][세로90] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,70,110,,17000,,"price-foil-large-l1.csv B01 동판비[가로70][세로110] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,70,130,,20000,,"price-foil-large-l1.csv B01 동판비[가로70][세로130] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,70,150,,23000,,"price-foil-large-l1.csv B01 동판비[가로70][세로150] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,70,170,,27000,,"price-foil-large-l1.csv B01 동판비[가로70][세로170] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,90,30,,11000,,"price-foil-large-l1.csv B01 동판비[가로90][세로30] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,90,50,,11000,,"price-foil-large-l1.csv B01 동판비[가로90][세로50] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,90,70,,14000,,"price-foil-large-l1.csv B01 동판비[가로90][세로70] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,90,90,,18000,,"price-foil-large-l1.csv B01 동판비[가로90][세로90] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,90,110,,22000,,"price-foil-large-l1.csv B01 동판비[가로90][세로110] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,90,130,,26000,,"price-foil-large-l1.csv B01 동판비[가로90][세로130] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,90,150,,30000,,"price-foil-large-l1.csv B01 동판비[가로90][세로150] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,90,170,,34000,,"price-foil-large-l1.csv B01 동판비[가로90][세로170] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,110,30,,11000,,"price-foil-large-l1.csv B01 동판비[가로110][세로30] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,110,50,,12000,,"price-foil-large-l1.csv B01 동판비[가로110][세로50] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,110,70,,17000,,"price-foil-large-l1.csv B01 동판비[가로110][세로70] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,110,90,,22000,,"price-foil-large-l1.csv B01 동판비[가로110][세로90] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,110,110,,27000,,"price-foil-large-l1.csv B01 동판비[가로110][세로110] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,110,130,,32000,,"price-foil-large-l1.csv B01 동판비[가로110][세로130] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,110,150,,37000,,"price-foil-large-l1.csv B01 동판비[가로110][세로150] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,110,170,,42000,,"price-foil-large-l1.csv B01 동판비[가로110][세로170] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,130,30,,11000,,"price-foil-large-l1.csv B01 동판비[가로130][세로30] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,130,50,,15000,,"price-foil-large-l1.csv B01 동판비[가로130][세로50] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,130,70,,20000,,"price-foil-large-l1.csv B01 동판비[가로130][세로70] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,130,90,,26000,,"price-foil-large-l1.csv B01 동판비[가로130][세로90] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,130,110,,32000,,"price-foil-large-l1.csv B01 동판비[가로130][세로110] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,130,130,,38000,,"price-foil-large-l1.csv B01 동판비[가로130][세로130] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,130,150,,43000,,"price-foil-large-l1.csv B01 동판비[가로130][세로150] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,130,170,,49000,,"price-foil-large-l1.csv B01 동판비[가로130][세로170] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,150,30,,11000,,"price-foil-large-l1.csv B01 동판비[가로150][세로30] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,150,50,,17000,,"price-foil-large-l1.csv B01 동판비[가로150][세로50] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,150,70,,23000,,"price-foil-large-l1.csv B01 동판비[가로150][세로70] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,150,90,,30000,,"price-foil-large-l1.csv B01 동판비[가로150][세로90] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,150,110,,37000,,"price-foil-large-l1.csv B01 동판비[가로150][세로110] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,150,130,,43000,,"price-foil-large-l1.csv B01 동판비[가로150][세로130] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,150,150,,50000,,"price-foil-large-l1.csv B01 동판비[가로150][세로150] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,150,170,,56000,,"price-foil-large-l1.csv B01 동판비[가로150][세로170] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,170,30,,12000,,"price-foil-large-l1.csv B01 동판비[가로170][세로30] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,170,50,,19000,,"price-foil-large-l1.csv B01 동판비[가로170][세로50] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,170,70,,27000,,"price-foil-large-l1.csv B01 동판비[가로170][세로70] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,170,90,,34000,,"price-foil-large-l1.csv B01 동판비[가로170][세로90] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,170,110,,42000,,"price-foil-large-l1.csv B01 동판비[가로170][세로110] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,170,130,,49000,,"price-foil-large-l1.csv B01 동판비[가로170][세로130] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,170,150,,56000,,"price-foil-large-l1.csv B01 동판비[가로170][세로150] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000039,170,170,,64000,,"price-foil-large-l1.csv B01 동판비[가로170][세로170] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000041,30,30,,11000,,"price-foil-large-l1.csv B01 동판비[가로30][세로30] verbatim"
COMP_FOIL_SETUP_LARGE,PROC_000041,30,50,,11000,,"price-foil-large-l1.csv B01 동판비[가로30][세로50] verbatim"
