source,sheet,context,size_label,semantic_axis_guess
pricetable,포스터사인,아트프린트포스터 (인화지),99.0,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),10000.0,면적매트릭스(세로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,20mm,면적매트릭스(가로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,30mm,면적매트릭스(가로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,40mm,면적매트릭스(가로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,50mm,면적매트릭스(가로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,60mm,면적매트릭스(가로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,70mm,면적매트릭스(가로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,80mm,면적매트릭스(가로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,90mm,면적매트릭스(가로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,100mm,면적매트릭스(가로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,120mm,면적매트릭스(가로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,140mm,면적매트릭스(가로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,160mm,면적매트릭스(가로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,180mm,면적매트릭스(가로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,200mm,면적매트릭스(가로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,20mm,면적매트릭스(세로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,30mm,면적매트릭스(세로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,40mm,면적매트릭스(세로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,50mm,면적매트릭스(세로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,60mm,면적매트릭스(세로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,70mm,면적매트릭스(세로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,80mm,면적매트릭스(세로축)
pricetable,아크릴,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,90mm,면적매트릭스(세로축)
