source,sheet,product_or_context,display_name,raw_dims,unit,semantic_axis_guess
master,디지털인쇄,코팅명함,90 x 50 mm,"{""work"": ""92 x 52"", ""cut"": ""90 x 50""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,86 x 52 mm,"{""work"": ""88 x 54"", ""cut"": ""86 x 52""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,스탠다드명함,90 x 50 mm,"{""work"": ""92 x 52"", ""cut"": ""90 x 50""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,86 x 52 mm,"{""work"": ""88 x 54"", ""cut"": ""86 x 52""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,펄명함,90 x 50 mm,"{""work"": ""92 x 52"", ""cut"": ""90 x 50""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,모양명함,90 x 50 mm,"{""work"": ""100 x 60"", ""cut"": ""90 x 50""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,미니모양명함,50 x 50 mm,"{""work"": ""60 x 60"", ""cut"": ""50 x 50""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,오리지널박명함,90 x 50 mm,"{""work"": ""90 x 50"", ""cut"": ""90 x 50""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,형압명함,90 x 50 mm,"{""work"": ""92 x 52"", ""cut"": ""90 x 50""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,투명명함,90 x 50 mm,"{""work"": ""92 x 52"", ""cut"": ""90 x 50""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,화이트인쇄명함,90 x 50 mm,"{""work"": ""92 x 52"", ""cut"": ""90 x 50""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,스탠다드 쿠폰/상품권,148 x 68 mm,"{""work"": ""152 x 72"", ""cut"": ""148 x 68""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,148 x 75 mm,"{""work"": ""152 x 79"", ""cut"": ""148 x 75""}",mm,작업/재단(완제 디스플레이)
