code,display_name,raw_value_json,unit,semantic_axis,product_bindings,price_dependent,source,note
SIZ_000031,600x150,"{""work_w"": ""604.00"", ""work_h"": ""154.00"", ""cut_w"": ""600.00"", ""cut_h"": ""150.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000032,150x600,"{""work_w"": ""154.00"", ""work_h"": ""604.00"", ""cut_w"": ""150.00"", ""cut_h"": ""600.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000033,76x100,"{""work_w"": ""80.00"", ""work_h"": ""104.00"", ""cut_w"": ""76.00"", ""cut_h"": ""100.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000034,76x120,"{""work_w"": ""80.00"", ""work_h"": ""124.00"", ""cut_w"": ""76.00"", ""cut_h"": ""120.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000035,86x120,"{""work_w"": ""90.00"", ""work_h"": ""124.00"", ""cut_w"": ""86.00"", ""cut_h"": ""120.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000036,94x94,"{""work_w"": ""98.00"", ""work_h"": ""98.00"", ""cut_w"": ""94.00"", ""cut_h"": ""94.00""}",mm,작업+재단 보유,prd_sizes=2;plate=2,Y,live,cp_rows=180
SIZ_000037,62x180,"{""work_w"": ""66.00"", ""work_h"": ""184.00"", ""cut_w"": ""62.00"", ""cut_h"": ""180.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000038,105x160,"{""work_w"": ""109.00"", ""work_h"": ""164.00"", ""cut_w"": ""105.00"", ""cut_h"": ""160.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000039,74x74,"{""work_w"": ""78.00"", ""work_h"": ""78.00"", ""cut_w"": ""74.00"", ""cut_h"": ""74.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000040,74x148,"{""work_w"": ""78.00"", ""work_h"": ""152.00"", ""cut_w"": ""74.00"", ""cut_h"": ""148.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
SIZ_000041,74x109,"{""work_w"": ""78.00"", ""work_h"": ""113.00"", ""cut_w"": ""74.00"", ""cut_h"": ""109.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000042,74x218,"{""work_w"": ""78.00"", ""work_h"": ""222.00"", ""cut_w"": ""74.00"", ""cut_h"": ""218.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
SIZ_000043,80x80,"{""work_w"": ""84.00"", ""work_h"": ""84.00"", ""cut_w"": ""80.00"", ""cut_h"": ""80.00""}",mm,작업+재단 보유,prd_sizes=4;plate=2,Y,live,cp_rows=180
SIZ_000044,110x80,"{""work_w"": ""114.00"", ""work_h"": ""84.00"", ""cut_w"": ""110.00"", ""cut_h"": ""80.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000045,140x80,"{""work_w"": ""144.00"", ""work_h"": ""84.00"", ""cut_w"": ""140.00"", ""cut_h"": ""80.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000046,160x80,"{""work_w"": ""164.00"", ""work_h"": ""84.00"", ""cut_w"": ""160.00"", ""cut_h"": ""80.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000047,40x80,"{""work_w"": ""50.00"", ""work_h"": ""90.00"", ""cut_w"": ""40.00"", ""cut_h"": ""80.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000048,25x110,"{""work_w"": ""35.00"", ""work_h"": ""120.00"", ""cut_w"": ""25.00"", ""cut_h"": ""110.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000049,210x148,"{""work_w"": ""214.00"", ""work_h"": ""152.00"", ""cut_w"": ""210.00"", ""cut_h"": ""148.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
SIZ_000050,A4 (210X297),"{""work_w"": ""216.00"", ""work_h"": ""303.00"", ""cut_w"": ""210.00"", ""cut_h"": ""297.00""}",mm,작업+재단 보유,prd_sizes=1;plate=13,N,live,
SIZ_000051,297x210,"{""work_w"": ""303.00"", ""work_h"": ""216.00"", ""cut_w"": ""297.00"", ""cut_h"": ""210.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
SIZ_000052,A3 (297X420),"{""work_w"": ""303.00"", ""work_h"": ""426.00"", ""cut_w"": ""297.00"", ""cut_h"": ""420.00""}",mm,작업+재단 보유,prd_sizes=0;plate=19,N,live,
SIZ_000053,300x440,"{""work_w"": ""306.00"", ""work_h"": ""446.00"", ""cut_w"": ""300.00"", ""cut_h"": ""440.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,del_yn=Y(논리삭제)
SIZ_000054,420x297,"{""work_w"": ""426.00"", ""work_h"": ""303.00"", ""cut_w"": ""420.00"", ""cut_h"": ""297.00""}",mm,작업+재단 보유,prd_sizes=0;plate=1,N,live,
SIZ_000055,640x297,"{""work_w"": ""646.00"", ""work_h"": ""303.00"", ""cut_w"": ""640.00"", ""cut_h"": ""297.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
SIZ_000056,320x404,"{""work_w"": ""320.00"", ""work_h"": ""404.00"", ""cut_w"": ""320.00"", ""cut_h"": ""404.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
SIZ_000057,A6 (105X148),"{""work_w"": ""105.00"", ""work_h"": ""148.00"", ""cut_w"": ""105.00"", ""cut_h"": ""148.00""}",mm,작업+재단 보유,prd_sizes=0;plate=3,N,live,
SIZ_000058,100x140,"{""work_w"": ""104.00"", ""work_h"": ""144.00"", ""cut_w"": ""100.00"", ""cut_h"": ""140.00""}",mm,작업+재단 보유,prd_sizes=2;plate=0,N,live,
SIZ_000059,124x186,"{""work_w"": ""128.00"", ""work_h"": ""190.00"", ""cut_w"": ""124.00"", ""cut_h"": ""186.00""}",mm,작업+재단 보유,prd_sizes=2;plate=0,Y,live,cp_rows=252
SIZ_000060,90x190,"{""work_w"": ""94.00"", ""work_h"": ""194.00"", ""cut_w"": ""90.00"", ""cut_h"": ""190.00""}",mm,작업+재단 보유,prd_sizes=3;plate=1,Y,live,cp_rows=253
SIZ_000061,50x70,"{""work_w"": ""50.00"", ""work_h"": ""70.00"", ""cut_w"": ""50.00"", ""cut_h"": ""70.00""}",mm,작업+재단 보유,prd_sizes=1;plate=1,Y,live,cp_rows=180
SIZ_000062,70x50,"{""work_w"": ""70.00"", ""work_h"": ""50.00"", ""cut_w"": ""70.00"", ""cut_h"": ""50.00""}",mm,작업+재단 보유,prd_sizes=1;plate=1,Y,live,cp_rows=180
SIZ_000063,50x94,"{""work_w"": ""50.00"", ""work_h"": ""94.00"", ""cut_w"": ""50.00"", ""cut_h"": ""94.00""}",mm,작업+재단 보유,prd_sizes=1;plate=1,Y,live,cp_rows=180
SIZ_000064,94x50,"{""work_w"": ""94.00"", ""work_h"": ""50.00"", ""cut_w"": ""94.00"", ""cut_h"": ""50.00""}",mm,작업+재단 보유,prd_sizes=1;plate=1,Y,live,cp_rows=180
SIZ_000065,65x65,"{""work_w"": ""65.00"", ""work_h"": ""65.00"", ""cut_w"": ""65.00"", ""cut_h"": ""65.00""}",mm,작업+재단 보유,prd_sizes=1;plate=2,Y,live,cp_rows=180
SIZ_000066,75x94,"{""work_w"": ""75.00"", ""work_h"": ""94.00"", ""cut_w"": ""75.00"", ""cut_h"": ""94.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
SIZ_000067,140x100,"{""work_w"": ""140.00"", ""work_h"": ""100.00"", ""cut_w"": ""140.00"", ""cut_h"": ""100.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
SIZ_000068,75x110,"{""work_w"": ""75.00"", ""work_h"": ""110.00"", ""cut_w"": ""75.00"", ""cut_h"": ""110.00""}",mm,작업+재단 보유,prd_sizes=1;plate=1,Y,live,cp_rows=1
SIZ_000069,220x145,"{""work_w"": ""224.00"", ""work_h"": ""149.00"", ""cut_w"": ""220.00"", ""cut_h"": ""145.00""}",mm,작업+재단 보유,prd_sizes=2;plate=0,N,live,
SIZ_000070,130x220,"{""work_w"": ""134.00"", ""work_h"": ""224.00"", ""cut_w"": ""130.00"", ""cut_h"": ""220.00""}",mm,작업+재단 보유,prd_sizes=2;plate=0,N,live,
SIZ_000071,148x60,"{""work_w"": ""152.00"", ""work_h"": ""64.00"", ""cut_w"": ""148.00"", ""cut_h"": ""60.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000072,145x145,"{""work_w"": ""149.00"", ""work_h"": ""149.00"", ""cut_w"": ""145.00"", ""cut_h"": ""145.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000073,220x130,"{""work_w"": ""224.00"", ""work_h"": ""134.00"", ""cut_w"": ""220.00"", ""cut_h"": ""130.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000074,145x300,"{""work_w"": ""149.00"", ""work_h"": ""304.00"", ""cut_w"": ""145.00"", ""cut_h"": ""300.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000075,210x420,"{""work_w"": ""214.00"", ""work_h"": ""424.00"", ""cut_w"": ""210.00"", ""cut_h"": ""420.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000076,300x420,"{""work_w"": ""304.00"", ""work_h"": ""424.00"", ""cut_w"": ""300.00"", ""cut_h"": ""420.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000077,300x625,"{""work_w"": ""304.00"", ""work_h"": ""629.00"", ""cut_w"": ""300.00"", ""cut_h"": ""625.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,Y,live,cp_rows=152
SIZ_000078,70x200mm(50장),"{""work_w"": ""70.00"", ""work_h"": ""200.00"", ""cut_w"": ""70.00"", ""cut_h"": ""200.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000079,80x100mm(50장),"{""work_w"": ""80.00"", ""work_h"": ""100.00"", ""cut_w"": ""80.00"", ""cut_h"": ""100.00""}",mm,작업+재단 보유,prd_sizes=2;plate=0,N,both,
SIZ_000080,80x120mm(50장),"{""work_w"": ""80.00"", ""work_h"": ""120.00"", ""cut_w"": ""80.00"", ""cut_h"": ""120.00""}",mm,작업+재단 보유,prd_sizes=2;plate=0,N,both,
SIZ_000081,80x180mm(50장),"{""work_w"": ""80.00"", ""work_h"": ""180.00"", ""cut_w"": ""80.00"", ""cut_h"": ""180.00""}",mm,작업+재단 보유,prd_sizes=2;plate=0,N,both,
SIZ_000082,90x120mm(50장),"{""work_w"": ""90.00"", ""work_h"": ""120.00"", ""cut_w"": ""90.00"", ""cut_h"": ""120.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000083,100x100mm(50장),"{""work_w"": ""100.00"", ""work_h"": ""100.00"", ""cut_w"": ""100.00"", ""cut_h"": ""100.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000084,100x200mm(50장),"{""work_w"": ""100.00"", ""work_h"": ""200.00"", ""cut_w"": ""100.00"", ""cut_h"": ""200.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000085,110x160mm(50장),"{""work_w"": ""110.00"", ""work_h"": ""160.00"", ""cut_w"": ""110.00"", ""cut_h"": ""160.00""}",mm,작업+재단 보유,prd_sizes=2;plate=0,N,both,
SIZ_000086,130x200mm(50장),"{""work_w"": ""130.00"", ""work_h"": ""200.00"", ""cut_w"": ""130.00"", ""cut_h"": ""200.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000087,160x230mm(50장),"{""work_w"": ""160.00"", ""work_h"": ""230.00"", ""cut_w"": ""160.00"", ""cut_h"": ""230.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000088,230x350mm(50장),"{""work_w"": ""230.00"", ""work_h"": ""350.00"", ""cut_w"": ""230.00"", ""cut_h"": ""350.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000089,60x90mm(20장),"{""work_w"": ""60.00"", ""work_h"": ""90.00"", ""cut_w"": ""60.00"", ""cut_h"": ""90.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000090,60x90mm(50장),"{""work_w"": ""60.00"", ""work_h"": ""90.00"", ""cut_w"": ""60.00"", ""cut_h"": ""90.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000091,110x250mm(50장),"{""work_w"": ""110.00"", ""work_h"": ""250.00"", ""cut_w"": ""110.00"", ""cut_h"": ""250.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000092,140x180mm(50장),"{""work_w"": ""140.00"", ""work_h"": ""180.00"", ""cut_w"": ""140.00"", ""cut_h"": ""180.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000093,140x200mm(50장),"{""work_w"": ""140.00"", ""work_h"": ""200.00"", ""cut_w"": ""140.00"", ""cut_h"": ""200.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000094,150x150mm(50장),"{""work_w"": ""150.00"", ""work_h"": ""150.00"", ""cut_w"": ""150.00"", ""cut_h"": ""150.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000095,160x250mm(50장),"{""work_w"": ""160.00"", ""work_h"": ""250.00"", ""cut_w"": ""160.00"", ""cut_h"": ""250.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000096,160x110mm(20장),"{""work_w"": ""160.00"", ""work_h"": ""110.00"", ""cut_w"": ""160.00"", ""cut_h"": ""110.00""}",mm,작업+재단 보유,prd_sizes=2;plate=0,N,both,
SIZ_000097,160x110mm(40장),"{""work_w"": ""160.00"", ""work_h"": ""110.00"", ""cut_w"": ""160.00"", ""cut_h"": ""110.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000098,160x110mm(100장),"{""work_w"": ""160.00"", ""work_h"": ""110.00"", ""cut_w"": ""160.00"", ""cut_h"": ""110.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000099,100x100mm(20장),"{""work_w"": ""100.00"", ""work_h"": ""100.00"", ""cut_w"": ""100.00"", ""cut_h"": ""100.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000100,100x100mm(40장),"{""work_w"": ""100.00"", ""work_h"": ""100.00"", ""cut_w"": ""100.00"", ""cut_h"": ""100.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000101,100x100mm(100장),"{""work_w"": ""100.00"", ""work_h"": ""100.00"", ""cut_w"": ""100.00"", ""cut_h"": ""100.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000102,70x100mm(30장),"{""work_w"": ""70.00"", ""work_h"": ""100.00"", ""cut_w"": ""70.00"", ""cut_h"": ""100.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000103,70x100mm(100장),"{""work_w"": ""70.00"", ""work_h"": ""100.00"", ""cut_w"": ""70.00"", ""cut_h"": ""100.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000104,165x115mm(10장),"{""work_w"": ""165.00"", ""work_h"": ""115.00"", ""cut_w"": ""165.00"", ""cut_h"": ""115.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000105,165x115mm(10장),"{""work_w"": ""165.00"", ""work_h"": ""115.00"", ""cut_w"": ""165.00"", ""cut_h"": ""115.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000106,240x230mm(10장),"{""work_w"": ""240.00"", ""work_h"": ""230.00"", ""cut_w"": ""240.00"", ""cut_h"": ""230.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000107,150x310mm(10장),"{""work_w"": ""150.00"", ""work_h"": ""310.00"", ""cut_w"": ""150.00"", ""cut_h"": ""310.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000108,PP투명케이스42x57x20mm(10개),"{""work_w"": ""42.00"", ""work_h"": ""57.00"", ""cut_w"": ""42.00"", ""cut_h"": ""57.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000109,PP투명케이스75x75x15mm(10개),"{""work_w"": ""75.00"", ""work_h"": ""75.00"", ""cut_w"": ""75.00"", ""cut_h"": ""75.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000110,PP투명케이스75x110x15mm(10개),"{""work_w"": ""75.00"", ""work_h"": ""110.00"", ""cut_w"": ""75.00"", ""cut_h"": ""110.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000111,20x20(20개입),"{""work_w"": ""20.00"", ""work_h"": ""20.00"", ""cut_w"": ""20.00"", ""cut_h"": ""20.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,both,
SIZ_000112,75x100,"{""work_w"": ""75.00"", ""work_h"": ""100.00"", ""cut_w"": """", ""cut_h"": """"}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,del_yn=Y(논리삭제)
SIZ_000113,100x100,"{""work_w"": ""100.00"", ""work_h"": ""100.00"", ""cut_w"": ""100.00"", ""cut_h"": ""100.00""}",mm,작업+재단 보유,prd_sizes=0;plate=5,N,live,
SIZ_000114,102x152,"{""work_w"": ""102.00"", ""work_h"": ""152.00"", ""cut_w"": """", ""cut_h"": """"}",mm,작업+재단 보유,prd_sizes=0;plate=2,N,live,
SIZ_000115,137x137,"{""work_w"": ""137.00"", ""work_h"": ""137.00"", ""cut_w"": """", ""cut_h"": """"}",mm,작업+재단 보유,prd_sizes=0;plate=2,N,live,
SIZ_000116,97x212,"{""work_w"": ""97.00"", ""work_h"": ""212.00"", ""cut_w"": """", ""cut_h"": """"}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,del_yn=Y(논리삭제)
SIZ_000117,112x172,"{""work_w"": ""112.00"", ""work_h"": ""172.00"", ""cut_w"": """", ""cut_h"": """"}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,del_yn=Y(논리삭제)
SIZ_000118,150x212,"{""work_w"": ""150.00"", ""work_h"": ""212.00"", ""cut_w"": """", ""cut_h"": """"}",mm,작업+재단 보유,prd_sizes=0;plate=1,N,live,
SIZ_000119,90x90,"{""work_w"": """", ""work_h"": """", ""cut_w"": ""90.00"", ""cut_h"": ""90.00""}",mm,치수미상/라벨형,prd_sizes=2;plate=0,Y,live,cp_rows=56
SIZ_000120,57x88,"{""work_w"": ""57.00"", ""work_h"": ""88.00"", ""cut_w"": """", ""cut_h"": """"}",mm,작업+재단 보유,prd_sizes=0;plate=1,N,live,
SIZ_000121,302x102,"{""work_w"": ""302.00"", ""work_h"": ""102.00"", ""cut_w"": """", ""cut_h"": """"}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,del_yn=Y(논리삭제)
SIZ_000122,402x147,"{""work_w"": ""402.00"", ""work_h"": ""147.00"", ""cut_w"": """", ""cut_h"": """"}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,del_yn=Y(논리삭제)
SIZ_000123,202x152,"{""work_w"": ""202.00"", ""work_h"": ""152.00"", ""cut_w"": """", ""cut_h"": """"}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,del_yn=Y(논리삭제)
SIZ_000124,150x100,"{""work_w"": """", ""work_h"": """", ""cut_w"": ""150.00"", ""cut_h"": ""100.00""}",mm,치수미상/라벨형,prd_sizes=3;plate=0,Y,live,cp_rows=156
SIZ_000125,152x202,"{""work_w"": ""152.00"", ""work_h"": ""202.00"", ""cut_w"": """", ""cut_h"": """"}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,del_yn=Y(논리삭제)
SIZ_000126,270x135,"{""work_w"": """", ""work_h"": """", ""cut_w"": ""270.00"", ""cut_h"": ""135.00""}",mm,치수미상/라벨형,prd_sizes=0;plate=0,N,live,
SIZ_000127,135x270,"{""work_w"": """", ""work_h"": """", ""cut_w"": ""135.00"", ""cut_h"": ""270.00""}",mm,치수미상/라벨형,prd_sizes=0;plate=0,N,live,
SIZ_000128,224x174,"{""work_w"": ""224.00"", ""work_h"": ""174.00"", ""cut_w"": """", ""cut_h"": """"}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,del_yn=Y(논리삭제)
SIZ_000129,170x110,"{""work_w"": ""170.00"", ""work_h"": ""110.00"", ""cut_w"": ""170.00"", ""cut_h"": ""110.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000130,174x224,"{""work_w"": ""174.00"", ""work_h"": ""224.00"", ""cut_w"": """", ""cut_h"": """"}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,del_yn=Y(논리삭제)
SIZ_000131,92x104,"{""work_w"": ""92.00"", ""work_h"": ""104.00"", ""cut_w"": """", ""cut_h"": """"}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,del_yn=Y(논리삭제)
