comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,note,proc_cd,opt_cd,dim_vals,print_opt_cd,plt_siz_cd,siz_width,siz_height
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,45,250.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 45장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,50,250.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 50장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,60,200.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 60장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,70,200.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 70장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,80,200.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 80장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,90,200.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 90장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,100,200.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 100장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,150,140.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 150장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,200,130.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 200장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,250,120.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 250장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,300,110.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 300장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,350,100.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 350장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,400,90.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 400장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,450,80.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 450장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,500,70.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 500장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,600,70.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 600장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,700,70.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 700장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,800,70.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 800장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,900,70.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 900장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,1000,70.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 1000장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,1200,70.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 1200장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,1400,65.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 1400장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,1600,65.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 1600장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,1800,60.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 1800장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,2000,60.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 2000장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,2500,55.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 2500장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,3000,55.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 3000장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,3500,50.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 3500장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
