comp_cd,comp_price_id,apply_ymd,proc_cd,dv,min_qty,unit_price,note
COMP_PP_CREASE_1L,8214,2026-06-01,PROC_000090,"{""줄수"": 2}",1000,29000.00,오시/2줄 주문수량 1000건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8224,2026-06-01,PROC_000090,"{""줄수"": 3}",1000,33000.00,오시/3줄 주문수량 1000건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8195,2026-06-01,PROC_000090,"{""줄수"": 1}",2000,45000.00,오시/1줄 주문수량 2000건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8215,2026-06-01,PROC_000090,"{""줄수"": 2}",2000,49000.00,오시/2줄 주문수량 2000건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8225,2026-06-01,PROC_000090,"{""줄수"": 3}",2000,53000.00,오시/3줄 주문수량 2000건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8196,2026-06-01,PROC_000090,"{""줄수"": 1}",3000,65000.00,오시/1줄 주문수량 3000건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8216,2026-06-01,PROC_000090,"{""줄수"": 2}",3000,69000.00,오시/2줄 주문수량 3000건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8226,2026-06-01,PROC_000090,"{""줄수"": 3}",3000,73000.00,오시/3줄 주문수량 3000건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8197,2026-06-01,PROC_000090,"{""줄수"": 1}",4000,85000.00,오시/1줄 주문수량 4000건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8217,2026-06-01,PROC_000090,"{""줄수"": 2}",4000,89000.00,오시/2줄 주문수량 4000건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8227,2026-06-01,PROC_000090,"{""줄수"": 3}",4000,93000.00,오시/3줄 주문수량 4000건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8198,2026-06-01,PROC_000090,"{""줄수"": 1}",5000,105000.00,오시/1줄 주문수량 5000건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8218,2026-06-01,PROC_000090,"{""줄수"": 2}",5000,109000.00,오시/2줄 주문수량 5000건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8228,2026-06-01,PROC_000090,"{""줄수"": 3}",5000,113000.00,"오시/3줄 주문수량 5000건 이상 / 작업 1건 고정 금액 · 260831 단가 103,000→113,000 교정(권위 가격표[인쇄후가공] 5000×3줄 · 지니 확정)"
COMP_PP_PERF_1L,5372,2026-06-01,PROC_000086,"{""줄수"": 1}",1,5000.00,미싱/1줄 주문수량 1건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5382,2026-06-01,PROC_000086,"{""줄수"": 2}",1,6000.00,미싱/2줄 주문수량 1건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5392,2026-06-01,PROC_000086,"{""줄수"": 3}",1,7000.00,미싱/3줄 주문수량 1건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5373,2026-06-01,PROC_000086,"{""줄수"": 1}",50,5000.00,미싱/1줄 주문수량 50건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5383,2026-06-01,PROC_000086,"{""줄수"": 2}",50,6000.00,미싱/2줄 주문수량 50건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5393,2026-06-01,PROC_000086,"{""줄수"": 3}",50,7000.00,미싱/3줄 주문수량 50건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5374,2026-06-01,PROC_000086,"{""줄수"": 1}",100,10000.00,미싱/1줄 주문수량 100건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5384,2026-06-01,PROC_000086,"{""줄수"": 2}",100,12000.00,미싱/2줄 주문수량 100건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5394,2026-06-01,PROC_000086,"{""줄수"": 3}",100,14000.00,미싱/3줄 주문수량 100건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5375,2026-06-01,PROC_000086,"{""줄수"": 1}",300,15000.00,미싱/1줄 주문수량 300건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5385,2026-06-01,PROC_000086,"{""줄수"": 2}",300,17000.00,미싱/2줄 주문수량 300건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5395,2026-06-01,PROC_000086,"{""줄수"": 3}",300,19000.00,미싱/3줄 주문수량 300건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5376,2026-06-01,PROC_000086,"{""줄수"": 1}",500,17000.00,미싱/1줄 주문수량 500건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5386,2026-06-01,PROC_000086,"{""줄수"": 2}",500,19000.00,미싱/2줄 주문수량 500건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5396,2026-06-01,PROC_000086,"{""줄수"": 3}",500,21000.00,미싱/3줄 주문수량 500건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5377,2026-06-01,PROC_000086,"{""줄수"": 1}",1000,25000.00,미싱/1줄 주문수량 1000건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5387,2026-06-01,PROC_000086,"{""줄수"": 2}",1000,29000.00,미싱/2줄 주문수량 1000건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5397,2026-06-01,PROC_000086,"{""줄수"": 3}",1000,33000.00,미싱/3줄 주문수량 1000건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5378,2026-06-01,PROC_000086,"{""줄수"": 1}",2000,45000.00,미싱/1줄 주문수량 2000건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5388,2026-06-01,PROC_000086,"{""줄수"": 2}",2000,49000.00,미싱/2줄 주문수량 2000건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5398,2026-06-01,PROC_000086,"{""줄수"": 3}",2000,53000.00,미싱/3줄 주문수량 2000건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5379,2026-06-01,PROC_000086,"{""줄수"": 1}",3000,65000.00,미싱/1줄 주문수량 3000건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5389,2026-06-01,PROC_000086,"{""줄수"": 2}",3000,69000.00,미싱/2줄 주문수량 3000건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5399,2026-06-01,PROC_000086,"{""줄수"": 3}",3000,73000.00,미싱/3줄 주문수량 3000건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5380,2026-06-01,PROC_000086,"{""줄수"": 1}",4000,85000.00,미싱/1줄 주문수량 4000건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5390,2026-06-01,PROC_000086,"{""줄수"": 2}",4000,89000.00,미싱/2줄 주문수량 4000건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5400,2026-06-01,PROC_000086,"{""줄수"": 3}",4000,93000.00,미싱/3줄 주문수량 4000건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5381,2026-06-01,PROC_000086,"{""줄수"": 1}",5000,105000.00,미싱/1줄 주문수량 5000건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5391,2026-06-01,PROC_000086,"{""줄수"": 2}",5000,109000.00,미싱/2줄 주문수량 5000건 이상 / 작업 1건 고정 금액
COMP_PP_PERF_1L,5401,2026-06-01,PROC_000086,"{""줄수"": 3}",5000,113000.00,"미싱/3줄 주문수량 5000건 이상 / 작업 1건 고정 금액 · 260831 단가 103,000→113,000 교정(권위 가격표[인쇄후가공] 5000×3줄 · 지니 확정)"
