comp_price_id,comp_cd,siz_cd,siz_width,siz_height,mat_cd,min_qty,unit_price
5333,COMP_ACRYL_CLEAR3T,SIZ_000011,,,MAT_000042,1,3840.00
5334,COMP_ACRYL_CLEAR3T,SIZ_000017,,,MAT_000042,1,9360.00
5335,COMP_ACRYL_CLEAR3T,SIZ_000018,,,MAT_000042,1,9360.00
5336,COMP_ACRYL_CLEAR3T,SIZ_000043,,,MAT_000042,1,7120.00
5337,COMP_ACRYL_CLEAR3T,SIZ_000047,,,MAT_000042,1,4400.00
5338,COMP_ACRYL_CLEAR3T,SIZ_000061,,,MAT_000042,1,4640.00
5339,COMP_ACRYL_CLEAR3T,SIZ_000062,,,MAT_000042,1,4640.00
5340,COMP_ACRYL_CLEAR3T,SIZ_000113,,,MAT_000042,1,10160.00
5341,COMP_ACRYL_CLEAR3T,SIZ_000119,,,MAT_000042,1,8560.00
5342,COMP_ACRYL_CLEAR3T,SIZ_000132,,,MAT_000042,1,5520.00
5343,COMP_ACRYL_CLEAR3T,SIZ_000147,,,MAT_000042,1,6800.00
5344,COMP_ACRYL_CLEAR3T,SIZ_000148,,,MAT_000042,1,4720.00
5345,COMP_ACRYL_CLEAR3T,SIZ_000211,,,MAT_000042,1,5840.00
5346,COMP_ACRYL_CLEAR3T,SIZ_000243,,,MAT_000042,1,5920.00
5347,COMP_ACRYL_CLEAR3T,SIZ_000246,,,MAT_000042,1,7600.00
5348,COMP_ACRYL_CLEAR3T,SIZ_000248,,,MAT_000042,1,8480.00
5349,COMP_ACRYL_CLEAR3T,SIZ_000329,,,MAT_000042,1,2160.00
5350,COMP_ACRYL_CLEAR3T,SIZ_000330,,,MAT_000042,1,2480.00
5351,COMP_ACRYL_CLEAR3T,SIZ_000331,,,MAT_000042,1,2720.00
5352,COMP_ACRYL_CLEAR3T,SIZ_000332,,,MAT_000042,1,3440.00
5353,COMP_ACRYL_CLEAR3T,SIZ_000333,,,MAT_000042,1,3040.00
5354,COMP_ACRYL_CLEAR3T,SIZ_000334,,,MAT_000042,1,3360.00
5355,COMP_ACRYL_CLEAR3T,SIZ_000335,,,MAT_000042,1,3760.00
5356,COMP_ACRYL_CLEAR3T,SIZ_000336,,,MAT_000042,1,2000.00
5357,COMP_ACRYL_CLEAR3T,SIZ_000344,,,MAT_000042,1,5280.00
5358,COMP_ACRYL_CLEAR3T,SIZ_000346,,,MAT_000042,1,2720.00
5359,COMP_ACRYL_CLEAR3T,SIZ_000350,,,MAT_000042,1,3760.00
5360,COMP_ACRYL_CLEAR3T,SIZ_000370,,,MAT_000042,1,5280.00
5361,COMP_ACRYL_CLEAR3T,SIZ_000371,,,MAT_000042,1,5760.00
5362,COMP_ACRYL_CLEAR3T,SIZ_000372,,,MAT_000042,1,6240.00
5363,COMP_ACRYL_CLEAR3T,SIZ_000373,,,MAT_000042,1,6800.00
5364,COMP_ACRYL_CLEAR3T,SIZ_000448,,,MAT_000042,1,7600.00
5365,COMP_ACRYL_CLEAR3T,SIZ_000449,,,MAT_000042,1,5120.00
5366,COMP_ACRYL_CLEAR3T,SIZ_000493,,,MAT_000042,1,3040.00
5367,COMP_ACRYL_CLEAR3T,SIZ_000495,,,MAT_000042,1,3760.00
5368,COMP_ACRYL_CLEAR3T,SIZ_000497,,,MAT_000042,1,5120.00
