excel_sheet,excel_prd_nm,matched_prd_cd,matched_prd_nm,tier,cardinality,evidence,needs_human
design-calendar,와이드벽걸이캘린더,PRD_000112,와이드벽걸이캘린더,AMBIGUOUS,N:1,"prd_nm 문자열 정확 일치(라이브 PRD_000112) | MES 007-0005 라이브 일치(보강) | matching.csv 확립 매핑 일치(보강) | 동일 prd_nm 이 ['calendar', 'design-calendar'] 2시트 → 라이브 단일 prd_cd 수렴(일반/디자인 변형 별도 등록 여부 인간 확인)",TRUE
design-calendar,탁상형캘린더,PRD_000108,탁상형캘린더,AMBIGUOUS,N:1,"prd_nm 문자열 정확 일치(라이브 PRD_000108) | MES 007-0001 라이브 일치(보강) | matching.csv 확립 매핑 일치(보강) | 동일 prd_nm 이 ['calendar', 'design-calendar'] 2시트 → 라이브 단일 prd_cd 수렴(일반/디자인 변형 별도 등록 여부 인간 확인)",TRUE
digital-print,2단접지카드,PRD_000027,2단접지카드,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000027) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,3단접지카드,PRD_000029,3단접지카드,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000029) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,금은별색엽서,PRD_000022,금은별색엽서,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000022) | matching.csv 확립 매핑 일치(보강) | 라이브 use_yn=N(미노출·비활성),FALSE
digital-print,라벨/택,PRD_000046,라벨/택,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000046),FALSE
digital-print,모양명함,PRD_000035,모양명함,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000035) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,모양엽서,PRD_000023,모양엽서,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000023) | matching.csv 확립 매핑 일치(보강) | 라이브 use_yn=N(미노출·비활성),FALSE
digital-print,미니모양명함,PRD_000036,미니모양명함,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000036) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,미니접지카드,PRD_000028,미니접지카드,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000028) | matching.csv 확립 매핑 일치(보강) | 라이브 use_yn=N(미노출·비활성),FALSE
digital-print,봉투제작,PRD_000050,봉투제작,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000050) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,소량전단지,PRD_000047,소량전단지,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000047) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,스탠다드 쿠폰/상품권,PRD_000041,스탠다드 쿠폰/상품권,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000041),FALSE
digital-print,스탠다드명함,PRD_000033,스탠다드명함,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000033) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,스탠다드엽서,PRD_000018,스탠다드엽서,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000018) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,썬캡,PRD_000051,썬캡,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000051) | matching.csv 확립 매핑 일치(보강) | 라이브 use_yn=N(미노출·비활성),FALSE
digital-print,오리지널박명함,PRD_000037,오리지널박명함,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000037) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,와이드 접지리플렛,PRD_000049,와이드 접지리플렛,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000049),FALSE
digital-print,인쇄배경지(OPP봉투타입),PRD_000043,인쇄배경지(OPP봉투타입),EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000043),FALSE
digital-print,인쇄배경지(투명케이스타입),PRD_000044,인쇄배경지(투명케이스타입),EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000044),FALSE
digital-print,인쇄헤더택,PRD_000045,인쇄헤더택,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000045) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,접지리플렛,PRD_000048,접지리플렛,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000048) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,종이슬로건,PRD_000026,종이슬로건,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000026) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,지그재그엽서,PRD_000030,지그재그엽서,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000030) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,코팅명함,PRD_000032,코팅명함,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000032) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,코팅엽서,PRD_000017,코팅엽서,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000017) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,투명명함,PRD_000039,투명명함,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000039) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,투명엽서,PRD_000019,투명엽서,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000019) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,투명포토카드,PRD_000025,투명포토카드,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000025) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,펄명함,PRD_000034,펄명함,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000034) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,포토카드,PRD_000024,포토카드,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000024) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,프리미엄 쿠폰/상품권,PRD_000042,프리미엄 쿠폰/상품권,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000042),FALSE
digital-print,프리미엄명함,PRD_000031,프리미엄명함,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000031) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,프리미엄엽서,PRD_000016,프리미엄엽서,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000016) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,핑크별색엽서,PRD_000021,핑크별색엽서,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000021) | matching.csv 확립 매핑 일치(보강) | 라이브 use_yn=N(미노출·비활성),FALSE
digital-print,형압명함,PRD_000038,형압명함,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000038) | matching.csv 확립 매핑 일치(보강) | 라이브 use_yn=N(미노출·비활성),FALSE
digital-print,화이트인쇄명함,PRD_000040,화이트인쇄명함,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000040) | matching.csv 확립 매핑 일치(보강),FALSE
digital-print,화이트인쇄엽서,PRD_000020,화이트인쇄엽서,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000020) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,LED투명키캡키링,PRD_000203,LED투명키캡키링,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000203) | 라이브 use_yn=N(미노출·비활성),FALSE
goods-pouch,광목 스트링 라벨파우치,PRD_000242,광목 스트링 라벨파우치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000242) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,규조토코스터,PRD_000192,규조토코스터,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000192) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,극세사클리너,PRD_000212,극세사클리너,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000212) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,극세사타월,PRD_000207,극세사타월,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000207) | matching.csv 확립 매핑 일치(보강) | 라이브 use_yn=N(미노출·비활성),FALSE
goods-pouch,레더 볼륨 미니파우치,PRD_000254,레더 볼륨 미니파우치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000254) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더 볼륨 파우치,PRD_000233,레더 볼륨 파우치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000233) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더 볼륨 필통,PRD_000259,레더 볼륨 필통,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000259) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더 삼각 미니파우치,PRD_000253,레더 삼각 미니파우치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000253) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더 삼각 클러치,PRD_000237,레더 삼각 클러치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000237) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더 삼각 파우치,PRD_000232,레더 삼각 파우치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000232) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더 삼각 필통,PRD_000258,레더 삼각 필통,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000258) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더 스트링 원형파우치,PRD_000235,레더 스트링 원형파우치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000235) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더 스트링 파우치,PRD_000234,레더 스트링 파우치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000234) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더 슬림 미니파우치,PRD_000252,레더 슬림 미니파우치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000252) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더 슬림 파우치,PRD_000231,레더 슬림 파우치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000231) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더 슬림 필통,PRD_000257,레더 슬림 필통,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000257) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더 아이패드/노트북 파우치,PRD_000238,레더 아이패드/노트북 파우치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000238),FALSE
goods-pouch,레더 원형 미니파우치,PRD_000255,레더 원형 미니파우치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000255) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더 원형 필통,PRD_000260,레더 원형 필통,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000260) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더 플랫 미니파우치,PRD_000251,레더 플랫 미니파우치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000251) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더 플랫 클러치,PRD_000236,레더 플랫 클러치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000236) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더 플랫 파우치,PRD_000230,레더 플랫 파우치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000230) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더 플랫 필통,PRD_000256,레더 플랫 필통,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000256) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더라벨제작,PRD_000280,레더라벨제작,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000280) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더숄더백,PRD_000264,레더숄더백,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000264) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더스트랩키링,PRD_000201,레더스트랩키링,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000201) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더여권케이스,PRD_000196,레더여권케이스,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000196),FALSE
goods-pouch,레더코스터,PRD_000188,레더코스터,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000188) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,레더토트백,PRD_000263,레더토트백,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000263) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,린넨 미니에코백,PRD_000265,린넨 미니에코백,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000265) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,린넨 스트링 파우치,PRD_000243,린넨 스트링 파우치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000243) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,린넨 에코백,PRD_000267,린넨 에코백,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000267) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,린넨 토트백,PRD_000266,린넨 토트백,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000266) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,린넨패브릭코스터,PRD_000191,린넨패브릭코스터,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000191),FALSE
goods-pouch,만년스탬프,PRD_000217,만년스탬프,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000217) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,말랑네임택,PRD_000224,말랑네임택,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000224) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,말랑여권케이스,PRD_000225,말랑여권케이스,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000225) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,말랑증사홀더,PRD_000222,말랑증사홀더,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000222) | matching.csv 확립 매핑 일치(보강) | 라이브 use_yn=N(미노출·비활성),FALSE
goods-pouch,말랑키링,PRD_000221,말랑키링,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000221) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,말랑포카홀더,PRD_000223,말랑포카홀더,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000223) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,머그컵,PRD_000193,머그컵,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000193) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,메쉬 에코백,PRD_000279,메쉬에코백,EXACT,1:1,prd_nm 공백차만 다른 일치(라이브 PRD_000279 '메쉬에코백'),FALSE
goods-pouch,메쉬 토트백,PRD_000278,메쉬 토트백,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000278) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,메쉬볼륨파우치,PRD_000250,메쉬볼륨파우치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000250) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,메쉬슬림파우치,PRD_000249,메쉬슬림파우치,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000249) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,미니CD앨범,PRD_000204,미니CD앨범,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000204) | matching.csv 확립 매핑 일치(보강) | 라이브 use_yn=N(미노출·비활성),FALSE
goods-pouch,미니매트,PRD_000197,미니매트,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000197) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,미니우치와키링,PRD_000227,미니우치와키링,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000227) | matching.csv 확립 매핑 일치(보강) | 라이브 use_yn=N(미노출·비활성),FALSE
goods-pouch,반팔티셔츠,PRD_000206,반팔티셔츠,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000206) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,밴드톡,PRD_000219,밴드톡,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000219) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,버즈케이스★,,,UNMATCHED,0:0,라이브 후보 없음 — rename·신규·단종 의심 | MES 미등재(신규 상품 강신호),TRUE
goods-pouch,벨벳쿠션,PRD_000195,벨벳쿠션,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000195) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,블랙사각손거울,PRD_000187,블랙사각손거울,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000187) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,블랙젤리,,,UNMATCHED,0:0,라이브 후보 없음 — rename·신규·단종 의심 | MES 미등재(신규 상품 강신호),TRUE
goods-pouch,사각손거울,PRD_000186,사각손거울,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000186) | matching.csv 확립 매핑 일치(보강),FALSE
goods-pouch,슬로건,PRD_000208,슬로건,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000208) | matching.csv 확립 매핑 일치(보강) | 라이브 use_yn=N(미노출·비활성),FALSE
goods-pouch,슬림하드 폰케이스,,,UNMATCHED,0:0,라이브 후보 없음 — rename·신규·단종 의심 | MES 미등재(신규 상품 강신호),TRUE
