siz_cd,siz_nm,work_width,work_height,cut_width,cut_height,margin_top,margin_bot,margin_lft,margin_rgt,impos_yn,use_yn,del_yn,note
SIZ_000748,110x50,110,50,110,50,0,0,0,0,N,Y,N,"박 면적좌표 가로110mm×세로50mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000749,110x70,110,70,110,70,0,0,0,0,N,Y,N,"박 면적좌표 가로110mm×세로70mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000750,110x90,110,90,110,90,0,0,0,0,N,Y,N,"박 면적좌표 가로110mm×세로90mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000751,110x130,110,130,110,130,0,0,0,0,N,Y,N,"박 면적좌표 가로110mm×세로130mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000752,110x150,110,150,110,150,0,0,0,0,N,Y,N,"박 면적좌표 가로110mm×세로150mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000753,130x30,130,30,130,30,0,0,0,0,N,Y,N,"박 면적좌표 가로130mm×세로30mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000754,130x50,130,50,130,50,0,0,0,0,N,Y,N,"박 면적좌표 가로130mm×세로50mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000755,130x70,130,70,130,70,0,0,0,0,N,Y,N,"박 면적좌표 가로130mm×세로70mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000756,130x90,130,90,130,90,0,0,0,0,N,Y,N,"박 면적좌표 가로130mm×세로90mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000757,130x110,130,110,130,110,0,0,0,0,N,Y,N,"박 면적좌표 가로130mm×세로110mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000758,130x130,130,130,130,130,0,0,0,0,N,Y,N,"박 면적좌표 가로130mm×세로130mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000759,130x150,130,150,130,150,0,0,0,0,N,Y,N,"박 면적좌표 가로130mm×세로150mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000760,130x170,130,170,130,170,0,0,0,0,N,Y,N,"박 면적좌표 가로130mm×세로170mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000761,150x30,150,30,150,30,0,0,0,0,N,Y,N,"박 면적좌표 가로150mm×세로30mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000762,150x50,150,50,150,50,0,0,0,0,N,Y,N,"박 면적좌표 가로150mm×세로50mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000763,150x70,150,70,150,70,0,0,0,0,N,Y,N,"박 면적좌표 가로150mm×세로70mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000764,150x90,150,90,150,90,0,0,0,0,N,Y,N,"박 면적좌표 가로150mm×세로90mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000765,150x110,150,110,150,110,0,0,0,0,N,Y,N,"박 면적좌표 가로150mm×세로110mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000766,150x130,150,130,150,130,0,0,0,0,N,Y,N,"박 면적좌표 가로150mm×세로130mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000767,150x170,150,170,150,170,0,0,0,0,N,Y,N,"박 면적좌표 가로150mm×세로170mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000768,170x30,170,30,170,30,0,0,0,0,N,Y,N,"박 면적좌표 가로170mm×세로30mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000769,170x50,170,50,170,50,0,0,0,0,N,Y,N,"박 면적좌표 가로170mm×세로50mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000770,170x70,170,70,170,70,0,0,0,0,N,Y,N,"박 면적좌표 가로170mm×세로70mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000771,170x90,170,90,170,90,0,0,0,0,N,Y,N,"박 면적좌표 가로170mm×세로90mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000772,170x130,170,130,170,130,0,0,0,0,N,Y,N,"박 면적좌표 가로170mm×세로130mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000773,170x150,170,150,170,150,0,0,0,0,N,Y,N,"박 면적좌표 가로170mm×세로150mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000774,170x170,170,170,170,170,0,0,0,0,N,Y,N,"박 면적좌표 가로170mm×세로170mm (라이브 부재→신규). 면적직접입력형, margin0."
