적용일,공정,수량(이상),고정,비고
,PROC_000171,60,450.0,
,PROC_000071,60,550.0,
,PROC_000106,60,550.0,
,PROC_000107,70,360.0,
,PROC_000171,70,420.0,
,PROC_000071,70,520.0,
,PROC_000106,70,520.0,
,PROC_000107,80,330.0,
,PROC_000171,80,390.0,
,PROC_000071,80,490.0,
,PROC_000106,80,490.0,
,PROC_000107,90,300.0,
,PROC_000171,90,360.0,
,PROC_000071,90,460.0,
,PROC_000106,90,460.0,
,PROC_000107,100,270.0,
,PROC_000171,100,330.0,
,PROC_000071,100,430.0,
,PROC_000106,100,430.0,
,PROC_000107,150,240.0,
,PROC_000171,150,300.0,
,PROC_000071,150,370.0,
,PROC_000106,150,370.0,
,PROC_000107,200,210.0,
,PROC_000171,200,270.0,
,PROC_000071,200,340.0,
,PROC_000106,200,340.0,
,PROC_000107,250,180.0,
,PROC_000171,250,240.0,
,PROC_000071,250,310.0,
,PROC_000106,250,310.0,
,PROC_000107,300,150.0,
,PROC_000171,300,210.0,
,PROC_000071,300,280.0,
,PROC_000106,300,280.0,
,PROC_000107,350,120.0,
,PROC_000171,350,190.0,
,PROC_000071,350,260.0,
,PROC_000106,350,260.0,
,PROC_000107,400,100.0,
,PROC_000171,400,170.0,
,PROC_000071,400,240.0,
,PROC_000106,400,240.0,
,PROC_000107,450,90.0,
,PROC_000171,450,160.0,
,PROC_000071,450,220.0,
,PROC_000106,450,220.0,
,PROC_000107,500,80.0,
,PROC_000171,500,150.0,
,PROC_000071,500,200.0,
,PROC_000106,500,200.0,
,PROC_000107,600,75.0,
,PROC_000171,600,140.0,
,PROC_000071,600,190.0,
,PROC_000106,600,190.0,
,PROC_000107,700,70.0,
,PROC_000171,700,130.0,
,PROC_000071,700,180.0,
,PROC_000106,700,180.0,
,PROC_000107,800,65.0,
,PROC_000171,800,120.0,
,PROC_000071,800,170.0,
,PROC_000106,800,170.0,
,PROC_000107,900,60.0,
,PROC_000171,900,110.0,
,PROC_000071,900,160.0,
,PROC_000106,900,160.0,
,PROC_000107,1000,60.0,
,PROC_000171,1000,100.0,
,PROC_000071,1000,150.0,
,PROC_000106,1000,150.0,
,PROC_000107,1200,58.0,
,PROC_000171,1200,95.0,
,PROC_000071,1200,140.0,
,PROC_000106,1200,140.0,
,PROC_000107,1400,56.0,
,PROC_000171,1400,90.0,
,PROC_000071,1400,130.0,
,PROC_000106,1400,130.0,
,PROC_000107,1600,54.0,
,PROC_000171,1600,85.0,
,PROC_000071,1600,120.0,
,PROC_000106,1600,120.0,
,PROC_000107,1800,52.0,
,PROC_000171,1800,80.0,
,PROC_000071,1800,110.0,
,PROC_000106,1800,110.0,
,PROC_000107,2000,50.0,
,PROC_000171,2000,75.0,
,PROC_000071,2000,105.0,
,PROC_000106,2000,105.0,
,PROC_000107,2500,48.0,
,PROC_000171,2500,70.0,
,PROC_000071,2500,100.0,
,PROC_000106,2500,100.0,
,PROC_000107,3000,46.0,
,PROC_000171,3000,65.0,
,PROC_000071,3000,95.0,
,PROC_000106,3000,95.0,
,PROC_000107,3500,44.0,
,PROC_000171,3500,60.0,
,PROC_000071,3500,90.0,
,PROC_000106,3500,90.0,
,PROC_000107,4000,42.0,
,PROC_000171,4000,55.0,
,PROC_000071,4000,85.0,
,PROC_000106,4000,85.0,
,PROC_000107,4500,41.0,
,PROC_000171,4500,50.0,
,PROC_000071,4500,80.0,
,PROC_000106,4500,80.0,
,PROC_000107,5000,40.0,
,PROC_000171,5000,50.0,
,PROC_000071,5000,70.0,
,PROC_000106,5000,70.0,
,PROC_000107,100000,40.0,
,PROC_000171,100000,50.0,
,PROC_000071,100000,65.0,
,PROC_000106,100000,65.0,
