product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,종이사양,인쇄(필수),장수(필수),캘린더가공(필수)_삼각대컬러,캘린더가공(필수)_캘린더가공,캘린더가공(필수)_추가가격,캘린더가공(필수)_링칼라,제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,개별포장(옵션),추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,가이드파일,템플릿,디자인보유,0.0,AF,AG,AH,AI,AJ,AK,AL
14601,엽서캘린더,엽서캘린더,4,16,,,,,148 x 210 mm,2,152 x 214,148 x 210,316x467,,PDF,,Y,,,,,,1구타공+끈,1000,,1,10000,1,,,,AI / PSD,,,,,,,,,,
14601,엽서캘린더,엽서캘린더,5,17,,,,,145 x 300 mm,2,149 x 304,145 x 300,316x467,,PDF,,Y,,,,,,,,,,,,,,,AI / PSD,,,,,,,,,,
14601,엽서캘린더,엽서캘린더,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14602,벽걸이캘린더,벽걸이캘린더,0,21,벽걸이캘린더,14602,007-0004,벽걸이캘린더,210 x 297 mm,2,214 x 301,210 x 297,316x467,벽걸이달력,PDF,디지털인쇄,Y,,*별도설정,단면,4/5/6/7/8/9/10/11/12/13/14/15,,고리형트윈링제본,2000,블랙,1,10000,1,,,,AI / PSD,,●,,,,,,,,
14602,벽걸이캘린더,벽걸이캘린더,1,22,,,,,210 x 420 mm,2,214 x 424,210 x 420,316x467,,PDF,,Y,,,양면,4(8P) / 5(10P) / 6(12P) / 7(14P) / 8(16P) / 9(18P) / 10(20P) / 11(22P) / 12(24P) / 13(26P) / 14(28P) / 15(30P),,가공없음(재단만),0,★고리형트윈링제본선택시만 : 링칼라선택,,,,,,,AI / PSD,,,,,,,,,,
14602,벽걸이캘린더,벽걸이캘린더,2,23,,,,,300 x 420 mm,2,304 x 424,300 x 420,316x467,,PDF,,Y,,,,,,2구타공+끈,1500,,,,,,,,AI / PSD,,,,,,,,,,
14603,와이드벽걸이캘린더,,0,26,,14603,007-0005,와이드벽걸이캘린더,300 x 625 mm,2,304 x 629,300 x 625,330x660,벽걸이달력,PDF,디지털인쇄,Y,,스노우지 250g (3절),단면,4/5/6/7/8/9/10/11/12/13/14/15,,고리형트윈링제본,2000,블랙,1,10000,1,,,,AI / PSD,,●,,,,,,,,
14603,와이드벽걸이캘린더,,1,27,,,,,,,,,,,,,,,몽블랑 190g (3절),양면,4(8P) / 5(10P) / 6(12P) / 7(14P) / 8(16P) / 9(18P) / 10(20P) / 11(22P) / 12(24P) / 13(26P) / 14(28P) / 15(30P),,제본없음(재단만),0,★고리형트윈링제본선택시만 : 링칼라선택,,,,,,,,,,,,,,,,,
14603,와이드벽걸이캘린더,,2,28,,,,,,,,,,,,,,,몽블랑 240g (3절),,,,,,,,,,,,,,,,,,,,,,,
14603,와이드벽걸이캘린더,,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
