product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),판수,파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,종이(필수),인쇄(옵션),별색인쇄(옵션)_화이트,별색인쇄(옵션)_클리어,별색인쇄(옵션)_핑크,별색인쇄(옵션)_금색,별색인쇄(옵션)_은색,코팅(옵션),커팅(옵션),조각수(옵션),제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,후가공(옵션)_가변(텍스트),후가공(옵션)_가변(이미지),추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,AG,AH,AI,AJ,AK
14543,반칼직사각스티커,,23,87,,,,,,,,,,,,,,,,,,,,,,,,90x60mm (8ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,24,88,,,,,,,,,,,,,,,,,,,,,,,,★사이즈선택 : A4선택시,,,,,,,,,,,,,
14544,반칼띠지스티커,,0,90,,14544,002-0011,반칼띠지스티커,A5 (148 x 210 mm),,0,148 x 210,148 x 210,330x470,반칼(규격),PDF,디지털인쇄,Y,Y,유포스티커,단면,,,,,,,10x190mm (9ea),,4,10000,4,,,,,,,,,
14544,반칼띠지스티커,,1,91,,,,,,,,,,,,,,,,비코팅스티커,,,,,,,,15x190mm (7ea),,,,,,,,,,,,,
14544,반칼띠지스티커,,2,92,,,,,,,,,,,,,,,,미색스티커,,,,,,,,20x190mm (5ea),,,,,,,,,,,,,
14544,반칼띠지스티커,,3,93,,,,,,,,,,,,,,,,무광코팅스티커,,,,,,,,25x190mm (4ea),,,,,,,,,,,,,
14544,반칼띠지스티커,,4,94,,,,,,,,,,,,,,,,유광코팅스티커,,,,,,,,30x190mm (4ea),,,,,,,,,,,,,
14544,반칼띠지스티커,,5,95,,,,,,,,,,,,,,,,,,,,,,,,130x10mm (14ea),,,,,,,,,,,,,
14544,반칼띠지스티커,,6,96,,,,,,,,,,,,,,,,,,,,,,,,130x15mm (10ea),,,,,,,,,,,,,
14544,반칼띠지스티커,,7,97,,,,,,,,,,,,,,,,,,,,,,,,130x20mm (8ea),,,,,,,,,,,,,
14544,반칼띠지스티커,,8,98,,,,,,,,,,,,,,,,,,,,,,,,130x25mm (6ea),,,,,,,,,,,,,
14544,반칼띠지스티커,,9,99,,,,,,,,,,,,,,,,,,,,,,,,130x30mm (5ea),,,,,,,,,,,,,
14544,반칼띠지스티커,,10,100,,,,,,,,,,,,,,,,,,,,,,,,★사이즈선택 : A5선택시,,,,,,,,,,,,,
14544,반칼띠지스티커,,11,101,,,,,A4 (210 x 297 mm),,0,210 x 297,210 x 297,330x470,,PDF,,,,,,,,,,,,20x278mm (8ea),,2,10000,2,,,,,,,,,
14544,반칼띠지스티커,,12,102,,,,,,,,,,,,,,,,,,,,,,,,30x278mm (5ea),,,,,,,,,,,,,
14544,반칼띠지스티커,,13,103,,,,,,,,,,,,,,,,,,,,,,,,40x278mm (4ea),,,,,,,,,,,,,
14544,반칼띠지스티커,,14,104,,,,,,,,,,,,,,,,,,,,,,,,50x278mm (3ea),,,,,,,,,,,,,
14544,반칼띠지스티커,,15,105,,,,,,,,,,,,,,,,,,,,,,,,60x278mm (3ea),,,,,,,,,,,,,
14544,반칼띠지스티커,,16,106,,,,,,,,,,,,,,,,,,,,,,,,★사이즈선택 : A4선택시,,,,,,,,,,,,,
14545,반칼팬시스티커,,0,108,,14545,002-0012,반칼팬시스티커,100 x 140 mm,,2,104 x 144,100 x 140,330x470,반칼(규격),PDF,디지털인쇄,Y,Y,유포스티커,단면,,,,,,,원형 32mm,,8,10000,8,,,,,,,,,
14545,반칼팬시스티커,,1,109,,,,,124 x186 mm,,2,128 x 190,124 x 186,,,,,,,비코팅스티커,,,,,,,,정사각 32mm,,4,10000,4,,,,,,,,,
14545,반칼팬시스티커,,2,110,,,,,90 x 190 mm,,2,94 x 194,90 x 190,,,,,,,미색스티커,,,,,,,,하트 36mm,,6,10000,6,,,,,,,,,
14545,반칼팬시스티커,,3,111,,,,,,,,,,,,,,,,무광코팅스티커,,,,,,,,하트55mm,,,,,,,,,,,,,
14545,반칼팬시스티커,,4,112,,,,,,,,,,,,,,,,유광코팅스티커,,,,,,,,사각분할,,,,,,,,,,,,,
14545,반칼팬시스티커,,5,113,,,,,,,,,,,,,,,,,,,,,,,,★사이즈선택 : 124x186선택시,,,,,,,,,,,,,
