product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),비규격(최소/최대)_가로,비규격(최소/최대)_세로,가격,파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,소재(필수),인쇄사양,조각수(옵션),가공(옵션)_가공,가공(옵션)_가격,추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,COMMENT,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL
14621,아크릴집게,,1,28,,,,,40 x 40 mm,,,3800,,44 X 44,40 x 40,,,*AI(칼선),,,,,투명테두리★,,,,,,,,,,,,,,,,,,,
14621,아크릴집게,,2,29,,,,,50 x 50 mm,,,4800,,54 X 54,50 x 50,,,,,,,,,,,,,,,,,,,,,,,,,,,
14621,아크릴집게,,3,30,,,,,사용자입력,30~60,30~60,,,가로 x 세로,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14629,아크릴스마트톡,,0,32,,14629,009-0005,아크릴스마트톡,50 x 50 mm,,,4800,,54 X 54,50 x 50,,아크릴톡,PDF,UV인쇄,Y,,투명아크릴 3mm,투명테두리★,,화이트바디,*가격표참고,,,1,10000,1,,,,,,,,,,,
14629,아크릴스마트톡,,1,33,,,,,60 x 60 mm,,,5900,,64 X 64,60 x 60,,,*AI(칼선),,,,,,,투명바디,,,,,,,,,,,,,,,,,
14629,아크릴스마트톡,,2,34,,,,,70 x 60 mm,,,6600,,74 x 64,70 x 60,,,,,,,,,,,,,,,,,,,,,,,,,,,
14629,아크릴스마트톡,,3,35,,,,,사용자입력,50~80,50~80,,,가로 x 세로,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14784,맥세이프 스마트톡,,0,37,,14784,009-0006,맥세이프 스마트톡,50 x 50 mm,,,4800,,54 X 54,50 x 50,,아크릴톡,PDF,UV인쇄,Y,,투명아크릴 3mm,투명테두리★,,맥세이프스마트톡,0,,,1,10000,1,,,,,,,,,,,
14784,맥세이프 스마트톡,,1,38,,,,,60 x 60 mm,,,5900,,64 X 64,60 x 60,,,*AI(칼선),,,,,,,,,,,,,,,,,,,,,,,,
14784,맥세이프 스마트톡,,2,39,,,,,70 x 60 mm,,,6600,,74 x 64,70 x 60,,,,,,,,,,,,,,,,,,,,,,,,,,,
14784,맥세이프 스마트톡,,3,40,,,,,사용자입력,50~80,50~80,,,가로 x 세로,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14631,아크릴명찰,,0,42,,14631,009-0007,아크릴명찰,60 x 20 mm,,,3400,,64x24,60x20,,아크릴명찰,PDF,UV인쇄,Y,,투명아크릴 3mm,풀빼다,,일자핀,*가격표참고,,,1,10000,1,,,,,,,,,,,
14631,아크릴명찰,,1,43,,,,,70 x 25 mm,,,4000,,74x29,70x25,,,*AI(칼선),,,,,,,2구자석,,,,,,,,,,,,,,,,,
14631,아크릴명찰,,2,44,,,,,80 x 30 mm,,,4700,,84x34,80x30,,,,,,,,,,,,,,,,,,,,,,,,,,,
14631,아크릴명찰,,3,45,,,,,사용자입력,60~80,20~50,,,가로 x 세로,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14631,아크릴명찰,,4,47,,,,아크릴명찰(골드실버),60 x 20 mm,,,3400,,64x24,60x20,,아크릴명찰,PDF,UV인쇄,Y,,골드아크릴 3mm,풀빼다,,일자핀,,,,1,10000,1,,,,,,,,,,,
14631,아크릴명찰,,5,48,,,,,70 x 25 mm,,,4000,,74x29,70x25,,,*AI(칼선),,,,실버아크릴 3mm,,,2구자석,,,,,,,,,,,,,,,,,
14631,아크릴명찰,,6,49,,,,,80 x 30 mm,,,4700,,84x34,80x30,,,,,,,,,,,,,,,,,,,,,,,,,,,
14631,아크릴명찰,,7,50,,,,,사용자입력,60~80,20~50,,,가로 x 세로,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21530,아크릴 머리끈,,0,52,,21530,009-0011,아크릴 머리끈,20 x 20 mm,,,,,24 X 24,20 x 20,,아크릴머리끈,PDF,UV인쇄,Y,,투명아크릴 3mm,,,블랙헤어끈,*가격표참고,,,1,10000,1,,,,,,,,,,,
21530,아크릴 머리끈,,1,53,,,,,30 x 30 mm,,,,,34 X 34,30 x 30,,,*AI(칼선),,,,,,,,,,,,,,,,,,,,,,,,
21530,아크릴 머리끈,,2,54,,,,,40 x 40 mm,,,,,44 X 44,40 x 40,,,,,,,,,,,,,,,,,,,,,,,,,,,
21530,아크릴 머리끈,,3,55,,,,,사용자입력,20~40,20~40,,,가로 x 세로,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14624,아크릴볼펜,,0,57,,14624,009-0008,아크릴볼펜,20 x 20 mm,,,1800,,24 X 24,20 x 20,,아크릴볼펜,PDF,UV인쇄,Y,,투명아크릴 3mm,풀빼다,,블랙,*가격표참고,,,1,10000,1,,,,,,,,,,,
14624,아크릴볼펜,,1,58,,,,,30 x 30 mm,,,2200,,34 X 34,30 x 30,,,*AI(칼선),,,,,,,레드,,,,,,,,,,,,,,,,,
14624,아크릴볼펜,,2,59,,,,,40 x 40 mm,,,2700,,44 X 44,40 x 40,,,,,,,,,,오렌지,,,,,,,,,,,,,,,,,
14624,아크릴볼펜,,3,60,,,,,사용자입력,20~40,20~40,,,가로 x 세로,,,,,,,,,,,라이트그린,,,,,,,,,,,,,,,,,
14624,아크릴볼펜,,4,61,,,,,,,,,,,,,,,,,,,,,블루,,,,,,,,,,,,,,,,,
14624,아크릴볼펜,,5,62,,,,,,,,,,,,,,,,,,,,,바이올렛,,,,,,,,,,,,,,,,,
14624,아크릴볼펜,,6,64,,,,아크릴지비츠,15 x 15 mm,,,,,,,,아크릴지비츠,PDF,UV인쇄,Y,,투명아크릴 3mm,풀빼다,,투명,*가격표참고,,,1,10000,1,,,,,,,,,,,
14624,아크릴볼펜,,7,65,,,,,20 x 20 mm,,,,,,,,,,,,,,,,스핀,,,,,,,,,,,,,,,,,
14624,아크릴볼펜,,8,66,,,,,25 x 25 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14624,아크릴볼펜,,9,67,,,,,30 x 30 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14624,아크릴볼펜,,10,68,,,,,35 x 35 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14624,아크릴볼펜,,11,69,,,,,사용자입력,15~35,15~35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14632,아크릴네임택,,0,72,,14632,009-0020,아크릴네임택,60 x 60 mm,,,,,60 x 60,60 x 60,,아크릴네임택,PDF,UV인쇄,Y,,투명아크릴 3mm,배면양면,,선택안함,*가격표참고,,,1,10000,1,,,,,,,,,,,
14632,아크릴네임택,,1,73,,,,,55 x 86 mm,,,,,55 x 86,55 x 86,,,*AI(칼선),,,,,,,와이어링(실버),,,,,,,,,,,,,,,,,
14632,아크릴네임택,,2,74,,,,,,,,,,,,,,,,,,,,,와이어링(화이트),,,,,,,,,,,,,,,,,
14632,아크릴네임택,,3,75,,,,,,,,,,,,,,,,,,,,,와이어링(블랙),,,,,,,,,,,,,,,,,
14632,아크릴네임택,,4,76,,,,,,,,,,,,,,,,,,,,,스트랩(투명),,,,,,,,,,,,,,,,,
19338,아크릴 포카키링,,0,78,,19338,009-0010,아크릴 포카키링,55 x 86 mm,,,,,55 x 86,55 x 86,,아크릴포카,PDF,UV인쇄,Y,,투명아크릴 3mm,배면양면,,,,볼체인(선택안함),0,1,10000,1,,,,,,,,,,,
19338,아크릴 포카키링,,1,79,,,,,,,,,,,,,,*AI(칼선),,,,,,,,,볼체인(오렌지),1000,,,,,,,,,,,,,,
19338,아크릴 포카키링,,2,80,,,,,,,,,,,,,,,,,,,,,,,볼체인(핑크),1000,,,,,,,,,,,,,,
19338,아크릴 포카키링,,3,81,,,,,,,,,,,,,,,,,,,,,,,볼체인(핫핑크),1000,,,,,,,,,,,,,,
19338,아크릴 포카키링,,4,82,,,,,,,,,,,,,,,,,,,,,,,볼체인(민트그린),1000,,,,,,,,,,,,,,
19338,아크릴 포카키링,,5,83,,,,,,,,,,,,,,,,,,,,,,,볼체인(블루),1000,,,,,,,,,,,,,,
19338,아크릴 포카키링,,6,84,,,,,,,,,,,,,,,,,,,,,,,볼체인(바이올렛),1000,,,,,,,,,,,,,,
19338,아크릴 포카키링,,7,85,,,,,,,,,,,,,,,,,,,,,,,볼체인(블랙),1000,,,,,,,,,,,,,,
19338,아크릴 포카키링,,8,86,,,,,,,,,,,,,,,,,,,,,,,볼체인(화이트),1000,,,,,,,,,,,,,,
19338,아크릴 포카키링,,9,88,,,,아크릴 코스터,100 x 100 mm 원형,,,,,104 x 104,100 x 100,,아크릴코스터,PDF,UV인쇄,Y,,투명아크릴 3mm,배면양면,,,,,,1,10000,1,,,,,,,,,,,
19338,아크릴 포카키링,,10,89,,,,,100 x 100 mm 사각,,,,,104 x 104,100 x 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
14633,아크릴자유형스탠드,조합형,0,91,조합형,14633,009-0012,아크릴자유형스탠드,120 x 60 mm,,,8800,,120 x 60,120 x 60,,아크릴스탠드,PDF,UV인쇄,Y,,투명아크릴 3mm,배면양면,2조각,,0,,,1,10000,1,,,,,,,,,,,
14633,아크릴자유형스탠드,조합형,1,92,,,,,120 x 90 mm,,,12200,,120 x 90,120 x 90,,,*AI(칼선),,,,,,3조각,,0,,,,,,,,,,,,,,,,
14633,아크릴자유형스탠드,조합형,2,93,,,,,120 x 120 mm,,,15700,,120 x 120,120 x 120,,,,,,,,,4조각,,0,,,,,,,,,,,,,,,,
14633,아크릴자유형스탠드,조합형,3,94,,,,,120 x 150 mm,,,19100,,120 x 150,120 x 150,,,,,,,,,5조각,,0,,,,,,,,,,,,,,,,
14633,아크릴자유형스탠드,조합형,4,95,,,,,120 x 180 mm,,,22600,,120 x 180,120 x 180,,,,,,,,,6조각,,0,,,,,,,,,,,,,,,,
14634,판아크릴,,0,97,,14634,009-0013,판아크릴,120 x 120 mm,,,,,124 x 124,120 x 120,,판아크릴,PDF,UV인쇄,Y,,투명아크릴 3mm,배면양면,,,,,,1,10000,1,,,,,,,,,,,
