prd_cd,prd_nm,combo,qty,hold,selections,final_price,price_nonzero,formula_comp_cnt,applied_comp_cnt,sensor1_missing_comps,sensor1_pass,sensor2_uncovered,sensor2_pass,warnings,errors,judged_at
PRD_000058,반칼원형스티커,옵션변경(mat_cd),4,,mat_cd=MAT_000611; print_opt_cd=POPT_000001; siz_cd=SIZ_000426,23200,Y,2,1,COMP_STK_PRINT,N,,Y,,,2026-09-03T08:45:06+09:00
PRD_000059,반칼정사각스티커,기본,4,,mat_cd=MAT_000585; print_opt_cd=POPT_000001; siz_cd=SIZ_000426,27200,Y,2,1,COMP_STK_PRINT,N,,Y,,,2026-09-03T08:45:06+09:00
PRD_000059,반칼정사각스티커,옵션변경(mat_cd),4,,mat_cd=MAT_000609; print_opt_cd=POPT_000001; siz_cd=SIZ_000426,23200,Y,2,1,COMP_STK_PRINT,N,,Y,,,2026-09-03T08:45:06+09:00
PRD_000060,반칼직사각스티커,기본,4,,mat_cd=MAT_000585; print_opt_cd=POPT_000001; siz_cd=SIZ_000426,27200,Y,2,1,COMP_STK_PRINT,N,,Y,,,2026-09-03T08:45:06+09:00
PRD_000060,반칼직사각스티커,옵션변경(mat_cd),4,,mat_cd=MAT_000609; print_opt_cd=POPT_000001; siz_cd=SIZ_000426,23200,Y,2,1,COMP_STK_PRINT,N,,Y,,,2026-09-03T08:45:06+09:00
PRD_000061,반칼띠지스티커,기본,4,,mat_cd=MAT_000585; print_opt_cd=POPT_000001; siz_cd=SIZ_000426,27200,Y,2,1,COMP_STK_PRINT,N,,Y,,,2026-09-03T08:45:06+09:00
PRD_000061,반칼띠지스티커,옵션변경(mat_cd),4,,mat_cd=MAT_000609; print_opt_cd=POPT_000001; siz_cd=SIZ_000426,23200,Y,2,1,COMP_STK_PRINT,N,,Y,,,2026-09-03T08:45:06+09:00
PRD_000062,반칼팬시스티커,기본,8,Y,mat_cd=MAT_000584; print_opt_cd=POPT_000001; siz_cd=SIZ_000060,46400,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000062,반칼팬시스티커,옵션변경(siz_cd),8,Y,mat_cd=MAT_000584; print_opt_cd=POPT_000001; siz_cd=SIZ_000059,45600,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000063,반칼팬시투명스티커,기본,8,Y,mat_cd=MAT_000371; print_opt_cd=POPT_000001; siz_cd=SIZ_000060,54400,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000063,반칼팬시투명스티커,옵션변경(siz_cd),8,Y,mat_cd=MAT_000371; print_opt_cd=POPT_000001; siz_cd=SIZ_000059,53600,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000067,타투스티커,기본,1,,bdl_qty=3; mat_cd=MAT_000594; print_opt_cd=POPT_000001; siz_cd=SIZ_000612,6000,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000118,아트프린트포스터,기본,1,,mat_cd=MAT_000599; siz_cd=SIZ_000315; siz_height=200.0; siz_width=200.0,12000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000118,아트프린트포스터,옵션변경(siz_cd),1,,mat_cd=MAT_000599; siz_cd=SIZ_000198; siz_height=200.0; siz_width=200.0,12000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000119,아트페이퍼포스터,기본,1,,mat_cd=MAT_000177; siz_cd=SIZ_000315; siz_height=200.0; siz_width=200.0,12000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000119,아트페이퍼포스터,옵션변경(siz_cd),1,,mat_cd=MAT_000177; siz_cd=SIZ_000198; siz_height=200.0; siz_width=200.0,12000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000120,방수포스터,기본,1,,mat_cd=MAT_000178; siz_cd=SIZ_000315; siz_height=200.0; siz_width=200.0,12000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000120,방수포스터,옵션변경(siz_cd),1,,mat_cd=MAT_000178; siz_cd=SIZ_000198; siz_height=200.0; siz_width=200.0,12000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000121,접착방수포스터,기본,1,,mat_cd=MAT_000179; siz_cd=SIZ_000315; siz_height=200.0; siz_width=200.0,12000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000121,접착방수포스터,옵션변경(siz_cd),1,,mat_cd=MAT_000179; siz_cd=SIZ_000198; siz_height=200.0; siz_width=200.0,12000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000122,접착투명포스터,기본,1,,mat_cd=MAT_000180; siz_cd=SIZ_000315; siz_height=200.0; siz_width=200.0,16000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000122,접착투명포스터,옵션변경(siz_cd),1,,mat_cd=MAT_000180; siz_cd=SIZ_000198; siz_height=200.0; siz_width=200.0,16000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000123,아트패브릭포스터,기본,1,,mat_cd=MAT_000181; siz_cd=SIZ_000315; siz_height=200.0; siz_width=200.0,12000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000123,아트패브릭포스터,옵션변경(siz_cd),1,,mat_cd=MAT_000181; siz_cd=SIZ_000198; siz_height=200.0; siz_width=200.0,12000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000124,린넨패브릭포스터,기본,1,,mat_cd=MAT_000607; opt_cd=OPV_000025; siz_cd=SIZ_000542; siz_height=200.0; siz_width=200.0,17000,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000124,린넨패브릭포스터,옵션변경(opt_cd),1,,mat_cd=MAT_000607; opt_cd=OPV_000026; siz_cd=SIZ_000542; siz_height=200.0; siz_width=200.0,18000,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000125,캔버스패브릭포스터,기본,1,,mat_cd=MAT_000185; siz_cd=SIZ_000542; siz_height=200.0; siz_width=200.0,19000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000125,캔버스패브릭포스터,옵션변경(siz_cd),1,,mat_cd=MAT_000185; siz_cd=SIZ_000544; siz_height=200.0; siz_width=200.0,19000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000126,레더아트프린트,기본,1,,mat_cd=MAT_000379; siz_cd=SIZ_000315; siz_height=200.0; siz_width=200.0,19000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000126,레더아트프린트,옵션변경(siz_cd),1,,mat_cd=MAT_000379; siz_cd=SIZ_000198; siz_height=200.0; siz_width=200.0,19000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000127,타이벡프린트,기본,1,,mat_cd=MAT_000381; siz_cd=SIZ_000315; siz_height=200.0; siz_width=200.0,19000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000127,타이벡프린트,옵션변경(mat_cd),1,,mat_cd=MAT_000373; siz_cd=SIZ_000315; siz_height=200.0; siz_width=200.0,19000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000128,메쉬프린트,기본,1,,mat_cd=MAT_000183; siz_cd=SIZ_000315; siz_height=200.0; siz_width=200.0,19000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000128,메쉬프린트,옵션변경(siz_cd),1,,mat_cd=MAT_000183; siz_cd=SIZ_000198; siz_height=200.0; siz_width=200.0,19000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000129,폼보드,기본,1,,mat_cd=MAT_000599; opt_cd=OPV_000991; siz_cd=SIZ_000315,7000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000129,폼보드,옵션변경(opt_cd),1,,mat_cd=MAT_000599; opt_cd=OPV_000992; siz_cd=SIZ_000315,8500,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000130,포맥스보드,기본,1,,mat_cd=MAT_000593; opt_cd=OPV_000993; siz_cd=SIZ_000175,8500,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000130,포맥스보드,옵션변경(opt_cd),1,,mat_cd=MAT_000593; opt_cd=OPV_000994; siz_cd=SIZ_000175,10000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000131,프레임리스우드액자,기본,1,,mat_cd=MAT_000599; siz_cd=SIZ_000175,16000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000131,프레임리스우드액자,옵션변경(siz_cd),1,,mat_cd=MAT_000599; siz_cd=SIZ_000197,23000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000132,레더아트액자,기본,1,,mat_cd=MAT_000379; siz_cd=SIZ_000304,9000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000132,레더아트액자,옵션변경(siz_cd),1,,mat_cd=MAT_000379; siz_cd=SIZ_000306,10000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000133,캔버스 행잉포스터,기본,1,,mat_cd=MAT_000185; opt_cd=OPV_000995; siz_cd=SIZ_000258,22000,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000133,캔버스 행잉포스터,옵션변경(siz_cd),1,,mat_cd=MAT_000185; opt_cd=OPV_000995; siz_cd=SIZ_000315,28500,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000134,린넨우드봉족자,기본,1,,mat_cd=MAT_000607; opt_cd=OPV_000953; siz_cd=SIZ_000314,13000,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000134,린넨우드봉족자,옵션변경(siz_cd),1,,mat_cd=MAT_000607; opt_cd=OPV_000953; siz_cd=SIZ_000316,18000,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000135,족자포스터,기본,1,,mat_cd=MAT_000178; siz_cd=SIZ_000315,13000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000135,족자포스터,옵션변경(siz_cd),1,,mat_cd=MAT_000178; siz_cd=SIZ_000198,15000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000136,PET배너,기본,1,,mat_cd=MAT_000601; siz_cd=SIZ_000321,22000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000137,메쉬배너,기본,1,,mat_cd=MAT_000183; siz_cd=SIZ_000321,38000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000138,일반현수막,기본,1,,mat_cd=MAT_000605; opt_cd=OPV_000006; siz_cd=SIZ_000322; siz_height=500.0; siz_width=500.0,11000,Y,3,3,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000138,일반현수막,옵션변경(opt_cd),1,,mat_cd=MAT_000605; opt_cd=OPV_000007; siz_cd=SIZ_000322; siz_height=500.0; siz_width=500.0,11000,Y,3,3,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000139,메쉬현수막,기본,1,,mat_cd=MAT_000183; opt_cd=OPV_001000; siz_cd=SIZ_000323; siz_height=500.0; siz_width=500.0,20000,Y,3,3,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000139,메쉬현수막,옵션변경(opt_cd),1,,mat_cd=MAT_000183; opt_cd=OPV_001001; siz_cd=SIZ_000323; siz_height=500.0; siz_width=500.0,23000,Y,3,3,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000140,무광시트커팅,기본,1,,mat_cd=MAT_000389; siz_cd=SIZ_000258,6000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000140,무광시트커팅,옵션변경(siz_cd),1,,mat_cd=MAT_000389; siz_cd=SIZ_000315,11000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000141,홀로그램 시트커팅,기본,1,,mat_cd=MAT_000390; siz_cd=SIZ_000258,8000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000141,홀로그램 시트커팅,옵션변경(siz_cd),1,,mat_cd=MAT_000390; siz_cd=SIZ_000315,16000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000142,유광아크릴스티커,기본,1,,mat_cd=MAT_000376; siz_cd=SIZ_000324,9000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000142,유광아크릴스티커,옵션변경(siz_cd),1,,mat_cd=MAT_000376; siz_cd=SIZ_000325,14000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000143,미러아크릴스티커,기본,1,,mat_cd=MAT_000377; siz_cd=SIZ_000324,11000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000143,미러아크릴스티커,옵션변경(siz_cd),1,,mat_cd=MAT_000377; siz_cd=SIZ_000325,18000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000144,미니보드스탠딩,기본,1,,siz_cd=SIZ_000426,3500,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000144,미니보드스탠딩,옵션변경(siz_cd),1,,siz_cd=SIZ_000258,4500,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000145,미니배너,기본,1,,mat_cd=MAT_000178; siz_cd=SIZ_000028,6500,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000145,미니배너,옵션변경(siz_cd),1,,mat_cd=MAT_000178; siz_cd=SIZ_000328,6500,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000146,아크릴키링,기본,1,,mat_cd=MAT_000386; opt_cd=OPV_000624; print_opt_cd=POPT_000006; siz_cd=SIZ_000329; siz_height=20.0; siz_width=20.0,2500,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000146,아크릴키링,옵션변경(opt_cd),1,,mat_cd=MAT_000386; opt_cd=OPV_000625; print_opt_cd=POPT_000006; siz_cd=SIZ_000329; siz_height=20.0; siz_width=20.0,3600,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000147,아크릴마그넷,기본,1,,mat_cd=MAT_000386; opt_cd=OPV_001020; print_opt_cd=POPT_000007; siz_cd=SIZ_000336; siz_height=20.0; siz_width=20.0,3300,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000147,아크릴마그넷,옵션변경(siz_cd),1,,mat_cd=MAT_000386; opt_cd=OPV_001020; print_opt_cd=POPT_000007; siz_cd=SIZ_000216; siz_height=20.0; siz_width=20.0,3300,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000148,아크릴뱃지,기본,1,,mat_cd=MAT_000386; opt_cd=OPV_001021; print_opt_cd=POPT_000007; siz_cd=SIZ_000216; siz_height=30.0; siz_width=30.0,3700,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000148,아크릴뱃지,옵션변경(opt_cd),1,,mat_cd=MAT_000386; opt_cd=OPV_001022; print_opt_cd=POPT_000007; siz_cd=SIZ_000216; siz_height=30.0; siz_width=30.0,4100,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000149,아크릴집게,기본,1,,mat_cd=MAT_000386; opt_cd=OPV_001023; print_opt_cd=POPT_000007; siz_cd=SIZ_000216; siz_height=30.0; siz_width=30.0,3800,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000149,아크릴집게,옵션변경(opt_cd),1,,mat_cd=MAT_000386; opt_cd=OPV_001024; print_opt_cd=POPT_000007; siz_cd=SIZ_000216; siz_height=30.0; siz_width=30.0,3100,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000150,아크릴스마트톡,기본,1,,mat_cd=MAT_000386; opt_cd=OPV_000966; print_opt_cd=POPT_000007; siz_cd=SIZ_000011; siz_height=50.0; siz_width=50.0,7400,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000150,아크릴스마트톡,옵션변경(opt_cd),1,,mat_cd=MAT_000386; opt_cd=OPV_000967; print_opt_cd=POPT_000007; siz_cd=SIZ_000011; siz_height=50.0; siz_width=50.0,7800,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000152,아크릴명찰,기본,1,,mat_cd=MAT_000386; opt_cd=OPV_001025; print_opt_cd=POPT_000007; siz_cd=SIZ_000346; siz_height=20.0; siz_width=60.0,4100,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000152,아크릴명찰,옵션변경(opt_cd),1,,mat_cd=MAT_000386; opt_cd=OPV_001026; print_opt_cd=POPT_000007; siz_cd=SIZ_000346; siz_height=20.0; siz_width=60.0,5100,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000153,아크릴명찰(골드실버),기본,1,,mat_cd=MAT_000377; opt_cd=OPV_001027; print_opt_cd=POPT_000012; siz_cd=SIZ_000346; siz_height=20.0; siz_width=60.0,4100,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000153,아크릴명찰(골드실버),옵션변경(opt_cd),1,,mat_cd=MAT_000377; opt_cd=OPV_001028; print_opt_cd=POPT_000012; siz_cd=SIZ_000346; siz_height=20.0; siz_width=60.0,5100,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000154,아크릴 머리끈,기본,1,,mat_cd=MAT_000386; opt_cd=OPV_001031; print_opt_cd=POPT_000007; siz_cd=SIZ_000336; siz_height=20.0; siz_width=20.0,3000,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000154,아크릴 머리끈,옵션변경(siz_cd),1,,mat_cd=MAT_000386; opt_cd=OPV_001031; print_opt_cd=POPT_000007; siz_cd=SIZ_000216; siz_height=20.0; siz_width=20.0,3000,Y,2,2,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000156,아크릴지비츠,기본,100,,mat_cd=MAT_000386; opt_cd=OPV_001029; print_opt_cd=POPT_000007; siz_cd=SIZ_000336; siz_height=20.0; siz_width=20.0,16000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000156,아크릴지비츠,옵션변경(opt_cd),100,,mat_cd=MAT_000386; opt_cd=OPV_001030; print_opt_cd=POPT_000007; siz_cd=SIZ_000336; siz_height=20.0; siz_width=20.0,48000,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000159,아크릴코스터,기본,1,,mat_cd=MAT_000386; print_opt_cd=POPT_000006; siz_cd=SIZ_000356,12700,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000159,아크릴코스터,옵션변경(siz_cd),1,,mat_cd=MAT_000386; print_opt_cd=POPT_000006; siz_cd=SIZ_000355,12700,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000161,판아크릴,기본,1,,mat_cd=MAT_000386; print_opt_cd=POPT_000006; siz_cd=SIZ_000359,16700,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000161,판아크릴,옵션변경(siz_cd),1,,mat_cd=MAT_000386; print_opt_cd=POPT_000006; siz_cd=SIZ_000361,22700,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000164,아크릴코롯토,기본,1,,mat_cd=MAT_000416; print_opt_cd=POPT_000006; siz_cd=SIZ_000330; siz_height=30.0; siz_width=30.0,3600,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000164,아크릴코롯토,옵션변경(siz_cd),1,,mat_cd=MAT_000416; print_opt_cd=POPT_000006; siz_cd=SIZ_000333; siz_height=30.0; siz_width=30.0,3600,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000166,아크릴카라비너,기본,1,,mat_cd=MAT_000661; print_opt_cd=POPT_000006; siz_cd=SIZ_000369,6900,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000166,아크릴카라비너,옵션변경(siz_cd),1,,mat_cd=MAT_000661; print_opt_cd=POPT_000006; siz_cd=SIZ_000366,5800,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
