comp_cd,comp_nm,comp_typ_cd,prc_typ_cd,use_dims,use_yn,del_yn
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH,메쉬현수막 타공 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000079""]",Y,Y
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_4,메쉬현수막 타공(4개) 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000079""]",N,Y
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_6,메쉬현수막 타공(6개) 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000079""]",N,Y
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_8,메쉬현수막 타공(8개) 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000079""]",N,Y
COMP_POSTEROPT_BANNER_NORMAL_ADD_QBANG_4,일반현수막 큐방(4개) 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000004""]",Y,Y
COMP_POSTEROPT_BANNER_NORMAL_ADD_STRING_4,일반현수막 끈(4개) 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000004""]",Y,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_BONGSEW,일반현수막 봉미싱 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000003""]",Y,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_CUTEDGE,일반현수막 열재단 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000003""]",Y,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_DTAPE,일반현수막 양면테잎 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000003""]",Y,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH,일반현수막 타공 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000079""]",Y,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_4,일반현수막 타공(4개) 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000104""]",N,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_6,일반현수막 타공(6개) 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,[],N,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_8,일반현수막 타공(8개) 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,[],N,Y
COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,캔버스행잉포스터 우드행거+면끈 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""opt_cd"", ""siz_cd"", ""min_qty"", ""opt_grp:OPT_000283""]",Y,N
COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER_0,캔버스행잉포스터 우드행거 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_POSTEROPT_JOKJA_CEILHOOK,족자포스터 천정형고리 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""opt_cd"", ""min_qty""]",N,Y
COMP_POSTEROPT_LINEN_FINISH,린넨 마감가공비,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""opt_cd"", ""min_qty""]",Y,N
COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,린넨우드봉족자 우드봉+면끈,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""opt_cd"", ""siz_cd"", ""min_qty"", ""opt_grp:OPT_000266""]",Y,N
COMP_POSTEROPT_PET_BANNER_STAND_IN,PET배너 실내용배너거치대 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,[],N,Y
COMP_POSTEROPT_PET_BANNER_STAND_OUT_S1,PET배너 실외용배너거치대(단면용) 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,[],N,Y
COMP_POSTEROPT_PET_BANNER_STAND_OUT_S2,PET배너 실외용배너거치대(양면용) 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,[],N,Y
COMP_POSTEROPT_PET_BANNER_STAND_SEL,PET배너 거치대(실내/실외) 선택 추가가격,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"[""mat_cd""]",Y,Y
COMP_POSTER_PET_BANNER,PET배너 출력가공,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_POSTER_SHEETCUT_HOLO,홀로그램 시트커팅 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_POSTER_SHEETCUT_MATTE,무광시트커팅 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_POSTER_TYVEK_PRINT,타이벡프린트 완제품가[레거시],PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_width"", ""siz_height""]",N,Y
COMP_POSTER_WATERPROOF_PET,방수포스터 완제품가[레거시],PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_width"", ""siz_height""]",N,Y
COMP_PP_CORNER_RIGHT,귀돌이,PRC_COMPONENT_TYPE.04,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000026""]",Y,N
COMP_PP_CORNER_ROUND,귀돌이비 둥근,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000026""]",Y,Y
COMP_PP_CREASE_1L,오시비,PRC_COMPONENT_TYPE.04,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000029""]",Y,N
COMP_PP_CREASE_2L,오시비 2줄,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000029""]",Y,Y
COMP_PP_CREASE_3L,오시비 3줄,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000029""]",Y,Y
COMP_PP_PERF_1L,미싱비,PRC_COMPONENT_TYPE.04,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000030""]",Y,N
COMP_PP_PERF_2L,미싱비 2줄,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""min_qty""]",N,Y
COMP_PP_PERF_3L,미싱비 3줄,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""min_qty""]",N,Y
COMP_PP_VARIMG_1EA,가변이미지,PRC_COMPONENT_TYPE.04,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,N
