sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
포토북(가격포함),cell,5,AT5,AT,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AU5,AU,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AV5,AV,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AW5,AW,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AX5,AX,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AY5,AY,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AZ5,AZ,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,BA5,BA,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,BB5,BB,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,BC5,BC,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,BD5,BD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,6,A6,구분,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,6,B6,ID,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,6,C6,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,6,D6,상품명,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,6,E6,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,6,F6,내지파일사양_MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,6,G6,내지파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,6,H6,내지파일사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,6,I6,내지파일사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,6,J6,내지파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,6,K6,내지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,6,L6,내지파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
