sheet,sheet_label,prd_nm,norm,first_row
silsa,실사,캔버스패브릭포스터,캔버스패브릭포스터,46
silsa,실사,레더아트프린트,레더아트프린트,51
silsa,실사,타이벡프린트,타이벡프린트,56
silsa,실사,메쉬프린트,메쉬프린트,61
silsa,실사,폼보드,폼보드,66
silsa,실사,포맥스보드,포맥스보드,71
silsa,실사,프레임리스우드액자,프레임리스우드액자,75
silsa,실사,레더아트액자,레더아트액자,79
silsa,실사,캔버스 행잉포스터,캔버스행잉포스터,86
silsa,실사,린넨 우드봉 족자,린넨우드봉족자,90
silsa,실사,족자포스터,족자포스터,94
silsa,실사,PET배너,PET배너,100
silsa,실사,메쉬배너,메쉬배너,104
silsa,실사,일반현수막,일반현수막,108
silsa,실사,메쉬현수막,메쉬현수막,115
silsa,실사,무광시트커팅,무광시트커팅,120
silsa,실사,홀로그램 시트커팅,홀로그램시트커팅,124
silsa,실사,유광아크릴스티커,유광아크릴스티커,128
silsa,실사,미러아크릴스티커,미러아크릴스티커,133
silsa,실사,미니보드스탠딩,미니보드스탠딩,138
silsa,실사,미니배너,미니배너,142
acrylic,아크릴,아크릴키링,아크릴키링,3
acrylic,아크릴,아크릴마그넷,아크릴마그넷,13
acrylic,아크릴,아크릴뱃지,아크릴뱃지,22
acrylic,아크릴,아크릴집게,아크릴집게,27
acrylic,아크릴,아크릴스마트톡,아크릴스마트톡,32
acrylic,아크릴,맥세이프 스마트톡,맥세이프스마트톡,37
acrylic,아크릴,아크릴명찰,아크릴명찰,42
acrylic,아크릴,아크릴명찰(골드실버),아크릴명찰골드실버,47
acrylic,아크릴,아크릴 머리끈,아크릴머리끈,52
acrylic,아크릴,아크릴볼펜,아크릴볼펜,57
acrylic,아크릴,아크릴지비츠,아크릴지비츠,64
acrylic,아크릴,아크릴네임택,아크릴네임택,72
acrylic,아크릴,아크릴 포카키링,아크릴포카키링,78
acrylic,아크릴,아크릴 코스터,아크릴코스터,88
acrylic,아크릴,아크릴자유형스탠드,아크릴자유형스탠드,91
acrylic,아크릴,판아크릴,판아크릴,97
acrylic,아크릴,아크릴포카스탠드,아크릴포카스탠드,100
acrylic,아크릴,아크릴미니파츠,아크릴미니파츠,103
acrylic,아크릴,아크릴코롯토,아크릴코롯토,106
acrylic,아크릴,포카코롯토,포카코롯토,114
acrylic,아크릴,아크릴카라비너,아크릴카라비너,117
stationery,문구,만년다이어리(소프트커버),만년다이어리소프트커버,3
stationery,문구,만년다이어리(하드커버),만년다이어리하드커버,4
stationery,문구,만년다이어리(레더하드커버),만년다이어리레더하드커버,5
stationery,문구,만년다이어리(레더소프트커버),만년다이어리레더소프트커버,6
stationery,문구,먼슬리플래너,먼슬리플래너,8
stationery,문구,스프링노트,스프링노트,10
stationery,문구,스프링수첩,스프링수첩,12
stationery,문구,메모패드,메모패드,14
stationery,문구,메모패드(내지커스텀) 준비중,메모패드내지커스텀준비중,17
stationery,문구,중철노트,중철노트,19
stationery,문구,떡메모지,떡메모지,21
stationery,문구,"노랑색배경은 신규상품으로 MES에도 없어 등록해야하는 상품입니다
그레이배경의 상품은 품절이거나 준비중인 상품입니다.
그레이칼라의 글씨는 사용자에는 보여지지 않은(파일사양의 구분을 위한) 글씨입니다
*오렌지글씨는 저만의 commemt이니 개발시 무시해주세요
제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 (옵션/오렌지)은 상품에 따라 있을수도 없을 수도 있습니다
모든 항목은 Figma를 참고해주세요",노랑색배경은신규상품으로MES에도없어등록해야하는상품입니다그레이배경의상품은품절이거나준비중인상품입니다그레이칼라의글씨는사용자에는보여지지않은파일사양의구분을위한글씨입니다*오렌지글씨는저만의commemt이니개발시무시해주세요제목부분필수빨강는모든상품에반드시설정해야하는부분옵션오렌지은상품에따라있을수도없을수도있습니다모든항목은Figma를참고해주세요,29
goods-pouch,굿즈파우치,틴거울,틴거울,3
goods-pouch,굿즈파우치,컴팩트거울,컴팩트거울,4
goods-pouch,굿즈파우치,카드거울,카드거울,5
goods-pouch,굿즈파우치,사각손거울,사각손거울,6
goods-pouch,굿즈파우치,블랙사각손거울,블랙사각손거울,9
goods-pouch,굿즈파우치,레더코스터,레더코스터,12
goods-pouch,굿즈파우치,코르크코스터,코르크코스터,14
goods-pouch,굿즈파우치,우드코스터,우드코스터,15
goods-pouch,굿즈파우치,린넨패브릭코스터,린넨패브릭코스터,17
goods-pouch,굿즈파우치,규조토코스터,규조토코스터,18
goods-pouch,굿즈파우치,머그컵,머그컵,20
goods-pouch,굿즈파우치,워터북보틀,워터북보틀,23
goods-pouch,굿즈파우치,벨벳쿠션,벨벳쿠션,25
goods-pouch,굿즈파우치,레더여권케이스,레더여권케이스,27
goods-pouch,굿즈파우치,미니매트,미니매트,28
goods-pouch,굿즈파우치,피크닉매트,피크닉매트,30
goods-pouch,굿즈파우치,투명부채,투명부채,34
goods-pouch,굿즈파우치,핀버튼,핀버튼,36
goods-pouch,굿즈파우치,레더스트랩키링,레더스트랩키링,38
goods-pouch,굿즈파우치,키캡키링,키캡키링,41
goods-pouch,굿즈파우치,LED투명키캡키링,LED투명키캡키링,46
goods-pouch,굿즈파우치,미니CD앨범,미니CD앨범,51
goods-pouch,굿즈파우치,양말,양말,54
goods-pouch,굿즈파우치,반팔티셔츠,반팔티셔츠,55
goods-pouch,굿즈파우치,극세사타월,극세사타월,64
goods-pouch,굿즈파우치,슬로건,슬로건,66
goods-pouch,굿즈파우치,후드티셔츠,후드티셔츠,69
goods-pouch,굿즈파우치,초슬림마우스패드,초슬림마우스패드,71
goods-pouch,굿즈파우치,장패드,장패드,72
goods-pouch,굿즈파우치,극세사클리너,극세사클리너,73
goods-pouch,굿즈파우치,틴케이스,틴케이스,74
goods-pouch,굿즈파우치,자석북마크,자석북마크,75
goods-pouch,굿즈파우치,클립보드,클립보드,76
goods-pouch,굿즈파우치,투명클립보드,투명클립보드,78
goods-pouch,굿즈파우치,만년스탬프,만년스탬프,80
goods-pouch,굿즈파우치,타이벡북커버,타이벡북커버,88
goods-pouch,굿즈파우치,밴드톡,밴드톡,91
goods-pouch,굿즈파우치,폰스트랩,폰스트랩,92
goods-pouch,굿즈파우치,말랑키링,말랑키링,95
goods-pouch,굿즈파우치,말랑증사홀더,말랑증사홀더,105
goods-pouch,굿즈파우치,말랑포카홀더,말랑포카홀더,115
goods-pouch,굿즈파우치,말랑네임택,말랑네임택,125
goods-pouch,굿즈파우치,말랑여권케이스,말랑여권케이스,126
goods-pouch,굿즈파우치,아크릴쉐이커코롯토,아크릴쉐이커코롯토,128
goods-pouch,굿즈파우치,미니우치와키링,미니우치와키링,133
goods-pouch,굿즈파우치,하트 이미지피켓,하트이미지피켓,136
goods-pouch,굿즈파우치,이미지피켓,이미지피켓,138
goods-pouch,굿즈파우치,레더 플랫 파우치,레더플랫파우치,141
goods-pouch,굿즈파우치,레더 슬림 파우치,레더슬림파우치,143
goods-pouch,굿즈파우치,레더 삼각 파우치,레더삼각파우치,145
goods-pouch,굿즈파우치,레더 볼륨 파우치,레더볼륨파우치,147
goods-pouch,굿즈파우치,레더 스트링 파우치,레더스트링파우치,149
goods-pouch,굿즈파우치,레더 스트링 원형파우치,레더스트링원형파우치,150
goods-pouch,굿즈파우치,레더 플랫 클러치,레더플랫클러치,151
goods-pouch,굿즈파우치,레더 삼각 클러치,레더삼각클러치,152
goods-pouch,굿즈파우치,레더 아이패드/노트북 파우치,레더아이패드노트북파우치,153
goods-pouch,굿즈파우치,캔버스 플랫 파우치,캔버스플랫파우치,156
goods-pouch,굿즈파우치,캔버스 삼각 파우치,캔버스삼각파우치,158
goods-pouch,굿즈파우치,캔버스 스트랩 라벨파우치,캔버스스트랩라벨파우치,160
goods-pouch,굿즈파우치,광목 스트링 라벨파우치,광목스트링라벨파우치,161
goods-pouch,굿즈파우치,린넨 스트링 파우치,린넨스트링파우치,163
goods-pouch,굿즈파우치,타이벡 플랫 파우치,타이벡플랫파우치,167
goods-pouch,굿즈파우치,타이벡 슬림 파우치,타이벡슬림파우치,170
goods-pouch,굿즈파우치,타이벡 삼각 파우치,타이벡삼각파우치,172
goods-pouch,굿즈파우치,타이벡 스트링 파우치,타이벡스트링파우치,174
goods-pouch,굿즈파우치,타이벡 플랫 클러치,타이벡플랫클러치,177
goods-pouch,굿즈파우치,메쉬슬림파우치,메쉬슬림파우치,179
goods-pouch,굿즈파우치,메쉬볼륨파우치,메쉬볼륨파우치,181
goods-pouch,굿즈파우치,레더 플랫 미니파우치,레더플랫미니파우치,183
goods-pouch,굿즈파우치,레더 슬림 미니파우치,레더슬림미니파우치,184
goods-pouch,굿즈파우치,레더 삼각 미니파우치,레더삼각미니파우치,186
goods-pouch,굿즈파우치,레더 볼륨 미니파우치,레더볼륨미니파우치,187
goods-pouch,굿즈파우치,레더 원형 미니파우치,레더원형미니파우치,189
goods-pouch,굿즈파우치,레더 플랫 필통,레더플랫필통,191
goods-pouch,굿즈파우치,레더 슬림 필통,레더슬림필통,192
goods-pouch,굿즈파우치,레더 삼각 필통,레더삼각필통,193
goods-pouch,굿즈파우치,레더 볼륨 필통,레더볼륨필통,194
goods-pouch,굿즈파우치,레더 원형 필통,레더원형필통,195
goods-pouch,굿즈파우치,캔버스 플랫 필통,캔버스플랫필통,196
goods-pouch,굿즈파우치,캔버스 삼각 필통,캔버스삼각필통,198
goods-pouch,굿즈파우치,레더토트백,레더토트백,201
goods-pouch,굿즈파우치,레더숄더백,레더숄더백,202
goods-pouch,굿즈파우치,린넨 미니에코백,린넨미니에코백,204
goods-pouch,굿즈파우치,린넨 토트백,린넨토트백,205
goods-pouch,굿즈파우치,린넨 에코백,린넨에코백,206
goods-pouch,굿즈파우치,캔버스심플백,캔버스심플백,208
goods-pouch,굿즈파우치,캔버스 포켓심플백,캔버스포켓심플백,210
goods-pouch,굿즈파우치,캔버스에코백,캔버스에코백,211
goods-pouch,굿즈파우치,캔버스숄더백,캔버스숄더백,213
goods-pouch,굿즈파우치,캔버스 포켓숄더백,캔버스포켓숄더백,214
goods-pouch,굿즈파우치,타이벡 양면 백팩,타이벡양면백팩,216
goods-pouch,굿즈파우치,타이벡보냉보틀백,타이벡보냉보틀백,218
goods-pouch,굿즈파우치,타이벡 보냉 미니백,타이벡보냉미니백,220
goods-pouch,굿즈파우치,타이벡 에코백,타이벡에코백,221
goods-pouch,굿즈파우치,타이벡 보냉에코백,타이벡보냉에코백,222
goods-pouch,굿즈파우치,메쉬 토트백,메쉬토트백,224
goods-pouch,굿즈파우치,메쉬 에코백,메쉬에코백,225
goods-pouch,굿즈파우치,레더라벨제작,레더라벨제작,227
goods-pouch,굿즈파우치,슬림하드 폰케이스,슬림하드폰케이스,238
goods-pouch,굿즈파우치,블랙젤리,블랙젤리,278
goods-pouch,굿즈파우치,임팩트 젤하드,임팩트젤하드,309
goods-pouch,굿즈파우치,에어팟케이스★,에어팟케이스★,334
goods-pouch,굿즈파우치,버즈케이스★,버즈케이스★,339
product-accessory,상품악세사리,OPP접착봉투,OPP접착봉투,3
product-accessory,상품악세사리,OPP비접착봉투,OPP비접착봉투,14
product-accessory,상품악세사리,트래싱지 카드봉투,트래싱지카드봉투,25
product-accessory,상품악세사리,카드봉투,카드봉투,33
product-accessory,상품악세사리,캘린더봉투,캘린더봉투,35
product-accessory,상품악세사리,볼체인,볼체인,37
product-accessory,상품악세사리,와이어링,와이어링,45
product-accessory,상품악세사리,천정고리,천정고리,48
product-accessory,상품악세사리,투명케이스,투명케이스,49
product-accessory,상품악세사리,행택끈,행택끈,52
product-accessory,상품악세사리,자석고정용고무판,자석고정용고무판,55
product-accessory,상품악세사리,우드거치대,우드거치대,56
product-accessory,상품악세사리,우드봉,우드봉,57
product-accessory,상품악세사리,우드행거,우드행거,60
product-accessory,상품악세사리,만년스탬프 리필잉크,만년스탬프리필잉크,63
