prd_nm,분류,엑셀값,DB값,비고
미니우치와키링,EXCEL-only(비치수),양면,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
버즈케이스★,EXCEL-only(비치수),버즈|버즈라이브,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
벨벳쿠션,EXCEL-only(비치수),단면|양면,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
볼체인,EXCEL-only(비치수),오렌지 (3개1팩)|핑크 (3개1팩)|핫핑크 (3개1팩),(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
봉투제작,EXCEL-only(비치수),티켓봉투|소봉투|자켓봉투,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
블랙젤리,EXCEL-only(비치수),삼성(갤럭시S21)|삼성(갤럭시S21플러스)|삼성(갤럭시S21울트라),(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
슬로건,EXCEL-only(비치수),양면 가로형|양면 세로형,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
슬림하드 폰케이스,EXCEL-only(비치수),삼성(갤럭시S20)|삼성(갤럭시(S20플러스)|삼성(갤럭시S20울트라),(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
아크릴쉐이커코롯토,EXCEL-only(비치수),양면인쇄|전면만 인쇄|배면만 인쇄,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
아크릴입체코롯토,EXCEL-only(비치수),사용자입력,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
에어팟케이스★,EXCEL-only(비치수),에어팟1/2세대|에어팟3세대|에어팟프로,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
와이드 접지리플렛,EXCEL-only(비치수),3절 (3단접지)|3절 (4단대문접지)|3절 (4단병풍접지),(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
와이어링,EXCEL-only(비치수),실버|화이트|블랙,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
우드거치대,EXCEL-only(비치수),120mm (4mm홈) 내추럴,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
우드봉,EXCEL-only(비치수),270mm + 면끈|360mm + 면끈|480mm + 면끈,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
우드코스터,EXCEL-only(비치수),원형 90mm|사각 90mm,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
우드행거,EXCEL-only(비치수),230mm + 면끈|320mm + 면끈|440mm + 면끈,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
워터북보틀,EXCEL-only(비치수),350ml|500ml,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
이미지피켓,EXCEL-only(비치수),양면유광 M|양면유광 L,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
임팩트 젤하드,EXCEL-only(비치수),삼성(갤럭시S22)|삼성(갤럭시S22플러스)|삼성(갤럭시S22울트라),(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
자석북마크,EXCEL-only(비치수),2개1팩,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
접지리플렛,EXCEL-only(비치수),A5 (반접지)|A4 (반접지)|A4 (3단접지),(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
지비츠★,EXCEL-only(비치수),15mm x 15mm|20mm x 20mm|25mm x 25mm,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
천정고리,EXCEL-only(비치수),2개1세트,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
캔버스 삼각 파우치,EXCEL-only(비치수),M|L,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
캔버스 포켓심플백,EXCEL-only(비치수),블랙M,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
캔버스 플랫 파우치,EXCEL-only(비치수),M|L,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
캔버스숄더백,EXCEL-only(비치수),세로형,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
캔버스심플백,EXCEL-only(비치수),세로M,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
캔버스에코백,EXCEL-only(비치수),가로L,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
컴팩트거울,EXCEL-only(비치수),무광 75mm,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
코르크코스터,EXCEL-only(비치수),원형 90mm,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
타이벡 보냉에코백,EXCEL-only(비치수),세로형,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
타이벡 삼각 파우치,EXCEL-only(비치수),M|L,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
타이벡 스트링 파우치,EXCEL-only(비치수),M|L|XL,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
타이벡 슬림 파우치,EXCEL-only(비치수),M|L,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
타이벡 양면 백팩,EXCEL-only(비치수),M|L,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
타이벡 에코백,EXCEL-only(비치수),세로형,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
타이벡 플랫 파우치,EXCEL-only(비치수),M|L|XL,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
타이벡보냉보틀백,EXCEL-only(비치수),M|L,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
투명클립보드,EXCEL-only(비치수),A5용|A4용,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
투명포스터★,EXCEL-only(치수보유),A3 (297 x 420 mm)|A2 (420 x 594 mm)|A1 (594 x 841 mm),(DB 사이즈 미연결),치수보유 DB미연결(★보류 확인필요)
틴거울,EXCEL-only(비치수),무광 75mm,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
틴케이스,EXCEL-only(비치수),미니틴케이스,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
폰스트랩,EXCEL-only(비치수),단면|양면,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
핀버튼,EXCEL-only(비치수),원형 58mm|사각 57mm,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
하트 이미지피켓,EXCEL-only(비치수),양면유광,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
행택끈,EXCEL-only(비치수),사각검정 (100개)|사각백색 (100개)|사각마사 (100개),(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
