prd_nm,분류,엑셀값,DB값,비고
미니모양명함,MATCH(표기차브리지),몽블랑240,몽블랑 240g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
미니배너,MATCH,PET,PET,usage=['USAGE.07']; 
미니우치와키링,MATCH,반투명|블랙,반투명|블랙|양면,usage=['USAGE.07']; 
미니탁상형캘린더,MATCH,몽블랑 190g,링 블랙|몽블랑 190g|삼각대(블랙),usage=['USAGE.07']; 
미러아크릴스티커,MATCH,골드|실버,골드|실버,usage=['USAGE.07']; 
반칼 자유형 스티커,MATCH,유포스티커|비코팅스티커|미색스티커,무광코팅스티커|미색스티커|비코팅스티커,usage=['USAGE.07']; 
반칼 자유형 투명스티커,MATCH,투명스티커,투명스티커,usage=['USAGE.07']; 
반칼 자유형 홀로그램스티커,MATCH,홀로그램스티커,홀로그램스티커,usage=['USAGE.07']; 
반칼띠지스티커,MATCH,유포스티커|비코팅스티커|미색스티커,무광코팅스티커|미색스티커|비코팅스티커,usage=['USAGE.07']; 
반칼원형스티커,MATCH,유포스티커|비코팅스티커|미색스티커,무광코팅스티커|미색스티커|비코팅스티커,usage=['USAGE.07']; 
반칼정사각스티커,MATCH,유포스티커|비코팅스티커|미색스티커,무광코팅스티커|미색스티커|비코팅스티커,usage=['USAGE.07']; 
반칼직사각스티커,MATCH,유포스티커|비코팅스티커|미색스티커,무광코팅스티커|미색스티커|비코팅스티커,usage=['USAGE.07']; 
반칼팬시스티커,MATCH,유포스티커|비코팅스티커|미색스티커,무광코팅스티커|미색스티커|비코팅스티커,usage=['USAGE.07']; 
반칼팬시투명스티커,MATCH,투명스티커,투명스티커,usage=['USAGE.07']; 
반팔티셔츠,MATCH,화이트 M|화이트 L|화이트 XL,블랙 L|블랙 M|블랙 XL,usage=['USAGE.07']; 
방수포스터,MATCH,PET,PET,usage=['USAGE.07']; 
벽걸이캘린더,MATCH,몽블랑 190g,링 블랙|몽블랑 190g,usage=['USAGE.07']; 
봉투제작,MATCH,모조 120g|레자크체크백색 110g|레자크줄무늬백색 110g,레자크줄무늬백색 110g|레자크체크백색 110g|모조 120g,usage=['USAGE.07']; 
소량자유형스티커,MATCH,유포스티커|비코팅스티커|미색스티커,무광코팅스티커|미색스티커|비코팅스티커,usage=['USAGE.07']; 
스탠다드 쿠폰/상품권,MATCH,백색모조지 100g|아트지 150g|스노우지 150g,몽블랑 130g|백색모조지 100g|스노우지 150g,usage=['USAGE.07']; 
스탠다드명함,MATCH(표기차브리지),백모조220|아트250|아트300,백색모조지 220g|스노우지 250g|스노우지 300g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
스티커팩,MATCH,비코팅스티커|미색스티커,미색스티커|비코팅스티커,usage=['USAGE.07']; 
스프링노트,MATCH(표기차브리지),무지내지|백모조100 +복합1(아트250 + 무광코팅),무지내지|백색모조지 100g|아트250 + 무광코팅,"usage=['USAGE.01', 'USAGE.02', 'USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요"
스프링수첩,MATCH(표기차브리지),무지내지|백모조100 +복합1(아트250 + 무광코팅),무지내지|백색모조지 100g|아트250 + 무광코팅,"usage=['USAGE.01', 'USAGE.02', 'USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요"
썬캡,MATCH(표기차브리지),아이보리300,아이보리 300g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴 머리끈,MATCH(표기차브리지),투명아크릴 3mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴 코스터,MATCH(표기차브리지),투명아크릴 3mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴 포카키링,MATCH(표기차브리지),투명아크릴 3mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴네임택,MATCH(표기차브리지),투명아크릴 3mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴마그넷,MATCH(표기차브리지),투명아크릴 3mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴명찰,MATCH(표기차브리지),투명아크릴 3mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴명찰(골드실버),MATCH(표기차브리지),골드아크릴 3mm|실버아크릴 3mm,골드아크릴|실버아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴미니파츠,MATCH(표기차브리지),투명아크릴 1.5mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴뱃지,MATCH(표기차브리지),투명아크릴 3mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴볼펜,MATCH(표기차브리지),투명아크릴 3mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴쉐이커코롯토,MATCH,핑크글리터|화이트글리터|블루글리터,배면만 인쇄|블랙글리터|블루글리터,usage=['USAGE.07']; 
아크릴스마트톡,MATCH(표기차브리지),투명아크릴 3mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴입체블럭,MATCH(표기차브리지),투명아크릴라미(10T),투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴자유형스탠드,MATCH(표기차브리지),투명아크릴 3mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴지비츠,MATCH(표기차브리지),투명아크릴 3mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴집게,MATCH(표기차브리지),투명아크릴 3mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴카라비너,MATCH, +복합1(투명아크릴 3mm+3mm 접합),투명아크릴,usage=['USAGE.07']; 
아크릴코롯토,MATCH(표기차브리지),투명아크릴(8T),투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴키링,MATCH(표기차브리지),투명아크릴 3mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아크릴포카스탠드,MATCH(표기차브리지),투명아크릴 3mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
아트패브릭포스터,MATCH,그래픽천,그래픽천,usage=['USAGE.07']; 
아트페이퍼포스터,MATCH,매트지,매트지,usage=['USAGE.07']; 
아트프린트포스터,MATCH,인화지,인화지,usage=['USAGE.07']; 
엽서북,MATCH(표기차브리지),몽블랑240|스노우300,몽블랑 240g|스노우지 300g,"usage=['USAGE.01', 'USAGE.02']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요"
엽서캘린더,MATCH,몽블랑 190g,몽블랑 190g,usage=['USAGE.07']; 
오리지널박명함,MATCH,큐리어스스킨 화이트 270g|큐리어스스킨 블랙 270g|큐리어스스킨 레드 270g,큐리어스스킨 다크블루 270g|큐리어스스킨 레드 270g|큐리어스스킨 바이올렛 270g,usage=['USAGE.07']; 
와이드 접지리플렛,MATCH,아트지 150g|스노우지 250g|몽블랑 130g,몽블랑 130g|몽블랑 190g|몽블랑 240g,usage=['USAGE.07']; 
와이드벽걸이캘린더,MATCH,몽블랑 190g (3절),링 블랙|몽블랑 190g (3절)|몽블랑 240g (3절),usage=['USAGE.07']; 
유광아크릴스티커,MATCH,화이트|블랙,블랙|화이트,usage=['USAGE.07']; 
인쇄배경지(OPP봉투타입),MATCH(표기차브리지),스노우250,스노우지 250g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
인쇄배경지(투명케이스타입),MATCH(표기차브리지),스노우250,스노우지 250g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
인쇄헤더택,MATCH(표기차브리지),스노우250,스노우지 250g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
일반현수막,MATCH,현수막천,현수막천,usage=['USAGE.07']; 
접착방수포스터,MATCH,PVC,PVC,usage=['USAGE.07']; 
접착투명포스터,MATCH,투명PVC,투명PVC,usage=['USAGE.07']; 
족자포스터,MATCH,PET,PET,usage=['USAGE.07']; 
종이슬로건,MATCH(표기차브리지),아트300,아트지 300g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
중철노트,MATCH(표기차브리지),무지내지|백모조100 +복합1(아트250 + 무광코팅),무지내지|백색모조지 100g|아트250 + 무광코팅,"usage=['USAGE.01', 'USAGE.02', 'USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요"
지그재그엽서,MATCH(표기차브리지),몽블랑130g,몽블랑 130g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
지비츠★,MATCH(표기차브리지),투명아크릴(3T)◀,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
캔버스 스트랩 라벨파우치,MATCH,블랙,블랙,usage=['USAGE.07']; 
캔버스 행잉포스터,MATCH,캔버스(옥스포드),캔버스(옥스포드),usage=['USAGE.07']; 
캔버스패브릭포스터,MATCH,캔버스(옥스포드),캔버스(옥스포드),usage=['USAGE.07']; 
코팅명함,MATCH(표기차브리지),아트250|아트300,아트지 250g|아트지 300g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
코팅엽서,MATCH(표기차브리지),아트250|아트300,아트지 250g|아트지 300g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
타이벡프린트,MATCH,타이벡(하드)|타이벡(소프트),타이벡(소프트)|타이벡(하드),usage=['USAGE.07']; 
타투스티커,MATCH,타투전용지,타투전용지,usage=['USAGE.07']; 
탁상형캘린더,MATCH,몽블랑 190g,링 블랙|몽블랑 190g|삼각대(그레이),usage=['USAGE.07']; 
투명명함,MATCH(표기차브리지),투명PET 260g|반투명PET 260g,PET,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
투명엽서,MATCH(표기차브리지),투명PET 260g|반투명PET 260g,PET,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
투명포토카드,MATCH(표기차브리지),투명PET 260g|반투명PET 260g,PET,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
트윈링책자,MATCH, +*별도설정2,링 메탈링|링 블랙링|링 화이트링,"usage=['USAGE.05', 'USAGE.07']; "
판아크릴,MATCH(표기차브리지),투명아크릴 3mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
펄명함,MATCH(표기차브리지),스타드림(다이아)240|스타드림(실버)240|스타드림(골드)240,스타드림(골드) 240g|스타드림(다이아) 240g|스타드림(로츠쿼츠) 240g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
포카코롯토,MATCH(표기차브리지),투명아크릴 8mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
포토북 [디자인명],MATCH(표기차브리지),몽블랑130|몽블랑130|몽블랑130 +복합7(아트250+무광코팅),그레이|레더(화이트)|레더하드커버,"usage=['USAGE.01', 'USAGE.02', 'USAGE.03']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요"
포토카드,MATCH(표기차브리지),아트300,아트지 300g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
프리미엄 쿠폰/상품권,MATCH(표기차브리지),몽블랑190|스타드림(다이아)240|스타드림(실버)240,몽블랑 190g|스타드림(골드) 240g|스타드림(다이아) 240g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
피크닉매트,MATCH,화이트|블랙,블랙|화이트,usage=['USAGE.07']; 
핑크별색엽서,MATCH(표기차브리지),몽블랑190|몽블랑240|아코팩(웜화이트)250,몽블랑 190g|몽블랑 240g|아코팩(웜화이트) 250g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
하드커버 링책자,MATCH,전용지 +*별도설정1,그레이면지|링 메탈링|링 블랙링,"usage=['USAGE.02', 'USAGE.03', 'USAGE.07']; "
하드커버책자,MATCH,전용지 +*별도설정1,그레이면지|블랙면지|전용지,"usage=['USAGE.02', 'USAGE.03']; "
합판도무송스티커,MATCH,유포스티커|비코팅스티커|무광코팅스티커,무광코팅스티커|비코팅스티커|유광코팅스티커,usage=['USAGE.07']; 
홀로그램 시트커팅,MATCH,홀로그램,홀로그램,usage=['USAGE.07']; 
화이트인쇄명함,MATCH,큐리어스스킨 블랙 270g|큐리어스스킨 레드 270g|큐리어스스킨 바이올렛 270g,큐리어스스킨 다크블루 270g|큐리어스스킨 레드 270g|큐리어스스킨 바이올렛 270g,usage=['USAGE.07']; 
화이트인쇄엽서,MATCH,큐리어스스킨 블랙 270g|큐리어스스킨 레드 270g|큐리어스스킨 바이올렛 270g,큐리어스스킨 다크블루 270g|큐리어스스킨 레드 270g|큐리어스스킨 바이올렛 270g,usage=['USAGE.07']; 
후드티셔츠,MATCH,멜란지 XL|블랙 XL,멜란지 XL|블랙 XL,usage=['USAGE.07']; 
2단접지카드,EXCEL-only/별도설정,*별도설정,(DB 자재 미연결),"*별도설정=실자재아님,DB공란정당"
3단접지카드,EXCEL-only/별도설정,*별도설정,(DB 자재 미연결),"*별도설정=실자재아님,DB공란정당"
PUR책자,EXCEL-only/별도설정,*별도설정|*별도설정,(DB 자재 미연결),"*별도설정=실자재아님,DB공란정당"
링바인더 (보류중),EXCEL-only,전용지,(DB 자재 미연결),보류/품절 추정(★) 확인필요
무선책자,EXCEL-only/별도설정,*별도설정|*별도설정,(DB 자재 미연결),"*별도설정=실자재아님,DB공란정당"
미니접지카드,EXCEL-only/별도설정,*별도설정,(DB 자재 미연결),"*별도설정=실자재아님,DB공란정당"
버즈케이스★,EXCEL-only,하판(블랙)|하판(화이트),(DB 자재 미연결),보류/품절 추정(★) 확인필요
소량전단지,EXCEL-only/별도설정,*별도설정,(DB 자재 미연결),"*별도설정=실자재아님,DB공란정당"
스탠다드엽서,EXCEL-only/별도설정,*별도설정,(DB 자재 미연결),"*별도설정=실자재아님,DB공란정당"
접지리플렛,EXCEL-only/별도설정,*별도설정,(DB 자재 미연결),"*별도설정=실자재아님,DB공란정당"
중철책자,EXCEL-only/별도설정,*별도설정|*별도설정,(DB 자재 미연결),"*별도설정=실자재아님,DB공란정당"
투명포스터★,EXCEL-only,투명PET,(DB 자재 미연결),보류/품절 추정(★) 확인필요
프리미엄명함,EXCEL-only/별도설정,*별도설정,(DB 자재 미연결),"*별도설정=실자재아님,DB공란정당"
프리미엄엽서,EXCEL-only/별도설정,*별도설정,(DB 자재 미연결),"*별도설정=실자재아님,DB공란정당"
형압명함,EXCEL-only/별도설정,*별도설정,(DB 자재 미연결),"*별도설정=실자재아님,DB공란정당"
LED투명키캡키링,DB-only(EXTRA),(엑셀 자재컬럼 공란/별도),1구|2구|3구,"DB 자재행 존재, 엑셀 미보유. 삭제금지(출처=DB)"
규조토코스터,DB-only(EXTRA),(엑셀 자재컬럼 공란/별도),사각 100mm|원형 102mm,"DB 자재행 존재, 엑셀 미보유. 삭제금지(출처=DB)"
레더 볼륨 미니파우치,DB-only(EXTRA),(엑셀 자재컬럼 공란/별도),정사각|직사각,"DB 자재행 존재, 엑셀 미보유. 삭제금지(출처=DB)"
레더 볼륨 파우치,DB-only(EXTRA),(엑셀 자재컬럼 공란/별도),정사각M|직사각M,"DB 자재행 존재, 엑셀 미보유. 삭제금지(출처=DB)"
레더 삼각 파우치,DB-only(EXTRA),(엑셀 자재컬럼 공란/별도),L|M,"DB 자재행 존재, 엑셀 미보유. 삭제금지(출처=DB)"
레더 스트링 파우치,DB-only(EXTRA),(엑셀 자재컬럼 공란/별도),M,"DB 자재행 존재, 엑셀 미보유. 삭제금지(출처=DB)"
레더 슬림 미니파우치,DB-only(EXTRA),(엑셀 자재컬럼 공란/별도),정사각|직사각,"DB 자재행 존재, 엑셀 미보유. 삭제금지(출처=DB)"
레더 슬림 파우치,DB-only(EXTRA),(엑셀 자재컬럼 공란/별도),L|M,"DB 자재행 존재, 엑셀 미보유. 삭제금지(출처=DB)"
