sheet,gubun,prd_nm,mes_item_cd,source_values
굿즈파우치(가격포함),,벨벳쿠션,,단면 | 양면
굿즈파우치(가격포함),여행/아웃도어,레더여권케이스,,
굿즈파우치(가격포함),,미니매트,,45 x 45 cm
굿즈파우치(가격포함),,피크닉매트,,100x70cm(1인용) | 100x150cm(2인용)
굿즈파우치(가격포함),,투명부채,,
굿즈파우치(가격포함),기념품/액세서리,핀버튼,,원형 58mm | 사각 57mm
굿즈파우치(가격포함),,레더스트랩키링,,미니 50mm | 일반 100mm
굿즈파우치(가격포함),,키캡키링,,2구 | 3구 | 4구 | 2x2구
굿즈파우치(가격포함),,LED투명키캡키링,,1구 | 2구 | 3구 | 4구
굿즈파우치(가격포함),,미니CD앨범,,CD 커버 세트 (미조립)
굿즈파우치(가격포함),패션,양말,,
굿즈파우치(가격포함),,반팔티셔츠,,
굿즈파우치(가격포함),,극세사타월,,
굿즈파우치(가격포함),,슬로건,,양면 가로형 | 양면 세로형
굿즈파우치(가격포함),,후드티셔츠,,
굿즈파우치(가격포함),데스크/사무용품,초슬림마우스패드,,
굿즈파우치(가격포함),,장패드,,
굿즈파우치(가격포함),,극세사클리너,,
굿즈파우치(가격포함),,틴케이스,,미니틴케이스
굿즈파우치(가격포함),,자석북마크,,2개1팩
굿즈파우치(가격포함),,클립보드,,A5용 (164 x 230 mm) | A4용 (230 x 330 mm)
굿즈파우치(가격포함),,투명클립보드,,A5용 | A4용
굿즈파우치(가격포함),,만년스탬프,,원형 13x13mm | 원형 19x19mm | 원형 24x24mm | 원형 35x35mm | 사각 30x30mm | 사각 67x32mm | 사각 78x28mm
굿즈파우치(가격포함),,타이벡북커버,,A5
굿즈파우치(가격포함),디지털악세서리,밴드톡,,
굿즈파우치(가격포함),,폰스트랩,,단면 | 양면
굿즈파우치(가격포함),말랑(PVC고주파),말랑키링,,원형 | 사각 | 꽃 | 별 | 하트
굿즈파우치(가격포함),,말랑증사홀더,,
굿즈파우치(가격포함),,말랑포카홀더,,
굿즈파우치(가격포함),,말랑네임택,,
굿즈파우치(가격포함),,말랑여권케이스,,
굿즈파우치(가격포함),,아크릴쉐이커코롯토,,양면인쇄 | 전면만 인쇄 | 배면만 인쇄
굿즈파우치(가격포함),,미니우치와키링,,양면
굿즈파우치(가격포함),,하트 이미지피켓,,양면유광
굿즈파우치(가격포함),,이미지피켓,,양면유광 M | 양면유광 L
굿즈파우치(가격포함),레더파우치,레더 플랫 파우치,,M | L
굿즈파우치(가격포함),,레더 슬림 파우치,,M | L
굿즈파우치(가격포함),,레더 삼각 파우치,,M | L
굿즈파우치(가격포함),,레더 볼륨 파우치,,정사각M | 직사각M
굿즈파우치(가격포함),,레더 스트링 파우치,,M
굿즈파우치(가격포함),,레더 스트링 원형파우치,,
굿즈파우치(가격포함),,레더 플랫 클러치,,
굿즈파우치(가격포함),,레더 삼각 클러치,,
굿즈파우치(가격포함),,레더 아이패드/노트북 파우치,,11인치 | 13인치 | 15인치
굿즈파우치(가격포함),패브릭파우치,캔버스 플랫 파우치,,M | L
굿즈파우치(가격포함),,캔버스 삼각 파우치,,M | L
굿즈파우치(가격포함),,캔버스 스트랩 라벨파우치,,70*100
굿즈파우치(가격포함),,광목 스트링 라벨파우치,,100*70 | 100*40
굿즈파우치(가격포함),,린넨 스트링 파우치,,S | M | L
굿즈파우치(가격포함),타이벡파우치,타이벡 플랫 파우치,,M | L | XL
굿즈파우치(가격포함),,타이벡 슬림 파우치,,M | L
굿즈파우치(가격포함),,타이벡 삼각 파우치,,M | L
굿즈파우치(가격포함),,타이벡 스트링 파우치,,M | L | XL
굿즈파우치(가격포함),,타이벡 플랫 클러치,,
굿즈파우치(가격포함),메쉬파우치,메쉬슬림파우치,,M | L
굿즈파우치(가격포함),,메쉬볼륨파우치,,직사각L
굿즈파우치(가격포함),미니파우치,레더 플랫 미니파우치,,
굿즈파우치(가격포함),,레더 슬림 미니파우치,,직사각 | 정사각
굿즈파우치(가격포함),,레더 삼각 미니파우치,,
굿즈파우치(가격포함),,레더 볼륨 미니파우치,,정사각 | 직사각
굿즈파우치(가격포함),,레더 원형 미니파우치,,마카롱
굿즈파우치(가격포함),필통,레더 플랫 필통,,
굿즈파우치(가격포함),,레더 슬림 필통,,
굿즈파우치(가격포함),,레더 삼각 필통,,
굿즈파우치(가격포함),,레더 볼륨 필통,,
굿즈파우치(가격포함),,레더 원형 필통,,
굿즈파우치(가격포함),,캔버스 플랫 필통,,
굿즈파우치(가격포함),,캔버스 삼각 필통,,
굿즈파우치(가격포함),레더에코백,레더토트백,,
굿즈파우치(가격포함),,레더숄더백,,세로형
굿즈파우치(가격포함),패브릭에코백,린넨 미니에코백,,
굿즈파우치(가격포함),,린넨 토트백,,
굿즈파우치(가격포함),,린넨 에코백,,세로형 | 가로형
굿즈파우치(가격포함),,캔버스심플백,,세로M
굿즈파우치(가격포함),,캔버스 포켓심플백,,블랙M
굿즈파우치(가격포함),,캔버스에코백,,가로L
굿즈파우치(가격포함),,캔버스숄더백,,세로형
굿즈파우치(가격포함),,캔버스 포켓숄더백,,
굿즈파우치(가격포함),타이벡에코백,타이벡 양면 백팩,,M | L
굿즈파우치(가격포함),,타이벡보냉보틀백,,M | L
굿즈파우치(가격포함),,타이벡 보냉 미니백,,
굿즈파우치(가격포함),,타이벡 에코백,,세로형
굿즈파우치(가격포함),,타이벡 보냉에코백,,세로형
굿즈파우치(가격포함),메쉬에코백,메쉬 토트백,,가로형
굿즈파우치(가격포함),,메쉬 에코백,,가로형
굿즈파우치(가격포함),에코백부자재,레더라벨제작,,레더 15x30mm | 레더 20x40mm | 레더 30x50mm
굿즈파우치(가격포함),폰케이스,슬림하드 폰케이스,,삼성(갤럭시S20) | 삼성(갤럭시(S20플러스) | 삼성(갤럭시S20울트라) | 삼성(갤럭시S20FE) | 삼성(갤럭시S21) | 삼성(갤럭시S21플러스) | 삼성(갤럭시S21울트라) | 삼성(갤럭시S22) | 삼성(갤럭시S22플러스) | 삼성(갤럭시S22울트라) | 삼성(갤럭시S23)★ | 삼성(갤럭시S23플러스)★ | 삼성(갤럭시S23울트라)★ | 삼성(갤럭시S24)★ | 삼성(갤럭시S24플러스)★ | 삼성(갤럭시S24울트라)★ | 삼성(갤럭시Z플립1/2) | 삼성(갤럭시Z플립3) | 삼성(갤럭시Z플립4) | 삼성(갤럭시Z플립5) | 삼성(갤럭시Z폴드3)★ | 아이폰11 | 아이폰11프로 | 아이폰11프로맥스 | 아이폰12미니 | 아이폰12프로 | 아이폰12프로맥스 | 아이폰13 | 아이폰13미니 | 아이폰13프로 | 아이폰13프로맥스 | 아이폰14★ | 아이폰14미니★ | 아이폰14프로★ | 아이폰14프로맥스★ | 아이폰15★ | 아이폰15프로★ | 아이폰15프로맥스★ | 아이폰15플러스★
굿즈파우치(가격포함),,블랙젤리,,삼성(갤럭시S21) | 삼성(갤럭시S21플러스) | 삼성(갤럭시S21울트라) | 삼성(갤럭시S22) | 삼성(갤럭시S22플러스) | 삼성(갤럭시S22울트라) | 삼성(갤럭시S23)★ | 삼성(갤럭시S23플러스)★ | 삼성(갤럭시S23울트라)★ | 삼성(갤럭시S24)★ | 삼성(갤럭시S24플러스)★ | 삼성(갤럭시S24울트라)★ | 아이폰11 | 아이폰11프로 | 아이폰11프로맥스 | 아이폰12미니 | 아이폰12프로 | 아이폰12프로맥스 | 아이폰13 | 아이폰13미니 | 아이폰13프로 | 아이폰13프로맥스 | 아이폰14★ | 아이폰14미니★ | 아이폰14프로★ | 아이폰14프로맥스★ | 아이폰15★ | 아이폰15프로★ | 아이폰15프로맥스★ | 아이폰15플러스★
굿즈파우치(가격포함),,임팩트 젤하드,,삼성(갤럭시S22) | 삼성(갤럭시S22플러스) | 삼성(갤럭시S22울트라) | 삼성(갤럭시S23)★ | 삼성(갤럭시S23플러스)★ | 삼성(갤럭시S23울트라)★ | 삼성(갤럭시S24)★ | 삼성(갤럭시S24플러스)★ | 삼성(갤럭시S24울트라)★ | 아이폰12미니 | 아이폰12프로 | 아이폰12프로맥스 | 아이폰13 | 아이폰13미니 | 아이폰13프로 | 아이폰13프로맥스 | 아이폰14★ | 아이폰14미니★ | 아이폰14프로★ | 아이폰14프로맥스★ | 아이폰15★ | 아이폰15프로★ | 아이폰15프로맥스★ | 아이폰15플러스★
굿즈파우치(가격포함),,에어팟케이스★,,에어팟1/2세대 | 에어팟3세대 | 에어팟프로 | 에어팟프로2세대
굿즈파우치(가격포함),,버즈케이스★,,버즈 | 버즈라이브
상품악세사리(가격포함),봉투/케이스,OPP접착봉투,012-0004,70 x 200 mm (50장) | 80 x 100 mm (50장) | 80 x 120 mm (50장) | 80 x 180 mm (50장) | 90 x 120 mm (50장) | 100 x 100 mm (50장) | 100 x 200 mm (50장) | 110 x 160 mm (50장) | 130 x 200 mm (50장) | 160 x 230 mm (50장) | 230 x 350 mm (50장)
상품악세사리(가격포함),,OPP비접착봉투,,60 x 90 mm (20장) | 60 x 90 mm (50장) | 80 x 100 mm (50장) | 80 x 120 mm (50장) | 80 x 180 mm (50장) | 110 x 160 mm (50장) | 110 x 250 mm (50장) | 140 x 180 mm (50장) | 140 x 200 mm (50장) | 150 x 150 mm (50장) | 160 x 250 mm (50장)
