prd_cd,prd_nm,siz_cd,siz_label,siz_nm_live,auth_min,auth_max,auth_incr,prod_min,prod_max,prod_incr,band_min,prop_min,prop_max,prop_incr,cur_min,cur_max,cur_incr,verdict,note
PRD_000017,코팅엽서,SIZ_000005,95 x 210 mm,95x210,6,10000,6,15,10000,15,1,6,10000,6,,,,FILL,
PRD_000017,코팅엽서,SIZ_000006,110 x 170 mm,110x170,4,10000,4,15,10000,15,1,4,10000,4,,,,FILL,
PRD_000017,코팅엽서,SIZ_000007,148 x 210 mm,148x210,4,10000,4,15,10000,15,1,4,10000,4,,,,FILL,
PRD_000018,스탠다드엽서,SIZ_000001,73 x 98 mm,73x98,15,10000,15,15,10000,15,1,15,10000,15,,,,SKIP,
PRD_000018,스탠다드엽서,SIZ_000002,98 x 98 mm,98x98,12,10000,12,15,10000,15,1,12,10000,12,,,,FILL,
PRD_000018,스탠다드엽서,SIZ_000003,100 x 150 mm,100x150,8,10000,8,15,10000,15,1,8,10000,8,,,,FILL,
PRD_000018,스탠다드엽서,SIZ_000004,135 x 135 mm,135x135,6,10000,6,15,10000,15,1,6,10000,6,,,,FILL,
PRD_000018,스탠다드엽서,SIZ_000007,148 x 210 mm,148x210,4,10000,4,15,10000,15,1,4,10000,4,,,,FILL,
PRD_000019,투명엽서,SIZ_000002,98 x 98 mm,98x98,12,10000,12,12,10000,12,1,12,10000,12,,,,SKIP,
PRD_000019,투명엽서,SIZ_000003,100 x 150 mm,100x150,8,10000,8,12,10000,12,1,8,10000,8,,,,FILL,
PRD_000019,투명엽서,SIZ_000004,135 x 135 mm,135x135,6,10000,6,12,10000,12,1,6,10000,6,,,,FILL,
PRD_000019,투명엽서,SIZ_000007,148 x 210 mm,148x210,4,10000,4,12,10000,12,1,4,10000,4,,,,FILL,
PRD_000020,화이트인쇄엽서,SIZ_000002,98 x 98 mm,98x98,12,10000,12,12,10000,12,1,12,10000,12,,,,SKIP,
PRD_000020,화이트인쇄엽서,SIZ_000003,100 x 150 mm,100x150,8,10000,8,12,10000,12,1,8,10000,8,,,,FILL,
PRD_000020,화이트인쇄엽서,SIZ_000004,135 x 135 mm,135x135,6,10000,6,12,10000,12,1,6,10000,6,,,,FILL,
PRD_000020,화이트인쇄엽서,SIZ_000007,148 x 210 mm,148x210,4,10000,4,12,10000,12,1,4,10000,4,,,,FILL,
PRD_000021,핑크별색엽서,SIZ_000002,98 x 98 mm,98x98,12,10000,12,12,10000,12,,12,10000,12,,,,SKIP,
PRD_000021,핑크별색엽서,SIZ_000003,100 x 150 mm,100x150,8,10000,8,12,10000,12,,8,10000,8,,,,FILL,
PRD_000021,핑크별색엽서,SIZ_000004,135 x 135 mm,135x135,6,10000,6,12,10000,12,,6,10000,6,,,,FILL,
