prd_cd,prd_nm,sheet,cur_min,cur_max,cur_incr,cur_dflt,auth_min,auth_max,auth_incr,band_min,prop_min,prop_max,prop_incr,prop_dflt,verdict,note
PRD_000238,레더 아이패드/노트북 파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000239,캔버스 플랫 파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000240,캔버스 삼각 파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000241,캔버스 스트랩 라벨파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000242,광목 스트링 라벨파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000243,린넨 스트링 파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000244,타이벡 플랫 파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000245,타이벡 슬림 파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000246,타이벡 삼각 파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000247,타이벡 스트링 파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000248,타이벡 플랫 클러치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000249,메쉬슬림파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000250,메쉬볼륨파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000251,레더 플랫 미니파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000252,레더 슬림 미니파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000253,레더 삼각 미니파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000254,레더 볼륨 미니파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000255,레더 원형 미니파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000256,레더 플랫 필통,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000257,레더 슬림 필통,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000258,레더 삼각 필통,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000259,레더 볼륨 필통,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000260,레더 원형 필통,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000261,캔버스 플랫 필통,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000262,캔버스 삼각 필통,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000263,레더토트백,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000264,레더숄더백,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000265,린넨 미니에코백,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000266,린넨 토트백,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000267,린넨 에코백,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000268,캔버스심플백,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000269,캔버스 포켓심플백,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000270,캔버스에코백,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000271,캔버스숄더백,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000272,캔버스 포켓숄더백,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000273,타이벡 양면 백팩,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000274,타이벡보냉보틀백,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000275,타이벡 보냉 미니백,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000276,타이벡 에코백,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000277,타이벡 보냉에코백,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000278,메쉬 토트백,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000280,레더라벨제작,goods-pouch,10,10000,10,,10,10000,10,,10,10000,10,,OK,
PRD_000172,만년다이어리(소프트커버),stationery,1,500,1,,1,500,1,1,1,500,1,,OK,
PRD_000173,만년다이어리(하드커버),stationery,1,500,1,,1,500,1,1,1,500,1,,OK,
PRD_000174,만년다이어리(레더하드커버),stationery,1,500,1,,1,500,1,1,1,500,1,,OK,
PRD_000175,만년다이어리(레더소프트커버),stationery,1,500,1,,1,500,1,1,1,500,1,,OK,
PRD_000176,먼슬리플래너,stationery,1,500,1,,1,500,1,1,1,500,1,,OK,
PRD_000177,스프링노트,stationery,1,1000,1,,1,1000,1,1,1,1000,1,,OK,
PRD_000178,스프링수첩,stationery,4,500,4,,4,500,4,1,4,500,4,,OK,
PRD_000179,메모패드,stationery,1,1000,1,,1,1000,1,1,1,1000,1,,OK,
PRD_000181,중철노트,stationery,4,500,4,,4,500,4,1,4,500,4,,OK,
PRD_000052,반칼 자유형 스티커,sticker,8,10000,8,,8,10000,8,1,8,10000,8,,OK,
PRD_000053,반칼 자유형 투명스티커,sticker,8,10000,8,,8,10000,8,1,8,10000,8,,OK,
PRD_000054,반칼 자유형 홀로그램스티커,sticker,8,10000,8,,8,10000,8,1,8,10000,8,,OK,
PRD_000055,낱장 자유형 스티커,sticker,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000056,낱장 자유형 투명스티커,sticker,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000057,대형 자유형 스티커,sticker,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000058,반칼원형스티커,sticker,4,10000,4,,4,10000,4,1,4,10000,4,,OK,
PRD_000059,반칼정사각스티커,sticker,4,10000,4,,4,10000,4,1,4,10000,4,,OK,
PRD_000060,반칼직사각스티커,sticker,4,10000,4,,4,10000,4,1,4,10000,4,,OK,
PRD_000061,반칼띠지스티커,sticker,4,10000,4,,4,10000,4,1,4,10000,4,,OK,
PRD_000062,반칼팬시스티커,sticker,8,10000,8,,8,10000,8,1,8,10000,8,,OK,
PRD_000063,반칼팬시투명스티커,sticker,8,10000,8,,8,10000,8,,8,10000,8,,OK,
PRD_000064,소량자유형스티커,sticker,32,1000,32,,32,1000,32,,32,1000,32,,OK,
PRD_000065,스티커팩,sticker,1,1000,1,,1,1000,1,54,54,1000,1,,PROTECTED,권위min 1 < 가격표최소구간 54 → 54 채택
PRD_000066,합판도무송스티커,sticker,1000,5000,1000,,1000,5000,1000,1000,1000,5000,1000,,OK,
PRD_000067,타투스티커,sticker,3,1000,3,,3,1000,3,3,3,1000,3,,OK,
PRD_000100,포토북 [디자인명],photobook,1,1000,1,,1,1000,1,1,1,1000,1,,OK,
PRD_000001,OPP접착봉투,product-accessory,1,100,1,,1,100,1,,1,100,1,,OK,
PRD_000002,OPP비접착봉투,product-accessory,1,100,1,,1,100,1,,1,100,1,,OK,
PRD_000004,카드봉투,product-accessory,1,100,1,,1,100,1,,1,100,1,,OK,
PRD_000005,캘린더봉투,product-accessory,1,100,1,,1,100,1,,1,100,1,,OK,
PRD_000006,볼체인,product-accessory,1,100,1,,1,100,1,,1,100,1,,OK,
PRD_000007,와이어링,product-accessory,1,100,1,,1,100,1,,1,100,1,,OK,
PRD_000008,천정고리,product-accessory,1,100,1,,1,100,1,,1,100,1,,OK,
PRD_000009,투명케이스,product-accessory,1,100,1,,1,100,1,,1,100,1,,OK,
PRD_000010,행택끈,product-accessory,1,100,1,,1,100,1,,1,100,1,,OK,
PRD_000011,자석고정용고무판,product-accessory,1,100,1,,1,100,1,,1,100,1,,OK,
PRD_000012,우드거치대,product-accessory,1,100,1,,1,100,1,,1,100,1,,OK,
PRD_000013,우드봉,product-accessory,1,100,1,,1,100,1,,1,100,1,,OK,
PRD_000014,우드행거,product-accessory,1,100,1,,1,100,1,,1,100,1,,OK,
PRD_000015,만년스탬프 리필잉크,product-accessory,1,100,1,,1,100,1,,1,100,1,,OK,
