prd_cd,prd_nm,wgt_cd,sel,qty,total,comps,verdict,note
PRD_000016,프리미엄엽서,WGT_000242,"{""siz_cd"": ""SIZ_000003"", ""print_opt_cd"": ""POPT_000002"", ""mat_cd"": ""MAT_000074"", ""proc_cd"": ""PROC_000004""}",8,6071,디지털인쇄비=6000 + 용지비(종이별 절가)=71,OK,
PRD_000017,코팅엽서,WGT_000243,"{""siz_cd"": ""SIZ_000001"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000081"", ""proc_cd"": ""PROC_000004""}",15,4078,디지털인쇄비=4000 + 용지비(종이별 절가)=78,OK,
PRD_000018,스탠다드엽서,WGT_000244,"{""siz_cd"": ""SIZ_000001"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000074"", ""proc_cd"": ""PROC_000004""}",15,4071,디지털인쇄비=4000 + 용지비(종이별 절가)=71,OK,
PRD_000019,투명엽서,WGT_000245,"{""siz_cd"": ""SIZ_000002"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000144"", ""proc_cd"": ""PROC_000004""}",15,7800,디지털인쇄비=5600 + 용지비(종이별 절가)=2200,OK,
PRD_000020,화이트인쇄엽서,WGT_000246,"{""siz_cd"": ""SIZ_000002"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000363"", ""proc_cd"": ""PROC_000008""}",12,1243,용지비(종이별 절가)=1243,OK,
PRD_000021,핑크별색엽서,WGT_000298,"{""siz_cd"": ""SIZ_000002"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000107"", ""proc_cd"": ""PROC_000004""}",15,5826,디지털인쇄비=5600 + 용지비(종이별 절가)=226,OK,
PRD_000024,포토카드,WGT_000423,"{""siz_cd"": ""SIZ_000012"", ""print_opt_cd"": ""POPT_000002"", ""mat_cd"": ""MAT_000082"", ""proc_cd"": ""PROC_000004""}",1,,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000025,투명포토카드,WGT_000433,"{""siz_cd"": ""SIZ_000012"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000144"", ""proc_cd"": ""PROC_000004""}",1,,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000026,종이슬로건,WGT_000443,"{""siz_cd"": ""SIZ_000015"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000082"", ""proc_cd"": ""PROC_000004""}",4,4094,,OK,
PRD_000027,2단접지카드,WGT_000248,"{""siz_cd"": ""SIZ_000523"", ""print_opt_cd"": ""POPT_000002"", ""mat_cd"": ""MAT_000074"", ""proc_cd"": ""PROC_000004""}",8,9342,디지털인쇄비=9200 + 용지비(종이별 절가)=142,OK,
PRD_000028,미니접지카드,WGT_000304,"{""siz_cd"": ""SIZ_000540"", ""print_opt_cd"": ""POPT_000002"", ""mat_cd"": ""MAT_000074"", ""proc_cd"": ""PROC_000004""}",30,13112,디지털인쇄비=12900 + 용지비(종이별 절가)=212,OK,
PRD_000029,3단접지카드,WGT_000299,"{""siz_cd"": ""SIZ_000536"", ""print_opt_cd"": ""POPT_000002"", ""mat_cd"": ""MAT_000074"", ""proc_cd"": ""PROC_000004""}",8,13112,디지털인쇄비=12900 + 용지비(종이별 절가)=212,OK,
PRD_000030,지그재그엽서,WGT_000297,"{""siz_cd"": ""SIZ_000032"", ""print_opt_cd"": ""POPT_000002"", ""mat_cd"": ""MAT_000110"", ""proc_cd"": ""PROC_000004""}",2,12748,,OK,
PRD_000031,프리미엄명함,WGT_000249,"{""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000101"", ""proc_cd"": ""PROC_000004"", ""siz_cd"": ""SIZ_000133""}",100,4500,프리미엄명함A 완제품가(용지포함)=4500,OK,
PRD_000032,코팅명함,WGT_000314,"{""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000081"", ""proc_cd"": ""PROC_000004"", ""siz_cd"": ""SIZ_000133""}",100,5500,코팅명함 완제품가(용지포함)=5500,OK,
PRD_000033,스탠다드명함,WGT_000315,"{""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000074"", ""siz_cd"": ""SIZ_000133""}",100,3500,스탠다드명함 완제품가(용지포함)=3500,OK,
PRD_000034,펄명함,WGT_000316,"{""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000352"", ""proc_cd"": ""PROC_000004"", ""siz_cd"": ""SIZ_000008""}",100,9000,펄명함(스타드림) 완제품가(용지포함)=9000,OK,
PRD_000035,모양명함,WGT_000250,"{""siz_cd"": ""SIZ_000147"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000109"", ""proc_cd"": ""PROC_000004""}",100,18000,모양명함 완제품가(용지포함)=18000,OK,필수공정 2종 중 1종만 적용
PRD_000036,미니모양명함,WGT_000319,"{""siz_cd"": ""SIZ_000148"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000109"", ""proc_cd"": ""PROC_000004""}",100,16000,미니모양명함 완제품가(용지포함)=16000,OK,필수공정 2종 중 1종만 적용
PRD_000037,오리지널박명함,WGT_000251,"{""print_opt_cd"": ""POPT_000001"", ""opt_cd"": ""OPV_000487"", ""mat_cd"": ""MAT_000361"", ""siz_cd"": ""SIZ_000008""}",200,24200,오리지널박명함 완제품가(종이+동판+박)=19200 + 박·형압 동판셋업비 단면=5000,OK,
PRD_000038,형압명함,WGT_000252,"{""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000109"", ""proc_cd"": ""PROC_000004"", ""siz_cd"": ""SIZ_000008""}",100,4500,프리미엄명함A 완제품가(용지포함)=4500,OK,
PRD_000039,투명명함,WGT_000317,"{""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000144"", ""proc_cd"": ""PROC_000004"", ""siz_cd"": ""SIZ_000008""}",100,13500,투명명함 완제품가 단면(용지포함)=13500,OK,
PRD_000040,화이트인쇄명함,WGT_000318,"{""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000362"", ""siz_cd"": ""SIZ_000008""}",100,14500,화이트인쇄명함 완제품가(용지포함)=14500,OK,
PRD_000041,스탠다드 쿠폰/상품권,WGT_000253,"{""siz_cd"": ""SIZ_000013"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000105"", ""proc_cd"": ""PROC_000004""}",12,4078,디지털인쇄비=4000 + 용지비(종이별 절가)=78,OK,
PRD_000042,프리미엄 쿠폰/상품권,WGT_000237,"{""siz_cd"": ""SIZ_000013"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000107"", ""proc_cd"": ""PROC_000004""}",12,4113,디지털인쇄비=4000 + 용지비(종이별 절가)=113,OK,
PRD_000043,인쇄배경지(일반형),WGT_000254,"{""siz_cd"": ""SIZ_000039"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000091"", ""proc_cd"": ""PROC_000004""}",20,6356,디지털인쇄비=5600 + 용지비(종이별 절가)=156 + 접지비 카드 2단=600,OK,
PRD_000044,인쇄배경지(커팅형),WGT_000255,"{""siz_cd"": ""SIZ_000061"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000091"", ""proc_cd"": ""PROC_000004""}",20,6356,디지털인쇄비=5600 + 용지비(종이별 절가)=156 + 접지비 카드 2단=600,OK,
PRD_000045,인쇄헤더택,WGT_000322,"{""siz_cd"": ""SIZ_000043"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000091"", ""proc_cd"": ""PROC_000004""}",20,6356,,OK,필수공정 2종 중 1종만 적용
PRD_000046,라벨/택,WGT_000323,"{""siz_cd"": ""SIZ_000047"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000109"", ""proc_cd"": ""PROC_000004""}",20,6143,,OK,
PRD_000047,소량전단지,WGT_000320,"{""siz_cd"": ""SIZ_000171"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000072"", ""proc_cd"": ""PROC_000004""}",4,4031,디지털인쇄비=4000 + 용지비(종이별 절가)=31,OK,
PRD_000048,접지리플렛,WGT_000321,"{""siz_cd"": ""SIZ_000049"", ""print_opt_cd"": ""POPT_000002"", ""mat_cd"": ""MAT_000072"", ""proc_cd"": ""PROC_000004""}",2,6031,디지털인쇄비=6000 + 용지비(종이별 절가)=31,OK,
PRD_000049,와이드 접지리플렛,WGT_000305,"{""siz_cd"": ""SIZ_000055"", ""print_opt_cd"": ""POPT_000002"", ""mat_cd"": ""MAT_000110"", ""proc_cd"": ""PROC_000004""}",2,9496,디지털인쇄비=9200 + 용지비(종이별 절가)=296,OK,
PRD_000050,봉투제작,WGT_000441,"{""siz_cd"": ""SIZ_000191"", ""mat_cd"": ""MAT_000596"", ""print_opt_cd"": ""POPT_000001""}",1000,111000,,OK,
PRD_000052,반칼 자유형 스티커,WGT_000437,"{""siz_cd"": ""SIZ_000426"", ""mat_cd"": ""MAT_000584"", ""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000122""}",4,23200,스티커 완제품가(소재·규격)=23200,OK,필수공정 2종 중 1종만 적용
PRD_000053,반칼 자유형 투명스티커,WGT_000256,"{""siz_cd"": ""SIZ_000057"", ""mat_cd"": ""MAT_000371"", ""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000122""}",8,58400,스티커 완제품가(소재·규격)=58400,OK,필수공정 2종 중 1종만 적용
PRD_000054,반칼 자유형 홀로그램스티커,WGT_000438,"{""siz_cd"": ""SIZ_000426"", ""mat_cd"": ""MAT_000590"", ""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000122""}",4,27200,스티커 완제품가(소재·규격)=27200,OK,필수공정 2종 중 1종만 적용
PRD_000055,낱장 자유형 스티커,WGT_000434,"{""siz_cd"": ""SIZ_000315"", ""mat_cd"": ""MAT_000593"", ""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000123""}",1,8000,스티커 완제품가(소재·규격)=8000,OK,필수공정 3종 중 1종만 적용
PRD_000056,낱장 자유형 투명스티커,WGT_000435,"{""siz_cd"": ""SIZ_000258"", ""mat_cd"": ""MAT_000592"", ""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000109""}",1,7000,스티커 완제품가(소재·규격)=7000,OK,
PRD_000057,대형 자유형 스티커,WGT_000436,"{""siz_cd"": ""SIZ_000199"", ""mat_cd"": ""MAT_000593"", ""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000123""}",1,16000,스티커 완제품가(소재·규격)=16000,OK,필수공정 3종 중 1종만 적용
PRD_000058,반칼원형스티커,WGT_000257,"{""siz_cd"": ""SIZ_000426"", ""mat_cd"": ""MAT_000584"", ""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004""}",4,23200,스티커 완제품가(소재·규격)=23200,OK,
PRD_000059,반칼정사각스티커,WGT_000308,"{""siz_cd"": ""SIZ_000426"", ""mat_cd"": ""MAT_000585"", ""print_opt_cd"": ""POPT_000001""}",4,27200,스티커 완제품가(소재·규격)=27200,OK,
PRD_000060,반칼직사각스티커,WGT_000309,"{""siz_cd"": ""SIZ_000426"", ""mat_cd"": ""MAT_000585"", ""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000122""}",4,27200,스티커 완제품가(소재·규격)=27200,OK,필수공정 2종 중 1종만 적용
PRD_000061,반칼띠지스티커,WGT_000310,"{""siz_cd"": ""SIZ_000426"", ""mat_cd"": ""MAT_000585"", ""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004""}",4,27200,스티커 완제품가(소재·규격)=27200,OK,필수공정 2종 중 1종만 적용
PRD_000062,반칼팬시스티커,WGT_000311,"{""siz_cd"": ""SIZ_000060"", ""mat_cd"": ""MAT_000584"", ""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004""}",6,34800,스티커 완제품가(소재·규격)=34800,OK,필수공정 2종 중 1종만 적용
PRD_000063,반칼팬시투명스티커,WGT_000312,"{""siz_cd"": ""SIZ_000060"", ""mat_cd"": ""MAT_000371"", ""print_opt_cd"": ""POPT_000001""}",6,40800,스티커 완제품가(소재·규격)=40800,OK,
PRD_000067,타투스티커,WGT_000313,"{""siz_cd"": ""SIZ_000612"", ""mat_cd"": ""MAT_000594"", ""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000110""}",3,6000,타투스티커 완제품가(3장세트)=6000,OK,
PRD_000068,중철책자,WGT_000420,"{""mat_cd"": ""MAT_000073"", ""siz_cd"": ""SIZ_000250""}",2,,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000069,무선책자,WGT_000288,"{""mat_cd"": ""MAT_000073"", ""siz_cd"": ""SIZ_000250""}",2,,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000070,PUR책자,WGT_000429,"{""siz_cd"": ""SIZ_000250""}",2,,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000071,트윈링책자,WGT_000428,"{""mat_cd"": ""MAT_000072"", ""siz_cd"": ""SIZ_000263""}",1,,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000072,하드커버책자,WGT_000430,"{""siz_cd"": ""SIZ_000250""}",1,34100,,OK,
PRD_000077,레더하드커버책자,WGT_000432,"{""siz_cd"": ""SIZ_000250""}",1,34100,하드커버무선 표지+제본 합산(권당)=34100,OK,
PRD_000082,하드커버링책자,WGT_000431,"{""siz_cd"": ""SIZ_000263""}",1,,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000094,엽서북,WGT_000287,"{""siz_cd"": ""SIZ_000003"", ""print_opt_cd"": ""POPT_000002"", ""proc_cd"": ""PROC_000022""}",2,,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000097,떡메모지,WGT_000424,"{""siz_cd"": ""SIZ_000119"", ""bdl_qty"": ""50"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000073""}",3,,,ERR,[COMP_TTEOKME] 최소 주문수량 미달; 선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000108,탁상형캘린더,WGT_000283,"{""siz_cd"": ""SIZ_000070"", ""print_opt_cd"": ""POPT_000002"", ""mat_cd"": ""MAT_000107"", ""proc_cd"": ""PROC_000004""}",1,,,ERR,페이지수를 입력하세요.
PRD_000109,미니탁상형캘린더,WGT_000427,"{""siz_cd"": ""SIZ_000018"", ""print_opt_cd"": ""POPT_000002"", ""mat_cd"": ""MAT_000107"", ""proc_cd"": ""PROC_000004""}",1,,,ERR,페이지수를 입력하세요.
PRD_000110,엽서캘린더,WGT_000284,"{""siz_cd"": ""SIZ_000072"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000107"", ""proc_cd"": ""PROC_000004""}",1,,,ERR,페이지수를 입력하세요.
PRD_000111,벽걸이캘린더,WGT_000285,"{""siz_cd"": ""SIZ_000616"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000107"", ""proc_cd"": ""PROC_000004""}",1,,,ERR,페이지수를 입력하세요.
PRD_000112,와이드벽걸이캘린더,WGT_000286,"{""siz_cd"": ""SIZ_000077"", ""print_opt_cd"": ""POPT_000001"", ""mat_cd"": ""MAT_000111"", ""proc_cd"": ""PROC_000004""}",1,,,ERR,페이지수를 입력하세요.
PRD_000118,아트프린트포스터,WGT_000258,"{""mat_cd"": ""MAT_000599"", ""proc_cd"": ""PROC_000006"", ""siz_cd"": ""SIZ_000315""}",1,12000,,OK,
PRD_000119,아트페이퍼포스터,WGT_000324,"{""mat_cd"": ""MAT_000177"", ""proc_cd"": ""PROC_000006"", ""siz_cd"": ""SIZ_000315""}",1,12000,,OK,
PRD_000120,방수포스터,WGT_000325,"{""mat_cd"": ""MAT_000178"", ""proc_cd"": ""PROC_000006"", ""siz_cd"": ""SIZ_000315""}",1,12000,,OK,
PRD_000121,접착방수포스터,WGT_000326,"{""mat_cd"": ""MAT_000179"", ""proc_cd"": ""PROC_000006"", ""siz_cd"": ""SIZ_000315""}",1,12000,,OK,
PRD_000122,접착투명포스터,WGT_000327,"{""mat_cd"": ""MAT_000180"", ""proc_cd"": ""PROC_000109"", ""siz_cd"": ""SIZ_000315""}",1,16000,,OK,
PRD_000123,아트패브릭포스터,WGT_000328,"{""mat_cd"": ""MAT_000181"", ""siz_cd"": ""SIZ_000315""}",1,12000,,OK,
PRD_000124,린넨패브릭포스터,WGT_000259,"{""opt_cd"": ""OPV_000025"", ""mat_cd"": ""MAT_000607"", ""siz_cd"": ""SIZ_000542""}",1,17000,,OK,
PRD_000125,캔버스패브릭포스터,WGT_000329,"{""mat_cd"": ""MAT_000185"", ""proc_cd"": ""PROC_000130"", ""siz_cd"": ""SIZ_000542""}",1,19000,,OK,필수공정 2종 중 1종만 적용
PRD_000126,레더아트프린트,WGT_000330,"{""mat_cd"": ""MAT_000379"", ""proc_cd"": ""PROC_000108"", ""siz_cd"": ""SIZ_000315""}",1,19000,,OK,
PRD_000127,타이벡프린트,WGT_000331,"{""mat_cd"": ""MAT_000188"", ""proc_cd"": ""PROC_000108"", ""siz_cd"": ""SIZ_000315""}",1,19000,,OK,
PRD_000128,메쉬프린트,WGT_000332,"{""mat_cd"": ""MAT_000183"", ""proc_cd"": ""PROC_000108"", ""siz_cd"": ""SIZ_000315""}",1,19000,,OK,
PRD_000129,폼보드,WGT_000333,"{""siz_cd"": ""SIZ_000315"", ""mat_cd"": ""MAT_000398"", ""proc_cd"": ""PROC_000006""}",1,6000,,OK,
PRD_000130,포맥스보드,WGT_000442,"{""siz_cd"": ""SIZ_000175"", ""mat_cd"": ""MAT_000022"", ""proc_cd"": ""PROC_000006""}",1,8500,,OK,
PRD_000131,프레임리스우드액자,WGT_000334,"{""siz_cd"": ""SIZ_000175"", ""mat_cd"": ""MAT_000593"", ""proc_cd"": ""PROC_000006""}",1,16000,,OK,
PRD_000132,레더아트액자,WGT_000335,"{""siz_cd"": ""SIZ_000304"", ""mat_cd"": ""MAT_000379"", ""proc_cd"": ""PROC_000006""}",1,9000,,OK,
PRD_000133,캔버스 행잉포스터,WGT_000336,"{""siz_cd"": ""SIZ_000258"", ""opt_cd"": ""OPV_000995"", ""mat_cd"": ""MAT_000185""}",1,22000,,OK,
PRD_000134,린넨우드봉족자,WGT_000260,"{""siz_cd"": ""SIZ_000314"", ""opt_cd"": ""OPV_000953"", ""mat_cd"": ""MAT_000607""}",1,13000,,OK,
PRD_000135,족자포스터,WGT_000266,"{""siz_cd"": ""SIZ_000315"", ""mat_cd"": ""MAT_000178"", ""proc_cd"": ""PROC_000006""}",1,13000,,OK,
PRD_000136,PET배너,WGT_000261,"{""siz_cd"": ""SIZ_000321"", ""mat_cd"": ""MAT_000601"", ""proc_cd"": ""PROC_000006""}",1,22000,,OK,
PRD_000137,메쉬배너,WGT_000337,"{""siz_cd"": ""SIZ_000321"", ""mat_cd"": ""MAT_000183"", ""proc_cd"": ""PROC_000108""}",1,38000,,OK,
PRD_000138,일반현수막,WGT_000262,"{""opt_cd"": ""OPV_000006"", ""mat_cd"": ""MAT_000605"", ""siz_cd"": ""SIZ_000322""}",1,39000,,OK,
PRD_000139,메쉬현수막,WGT_000338,"{""opt_cd"": ""OPV_001000"", ""mat_cd"": ""MAT_000183"", ""proc_cd"": ""PROC_000108"", ""siz_cd"": ""SIZ_000323""}",1,20000,,OK,
PRD_000140,무광시트커팅,WGT_000264,"{""siz_cd"": ""SIZ_000258"", ""mat_cd"": ""MAT_000389""}",1,6000,,OK,
PRD_000141,홀로그램 시트커팅,WGT_000339,"{""siz_cd"": ""SIZ_000198"", ""mat_cd"": ""MAT_000390""}",1,32000,,OK,
PRD_000142,유광아크릴스티커,WGT_000265,"{""siz_cd"": ""SIZ_000324"", ""mat_cd"": ""MAT_000376""}",1,9000,,OK,
PRD_000143,미러아크릴스티커,WGT_000340,"{""siz_cd"": ""SIZ_000324"", ""mat_cd"": ""MAT_000377""}",1,11000,,OK,
PRD_000144,미니보드스탠딩,WGT_000341,"{""siz_cd"": ""SIZ_000426""}",1,,,ERR,[COMP_POSTER_MINI_STANDBOARD] 최소 주문수량 미달; 선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000145,미니배너,WGT_000342,"{""siz_cd"": ""SIZ_000028"", ""mat_cd"": ""MAT_000178"", ""proc_cd"": ""PROC_000006""}",5,32500,,OK,
PRD_000146,아크릴키링,WGT_000267,"{""mat_cd"": ""MAT_000386"", ""opt_cd"": ""OPV_000624"", ""print_opt_cd"": ""POPT_000006"", ""proc_cd"": ""PROC_000111"", ""siz_cd"": ""SIZ_000329""}",1,2700,투명아크릴 인쇄가공비=2700 + 키링 열쇠고리=0,OK,필수공정 3종 중 1종만 적용
PRD_000147,아크릴마그넷,WGT_000306,"{""mat_cd"": ""MAT_000386"", ""opt_cd"": ""OPV_001020"", ""print_opt_cd"": ""POPT_000007"", ""proc_cd"": ""PROC_000111"", ""siz_cd"": ""SIZ_000336""}",1,3300,투명아크릴 인쇄가공비=2500 + 마그넷 자석부착=800,OK,
PRD_000148,아크릴뱃지,WGT_000405,"{""mat_cd"": ""MAT_000386"", ""opt_cd"": ""OPV_001021"", ""print_opt_cd"": ""POPT_000007"", ""proc_cd"": ""PROC_000111"", ""siz_cd"": ""SIZ_000216""}",1,3700,투명아크릴 인쇄가공비=3100 + 뱃지 부속=600,OK,필수공정 3종 중 1종만 적용
PRD_000149,아크릴집게,WGT_000008,"{""mat_cd"": ""MAT_000386"", ""opt_cd"": ""OPV_001023"", ""print_opt_cd"": ""POPT_000007"", ""proc_cd"": ""PROC_000111"", ""siz_cd"": ""SIZ_000216""}",1,3800,투명아크릴 인쇄가공비=3100 + 집게 부속=700,OK,
PRD_000150,아크릴스마트톡,WGT_000270,"{""mat_cd"": ""MAT_000386"", ""opt_cd"": ""OPV_000966"", ""print_opt_cd"": ""POPT_000007"", ""proc_cd"": ""PROC_000111"", ""siz_cd"": ""SIZ_000011""}",1,7400,투명아크릴 인쇄가공비=4800 + 스마트톡 바디=2600,OK,
PRD_000152,아크릴명찰,WGT_000406,"{""mat_cd"": ""MAT_000386"", ""opt_cd"": ""OPV_001025"", ""print_opt_cd"": ""POPT_000007"", ""proc_cd"": ""PROC_000111"", ""siz_cd"": ""SIZ_000346""}",1,4100,투명아크릴 인쇄가공비=3400 + 명찰 부속=700,OK,
PRD_000153,아크릴명찰(골드실버),WGT_000407,"{""siz_cd"": ""SIZ_000346"", ""opt_cd"": ""OPV_001027"", ""print_opt_cd"": ""POPT_000012"", ""mat_cd"": ""MAT_000377""}",1,4100,아크릴명찰(골드실버) 본체=3400 + 아크릴명찰(골드실버) 가공옵션=700,OK,
PRD_000154,아크릴 머리끈,WGT_000409,"{""mat_cd"": ""MAT_000386"", ""opt_cd"": ""OPV_001031"", ""print_opt_cd"": ""POPT_000007"", ""siz_cd"": ""SIZ_000336""}",1,3000,투명아크릴 인쇄가공비=2500 + 아크릴 머리끈=500,OK,
PRD_000155,아크릴볼펜,WGT_000268,"{""siz_cd"": ""SIZ_000336"", ""print_opt_cd"": ""POPT_000007"", ""mat_cd"": ""MAT_000433"", ""proc_cd"": ""PROC_000111""}",1,1800,아크릴볼펜 본체=1800,OK,
PRD_000156,아크릴지비츠,WGT_000408,"{""opt_cd"": ""OPV_001029"", ""print_opt_cd"": ""POPT_000007"", ""mat_cd"": ""MAT_000386"", ""siz_cd"": ""SIZ_000336""}",100,16000,아크릴지비츠 가공(투명/스핀) 완제품가=20000,OK,
PRD_000159,아크릴코스터,WGT_000269,"{""mat_cd"": ""MAT_000386"", ""print_opt_cd"": ""POPT_000006"", ""siz_cd"": ""SIZ_000356""}",1,12700,투명아크릴 인쇄가공비=12700,OK,
PRD_000160,아크릴자유형스탠드,WGT_000271,"{""siz_cd"": ""SIZ_000357"", ""print_opt_cd"": ""POPT_000006"", ""mat_cd"": ""MAT_000386"", ""proc_cd"": ""PROC_000111"", ""bdl_qty"": ""2""}",1,8800,아크릴자유형스탠드 본체=8800,OK,
PRD_000161,판아크릴,WGT_000410,"{""mat_cd"": ""MAT_000386"", ""print_opt_cd"": ""POPT_000006"", ""proc_cd"": ""PROC_000111"", ""siz_cd"": ""SIZ_000359""}",1,16700,투명아크릴 인쇄가공비=16700,OK,
PRD_000163,아크릴미니파츠,WGT_000413,"{""siz_cd"": ""SIZ_000365"", ""print_opt_cd"": ""POPT_000010"", ""mat_cd"": ""MAT_000387"", ""proc_cd"": ""PROC_000111""}",1,10000,미니파츠 단가 미정 · 실무진 확인필요 (120x50 가격표 격자밖)=10000,OK,
PRD_000164,아크릴코롯토,WGT_000272,"{""print_opt_cd"": ""POPT_000006"", ""mat_cd"": ""MAT_000416"", ""siz_cd"": ""SIZ_000330""}",1,3600,아크릴코롯토 인쇄가공비=3600,OK,
PRD_000166,아크릴카라비너,WGT_000273,"{""siz_cd"": ""SIZ_000369"", ""print_opt_cd"": ""POPT_000006"", ""mat_cd"": ""MAT_000661""}",1,6900,아크릴카라비너 본체(3T+3T접합)=6900,OK,
PRD_000177,스프링노트,WGT_000422,"{""siz_cd"": ""SIZ_000171"", ""proc_cd"": ""PROC_000021""}",1,4500,,OK,
PRD_000179,메모패드,WGT_000426,"{""siz_cd"": ""SIZ_000379"", ""proc_cd"": ""PROC_000022""}",1,5000,,OK,
PRD_000181,중철노트,WGT_000425,"{""siz_cd"": ""SIZ_000057"", ""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000018""}",4,10000,,OK,필수공정 2종 중 1종만 적용
