prd_cd,prd_nm,wgt_cd,위젯축,간극구성요소,총구성요소,간극축,verdict,note
PRD_000082,하드커버링책자,WGT_000431,"OPT_000311,OPT_000313,OPT_000326,mat_cd,pages,print_opt_cd,qty,siz_cd",1,1,proc_cd,GAP,
PRD_000094,엽서북,WGT_000287,"OPT_000325,mat_cd,pages,print_opt_cd,qty,siz_cd",1,1,opt_cd,GAP,
PRD_000097,떡메모지,WGT_000424,"bdl_qty,mat_cd,qty,siz_cd",0,1,,OK,
PRD_000108,탁상형캘린더,WGT_000283,"OPT_000271,OPT_000272,mat_cd,pages,print_opt_cd,qty,siz_cd",2,3,proc_cd,GAP,
PRD_000109,미니탁상형캘린더,WGT_000427,"OPT_000308,OPT_000309,mat_cd,pages,print_opt_cd,qty,siz_cd",2,3,proc_cd,GAP,
PRD_000110,엽서캘린더,WGT_000284,"OPT_000305,mat_cd,pages,print_opt_cd,qty,siz_cd",1,2,proc_cd,GAP,
PRD_000111,벽걸이캘린더,WGT_000285,"OPT_000273,mat_cd,pages,print_opt_cd,qty,siz_cd",2,3,proc_cd,GAP,
PRD_000112,와이드벽걸이캘린더,WGT_000286,"OPT_000310,mat_cd,pages,print_opt_cd,qty,siz_cd",2,3,proc_cd,GAP,
PRD_000118,아트프린트포스터,WGT_000258,"mat_cd,qty,siz_cd",1,1,"siz_height,siz_width",GAP,
PRD_000119,아트페이퍼포스터,WGT_000324,"mat_cd,qty,siz_cd",1,1,"siz_height,siz_width",GAP,
PRD_000120,방수포스터,WGT_000325,"mat_cd,qty,siz_cd",1,1,"siz_height,siz_width",GAP,
PRD_000121,접착방수포스터,WGT_000326,"mat_cd,qty,siz_cd",1,1,"siz_height,siz_width",GAP,
PRD_000122,접착투명포스터,WGT_000327,"mat_cd,qty,siz_cd",1,1,"siz_height,siz_width",GAP,
PRD_000123,아트패브릭포스터,WGT_000328,"mat_cd,qty,siz_cd",1,1,"siz_height,siz_width",GAP,
PRD_000124,린넨패브릭포스터,WGT_000259,"OPT_000096,mat_cd,qty,siz_cd",2,2,"opt_cd,siz_height,siz_width",GAP,
PRD_000125,캔버스패브릭포스터,WGT_000329,"OPT_000099,mat_cd,qty,siz_cd",1,1,"siz_height,siz_width",GAP,
PRD_000126,레더아트프린트,WGT_000330,"mat_cd,qty,siz_cd",1,1,"siz_height,siz_width",GAP,
PRD_000127,타이벡프린트,WGT_000331,"mat_cd,qty,siz_cd",1,1,"siz_height,siz_width",GAP,
PRD_000128,메쉬프린트,WGT_000332,"mat_cd,qty,siz_cd",1,1,"siz_height,siz_width",GAP,
PRD_000129,폼보드,WGT_000333,"OPT_000281,mat_cd,qty,siz_cd",0,1,,OK,
PRD_000130,포맥스보드,WGT_000442,"OPT_000282,mat_cd,qty,siz_cd",0,1,,OK,
PRD_000131,프레임리스우드액자,WGT_000334,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000132,레더아트액자,WGT_000335,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000133,캔버스 행잉포스터,WGT_000336,"OPT_000102,OPT_000283,mat_cd,qty,siz_cd",2,2,"opt_cd,siz_height,siz_width",GAP,
PRD_000134,린넨우드봉족자,WGT_000260,"OPT_000108,OPT_000266,mat_cd,qty,siz_cd",1,2,opt_cd,GAP,
PRD_000135,족자포스터,WGT_000266,"OPT_000268,mat_cd,qty,siz_cd",0,1,,OK,
PRD_000136,PET배너,WGT_000261,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000137,메쉬배너,WGT_000337,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000138,일반현수막,WGT_000262,"OPT_000003,OPT_000004,mat_cd,qty,siz_cd",3,3,"opt_cd,siz_height,siz_width",GAP,
PRD_000139,메쉬현수막,WGT_000338,"OPT_000023,OPT_000285,mat_cd,qty,siz_cd",3,3,"opt_cd,siz_height,siz_width",GAP,
PRD_000140,무광시트커팅,WGT_000264,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000141,홀로그램 시트커팅,WGT_000339,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000142,유광아크릴스티커,WGT_000265,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000143,미러아크릴스티커,WGT_000340,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000144,미니보드스탠딩,WGT_000341,"qty,siz_cd",0,1,,OK,
PRD_000145,미니배너,WGT_000342,"OPT_000286,mat_cd,qty,siz_cd",0,1,,OK,
PRD_000146,아크릴키링,WGT_000267,"OPT_000157,mat_cd,qty,siz_cd",2,2,"opt_cd,siz_height,siz_width",GAP,
PRD_000147,아크릴마그넷,WGT_000306,"OPT_000295,mat_cd,qty,siz_cd",2,2,"opt_cd,siz_height,siz_width",GAP,
PRD_000148,아크릴뱃지,WGT_000405,"OPT_000296,mat_cd,qty,siz_cd",2,2,"opt_cd,siz_height,siz_width",GAP,
PRD_000149,아크릴집게,WGT_000008,"OPT_000297,mat_cd,qty,siz_cd",2,2,"opt_cd,siz_height,siz_width",GAP,
PRD_000150,아크릴스마트톡,WGT_000270,"OPT_000270,mat_cd,qty,siz_cd",2,2,"opt_cd,siz_height,siz_width",GAP,
PRD_000152,아크릴명찰,WGT_000406,"OPT_000298,mat_cd,qty,siz_cd",2,2,"opt_cd,siz_height,siz_width",GAP,
PRD_000153,아크릴명찰(골드실버),WGT_000407,"OPT_000299,mat_cd,qty,siz_cd",1,2,opt_cd,GAP,
PRD_000154,아크릴 머리끈,WGT_000409,"OPT_000301,mat_cd,qty,siz_cd",2,2,"opt_cd,siz_height,siz_width",GAP,
PRD_000155,아크릴볼펜,WGT_000268,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000156,아크릴지비츠,WGT_000408,"OPT_000300,mat_cd,qty,siz_cd",1,1,opt_cd,GAP,
PRD_000159,아크릴코스터,WGT_000269,"mat_cd,qty,siz_cd",1,1,"siz_height,siz_width",GAP,
PRD_000160,아크릴자유형스탠드,WGT_000271,"OPT_000259,mat_cd,qty,siz_cd",0,1,,OK,
PRD_000161,판아크릴,WGT_000410,"mat_cd,qty,siz_cd",1,1,"siz_height,siz_width",GAP,
PRD_000163,아크릴미니파츠,WGT_000413,"OPT_000260,OPT_000304,mat_cd,qty,siz_cd",0,1,,OK,
PRD_000164,아크릴코롯토,WGT_000272,"mat_cd,qty,siz_cd",1,1,"siz_height,siz_width",GAP,
PRD_000166,아크릴카라비너,WGT_000273,"OPT_000258,mat_cd,qty,siz_cd",0,1,,OK,
PRD_000177,스프링노트,WGT_000422,"OPT_000312,qty,siz_cd",0,1,,OK,
PRD_000179,메모패드,WGT_000426,"OPT_000307,qty,siz_cd",0,1,,OK,
PRD_000181,중철노트,WGT_000425,"OPT_000314,qty,siz_cd",0,1,,OK,
PRD_000183,틴거울,WGT_000343,"qty,siz_cd",0,0,,OK,
PRD_000184,컴팩트거울,WGT_000344,"qty,siz_cd",0,0,,OK,
PRD_000185,카드거울,WGT_000345,"qty,siz_cd",0,0,,OK,
PRD_000186,사각손거울,WGT_000346,"qty,siz_cd",0,1,,OK,
PRD_000187,블랙사각손거울,WGT_000347,"qty,siz_cd",0,1,,OK,
PRD_000188,레더코스터,WGT_000348,"qty,siz_cd",0,0,,OK,
PRD_000189,코르크코스터,WGT_000349,"qty,siz_cd",0,0,,OK,
PRD_000190,우드코스터,WGT_000350,"qty,siz_cd",0,0,,OK,
PRD_000192,규조토코스터,WGT_000351,"qty,siz_cd",0,0,,OK,
PRD_000193,머그컵,WGT_000274,"mat_cd,qty,siz_cd",0,0,,OK,
PRD_000194,워터북보틀,WGT_000352,"qty,siz_cd",0,1,,OK,
PRD_000196,레더여권케이스,WGT_000354,"qty,siz_cd",0,0,,OK,
PRD_000197,미니매트,WGT_000279,"OPT_000070,OPT_000288,qty,siz_cd",0,0,,OK,
PRD_000198,피크닉매트,WGT_000357,"OPT_000071,OPT_000287,qty,siz_cd",0,1,,OK,
PRD_000200,핀버튼,WGT_000005,"qty,siz_cd",0,1,,OK,
PRD_000201,레더스트랩키링,WGT_000358,"qty,siz_cd",0,1,,OK,
PRD_000202,키캡키링,WGT_000276,"OPT_000289,qty,siz_cd",0,1,,OK,
PRD_000203,LED투명키캡키링,WGT_000361,"OPT_000179,qty,siz_cd",0,1,,OK,
PRD_000208,슬로건,WGT_000362,"print_opt_cd,qty,siz_cd",0,0,,OK,
PRD_000210,초슬림마우스패드,WGT_000417,"qty,siz_cd",0,0,,OK,
PRD_000211,장패드,WGT_000416,"qty,siz_cd",0,0,,OK,
PRD_000212,극세사클리너,WGT_000353,"qty,siz_cd",0,0,,OK,
PRD_000213,틴케이스,WGT_000414,"qty,siz_cd",0,0,,OK,
PRD_000214,자석북마크,WGT_000415,"qty,siz_cd",0,0,,OK,
PRD_000215,클립보드,WGT_000419,"qty,siz_cd",0,1,,OK,
PRD_000216,투명클립보드,WGT_000418,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000217,만년스탬프,WGT_000277,"OPT_000072,qty,siz_cd",0,1,,OK,
PRD_000219,밴드톡,WGT_000365,"qty,siz_cd",0,0,,OK,
PRD_000220,폰스트랩,WGT_000366,"qty,siz_cd",0,1,,OK,
PRD_000221,말랑키링,WGT_000275,"qty,siz_cd",0,0,,OK,
PRD_000223,말랑포카홀더,WGT_000360,"qty,siz_cd",0,0,,OK,
PRD_000224,말랑네임택,WGT_000356,"qty,siz_cd",0,0,,OK,
PRD_000225,말랑여권케이스,WGT_000355,"qty,siz_cd",0,0,,OK,
PRD_000226,아크릴쉐이커코롯토,WGT_000412,"OPT_000302,OPT_000303,qty,siz_cd",0,1,,OK,
PRD_000228,이미지피켓(소형),WGT_000364,"OPT_000261,OPT_000291,qty,siz_cd",0,0,,OK,
PRD_000229,이미지피켓,WGT_000363,"OPT_000183,OPT_000290,qty,siz_cd",0,1,,OK,
PRD_000230,레더플랫파우치,WGT_000367,"qty,siz_cd",0,1,,OK,
PRD_000231,레더슬림파우치,WGT_000385,"qty,siz_cd",0,1,,OK,
PRD_000232,레더삼각파우치,WGT_000386,"qty,siz_cd",0,1,,OK,
PRD_000233,레더볼륨파우치,WGT_000387,"qty,siz_cd",0,1,,OK,
PRD_000234,레더스트링파우치,WGT_000381,"qty,siz_cd",0,0,,OK,
PRD_000235,레더스트링원형파우치,WGT_000382,"qty,siz_cd",0,0,,OK,
PRD_000236,레더플랫클러치,WGT_000383,"qty,siz_cd",0,0,,OK,
PRD_000237,레더삼각클러치,WGT_000384,"qty,siz_cd",0,0,,OK,
PRD_000238,레더아이패드노트북파우치,WGT_000380,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000244,타이벡플랫파우치,WGT_000368,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000245,타이벡슬림파우치,WGT_000369,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000246,타이벡삼각파우치,WGT_000370,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000247,타이벡스트링파우치,WGT_000371,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000248,타이벡플랫클러치,WGT_000372,"mat_cd,qty,siz_cd",0,0,,OK,
PRD_000249,메쉬슬림파우치,WGT_000373,"qty,siz_cd",0,1,,OK,
PRD_000250,메쉬볼륨파우치,WGT_000388,"qty,siz_cd",0,0,,OK,
PRD_000251,레더플랫미니파우치,WGT_000389,"qty,siz_cd",0,0,,OK,
PRD_000252,레더슬림미니파우치,WGT_000390,"qty,siz_cd",0,1,,OK,
PRD_000253,레더삼각미니파우치,WGT_000391,"qty,siz_cd",0,0,,OK,
PRD_000254,레더볼륨미니파우치,WGT_000439,"qty,siz_cd",0,1,,OK,
PRD_000255,레더원형미니파우치,WGT_000440,"qty,siz_cd",0,0,,OK,
PRD_000256,레더플랫필통,WGT_000392,"qty,siz_cd",0,0,,OK,
PRD_000257,레더슬림필통,WGT_000393,"qty,siz_cd",0,0,,OK,
PRD_000258,레더삼각필통,WGT_000394,"qty,siz_cd",0,0,,OK,
PRD_000259,레더볼륨필통,WGT_000395,"qty,siz_cd",0,0,,OK,
PRD_000260,레더원형필통,WGT_000396,"qty,siz_cd",0,0,,OK,
PRD_000263,레더토트백,WGT_000397,"qty,siz_cd",0,0,,OK,
PRD_000264,레더숄더백,WGT_000398,"qty,siz_cd",0,0,,OK,
PRD_000273,타이벡양면백팩,WGT_000378,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000274,타이벡보냉보틀백,WGT_000377,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000275,타이벡보냉미니백,WGT_000376,"mat_cd,qty,siz_cd",0,0,,OK,
PRD_000276,타이벡에코백,WGT_000374,"mat_cd,qty,siz_cd",0,0,,OK,
PRD_000277,타이벡보냉에코백,WGT_000375,"mat_cd,qty,siz_cd",0,0,,OK,
PRD_000278,메쉬토트백,WGT_000399,"qty,siz_cd",0,0,,OK,
PRD_000279,메쉬에코백,WGT_000400,"qty,siz_cd",0,0,,OK,
PRD_000280,레더라벨제작,WGT_000379,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000283,트레싱지봉투,WGT_000291,"bdl_qty,qty,siz_cd",0,1,,OK,
