prd_cd,prd_nm,wgt_cd,comp_cd,sel,qty,total,verdict,err
PRD_000024,포토카드,WGT_000423,COMP_PHOTOCARD_SET,"{""siz_cd"": ""SIZ_000012"", ""bdl_qty"": 20, ""opt_cd"": ""OPV_000495""}",20,6000,OK,
PRD_000025,투명포토카드,WGT_000433,COMP_PHOTOCARD_CLEAR_SET,"{""siz_cd"": ""SIZ_000012"", ""bdl_qty"": 20}",20,8500,OK,
PRD_000026,종이슬로건,WGT_000443,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",4,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_PRINT_SPOT_WHITE_S1] 판수 환산 불가(판형/완제품사이즈 확인); [
PRD_000027,2단접지카드,WGT_000248,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",8,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_COAT_GLOSSY] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_COA
PRD_000028,미니접지카드,WGT_000304,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",30,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_COAT_GLOSSY] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_COA
PRD_000029,3단접지카드,WGT_000299,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",8,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_COAT_GLOSSY] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_COA
PRD_000030,지그재그엽서,WGT_000297,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",2,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_PAPER] 판수 환산 불가(판형/완제품사이즈 확인)
PRD_000031,프리미엄명함,WGT_000249,COMP_NAMECARD_PREMIUM,"{""mat_cd"": ""MAT_000101"", ""print_opt_cd"": ""POPT_000001""}",100,4500,OK,
PRD_000032,코팅명함,WGT_000314,COMP_NAMECARD_COAT,"{""mat_cd"": ""MAT_000081"", ""print_opt_cd"": ""POPT_000001""}",100,5500,OK,
PRD_000033,스탠다드명함,WGT_000315,COMP_NAMECARD_STD,"{""mat_cd"": ""MAT_000074"", ""print_opt_cd"": ""POPT_000001""}",100,3500,OK,
PRD_000034,펄명함,WGT_000316,COMP_NAMECARD_PEARL,"{""mat_cd"": ""MAT_000352"", ""print_opt_cd"": ""POPT_000001""}",100,9000,OK,
PRD_000035,모양명함,WGT_000250,COMP_NAMECARD_SHAPE,"{""siz_cd"": ""SIZ_000147"", ""print_opt_cd"": ""POPT_000001""}",100,18000,OK,
PRD_000036,미니모양명함,WGT_000319,COMP_NAMECARD_MINISHAPE,"{""siz_cd"": ""SIZ_000148"", ""print_opt_cd"": ""POPT_000001""}",100,16000,OK,
PRD_000037,오리지널박명함,WGT_000251,COMP_NAMECARD_FOIL,"{""print_opt_cd"": ""POPT_000001"", ""opt_cd"": ""OPV_000487""}",200,24200,OK,
PRD_000038,형압명함,WGT_000252,COMP_NAMECARD_PREMIUM,"{""mat_cd"": ""MAT_000101"", ""print_opt_cd"": ""POPT_000001""}",100,4500,OK,
PRD_000039,투명명함,WGT_000317,COMP_NAMECARD_CLEAR_S1,{},100,13500,OK,
PRD_000040,화이트인쇄명함,WGT_000318,COMP_NAMECARD_WHITE,"{""print_opt_cd"": ""POPT_000001""}",100,14500,OK,
PRD_000041,스탠다드 쿠폰/상품권,WGT_000253,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",12,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_PRINT_SPOT_WHITE_S1] 판수 환산 불가(판형/완제품사이즈 확인); [
PRD_000042,프리미엄 쿠폰/상품권,WGT_000237,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",12,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_PRINT_SPOT_WHITE_S1] 판수 환산 불가(판형/완제품사이즈 확인); [
PRD_000043,인쇄배경지(일반형),WGT_000254,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",20,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_PAPER] 판수 환산 불가(판형/완제품사이즈 확인)
PRD_000044,인쇄배경지(커팅형),WGT_000255,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",20,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_PAPER] 판수 환산 불가(판형/완제품사이즈 확인)
PRD_000045,인쇄헤더택,WGT_000322,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",20,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_PAPER] 판수 환산 불가(판형/완제품사이즈 확인)
PRD_000046,라벨/택,WGT_000323,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",20,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_PAPER] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_CUT_FULL_
PRD_000047,소량전단지,WGT_000320,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",2,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_COAT_GLOSSY] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_COA
PRD_000048,접지리플렛,WGT_000321,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",2,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_COAT_GLOSSY] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_COA
PRD_000049,와이드 접지리플렛,WGT_000305,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",2,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_COAT_GLOSSY] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_COA
PRD_000050,봉투제작,WGT_000441,COMP_ENV_MAKING,"{""siz_cd"": ""SIZ_000191"", ""mat_cd"": ""MAT_000159""}",1000,96000,OK,
PRD_000052,반칼 자유형 스티커,WGT_000437,COMP_STK_PRINT,"{""siz_cd"": ""SIZ_000060"", ""mat_cd"": ""MAT_000583""}",75,,ERR,수량은 8 단위로만 주문할 수 있습니다.
PRD_000053,반칼 자유형 투명스티커,WGT_000256,COMP_STK_PRINT,"{""siz_cd"": ""SIZ_000060"", ""mat_cd"": ""MAT_000583""}",75,,ERR,수량은 8 단위로만 주문할 수 있습니다.
PRD_000054,반칼 자유형 홀로그램스티커,WGT_000438,COMP_STK_PRINT,"{""siz_cd"": ""SIZ_000060"", ""mat_cd"": ""MAT_000583""}",75,,ERR,수량은 8 단위로만 주문할 수 있습니다.
PRD_000055,낱장 자유형 스티커,WGT_000434,COMP_STK_PRINT,"{""siz_cd"": ""SIZ_000060"", ""mat_cd"": ""MAT_000583""}",75,390000,OK,
PRD_000056,낱장 자유형 투명스티커,WGT_000435,COMP_STK_PRINT,"{""siz_cd"": ""SIZ_000060"", ""mat_cd"": ""MAT_000583""}",75,390000,OK,
PRD_000057,대형 자유형 스티커,WGT_000436,COMP_STK_PRINT,"{""siz_cd"": ""SIZ_000060"", ""mat_cd"": ""MAT_000583""}",75,390000,OK,
PRD_000058,반칼원형스티커,WGT_000257,COMP_STK_PRINT,"{""siz_cd"": ""SIZ_000060"", ""mat_cd"": ""MAT_000583""}",75,,ERR,수량은 4 단위로만 주문할 수 있습니다.
PRD_000059,반칼정사각스티커,WGT_000308,COMP_STK_PRINT,"{""siz_cd"": ""SIZ_000060"", ""mat_cd"": ""MAT_000583""}",75,,ERR,수량은 4 단위로만 주문할 수 있습니다.
PRD_000060,반칼직사각스티커,WGT_000309,COMP_STK_PRINT,"{""siz_cd"": ""SIZ_000060"", ""mat_cd"": ""MAT_000583""}",75,,ERR,수량은 4 단위로만 주문할 수 있습니다.
PRD_000061,반칼띠지스티커,WGT_000310,COMP_STK_PRINT,"{""siz_cd"": ""SIZ_000060"", ""mat_cd"": ""MAT_000583""}",75,,ERR,수량은 4 단위로만 주문할 수 있습니다.
PRD_000062,반칼팬시스티커,WGT_000311,COMP_STK_PRINT,"{""siz_cd"": ""SIZ_000060"", ""mat_cd"": ""MAT_000583""}",75,,ERR,수량은 6 단위로만 주문할 수 있습니다.
PRD_000063,반칼팬시투명스티커,WGT_000312,COMP_STK_PRINT,"{""siz_cd"": ""SIZ_000060"", ""mat_cd"": ""MAT_000583""}",75,,ERR,수량은 6 단위로만 주문할 수 있습니다.
PRD_000067,타투스티커,WGT_000313,COMP_STK_TATTOO,"{""siz_cd"": ""SIZ_000612"", ""mat_cd"": ""MAT_000594""}",3,6000,OK,
PRD_000068,중철책자,WGT_000420,COMP_BIND_JUNGCHEOL,"{""proc_cd"": ""PROC_000018""}",2,6000,OK,
PRD_000069,무선책자,WGT_000288,COMP_BIND_MUSEON,"{""proc_cd"": ""PROC_000019""}",2,6000,OK,
PRD_000070,PUR책자,WGT_000429,COMP_BIND_PUR,"{""proc_cd"": ""PROC_000020""}",2,10000,OK,
PRD_000071,트윈링책자,WGT_000428,COMP_BIND_TWINRING,"{""proc_cd"": ""PROC_000018""}",1,4000,OK,
PRD_000072,하드커버책자,WGT_000430,COMP_HC_MUSEON_COVERBIND,{},1,34100,OK,
PRD_000077,레더하드커버책자,WGT_000432,COMP_HC_MUSEON_COVERBIND,{},1,34100,OK,
PRD_000082,하드커버링책자,WGT_000431,COMP_BIND_HC_TWINRING,"{""proc_cd"": ""PROC_000024""}",1,30000,OK,
PRD_000094,엽서북,WGT_000287,COMP_PCB,"{""siz_cd"": ""SIZ_000003"", ""print_opt_cd"": ""POPT_000001"", ""opt_cd"": ""OPV_000491""}",2,22000,OK,
PRD_000097,떡메모지,WGT_000424,COMP_TTEOKME,"{""siz_cd"": ""SIZ_000119"", ""bdl_qty"": 50}",6,18000,OK,
PRD_000108,탁상형캘린더,WGT_000283,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",1,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_PAPER] 판수 환산 불가(판형/완제품사이즈 확인); 선택값에 매칭되는 구성요소가
PRD_000109,미니탁상형캘린더,WGT_000427,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",1,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_PAPER] 판수 환산 불가(판형/완제품사이즈 확인); 선택값에 매칭되는 구성요소가
PRD_000110,엽서캘린더,WGT_000284,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",1,,ERR,페이지수를 입력하세요.
PRD_000111,벽걸이캘린더,WGT_000285,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",1,,ERR,페이지수를 입력하세요.
PRD_000112,와이드벽걸이캘린더,WGT_000286,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",1,,ERR,페이지수를 입력하세요.
PRD_000118,아트프린트포스터,WGT_000258,COMP_POSTER_ARTPRINT_PHOTO,{},1,12000,OK,
PRD_000119,아트페이퍼포스터,WGT_000324,COMP_POSTER_ARTPAPER_MATTE,{},1,12000,OK,
PRD_000120,방수포스터,WGT_000325,COMP_POSTER_ARTPRINT_PHOTO,{},1,12000,OK,
PRD_000121,접착방수포스터,WGT_000326,COMP_POSTER_ARTPRINT_PHOTO,{},1,12000,OK,
PRD_000122,접착투명포스터,WGT_000327,COMP_POSTER_ADH_CLEAR_PVC,{},1,16000,OK,
PRD_000123,아트패브릭포스터,WGT_000328,COMP_POSTER_ARTPRINT_PHOTO,{},1,12000,OK,
PRD_000124,린넨패브릭포스터,WGT_000259,COMP_POSTER_LINEN_FABRIC,{},1,17000,OK,
PRD_000125,캔버스패브릭포스터,WGT_000329,COMP_POSTER_CANVAS_FABRIC,{},1,19000,OK,
PRD_000126,레더아트프린트,WGT_000330,COMP_POSTER_CANVAS_FABRIC,{},1,19000,OK,
PRD_000127,타이벡프린트,WGT_000331,COMP_POSTER_CANVAS_FABRIC,{},1,19000,OK,
PRD_000128,메쉬프린트,WGT_000332,COMP_POSTER_CANVAS_FABRIC,{},1,19000,OK,
PRD_000129,폼보드,WGT_000333,COMP_POSTER_FOAMBOARD_BOARD,"{""siz_cd"": ""SIZ_000315"", ""mat_cd"": ""MAT_000398""}",1,6000,OK,
PRD_000130,포맥스보드,WGT_000442,COMP_POSTER_FOMEXBOARD_BOARD,"{""siz_cd"": ""SIZ_000197"", ""mat_cd"": ""MAT_000554""}",1,13000,OK,
PRD_000131,프레임리스우드액자,WGT_000334,COMP_POSTER_FRAMELESS_WOOD,"{""siz_cd"": ""SIZ_000197""}",1,23000,OK,
PRD_000132,레더아트액자,WGT_000335,COMP_POSTER_LEATHER_FRAME,"{""siz_cd"": ""SIZ_000172""}",1,16000,OK,
PRD_000133,캔버스 행잉포스터,WGT_000336,COMP_POSTER_CANVAS_HANGING,"{""siz_cd"": ""SIZ_000258""}",1,6000,OK,
PRD_000134,린넨우드봉족자,WGT_000260,COMP_POSTER_LINEN_WOODBONG,"{""siz_cd"": ""SIZ_000314""}",1,6000,OK,
PRD_000135,족자포스터,WGT_000266,COMP_POSTER_JOKJA,"{""siz_cd"": ""SIZ_000319""}",1,15000,OK,
PRD_000136,PET배너,WGT_000261,COMP_POSTER_PET_BANNER,"{""siz_cd"": ""SIZ_000321""}",1,22000,OK,
PRD_000137,메쉬배너,WGT_000337,COMP_POSTER_MESH_BANNER,"{""siz_cd"": ""SIZ_000321""}",1,38000,OK,
PRD_000138,일반현수막,WGT_000262,COMP_POSTER_BANNER_NORMAL,{},1,8000,OK,
PRD_000139,메쉬현수막,WGT_000338,COMP_POSTER_BANNER_MESH,{},1,20000,OK,
PRD_000140,무광시트커팅,WGT_000264,COMP_POSTER_SHEETCUT_MATTE,"{""siz_cd"": ""SIZ_000172""}",1,6000,OK,
PRD_000141,홀로그램 시트커팅,WGT_000339,COMP_POSTER_SHEETCUT_HOLO,"{""siz_cd"": ""SIZ_000258""}",1,8000,OK,
PRD_000142,유광아크릴스티커,WGT_000265,COMP_POSTER_ACRYLSTK_GLOSS,"{""siz_cd"": ""SIZ_000324""}",1,9000,OK,
PRD_000143,미러아크릴스티커,WGT_000340,COMP_POSTER_ACRYLSTK_MIRROR,"{""siz_cd"": ""SIZ_000324""}",1,11000,OK,
PRD_000144,미니보드스탠딩,WGT_000341,COMP_POSTER_MINI_STANDBOARD,"{""siz_cd"": ""SIZ_000426""}",4,14000,OK,
PRD_000145,미니배너,WGT_000342,COMP_POSTER_MINI_BANNER,"{""siz_cd"": ""SIZ_000028""}",5,32500,OK,
PRD_000146,아크릴키링,WGT_000267,COMP_ACRYL_CLEAR3T,"{""mat_cd"": ""MAT_000386""}",1,2500,OK,
PRD_000147,아크릴마그넷,WGT_000306,COMP_ACRYL_CLEAR3T,"{""mat_cd"": ""MAT_000386""}",1,2500,OK,
PRD_000148,아크릴뱃지,WGT_000405,COMP_ACRYL_CLEAR3T,"{""mat_cd"": ""MAT_000386""}",1,2500,OK,
PRD_000149,아크릴집게,WGT_000008,COMP_ACRYL_CLEAR3T,"{""mat_cd"": ""MAT_000386""}",1,2500,OK,
PRD_000150,아크릴스마트톡,WGT_000270,COMP_ACRYL_CLEAR3T,"{""mat_cd"": ""MAT_000386""}",1,2500,OK,
PRD_000152,아크릴명찰,WGT_000406,COMP_ACRYL_CLEAR3T,"{""mat_cd"": ""MAT_000386""}",1,2500,OK,
PRD_000153,아크릴명찰(골드실버),WGT_000407,COMP_ACRYL_NAMETAG_GS,"{""siz_cd"": ""SIZ_000346""}",1,3400,OK,
PRD_000154,아크릴 머리끈,WGT_000409,COMP_ACRYL_CLEAR3T,"{""mat_cd"": ""MAT_000386""}",1,2500,OK,
PRD_000155,아크릴볼펜,WGT_000268,COMP_ACRYL_BALLPEN,"{""siz_cd"": ""SIZ_000336""}",1,1800,OK,
PRD_000156,아크릴지비츠,WGT_000408,COMP_ACRYL_ZIBITZ,"{""opt_cd"": ""OPV_001029""}",1,200,OK,
PRD_000159,아크릴코스터,WGT_000269,COMP_ACRYL_CLEAR3T,"{""mat_cd"": ""MAT_000386""}",1,2500,OK,
PRD_000160,아크릴자유형스탠드,WGT_000271,COMP_ACRYL_FREESTAND,"{""siz_cd"": ""SIZ_000357""}",1,8800,OK,
PRD_000161,판아크릴,WGT_000410,COMP_ACRYL_CLEAR3T,"{""mat_cd"": ""MAT_000386""}",1,2500,OK,
PRD_000163,아크릴미니파츠,WGT_000413,COMP_ACRYL_MINIPART_TBD,"{""siz_cd"": ""SIZ_000365""}",1,10000,OK,
PRD_000164,아크릴코롯토,WGT_000272,COMP_ACRYL_COROTTO,{},1,3600,OK,
PRD_000166,아크릴카라비너,WGT_000273,COMP_ACRYL_CARABINER,"{""siz_cd"": ""SIZ_000366""}",1,5800,OK,
PRD_000177,스프링노트,WGT_000422,COMP_STN_SPRINGNOTE,"{""siz_cd"": ""SIZ_000171""}",1,4500,OK,
PRD_000179,메모패드,WGT_000426,COMP_STN_MEMOPAD,"{""siz_cd"": ""SIZ_000379""}",1,5000,OK,
PRD_000181,중철노트,WGT_000425,COMP_STN_JUNGCHEOL,"{""siz_cd"": ""SIZ_000057""}",4,10000,OK,
PRD_000183,틴거울,WGT_000343,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000184,컴팩트거울,WGT_000344,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000185,카드거울,WGT_000345,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000186,사각손거울,WGT_000346,COMP_GOODS_FIX_186,"{""siz_cd"": ""SIZ_000384""}",1,5000,OK,
PRD_000187,블랙사각손거울,WGT_000347,COMP_GOODS_FIX_187,"{""siz_cd"": ""SIZ_000384""}",1,6000,OK,
PRD_000188,레더코스터,WGT_000348,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000189,코르크코스터,WGT_000349,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000190,우드코스터,WGT_000350,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000192,규조토코스터,WGT_000351,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000193,머그컵,WGT_000274,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000194,워터북보틀,WGT_000352,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000196,레더여권케이스,WGT_000354,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000197,미니매트,WGT_000279,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000198,피크닉매트,WGT_000357,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000200,핀버튼,WGT_000005,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",4,39200,OK,
PRD_000201,레더스트랩키링,WGT_000358,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000202,키캡키링,WGT_000276,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000203,LED투명키캡키링,WGT_000361,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000208,슬로건,WGT_000362,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000210,초슬림마우스패드,WGT_000417,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000211,장패드,WGT_000416,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000212,극세사클리너,WGT_000353,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000213,틴케이스,WGT_000414,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000214,자석북마크,WGT_000415,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000215,클립보드,WGT_000419,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000216,투명클립보드,WGT_000418,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000217,만년스탬프,WGT_000277,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000219,밴드톡,WGT_000365,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000220,폰스트랩,WGT_000366,COMP_GOODS_FIXED_SIZ,"{""siz_cd"": ""SIZ_000562""}",1,9800,OK,
PRD_000221,말랑키링,WGT_000275,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
PRD_000223,말랑포카홀더,WGT_000360,,,,,NO-PRICEROW,본품 구성요소의 단가행을 찾지 못함
