prd_cd,prd_nm,wgt_cd,siz_cd,mat_cd,qty,total,verdict,err
PRD_000040,화이트인쇄명함,WGT_000318,SIZ_000008,MAT_000362,100,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
PRD_000041,스탠다드 쿠폰/상품권,WGT_000253,SIZ_000013,MAT_000072,12,31,OK,
PRD_000042,프리미엄 쿠폰/상품권,WGT_000237,SIZ_000014,MAT_000107,10,113,OK,
PRD_000043,인쇄배경지(일반형),WGT_000254,SIZ_000039,MAT_000091,20,756,OK,
PRD_000044,인쇄배경지(커팅형),WGT_000255,SIZ_000062,MAT_000091,20,756,OK,
PRD_000045,인쇄헤더택,WGT_000322,SIZ_000046,MAT_000091,20,911,OK,
PRD_000046,라벨/택,WGT_000323,SIZ_000047,MAT_000109,20,2143,OK,
PRD_000047,소량전단지,WGT_000320,SIZ_000171,MAT_000072,4,31,OK,
PRD_000048,접지리플렛,WGT_000321,SIZ_000049,MAT_000072,2,31,OK,
PRD_000049,와이드 접지리플렛,WGT_000305,SIZ_000055,MAT_000083,2,180,OK,
PRD_000050,봉투제작,WGT_000441,SIZ_000191,MAT_000595,1000,111000,OK,
PRD_000052,반칼 자유형 스티커,WGT_000437,SIZ_000057,MAT_000584,8,50400,OK,
PRD_000053,반칼 자유형 투명스티커,WGT_000256,SIZ_000057,MAT_000371,8,58400,OK,
PRD_000054,반칼 자유형 홀로그램스티커,WGT_000438,SIZ_000057,MAT_000590,8,58400,OK,
PRD_000055,낱장 자유형 스티커,WGT_000434,SIZ_000258,MAT_000593,1,4000,OK,
PRD_000056,낱장 자유형 투명스티커,WGT_000435,SIZ_000258,MAT_000592,1,7000,OK,
PRD_000057,대형 자유형 스티커,WGT_000436,SIZ_000199,MAT_000593,1,16000,OK,
PRD_000058,반칼원형스티커,WGT_000257,SIZ_000426,MAT_000584,4,23200,OK,
PRD_000059,반칼정사각스티커,WGT_000308,SIZ_000426,MAT_000584,4,23200,OK,
PRD_000060,반칼직사각스티커,WGT_000309,SIZ_000426,MAT_000584,4,23200,OK,
