prd_cd,prd_nm,wgt_cd,proc_cd,proc_nm,qty,base,withproc,gap,verdict,note,base_comps
PRD_000119,아트페이퍼포스터,WGT_000324,PROC_000006,실사출력,1,12000,12000,0,OK,,
PRD_000120,방수포스터,WGT_000325,PROC_000006,실사출력,1,12000,12000,0,OK,,
PRD_000121,접착방수포스터,WGT_000326,PROC_000006,실사출력,1,12000,12000,0,OK,,
PRD_000122,접착투명포스터,WGT_000327,PROC_000109,화이트라텍스출력,1,16000,16000,0,OK,,
PRD_000125,캔버스패브릭포스터,WGT_000329,PROC_000130,오버로크,1,19000,19000,0,OK,,
PRD_000125,캔버스패브릭포스터,WGT_000329,PROC_000108,패브릭출력,1,19000,19000,0,OK,,
PRD_000126,레더아트프린트,WGT_000330,PROC_000108,패브릭출력,1,19000,19000,0,OK,,
PRD_000127,타이벡프린트,WGT_000331,PROC_000108,패브릭출력,1,19000,19000,0,OK,,
PRD_000128,메쉬프린트,WGT_000332,PROC_000108,패브릭출력,1,19000,19000,0,OK,,
PRD_000129,폼보드,WGT_000333,PROC_000006,실사출력,1,6000,6000,0,OK,,
PRD_000130,포맥스보드,WGT_000442,PROC_000006,실사출력,1,8500,8500,0,OK,,
PRD_000131,프레임리스우드액자,WGT_000334,PROC_000006,실사출력,1,16000,16000,0,OK,,
PRD_000132,레더아트액자,WGT_000335,PROC_000006,실사출력,1,9000,9000,0,OK,,
PRD_000135,족자포스터,WGT_000266,PROC_000006,실사출력,1,13000,13000,0,OK,,
PRD_000136,PET배너,WGT_000261,PROC_000006,실사출력,1,22000,22000,0,OK,,
PRD_000137,메쉬배너,WGT_000337,PROC_000108,패브릭출력,1,38000,38000,0,OK,,
PRD_000139,메쉬현수막,WGT_000338,PROC_000108,패브릭출력,1,20000,20000,0,OK,,
PRD_000145,미니배너,WGT_000342,,,,,,,BASE-FAIL,[COMP_POSTER_MINI_BANNER] 최소 주문수량 미달; 선택값에 매칭되는 구성요소가 없습니다(합계 0원).,
PRD_000146,아크릴키링,WGT_000267,PROC_000111,UV평판인쇄,1,3800,3800,0,OK,,투명아크릴 인쇄가공비
PRD_000146,아크릴키링,WGT_000267,PROC_000151,굿즈가공,1,3800,3800,0,OK,,투명아크릴 인쇄가공비
PRD_000146,아크릴키링,WGT_000267,PROC_000124,레이저커팅,1,3800,3800,0,OK,,투명아크릴 인쇄가공비
PRD_000147,아크릴마그넷,WGT_000306,PROC_000111,UV평판인쇄,1,3100,3100,0,OK,,투명아크릴 인쇄가공비
PRD_000148,아크릴뱃지,WGT_000405,PROC_000111,UV평판인쇄,1,3800,3800,0,OK,,투명아크릴 인쇄가공비
PRD_000148,아크릴뱃지,WGT_000405,PROC_000124,레이저커팅,1,3800,3800,0,OK,,투명아크릴 인쇄가공비
PRD_000148,아크릴뱃지,WGT_000405,PROC_000151,굿즈가공,1,3800,3800,0,OK,,투명아크릴 인쇄가공비
PRD_000149,아크릴집게,WGT_000008,PROC_000111,UV평판인쇄,1,3100,3100,0,OK,,투명아크릴 인쇄가공비
PRD_000150,아크릴스마트톡,WGT_000270,PROC_000111,UV평판인쇄,1,4800,4800,0,OK,,투명아크릴 인쇄가공비
PRD_000152,아크릴명찰,WGT_000406,PROC_000111,UV평판인쇄,1,4700,4700,0,OK,,투명아크릴 인쇄가공비
PRD_000155,아크릴볼펜,WGT_000268,PROC_000111,UV평판인쇄,1,1800,1800,0,OK,,아크릴볼펜 본체
PRD_000160,아크릴자유형스탠드,WGT_000271,PROC_000111,UV평판인쇄,1,22600,22600,0,OK,,아크릴자유형스탠드 본체
PRD_000161,판아크릴,WGT_000410,PROC_000111,UV평판인쇄,1,16700,16700,0,OK,,투명아크릴 인쇄가공비
PRD_000163,아크릴미니파츠,WGT_000413,PROC_000111,UV평판인쇄,1,10000,10000,0,OK,,미니파츠 단가 미정 · 실무진 확인필요 (120x50 가격표 격자밖)
PRD_000177,스프링노트,WGT_000422,PROC_000021,트윈링제본,1,4500,4500,0,OK,,
PRD_000179,메모패드,WGT_000426,PROC_000022,떡제본,1,5000,5000,0,OK,,
PRD_000181,중철노트,WGT_000425,PROC_000018,중철제본,4,10000,10000,0,OK,,
PRD_000181,중철노트,WGT_000425,PROC_000152,둥근모서리(2방4R),4,10000,10000,0,OK,,
PRD_000183,틴거울,WGT_000343,PROC_000004,디지털인쇄,1,3000,3000,0,OK,,
PRD_000188,레더코스터,WGT_000348,PROC_000006,실사출력,1,3300,3300,0,OK,,
PRD_000194,워터북보틀,WGT_000352,PROC_000111,UV평판인쇄,1,9000,9000,0,OK,,
PRD_000210,초슬림마우스패드,WGT_000417,PROC_000110,전사인쇄,1,5000,5000,0,OK,,
