prd_cd,qty_unit_typ_cd,nonspec_yn,nonspec_width_min,nonspec_width_max,nonspec_height_min,nonspec_height_max
PRD_000146,,N,,,,
PRD_000147,,N,,,,
PRD_000148,,N,,,,
PRD_000149,,N,,,,
PRD_000150,,N,,,,
PRD_000151,,N,,,,
PRD_000152,,N,,,,
PRD_000153,,N,,,,
PRD_000154,,N,,,,
PRD_000155,,N,,,,
PRD_000156,,N,,,,
PRD_000157,,N,,,,
PRD_000158,,N,,,,
PRD_000159,,N,,,,
PRD_000160,,N,,,,
PRD_000161,,N,,,,
PRD_000162,,N,,,,
PRD_000163,,N,,,,
PRD_000164,,N,,,,
PRD_000165,,N,,,,
PRD_000166,,N,,,,
PRD_000168,,N,,,,
PRD_000169,,N,,,,
PRD_000172,,N,,,,
PRD_000173,,N,,,,
PRD_000174,,N,,,,
PRD_000175,,N,,,,
PRD_000176,,N,,,,
PRD_000177,,N,,,,
PRD_000178,,N,,,,
PRD_000179,,N,,,,
PRD_000180,,N,,,,
PRD_000181,,N,,,,
PRD_000183,,N,,,,
PRD_000184,,N,,,,
PRD_000185,,N,,,,
PRD_000186,,N,,,,
PRD_000187,,N,,,,
PRD_000188,,N,,,,
PRD_000189,,N,,,,
PRD_000190,,N,,,,
PRD_000191,,N,,,,
PRD_000192,,N,,,,
PRD_000193,,N,,,,
PRD_000194,,N,,,,
PRD_000195,,N,,,,
PRD_000196,,N,,,,
PRD_000197,,N,,,,
PRD_000198,,N,,,,
PRD_000199,,N,,,,
PRD_000200,,N,,,,
PRD_000201,,N,,,,
PRD_000202,,N,,,,
PRD_000203,,N,,,,
PRD_000204,,N,,,,
PRD_000205,,N,,,,
PRD_000206,,N,,,,
PRD_000207,,N,,,,
PRD_000208,,N,,,,
PRD_000209,,N,,,,
PRD_000210,,N,,,,
PRD_000211,,N,,,,
PRD_000212,,N,,,,
PRD_000213,,N,,,,
PRD_000214,,N,,,,
PRD_000215,,N,,,,
PRD_000216,,N,,,,
PRD_000217,,N,,,,
PRD_000218,,N,,,,
PRD_000219,,N,,,,
PRD_000220,,N,,,,
PRD_000221,,N,,,,
PRD_000222,,N,,,,
PRD_000223,,N,,,,
PRD_000224,,N,,,,
PRD_000225,,N,,,,
PRD_000226,,N,,,,
PRD_000227,,N,,,,
PRD_000228,,N,,,,
PRD_000229,,N,,,,
PRD_000230,,N,,,,
PRD_000231,,N,,,,
PRD_000232,,N,,,,
PRD_000233,,N,,,,
PRD_000234,,N,,,,
PRD_000235,,N,,,,
PRD_000236,,N,,,,
PRD_000237,,N,,,,
PRD_000238,,N,,,,
PRD_000239,,N,,,,
PRD_000240,,N,,,,
PRD_000241,,N,,,,
PRD_000242,,N,,,,
PRD_000243,,N,,,,
PRD_000244,,N,,,,
PRD_000245,,N,,,,
PRD_000246,,N,,,,
PRD_000247,,N,,,,
PRD_000248,,N,,,,
PRD_000249,,N,,,,
PRD_000250,,N,,,,
PRD_000251,,N,,,,
PRD_000252,,N,,,,
PRD_000253,,N,,,,
PRD_000254,,N,,,,
PRD_000255,,N,,,,
PRD_000256,,N,,,,
PRD_000257,,N,,,,
PRD_000258,,N,,,,
PRD_000259,,N,,,,
PRD_000260,,N,,,,
PRD_000261,,N,,,,
PRD_000262,,N,,,,
PRD_000263,,N,,,,
PRD_000264,,N,,,,
PRD_000265,,N,,,,
PRD_000266,,N,,,,
PRD_000267,,N,,,,
PRD_000268,,N,,,,
PRD_000269,,N,,,,
PRD_000270,,N,,,,
PRD_000271,,N,,,,
PRD_000272,,N,,,,
PRD_000273,,N,,,,
PRD_000274,,N,,,,
PRD_000275,,N,,,,
PRD_000276,,N,,,,
PRD_000277,,N,,,,
PRD_000278,,N,,,,
PRD_000279,,N,,,,
PRD_000280,,N,,,,
