prd_cd,proc_cd,mand_proc_yn,disp_seq,reg_dt,upd_dt,del_yn,del_dt
PRD_000069,PROC_000041,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000069,PROC_000042,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000069,PROC_000043,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000069,PROC_000037,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000069,PROC_000044,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000070,PROC_000038,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000070,PROC_000020,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000070,PROC_000015,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000070,PROC_000039,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000070,PROC_000076,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000070,PROC_000014,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000070,PROC_000040,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000070,PROC_000041,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000070,PROC_000042,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000070,PROC_000043,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000070,PROC_000037,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000070,PROC_000044,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000071,PROC_000021,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000071,PROC_000015,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000071,PROC_000076,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000071,PROC_000014,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000108,PROC_000076,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000109,PROC_000076,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000110,PROC_000079,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000111,PROC_000021,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000111,PROC_000079,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000151,PROC_000081,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000173,PROC_000076,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000177,PROC_000076,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000016,PROC_000027,N,1,2026-06-03 12:46:02.974607,2026-06-05 15:37:29.790936,N,
PRD_000016,PROC_000028,N,1,2026-06-03 12:46:02.974607,2026-06-05 15:37:29.790936,N,
PRD_000016,PROC_000029,N,2,2026-06-05 05:40:30.956802,2026-06-05 15:37:29.790936,N,
PRD_000016,PROC_000030,N,3,2026-06-05 05:43:05.737784,2026-06-05 15:37:29.790936,N,
PRD_000016,PROC_000031,N,4,2026-06-05 05:43:23.948574,2026-06-05 15:37:29.790936,N,
PRD_000016,PROC_000032,N,5,2026-06-05 05:43:43.32046,2026-06-05 15:37:29.790936,N,
