product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,선택(옵션)_선택,선택(옵션)_가격,가격,가공(옵션)_가공,가공(옵션)_가격,제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,구간할인적용테이블,Z,AA,AB,AC,AD,AE
14692,레더 삼각 미니파우치,,0,186,,14692,,레더 삼각 미니파우치,,,120 x 220,,,,JPG,패브릭인쇄,Y,Y,,,7200,,,1,10000,1,,,,,,,,,
14693,레더 볼륨 미니파우치,,0,187,,14693,,레더 볼륨 미니파우치,정사각,,165 x 187,,,,JPG,패브릭인쇄,Y,Y,,,7500,,,1,10000,1,,,,,,,,,
14693,레더 볼륨 미니파우치,,1,188,,,,,직사각,,200 x 187,,,,JPG,패브릭인쇄,Y,Y,,,8000,,,1,10000,1,,,,,,,,,
14694,레더 원형 미니파우치,,0,189,,14694,,레더 원형 미니파우치,마카롱,,220 x 110,,,,JPG,패브릭인쇄,Y,Y,,,10000,,,1,10000,1,,,,,,,,,
14695,레더 플랫 필통,필통,0,191,필통,14695,,레더 플랫 필통,,,220 x 190,,,,JPG,패브릭인쇄,Y,Y,,,7500,,,1,10000,1,,,,,,,,,
14696,레더 슬림 필통,,0,192,,14696,,레더 슬림 필통,,,220 x 194,,,,JPG,패브릭인쇄,Y,Y,,,8500,,,1,10000,1,,,,,,,,,
14697,레더 삼각 필통,,0,193,,14697,,레더 삼각 필통,,,220 x 210,,,,JPG,패브릭인쇄,Y,Y,,,8500,,,1,10000,1,,,,,,,,,
14698,레더 볼륨 필통,,0,194,,14698,,레더 볼륨 필통,,,270 x 214,,,,JPG,패브릭인쇄,Y,Y,,,9500,,,1,10000,1,,,,,,,,,
14699,레더 원형 필통,,0,195,,14699,,레더 원형 필통,,,220 x 234,,,,JPG,패브릭인쇄,Y,Y,,,10500,,,1,10000,1,,,,,,,,,
14790,캔버스 플랫 필통,,0,196,,14790,,캔버스 플랫 필통,,,220 x 190,,,,JPG,패브릭인쇄,Y,Y,,,7500,라벨없음,0,1,10000,1,,,,,,,,,
14790,캔버스 플랫 필통,,1,197,,,,,,,,,,,,패브릭인쇄,,,,,,라벨부착,300,,10000,1,,,,,,,,,
14792,캔버스 삼각 필통,,0,198,,14792,,캔버스 삼각 필통,,,240 x 210,,,,JPG,패브릭인쇄,Y,Y,,,9000,라벨없음,0,1,10000,1,,,,,,,,,
14792,캔버스 삼각 필통,,1,199,,,,,,,,,,,,패브릭인쇄,,,,,,라벨부착,300,,10000,1,,,,,,,,,
14703,레더토트백,레더에코백,0,201,레더에코백,14703,,레더토트백,,,330 x 640,,,,JPG,패브릭인쇄,Y,Y,,,31000,,,1,10000,1,,,,,,,,,
14704,레더숄더백,,0,202,,14704,,레더숄더백,세로형,,760 x 440,,,,JPG,패브릭인쇄,Y,Y,,,58000,,,1,10000,1,,,,,,,,,
14700,린넨 미니에코백,패브릭에코백,0,204,패브릭에코백,14700,,린넨 미니에코백,,,280 x 610,,,,JPG,패브릭인쇄,Y,Y,,,16500,,,1,10000,1,,,,,,,,,
14702,린넨 토트백,,0,205,,14702,,린넨 토트백,,,380 x 1010,,,,JPG,패브릭인쇄,Y,Y,,,24000,,,1,10000,1,,,,,,,,,
14701,린넨 에코백,,0,206,,14701,,린넨 에코백,세로형,,390 x 910,,,린넨에코백,JPG,패브릭인쇄,Y,Y,,,28000,,,1,10000,1,,,,,,,,,
14701,린넨 에코백,,1,207,,,,,가로형,,430 x 830,,,,JPG,패브릭인쇄,Y,Y,,,28000,,,1,10000,1,,,,,,,,,
14843,캔버스심플백,,0,208,,14843,,캔버스심플백,세로M,,340 x 800,,,캔버스심플백,JPG,패브릭인쇄,Y,Y,,,17600,라벨없음,0,1,10000,1,,,,,,,,,
14843,캔버스심플백,,1,209,,,,,,,,,,,,,,,,,,라벨부착,300,,10000,1,,,,,,,,,
14844,캔버스 포켓심플백,,0,210,,14844,,캔버스 포켓심플백,블랙M,,260 x 300,,,캔버스포켓심플백,JPG,패브릭인쇄,Y,Y,,,16500,,,1,10000,1,,,,,,,,,
14706,캔버스에코백,,0,211,,14706,,캔버스에코백,가로L,,530 x 900,,,캔버스에코백,JPG,패브릭인쇄,Y,Y,,,35200,라벨없음,0,1,10000,1,,,,,,,,,
14706,캔버스에코백,,1,212,,,,,,,,,,,,,,,,,,라벨부착,300,,10000,1,,,,,,,,,
14849,캔버스숄더백,,0,213,,14849,,캔버스숄더백,세로형,,760 x 440,,,캔버스숄더백,JPG,패브릭인쇄,Y,Y,,,59500,,,1,10000,1,,,,,,,,,
14845,캔버스 포켓숄더백,,0,214,,14845,,캔버스 포켓숄더백,,,320 x 300,,,캔버스포켓숄더백,JPG,패브릭인쇄,Y,Y,,,58000,,,1,10000,1,,,,,,,,,
14712,타이벡 양면 백팩,타이벡에코백,0,216,타이벡에코백,14712,,타이벡 양면 백팩,M,,320 x 860,,,타이벡양면백팩,JPG,패브릭인쇄,Y,Y,,,17500,,,1,10000,1,,,,,,,,,
14712,타이벡 양면 백팩,타이벡에코백,1,217,,,,,L,,400 x 1040,,,,JPG,패브릭인쇄,Y,Y,,,22000,,,1,10000,1,,,,,,,,,
14711,타이벡보냉보틀백,,0,218,,14711,,타이벡보냉보틀백,M,,220 x 580,,,타이벡보냉보틀백,JPG,패브릭인쇄,Y,Y,,,19500,,,1,10000,1,,,,,,,,,
14711,타이벡보냉보틀백,,1,219,,,,,L,,220 x 780,,,,JPG,패브릭인쇄,Y,Y,,,21000,,,1,10000,1,,,,,,,,,
14710,타이벡 보냉 미니백,,0,220,,14710,,타이벡 보냉 미니백,,,360 x 580,,,타이벡보냉미니백,JPG,패브릭인쇄,Y,Y,,,25000,,,1,10000,1,,,,,,,,,
14708,타이벡 에코백,,0,221,,14708,,타이벡 에코백,세로형,,380 x 880,,,타이벡에코백,JPG,패브릭인쇄,Y,Y,,,22500,,,1,10000,1,,,,,,,,,
14709,타이벡 보냉에코백,,0,222,,14709,,타이벡 보냉에코백,세로형,,380 x 880,,,타이벡보냉에코백,JPG,패브릭인쇄,Y,Y,,,28000,,,1,10000,1,,,,,,,,,
14714,메쉬 토트백,메쉬에코백,0,224,메쉬에코백,14714,,메쉬 토트백,가로형,,380 x 690,,,메쉬토트백,JPG,패브릭인쇄,Y,Y,,,20500,,,1,10000,1,,,,,,,,,
14713,메쉬 에코백,,0,225,,14713,,메쉬 에코백,가로형,,440 x 810,,,메쉬에코백,JPG,패브릭인쇄,Y,Y,,,25500,,,1,10000,1,,,,,,,,,
14715,레더라벨제작,에코백부자재,0,227,에코백부자재,14715,,레더라벨제작,레더 15x30mm,,50 x 30,,,레더라벨,JPG,패브릭인쇄,Y,Y,,,200,,,10,10000,10,,,구간할인없음,,,,,,
14715,레더라벨제작,에코백부자재,1,228,,,,,레더 20x40mm,,60 x 40,,,,JPG,패브릭인쇄,Y,Y,,,240,,,10,10000,10,,,,,,,,,
14715,레더라벨제작,에코백부자재,2,229,,,,,레더 30x50mm,,80 x 50,,,,JPG,패브릭인쇄,Y,Y,,,290,,,10,10000,10,,,,,,,,,
14715,레더라벨제작,에코백부자재,3,233,,,"노랑색배경은 신규상품으로 MES에도 없어 등록해야하는 상품입니다.
그레이배경의 상품은 품절이거나 준비중인 상품입니다.
그레이칼라의 글씨는 사용자에는 보여지지 않은(파일사양의 구분을 위한) 글씨입니다.
*오렌지글씨는 저만의 commemt이니 개발시 무시해주세요.
제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 (옵션/오렌지)은 상품에 따라 있을수도 없을 수도 있습니다.
모든 항목은 Figma를 참고해주세요.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,4,237,폰케이스 준비해야함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,5,238,폰케이스,,,슬림하드 폰케이스,삼성(갤럭시S20),,,,,,,,업로드,,,,11000,,,,,,,,원가 6600원,,,,,,
14715,레더라벨제작,에코백부자재,6,239,,,,,삼성(갤럭시(S20플러스),,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,7,240,,,,,삼성(갤럭시S20울트라),,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,8,241,,,,,삼성(갤럭시S20FE),,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,9,242,,,,,삼성(갤럭시S21),,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,10,243,,,,,삼성(갤럭시S21플러스),,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,11,244,,,,,삼성(갤럭시S21울트라),,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,12,245,,,,,삼성(갤럭시S22),,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,13,246,,,,,삼성(갤럭시S22플러스),,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,14,247,,,,,삼성(갤럭시S22울트라),,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,15,248,,,,,삼성(갤럭시S23)★,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,16,249,,,,,삼성(갤럭시S23플러스)★,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,17,250,,,,,삼성(갤럭시S23울트라)★,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,18,251,,,,,삼성(갤럭시S24)★,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,19,252,,,,,삼성(갤럭시S24플러스)★,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,20,253,,,,,삼성(갤럭시S24울트라)★,,,,,,,,업로드,,,,11000,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,21,254,,,,,삼성(갤럭시Z플립1/2),,,,,,,,업로드,,,,13500,,,,,,,,옵션추가가격(1650원),,,,,,
14715,레더라벨제작,에코백부자재,22,255,,,,,삼성(갤럭시Z플립3),,,,,,,,업로드,,,,13500,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,23,256,,,,,삼성(갤럭시Z플립4),,,,,,,,업로드,,,,13500,,,,,,,,,,,,,,
14715,레더라벨제작,에코백부자재,24,257,,,,,삼성(갤럭시Z플립5),,,,,,,,업로드,,,,13500,,,,,,,,,,,,,,
