product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),내지파일사양_MES ITEM_CD,내지파일사양_블리드,내지파일사양_작업사이즈,내지파일사양_재단사이즈,내지파일사양_파일명약어,내지파일사양_출력파일,내지파일사양_폴더,내지종이(필수),내지인쇄(필수),내지페이지(필수)_최소,내지페이지(필수)_최대,내지페이지(필수)_증가,표지파일사양_MES ITEM_CD,표지파일사양_블리드,표지파일사양_작업사이즈,표지파일사양_파일명약어,표지파일사양_출력파일,표지파일사양_폴더,표지종이(필수),표지인쇄(필수),표지옵션(옵션)_표지코팅(옵션),표지옵션(옵션)_투명커버(옵션),박(표지) / 형압 (옵션)_박/형압가공,박(표지) / 형압 (옵션)_크기,박(표지) / 형압 (옵션)_박칼라,제본(필수),제본(옵션)_제본방향(옵션),제본(옵션)_면지(옵션),제본(옵션)_링컬러(옵션),제본(옵션)_바인더링(옵션),제본(옵션)_제본(옵션),제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,주문방법(필수)_업로드,주문방법(필수)_편집기,개별포장(옵션),COMMENT,AR,AS,AT
14598,하드커버 링책자,,2,48,,,,,A4 (210 x 297 mm),,3,216 x 303,210 x 297,트윈링하드,,,,,,,,,,,,,,,,,,,,,,,그레이면지,메탈링,,,,,,,,,링책자 하드커버표지 AI / 내지 AI,,,
14598,하드커버 링책자,,3,49,,,,,A4 (297 x 210 mm),,3,303 x 216,297 x 210,트윈링하드,,,,,,,,,,,,,,,,,,,,,,,인쇄면지,,,,,,,,,,링책자 하드커버표지 AI / 내지 AI,,,
14598,하드커버 링책자,,4,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,★인쇄면지는 하드커버링책자와/레더링바인더만 있음,,,,,,,,,,,,,
14598,하드커버 링책자,,5,51,,,,링바인더 (보류중),A4 (두께A) 31mm,,,,,,,,,,,,,,,,,,,전용지,,,,,,,,,화이트면지,D링,D링,,,,,,,,링바인더 (31/42/56) AI,,,
14598,하드커버 링책자,,6,52,,,,,A4 (두께B) 42mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,블랙면지,,,,,,,,,,,,,
14598,하드커버 링책자,,7,53,,,,,A4 (두께B) 56mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,그레이면지,,,,,,,,,,,,,
14616,레더 링바인더,,0,55,,14616,,레더 링바인더,A4,,,,,,,,,,,,,,,611 x 374,링바인더,PDF,특수인쇄,레더(화이트),단면,,,,,,,,화이트면지,,D링(31mm),,1,1000,1,Y,,,링바인더 (31/42/56) AI,,,
14616,레더 링바인더,,1,56,,,,,,,,,,,,,,,,,,,,622 x 374,,,,,,,,,,,,,블랙면지,,D링(42mm),,,,,,,,O링 D링 선택,,,
14616,레더 링바인더,,2,57,,,,,,,,,,,,,,,,,,,,636 x 374,,,,,,,,,,,,,그레이면지,,D링(56mm),,,,,,,,D1/2 / D3/4,,,
14616,레더 링바인더,,3,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,인쇄면지,,★사이즈선택 : A4선택시,,,,,,,,,,,
14616,레더 링바인더,,4,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,★인쇄면지는 하드커버링책자와/레더링바인더만 있음,,,,,,,,,,,,,
14535,엽서북,엽서북,0,61,엽서북,14535,,엽서북,100 x 150 mm,,1,102 x 152,100 x 150,엽서북,,디지털인쇄,몽블랑240,단면,20,30,10,,5,218 x 160 (20P),,PDF,디지털인쇄,스노우300,단면,무광코팅(단면),,,,,떡제본,,,,,,1,10000,1,Y,,개별포장없음,엽서북 표지(20장/30장) AI / 내지 AI,,,
14535,엽서북,엽서북,1,62,,,,,150 x 100 mm,,1,152 x 102,150 x 100,엽서북,,디지털인쇄,,양면,,,,,5,318 x 110 (20P),,,,,,,,,,,,,,,,,1,10000,1,,,수축포장,엽서북 표지(20장/30장) AI / 내지 AI,,,
14535,엽서북,엽서북,2,63,,,,,135 x 135 mm,,1,137 x 137,135 x 135,엽서북,,,,,,,,,5,288 x 145 (20P),,,,,,,,,,,,,,,,,1,10000,1,,,,엽서북 표지(20장/30장) AI / 내지 AI,,,
14535,엽서북,엽서북,3,64,,,,,,,,,,,,,,,,,,,,*책등에따라다름,,,,,,,,,,,,,,,,,,,,,,,,,,
14535,엽서북,엽서북,4,65,떡메모지,,008-0008,떡메모지,90 x 90 mm,,2,94 x 94,90 x 90,떡메모지,PDF,디지털인쇄,백모조120,단면,,,,,,,,,,,,,,,,,떡제본,,,,,50장1권,3,1000,3,Y,Y,,,,,
14535,엽서북,엽서북,5,66,,,,,70 x 120 mm,,2,74 x 124,72 x 120,떡메모지,PDF,디지털인쇄,,,,,,,,,,,,,,,,,,,,,,,,100장1권,3,1000,3,,,,,,,
14535,엽서북,엽서북,6,72,,,"노랑색배경은 신규상품으로 MES에도 없어 등록해야하는 상품입니다
★의 빨간글씨는 옵션선택시 제약조건입니다.
그레이칼라의 글씨는 사용자에는 보여지지 않은(파일사양의 구분을 위한) 글씨입니다
*오렌지글씨는 저만의 commemt이니 개발시 무시해주세요
모든 종이는 MES와 통합관리해야함 (별도로 설정해야하며, 입력되어 있더라도 무시)
제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 (옵션/오렌지)은 상품에 따라 있을수도 없을 수도 있습니다
모든 항목은 Figma를 참고해주세요",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14535,엽서북,엽서북,7,85,레드프린팅 책자 가이드,,,https://www.redprinting.co.kr/ko/guide2/view/4/116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
