product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),비규격(최소/최대)_가로,비규격(최소/최대)_세로,파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,소재(필수),price,"price
(vat포함)",화이트별색(옵션),코팅(옵션),price(V),가공(옵션)_가공,가공(옵션)_가격,추가(옵션)_추가,추가(옵션)_추가옵션가격,제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,COMMENT,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO
14567,접착투명포스터,,2,30,,,,,A1 (594 x 841 mm),,,0,594 x 841,594 x 841,,,PDF,,,,,,30800,,,,,,,,,,,,,,,,,,,,,,
14567,접착투명포스터,,3,31,,,,,사용자입력,200~1200,200~3000,0,가로 x 세로,가로 x 세로,,,PDF,,,,,,60500,,,,,,,,,,,,,,,,,,,,,,
14568,아트패브릭포스터,,0,33,,14568,004-0006,아트패브릭포스터,A3 (297 x 420 mm),,,0,297 x 420,297 x 420,,실사출력,JPG,실사출력,Y,,그래픽천,7000,7700,,,,,,,,1,1000,1,,,,,,,,,,,,
14568,아트패브릭포스터,,1,34,,,,,A2 (420 x 594 mm),,,0,420 x 594,420 x 594,,,JPG,,,,,7000,7700,,,,,,,,,,,,,,,,,,,,,,
14568,아트패브릭포스터,,2,35,,,,,A1 (594 x 841 mm),,,0,594 x 841,594 x 841,,,JPG,,,,,12000,13200,,,,,,,,,,,,,,,,,,,,,,
14568,아트패브릭포스터,,3,36,,,,,사용자입력,200~1200,200~3000,0,가로 x 세로,가로 x 세로,,,JPG,,,,,20000,22000,,,,,,,,,,,,,,,,,,,,,,
14569,린넨패브릭포스터,,0,38,,14569,004-0007,린넨패브릭포스터,A3세로 (297 x 420 mm),,,0,297 x 420,297 x 420,*후가공에따라 파일크기가 다름,패브릭출력,JPG,특수인쇄,Y,,린넨,9000,9900,,,0,오버로크,,,,1,10000,1,,,,,,,,,,,,
14569,린넨패브릭포스터,,1,39,,,,,A3가로 (420 x 297 mm),,,0,420 x 297,420 x 297,,,JPG,,,,,9000,9900,,,800,오버로크+리본끈,,,,,,,,,,,,,,,,,,
14569,린넨패브릭포스터,,2,40,,,,,A2세로 (420 x 594 mm),,,0,420 x 594,420 x 594,,,JPG,,,,,17000,18700,,,1000,말아박기,,,,,,,,,,,,,,,,,,
14569,린넨패브릭포스터,,3,41,,,,,A2가로 (594 x 420 mm),,,0,594 x 420,594 x 420,,,JPG,,,,,30000,18700,,,2000,말아박기+면끈,,,,,,,,,,,,,,,,,,
14569,린넨패브릭포스터,,4,42,,,,,A1세로 (594 x 841 mm),,,0,594 x 841,594 x 841,,,JPG,,,,,,33000,,,2000,봉미싱(7cm),,,,,,,,,,,,,,,,,,
14569,린넨패브릭포스터,,5,43,,,,,A1가로 (841 x 594 mm),,,0,841 x 594,841 x 594,,,JPG,,,,,,33000,,,,,,,,,,,,,,,,,,,,,,
14569,린넨패브릭포스터,,6,44,,,,,사용자입력,200~1200,200~3000,0,가로 x 세로,가로 x 세로,,,JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14570,캔버스패브릭포스터,,0,46,,14570,004-0008,캔버스패브릭포스터,A3 (297 x 420 mm),,,0,297 x 420,297 x 420,,패브릭출력,JPG,특수인쇄,Y,,캔버스(옥스포드),10000,11000,,,0,오버로크,,,,1,10000,1,,,,,,,,,,,,
14570,캔버스패브릭포스터,,1,47,,,,,A2 (420 x 594 mm),,,0,420 x 594,420 x 594,,,JPG,,,,,10000,11000,,,1000,,,,,,,,,,,,,,,,,,,
14570,캔버스패브릭포스터,,2,48,,,,,A1 (594 x 841 mm),,,0,594 x 841,594 x 841,,,JPG,,,,,19000,20900,,,,,,,,,,,,,,,,,,,,,,
14570,캔버스패브릭포스터,,3,49,,,,,사용자입력,200~1200,200~3000,0,가로 x 세로,가로 x 세로,,,JPG,,,,,35000,38500,,,,,,,,,,,,,,,,,,,,,,
14571,레더아트프린트,,0,51,,14571,004-0009,레더아트프린트,A3 (297 x 420 mm),,,0,297 x 420,297 x 420,,패브릭출력,JPG,실사출력,Y,,레더(화이트),9000,9900,,,,,,,,1,10000,1,,,,,,,,,,,,
14571,레더아트프린트,,1,52,,,,,A2 (420 x 594 mm),,,0,420 x 594,420 x 594,,,JPG,,,,,9000,9900,,,,,,,,,,,,,,,,,,,,,,
14571,레더아트프린트,,2,53,,,,,A1 (594 x 841 mm),,,0,594 x 841,594 x 841,,,JPG,,,,,17000,18700,,,,,,,,,,,,,,,,,,,,,,
14571,레더아트프린트,,3,54,,,,,사용자입력,200~600,200~3000,0,가로 x 세로,가로 x 세로,,,JPG,,,,,30000,33000,,,,,,,,,,,,,,,,,,,,,,
14572,타이벡프린트,,0,56,,14572,004-0010,타이벡프린트,A3 (297 x 420 mm),,,0,297 x 420,297 x 420,,패브릭출력,JPG,특수인쇄,Y,,타이벡(하드),8000,8800,,,,,,,,1,10000,1,,,,,,,,,,,,
14572,타이벡프린트,,1,57,,,,,A2 (420 x 594 mm),,,0,420 x 594,420 x 594,,,JPG,,,,타이벡(소프트),8000,8800,,,,,,,,,,,,,,,,,,,,,,
14572,타이벡프린트,,2,58,,,,,A1 (594 x 841 mm),,,0,594 x 841,594 x 841,,,JPG,,,,,14000,15400,,,,,,,,,,,,,,,,,,,,,,
14572,타이벡프린트,,3,59,,,,,사용자입력,200~1200,200~3000,0,가로 x 세로,가로 x 세로,,,JPG,,,,,25000,27500,,,,,,,,,,,,,,,,,,,,,,
14574,메쉬프린트,,0,61,,14574,004-0011,메쉬프린트,A3 (297 x 420 mm),,,0,297 x 420,297 x 420,,패브릭출력,JPG,특수인쇄,Y,,메쉬,9000,9900,,,,,,,,1,10000,1,,,,,,,,,,,,
14574,메쉬프린트,,1,62,,,,,A2 (420 x 594 mm),,,0,420 x 594,420 x 594,,,JPG,,,,,9000,9900,,,,,,,,,,,,,,,,,,,,,,
14574,메쉬프린트,,2,63,,,,,A1 (594 x 841 mm),,,0,594 x 841,594 x 841,,,JPG,,,,,17000,18700,,,,,,,,,,,,,,,,,,,,,,
14574,메쉬프린트,,3,64,,,,,사용자입력,200~600,200~3000,0,가로 x 세로,가로 x 세로,,,JPG,,,,,30000,33000,,,,,,,,,,,,,,,,,,,,,,
14575,폼보드,,0,66,,14575,004-0012,폼보드,A3 (297 x 420 mm),,,0,297 x 420,297 x 420,,폼보드,JPG,실사출력,Y,,,6000,6600,,무광코팅,0,화이트보드,,,0,1,10000,1,,,,,,,,,,,,
14575,폼보드,,1,67,,,,,A2 (420 x 594 mm),,,0,420 x 594,420 x 594,,,JPG,,,,,12000,13200,,유광코팅,0,블랙보드,,,0,,,,,,,,,,,,,,,
14575,폼보드,,2,68,,,,,A1 (594 x 841 mm),,,,,,,,,,,,,20000,22000,,,,,,,,,,,,,,,,,,,,,,
14575,폼보드,,3,69,,,,,사용자입력,20~120,20~240,,,,,,,,,,,,52800,,,,,,,,,,,A2 비규격 이상은 포장 고민이 필요합니다.,,,,,,,,,,,
14576,포맥스보드,,0,71,,14576,004-0013,포맥스보드,A3 (297 x 420 mm),,,3,303 x 426,297 x 420,,포맥스,JPG,실사출력,Y,,,8300,9130,,무광코팅,0,화이트포맥스(3mm),,,,1,10000,1,3mm여분,,,,,,,,,,,
14576,포맥스보드,,1,72,,,,,A2 (420 x 594 mm),,,3,426 x 600,420 x 594,,,JPG,,,,,11500,14300,,유광코팅,0,화이트포맥스(5mm),,,,,,,,,,,,,,,,,,
14576,포맥스보드,,2,73,,,,,A1 (594 x 841 mm),,,,,,,,,,,,,20000,27500,,,,,,,,,,,,,,,,,,,,,,
14577,프레임리스우드액자,,0,75,,14577,004-0014,프레임리스우드액자,A3 (297 x 420 mm),,,3,303 x 426,297 x 420,,나무판넬,JPG,실사출력,Y,,,,17600,,무광코팅,,,,,,1,1000,1,3mm여분 / 나무판넬,,,,,,,,,,,
14577,프레임리스우드액자,,1,76,,,,,A2 (420 x 594 mm),,,3,426 x 600,420 x 594,,,JPG,,,,,,25300,,유광코팅,,,,,,,,,"*<공임> A3(3,000원),A2(4,000원),A1(5,000원)",,,,,,,,,,,
14577,프레임리스우드액자,,2,77,,,,,A1 (594 x 841 mm),,,,,,,,,,,,,,38500,,,,,,,,,,,,,,,,,,,,,,
14578,레더아트액자,,0,79,,14578,004-0015,레더아트액자,5x5 (127 x 127 mm),,,,207 x 207,-,,레더액자,JPG,실사출력,Y,Y,,,9900,,,,,,,,1,1000,1,사이즈조정,,,,,,,,,,,
14578,레더아트액자,,1,80,,,,,5x7 (127 x 178 mm),,,,207 x 258,-,,,JPG,,,Y,,,,,,,,,,,,,,"*<공임> 5*5(5,000원),8*8(5,000원),A4(5,000원),A3(6,000원),A2(7,000원)",,,,,,,,,,,
14578,레더아트액자,,2,81,,,,,8x8 (203 x 203 mm),,,,283 x 283,-,,,JPG,,,Y,,,12100,,,,,,,,,,,,,,,,,,,,,,
14578,레더아트액자,,3,82,,,,,8x10 (203 x 254 mm),,,,283 x 334,-,,,JPG,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
14578,레더아트액자,,4,83,,,,,A4 (210 x 297 mm),,,,290 x 377,-,,,JPG,,,Y,,,15400,,,,,,,,,,,,,,,,,,,,,,
14578,레더아트액자,,5,84,,,,,A3 (297 x 420 mm),,,,377 x 500,-,,,JPG,,,Y,,,23100,,,,,,,,,,,,,,,,,,,,,,
14579,캔버스 행잉포스터,,0,86,,14579,004-0017,캔버스 행잉포스터,A4 (210 x 297 mm),,,0,210 x 297,210 x 297,,캔버스행잉,JPG,특수인쇄,Y,Y,캔버스(옥스포드),,,,,0,오버로크,,출력만,0,1,10000,1,오버로크,,,,,,,,,,,
14579,캔버스 행잉포스터,,1,87,,,,,A3 (297 x 420 mm),,,0,297 x 420,297 x 420,,,JPG,,,Y,,,,,,,,,우드행거+면끈 포함,???,,,,,,,,,,,,,,,
14579,캔버스 행잉포스터,,2,88,,,,,A2 (420 x 594 mm),,,0,420 x 594,420 x 594,,,JPG,,,Y,,,,,,,,,,,,,,*신규 싸이즈 가격 알아봐야함,,,,,,,,,,,
14580,린넨 우드봉 족자,,0,90,,14580,004-0018,린넨 우드봉 족자,A4,,,0,210 x 347,210 x 347,,린넨우드봉,JPG,특수인쇄,Y,Y,린넨,,10120,,,0,오버로크+봉미싱(4cm),,출력만,0,1,10000,1,오버로크,,,,,,,,,,,
14580,린넨 우드봉 족자,,1,91,,,,,A3,,,0,297 x 470,297 x 470,,,JPG,,,Y,,,12320,,,,,,우드봉+면끈 포함,???,,,,,,,,,,,,,,,
14580,린넨 우드봉 족자,,2,92,,,,,A2,,,0,420 x 644,420 x 644,,,JPG,,,Y,,,17600,,,,,,,,,,,,,,,,,,,,,,
19311,족자포스터,,0,94,,19311,004-0016,족자포스터,A3 (297 x 420 mm),,,0,297 x 420,297 x 420,,족자,JPG,실사출력,Y,,PET,,14300,,,0,사각족자,,추가없음,0,1,10000,1,족자1종,,,,,,,,,,,
19311,족자포스터,,1,95,,,,,A2 (420 x 594 mm),,,0,420 x 594,420 x 594,,,JPG,,,,,,16500,,,0,원형족자,,천정형고리 포함,4000?,,,,"*<공임>A3(3,000원),A2(4,000원),A1(5,000원),30*60(3,000원),90*120(5,000원)",,,,,,,,,,,
19311,족자포스터,,2,96,,,,,A1 (594 x 841 mm),,,0,594 x 841,594 x 841,,,JPG,,,,,,24200,,,,,,,,,,,,,,,,,,,,,,
19311,족자포스터,,3,97,,,,,300 x 600mm,,,0,300 x 600,300 x 600,,,JPG,,,,,,16500,,,,,,,,,,,,,,,,,,,,,,
19311,족자포스터,,4,98,,,,,900 x 1200mm,,,,900 x 1200,900 x 1200,,,JPG,,,,,,35200,,,,,,,,,,,,,,,,,,,,,,
14581,PET배너,,0,100,,14581,005-0001,PET배너,600x1800mm,,,0,600 x 1800,600 x 1800,,배너,JPG,실사출력,Y,,PET,,24200,,무광코팅,0,4구타공,,거치대없음,0,1,10000,1,,,,,,,,,,,,
14581,PET배너,,1,101,,,,,,,,,,,,,,,,,,,,,유광코팅,0,,,실내용배너거치대,10000,,,,,,,,,,,,,,,
14581,PET배너,,2,102,,,,,,,,,,,,,,,,,,,,,,,,,실외용배너거치대,23000,,,,,,,,,,,,,,,
14582,메쉬배너,,0,104,,14582,005-0002,메쉬배너,600x1800mm,,,0,600 x 1800,600 x 1800,,배너,JPG,특수인쇄,Y,,메쉬,,24200,,,,4구타공,,거치대없음,0,1,10000,1,,,,,,,,,,,,
14582,메쉬배너,,1,105,,,,,,,,,,,,,,,,,,,,,,,,,실내용배너거치대,10000,,,,,,,,,,,,,,,
14582,메쉬배너,,2,106,,,,,,,,,,,,,,,,,,,,,,,,,실외용배너거치대,23000,,,,,,,,,,,,,,,
14583,일반현수막,,0,108,,14583,005-0003,일반현수막,5000x900mm,,,0,5000 x 900,5000 x 900,,현수막,JPG,현수막,Y,,현수막천,,31900,,,3000,열재단,,추가없음,*가격표참고,1,10000,1,,,,,,,,,,,,
14583,일반현수막,,1,109,,,,,사용자입력,500~5000,500~1750,0,가로 x 세로,가로 x 세로,,,JPG,,,,,0,8800,,,3000,타공(4개),,큐방(4개)추가,,,,,,,,,,,,,,,,
14583,일반현수막,,2,110,,,,,,,,,,,,,,,,,,,,,,4000,타공(6개),,끈(4개)추가,,,,,,,,,,,,,,,,
14583,일반현수막,,3,111,,,,,,,,,,,,,,,,,,,,,,5000,타공(8개),,각목(900이하)+끈(4개) 추가,,,,,,,,,,,,,,,,
14583,일반현수막,,4,112,,,,,,,,,,,,,,,,,,,,,,3000,양면테입,,각목(900초과)+끈(4개) 추가,,,,,,,,,,,,,,,,
14583,일반현수막,,5,113,,,,,,,,,,,,,,,,,,,,,,4000,봉미싱,,,,,,,,,,,,,,,,,,
14583,일반현수막,,6,114,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10000,1,,,,,,,,,,,,
14584,메쉬현수막,,0,115,,14584,005-0004,메쉬현수막,900 x 900mm,,,0,900 x 900,900 x 900,,현수막,JPG,특수인쇄,Y,,메쉬,,19600,,,0,재단만,,추가없음,,,,,,,,,,,,,,,,
14584,메쉬현수막,,1,116,,,,,900 x 1200mm,,,0,900 x 1200,900 x 1200,,,JPG,,,,,,24200,,,3000,타공(4개),,끈추가,,,,,,,,,,,,,,,,
14584,메쉬현수막,,2,117,,,,,5000 x 900mm,,,0,5000 x 900,5000 x 900,,,,,,,,,99000,,,4000,타공(6개),,,,,,,,,,,,,,,,,,
14584,메쉬현수막,,3,118,,,,,사용자입력,500~900,500~3000,0,가로 x 세로,가로 x 세로,,,,,,,,,22000,,,5000,타공(8개),,,,,,,,,,,,,,,,,,
14585,무광시트커팅,,0,120,,14585,005-0005,무광시트커팅,A4 (210 x 297 mm),,,0,210 x 297,210 x 297,,시트커팅,AI,시트커팅,Y,,화이트,6000,6600,,,,,,,,1,10000,1,,,,,,,,,,,,
14585,무광시트커팅,,1,121,,,,,A3 (297 x 420 mm),,,0,297 x 420,297 x 420,,,AI,,,,블랙,11000,12100,,,,,,,,,,,,,,,,,,,,,,
14585,무광시트커팅,,2,122,,,,,A2 (420 x 594 mm),,,0,420 x 594,420 x 594,,,AI,,,,,32000,35200,,,,,,,,,,,,,,,,,,,,,,
14586,홀로그램 시트커팅,,0,124,,14586,005-0006,홀로그램 시트커팅,A4 (210 x 297 mm),,,0,210 x 297,210 x 297,,시트커팅,AI,시트커팅,Y,,홀로그램,8000,8800,,,,,,,,,,,,,,,,,,,,,,
14586,홀로그램 시트커팅,,1,125,,,,,A3 (297 x 420 mm),,,0,297 x 420,297 x 420,,,AI,,,,,16000,17600,,,,,,,,1,10000,1,,,,,,,,,,,,
14586,홀로그램 시트커팅,,2,126,,,,,A2 (420 x 594 mm),,,0,420 x 594,420 x 594,,,AI,,,,,32000,35200,,,,,,,,,,,,,,,,,,,,,,
14587,유광아크릴스티커,,0,128,,14587,005-0007,유광아크릴스티커,290 x 90 mm,,,0,290 x 90,290 x 90,,아크릴커팅,AI,레이저커팅,Y,,화이트,12000,13200,,,,,,,,,,,,,,,,,,,,,,
14587,유광아크릴스티커,,1,129,,,,,290 x 190 mm,,,0,290 x 190,290 x 190,,,AI,,,,블랙,18000,19800,,,,,,,,1,10000,1,,,,,,,,,,,,
14587,유광아크릴스티커,,2,130,,,,,390 x 290 mm,,,0,390 x 290,390 x 290,,,AI,,,,,28000,30800,,,,,,,,,,,,,,,,,,,,,,
14587,유광아크릴스티커,,3,131,,,,,590 x 390 mm,,,0,590 x 390,590 x 390,,,AI,,,,,47000,51700,,,,,,,,,,,,,,,,,,,,,,
14588,미러아크릴스티커,,0,133,,14588,005-0008,미러아크릴스티커,290 x 90 mm,,,0,290 x 90,290 x 90,,아크릴커팅,AI,레이저커팅,Y,,골드,15000,16500,,,,,,,,1,10000,1,,,,,,,,,,,,
14588,미러아크릴스티커,,1,134,,,,,290 x 190 mm,,,0,290 x 190,290 x 190,,,AI,,,,실버,22000,24200,,,,,,,,,,,,,,,,,,,,,,
14588,미러아크릴스티커,,2,135,,,,,390 x 290 mm,,,0,390 x 290,390 x 290,,,AI,,,,,36000,39600,,,,,,,,,,,,,,,,,,,,,,
14588,미러아크릴스티커,,3,136,,,,,590 x 390 mm,,,0,590 x 390,590 x 390,,,AI,,,,,62000,68200,,,,,,,,,,,,,,,,,,,,,,
14590,미니보드스탠딩,,0,138,,14590,005-0009,미니보드스탠딩,A5 (148 x 210mm),,,0,148 x 210,148 x 210,,미니스탠딩,JPG,실사출력,Y,,,,3850,,,,,,,,1,10000,1,,,,,,,,,,,,
14590,미니보드스탠딩,,1,139,,,,,A4 (210 x 297mm),,,0,210 x 297,210 x 297,,,JPG,,,,,,4950,,,,,,,,,,,,,,,,,,,,,,
14590,미니보드스탠딩,,2,140,,,,,A3 (297 x 420mm),,,0,297 x 420,297 x 420,,,JPG,,,,,,7150,,,,,,,,,,,,,,,,,,,,,,
14591,미니배너,,0,142,,14591,005-0010,미니배너,150 x 300 mm,,,0,150 x 300,150 x 300,,미니배너,JPG,실사출력,Y,,PET,,2200,,무광코팅,0,,,,,1,10000,1,,,,,,,,,,,,
14591,미니배너,,1,143,,,,,180 x 420 mm,,,0,180 x 420,180 x 420,,,JPG,,,,,,4400,,유광코팅,0,,,,,,,,,,,,,,,,,,,
14591,미니배너,,2,147,,,"제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 (옵션/오렌지)은 상품에 따라 있을수도 없을 수도 있습니다
모든 항목은 Figma를 참고해주세요",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
