comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,note,_provenance
COMP_POSTER_JOKJA,2026-06-01,SIZ_000319,,,,,1,15000.00,,price-poster-sign-l1.csv:B17:E212|prd=PRD_000135|siz_label=300*600
COMP_POSTER_JOKJA,2026-06-01,SIZ_000320,,,,,1,32000.00,,price-poster-sign-l1.csv:B17:F212|prd=PRD_000135|siz_label=900*1200
COMP_POSTER_LEATHER_FRAME,2026-06-01,SIZ_000258,,,,,1,16000.00,,price-poster-sign-l1.csv:B15:F207|prd=PRD_000132|siz_label=A4
COMP_POSTER_LEATHER_FRAME,2026-06-01,SIZ_000304,,,,,1,9000.00,,price-poster-sign-l1.csv:B15:B207|prd=PRD_000132|siz_label=5x5
COMP_POSTER_LEATHER_FRAME,2026-06-01,SIZ_000306,,,,,1,10000.00,,price-poster-sign-l1.csv:B15:C207|prd=PRD_000132|siz_label=5x7
COMP_POSTER_LEATHER_FRAME,2026-06-01,SIZ_000308,,,,,1,11000.00,,price-poster-sign-l1.csv:B15:D207|prd=PRD_000132|siz_label=8x8
COMP_POSTER_LEATHER_FRAME,2026-06-01,SIZ_000310,,,,,1,13000.00,,price-poster-sign-l1.csv:B15:E207|prd=PRD_000132|siz_label=8x10
COMP_POSTER_LEATHER_FRAME,2026-06-01,SIZ_000315,,,,,1,21000.00,,price-poster-sign-l1.csv:B15:G207|prd=PRD_000132|siz_label=A3
COMP_POSTER_LINEN_WOODBONG,2026-06-01,SIZ_000258,,,,,1,6000.00,,price-poster-sign-l1.csv:B21:B225|prd=PRD_000134|siz_label=A4
COMP_POSTER_LINEN_WOODBONG,2026-06-01,SIZ_000315,,,,,1,8200.00,,price-poster-sign-l1.csv:B21:C225|prd=PRD_000134|siz_label=A3
COMP_POSTER_LINEN_WOODBONG,2026-06-01,SIZ_000317,,,,,1,16000.00,,price-poster-sign-l1.csv:B21:D225|prd=PRD_000134|siz_label=A2
COMP_POSTER_MESH_BANNER,2026-06-01,SIZ_000321,,,,,1,38000.00,,price-poster-sign-l1.csv:B25:B240|prd=PRD_000137|siz_label=600x1800 mm
COMP_POSTER_MINI_BANNER,2026-06-01,SIZ_000028,,,,,4,6500.00,,price-poster-sign-l1.csv:B31:B312|prd=PRD_000145|siz_label=150x300 mm
COMP_POSTER_MINI_BANNER,2026-06-01,SIZ_000328,,,,,4,6500.00,,price-poster-sign-l1.csv:B31:C312|prd=PRD_000145|siz_label=180x420 mm
COMP_POSTER_MINI_BANNER,2026-06-01,SIZ_000028,,,,,19,4900.00,,price-poster-sign-l1.csv:B31:B313|prd=PRD_000145|siz_label=150x300 mm
COMP_POSTER_MINI_BANNER,2026-06-01,SIZ_000328,,,,,19,4900.00,,price-poster-sign-l1.csv:B31:C313|prd=PRD_000145|siz_label=180x420 mm
COMP_POSTER_MINI_BANNER,2026-06-01,SIZ_000028,,,,,49,4200.00,,price-poster-sign-l1.csv:B31:B314|prd=PRD_000145|siz_label=150x300 mm
COMP_POSTER_MINI_BANNER,2026-06-01,SIZ_000328,,,,,49,4200.00,,price-poster-sign-l1.csv:B31:C314|prd=PRD_000145|siz_label=180x420 mm
COMP_POSTER_MINI_BANNER,2026-06-01,SIZ_000028,,,,,99,3500.00,,price-poster-sign-l1.csv:B31:B315|prd=PRD_000145|siz_label=150x300 mm
COMP_POSTER_MINI_BANNER,2026-06-01,SIZ_000328,,,,,99,3500.00,,price-poster-sign-l1.csv:B31:C315|prd=PRD_000145|siz_label=180x420 mm
COMP_POSTER_MINI_BANNER,2026-06-01,SIZ_000028,,,,,10000,2800.00,,price-poster-sign-l1.csv:B31:B316|prd=PRD_000145|siz_label=150x300 mm
COMP_POSTER_MINI_BANNER,2026-06-01,SIZ_000328,,,,,10000,2800.00,,price-poster-sign-l1.csv:B31:C316|prd=PRD_000145|siz_label=180x420 mm
COMP_POSTER_MINI_STANDBOARD,2026-06-01,SIZ_000258,,,,,4,4500.00,,price-poster-sign-l1.csv:B29:C302|prd=PRD_000144|siz_label=A4
COMP_POSTER_MINI_STANDBOARD,2026-06-01,SIZ_000315,,,,,4,6500.00,,price-poster-sign-l1.csv:B29:D302|prd=PRD_000144|siz_label=A3
COMP_POSTER_MINI_STANDBOARD,2026-06-01,SIZ_000426,,,,,4,3500.00,,price-poster-sign-l1.csv:B29:B302|prd=PRD_000144|siz_label=A5
COMP_POSTER_MINI_STANDBOARD,2026-06-01,SIZ_000258,,,,,19,4300.00,,price-poster-sign-l1.csv:B29:C303|prd=PRD_000144|siz_label=A4
COMP_POSTER_MINI_STANDBOARD,2026-06-01,SIZ_000315,,,,,19,6200.00,,price-poster-sign-l1.csv:B29:D303|prd=PRD_000144|siz_label=A3
COMP_POSTER_MINI_STANDBOARD,2026-06-01,SIZ_000426,,,,,19,3400.00,,price-poster-sign-l1.csv:B29:B303|prd=PRD_000144|siz_label=A5
COMP_POSTER_MINI_STANDBOARD,2026-06-01,SIZ_000258,,,,,49,4200.00,,price-poster-sign-l1.csv:B29:C304|prd=PRD_000144|siz_label=A4
COMP_POSTER_MINI_STANDBOARD,2026-06-01,SIZ_000315,,,,,49,6100.00,,price-poster-sign-l1.csv:B29:D304|prd=PRD_000144|siz_label=A3
COMP_POSTER_MINI_STANDBOARD,2026-06-01,SIZ_000426,,,,,49,3300.00,,price-poster-sign-l1.csv:B29:B304|prd=PRD_000144|siz_label=A5
COMP_POSTER_MINI_STANDBOARD,2026-06-01,SIZ_000258,,,,,99,4000.00,,price-poster-sign-l1.csv:B29:C305|prd=PRD_000144|siz_label=A4
COMP_POSTER_MINI_STANDBOARD,2026-06-01,SIZ_000315,,,,,99,5900.00,,price-poster-sign-l1.csv:B29:D305|prd=PRD_000144|siz_label=A3
COMP_POSTER_MINI_STANDBOARD,2026-06-01,SIZ_000426,,,,,99,3100.00,,price-poster-sign-l1.csv:B29:B305|prd=PRD_000144|siz_label=A5
COMP_POSTER_MINI_STANDBOARD,2026-06-01,SIZ_000258,,,,,10000,3800.00,,price-poster-sign-l1.csv:B29:C306|prd=PRD_000144|siz_label=A4
COMP_POSTER_MINI_STANDBOARD,2026-06-01,SIZ_000315,,,,,10000,5500.00,,price-poster-sign-l1.csv:B29:D306|prd=PRD_000144|siz_label=A3
COMP_POSTER_MINI_STANDBOARD,2026-06-01,SIZ_000426,,,,,10000,2900.00,,price-poster-sign-l1.csv:B29:B306|prd=PRD_000144|siz_label=A5
COMP_POSTER_PET_BANNER,2026-06-01,SIZ_000321,,,,,1,22000.00,,price-poster-sign-l1.csv:B23:B231|prd=PRD_000136|siz_label=600x1800 mm
COMP_POSTER_SHEETCUT_HOLO,2026-06-01,SIZ_000258,,,,,,8000.00,,price-poster-sign-l1.csv:B27:B289|prd=PRD_000141|siz_label=A4
COMP_POSTER_SHEETCUT_HOLO,2026-06-01,SIZ_000315,,,,,,16000.00,,price-poster-sign-l1.csv:B27:C289|prd=PRD_000141|siz_label=A3
COMP_POSTER_SHEETCUT_HOLO,2026-06-01,SIZ_000317,,,,,,32000.00,,price-poster-sign-l1.csv:B27:D289|prd=PRD_000141|siz_label=A2
COMP_POSTER_SHEETCUT_MATTE,2026-06-01,SIZ_000258,,,,,,6000.00,,price-poster-sign-l1.csv:B27:B288|prd=PRD_000140|siz_label=A4
COMP_POSTER_SHEETCUT_MATTE,2026-06-01,SIZ_000315,,,,,,11000.00,,price-poster-sign-l1.csv:B27:C288|prd=PRD_000140|siz_label=A3
COMP_POSTER_SHEETCUT_MATTE,2026-06-01,SIZ_000317,,,,,,32000.00,,price-poster-sign-l1.csv:B27:D288|prd=PRD_000140|siz_label=A2
