mat_cd,mat_nm,mat_typ_cd,upr_mat_cd,del_yn,price_ref_cnt,prd_wire_cnt
MAT_000297,청보라,MAT_TYPE.09,,Y,0,1
MAT_000316,양면유광,MAT_TYPE.09,,Y,0,1
MAT_000309,양면인쇄,MAT_TYPE.09,,Y,0,1
MAT_000315,블랙글리터,MAT_TYPE.09,,Y,0,1
MAT_000314,블루글리터,MAT_TYPE.09,,Y,0,1
MAT_000310,핑크글리터,MAT_TYPE.09,,Y,0,1
MAT_000312,화이트글리터,MAT_TYPE.09,,Y,0,1
MAT_000313,배면만 인쇄,MAT_TYPE.09,,Y,0,1
MAT_000311,전면만 인쇄,MAT_TYPE.09,,Y,0,1
MAT_000290,양면 가로형,MAT_TYPE.09,,Y,0,1
MAT_000291,양면 세로형,MAT_TYPE.09,,Y,0,1
MAT_000280,1구,MAT_TYPE.09,,Y,0,1
MAT_000267,사각 100mm,MAT_TYPE.09,,Y,0,1
MAT_000276,일반 100mm,MAT_TYPE.09,,Y,0,1
MAT_000266,원형 102mm,MAT_TYPE.09,,Y,0,1
MAT_000323,11인치,MAT_TYPE.09,,Y,0,1
MAT_000265,사각 110mm,MAT_TYPE.09,,Y,0,1
MAT_000324,13인치,MAT_TYPE.09,,Y,0,1
MAT_000325,15인치,MAT_TYPE.09,,Y,0,1
MAT_000277,2구,MAT_TYPE.09,,Y,0,2
MAT_000294,2개1팩,MAT_TYPE.09,,Y,0,1
MAT_000278,3구,MAT_TYPE.09,,Y,0,2
MAT_000279,4구,MAT_TYPE.09,,Y,0,2
MAT_000275,미니 50mm,MAT_TYPE.09,,Y,0,1
MAT_000274,사각 57mm,MAT_TYPE.09,,Y,0,0
MAT_000273,원형 58mm,MAT_TYPE.09,,Y,0,0
MAT_000264,사각 90mm,MAT_TYPE.09,,Y,0,2
MAT_000263,원형 90mm,MAT_TYPE.09,,Y,0,3
MAT_000296,A4용,MAT_TYPE.09,,Y,0,1
MAT_000295,A5용,MAT_TYPE.09,,Y,0,1
MAT_000318,양면유광 L,MAT_TYPE.09,,Y,0,1
MAT_000283,화이트 L,MAT_TYPE.09,,Y,0,1
MAT_000328,직사각L,MAT_TYPE.09,,Y,0,1
MAT_000287,블랙 L,MAT_TYPE.09,,Y,0,1
MAT_000336,가로L,MAT_TYPE.09,,Y,0,1
MAT_000320,L,MAT_TYPE.09,,Y,0,13
MAT_000317,양면유광 M,MAT_TYPE.09,,Y,0,1
MAT_000282,화이트 M,MAT_TYPE.09,,Y,0,1
MAT_000321,정사각M,MAT_TYPE.09,,Y,0,1
MAT_000322,직사각M,MAT_TYPE.09,,Y,0,1
MAT_000286,블랙 M,MAT_TYPE.09,,Y,0,1
MAT_000335,블랙M,MAT_TYPE.09,,Y,0,1
MAT_000334,세로M,MAT_TYPE.09,,Y,0,1
MAT_000319,M,MAT_TYPE.09,,Y,0,14
MAT_000326,S,MAT_TYPE.09,,Y,0,1
MAT_000292,멜란지 XL,MAT_TYPE.09,,Y,0,1
MAT_000284,화이트 XL,MAT_TYPE.09,,Y,0,1
MAT_000288,블랙 XL,MAT_TYPE.09,,Y,0,2
MAT_000327,XL,MAT_TYPE.09,,Y,0,2
MAT_000285,화이트 XXL,MAT_TYPE.09,,Y,0,1
MAT_000289,블랙 XXL,MAT_TYPE.09,,Y,0,1
MAT_000225,우드봉,MAT_TYPE.10,,Y,0,0
MAT_000218,행택끈,MAT_TYPE.10,,Y,0,0
MAT_000211,와이어링,MAT_TYPE.10,,Y,0,0
MAT_000229,우드행거,MAT_TYPE.10,,Y,0,0
MAT_000200,카드봉투,MAT_TYPE.10,,Y,0,0
MAT_000223,우드거치대,MAT_TYPE.10,,Y,0,1
MAT_000201,캘린더봉투,MAT_TYPE.10,,Y,0,0
MAT_000233,만년스탬프 리필잉크,MAT_TYPE.10,,Y,0,0
MAT_000199,트래싱지 카드봉투,MAT_TYPE.10,,Y,0,0
MAT_000214,2개1세트,MAT_TYPE.10,,Y,0,1
MAT_000197,OPP접착봉투,MAT_TYPE.10,,Y,0,0
MAT_000198,OPP비접착봉투,MAT_TYPE.10,,Y,0,0
MAT_000152,유포,MAT_TYPE.11,,Y,0,0
MAT_000154,유포지,MAT_TYPE.11,MAT_000152,Y,0,2
MAT_000270,워터북보틀 500ml,MAT_TYPE.12,,Y,0,1
MAT_000262,무광 75mm,MAT_TYPE.12,,Y,0,2
