root_mat_cd,root_nm,mat_typ_cd,active,child_count,weight,width,height,price_ref,wire,hier_role,upr_mat_cd,parent_nm,parent_active
MAT_000138,큐리어스스킨 레드 270g,MAT_TYPE.01,N,0,270.00,316.00,467.00,1,3,FLAT(standalone_stock),,,
MAT_000141,큐리어스스킨 블랙 270g,MAT_TYPE.01,N,0,270.00,316.00,467.00,1,3,FLAT(standalone_stock),,,
MAT_000118,클래식 크래스트 스티플 270g,MAT_TYPE.01,N,0,270.00,316.00,467.00,1,7,FLAT(standalone_stock),,,
MAT_000132,그문드컬러매트 블루300,MAT_TYPE.01,N,0,300.00,,,0,0,FLAT(standalone_stock),,,
MAT_000149,아이보리 300g,MAT_TYPE.01,N,0,300.00,316.00,467.00,0,1,FLAT(standalone_stock),,,
MAT_000131,인바이런먼트 아이론 352g,MAT_TYPE.01,N,0,352.00,,,0,0,FLAT(standalone_stock),,,
MAT_000134,마테리카테라로사360,MAT_TYPE.01,N,0,360.00,,,0,0,FLAT(standalone_stock),,,
MAT_000133,마테리카 클레이 360g,MAT_TYPE.01,N,0,360.00,,,0,0,FLAT(standalone_stock),,,
MAT_000135,리메이크스카이380,MAT_TYPE.01,N,0,380.00,,,0,0,FLAT(standalone_stock),,,
MAT_000136,뉴에코블랙 400g,MAT_TYPE.01,N,0,400.00,316.00,467.00,1,0,FLAT(standalone_stock),,,
MAT_000072,백색모조지 100g,MAT_TYPE.01,N,0,100.00,316.00,467.00,1,10,ORPHAN(parent_deleted),MAT_000071,백모조,Y
MAT_000073,백색모조지 120g,MAT_TYPE.01,N,0,120.00,316.00,467.00,1,9,ORPHAN(parent_deleted),MAT_000071,백모조,Y
MAT_000074,백색모조지 220g,MAT_TYPE.01,N,0,220.00,316.00,467.00,3,11,ORPHAN(parent_deleted),MAT_000071,백모조,Y
MAT_000076,아트지 100g,MAT_TYPE.01,N,0,100.00,316.00,467.00,1,4,ORPHAN(parent_deleted),MAT_000075,아트,Y
MAT_000077,아트지 120g,MAT_TYPE.01,N,0,120.00,316.00,467.00,1,7,ORPHAN(parent_deleted),MAT_000075,아트,Y
MAT_000078,아트지 150g,MAT_TYPE.01,N,0,150.00,316.00,467.00,1,8,ORPHAN(parent_deleted),MAT_000075,아트,Y
MAT_000083,아트지 150g (3절),MAT_TYPE.01,N,0,150.00,316.00,467.00,0,0,ORPHAN(parent_deleted),MAT_000075,아트,Y
MAT_000079,아트지 180g,MAT_TYPE.01,N,0,180.00,316.00,467.00,1,7,ORPHAN(parent_deleted),MAT_000075,아트,Y
MAT_000080,아트지 200g,MAT_TYPE.01,N,0,200.00,316.00,467.00,1,7,ORPHAN(parent_deleted),MAT_000075,아트,Y
MAT_000081,아트지 250g,MAT_TYPE.01,N,0,250.00,316.00,467.00,3,12,ORPHAN(parent_deleted),MAT_000075,아트,Y
MAT_000082,아트지 300g,MAT_TYPE.01,N,0,300.00,316.00,467.00,5,15,ORPHAN(parent_deleted),MAT_000075,아트,Y
MAT_000086,스노우지 100g,MAT_TYPE.01,N,0,100.00,316.00,467.00,1,4,ORPHAN(parent_deleted),MAT_000085,스노우,Y
MAT_000087,스노우지 120g,MAT_TYPE.01,N,0,120.00,316.00,467.00,1,7,ORPHAN(parent_deleted),MAT_000085,스노우,Y
MAT_000088,스노우지 150g,MAT_TYPE.01,N,0,150.00,316.00,467.00,1,7,ORPHAN(parent_deleted),MAT_000085,스노우,Y
MAT_000089,스노우지 180g,MAT_TYPE.01,N,0,180.00,316.00,467.00,1,7,ORPHAN(parent_deleted),MAT_000085,스노우,Y
MAT_000090,스노우지 200g,MAT_TYPE.01,N,0,200.00,316.00,467.00,1,10,ORPHAN(parent_deleted),MAT_000085,스노우,Y
MAT_000091,스노우지 250g,MAT_TYPE.01,N,0,250.00,316.00,467.00,1,14,ORPHAN(parent_deleted),MAT_000085,스노우,Y
MAT_000093,스노우지 250g (3절),MAT_TYPE.01,N,0,250.00,316.00,467.00,0,1,ORPHAN(parent_deleted),MAT_000085,스노우,Y
MAT_000092,스노우지 300g,MAT_TYPE.01,N,0,300.00,316.00,467.00,1,12,ORPHAN(parent_deleted),MAT_000085,스노우,Y
MAT_000095,앙상블 100g,MAT_TYPE.01,N,0,100.00,316.00,467.00,1,5,ORPHAN(parent_deleted),MAT_000094,앙상블,Y
MAT_000096,앙상블 130g,MAT_TYPE.01,N,0,130.00,316.00,467.00,1,5,ORPHAN(parent_deleted),MAT_000094,앙상블,Y
MAT_000097,앙상블 160g,MAT_TYPE.01,N,0,160.00,316.00,467.00,1,5,ORPHAN(parent_deleted),MAT_000094,앙상블,Y
MAT_000098,앙상블 190g,MAT_TYPE.01,N,0,190.00,316.00,467.00,1,5,ORPHAN(parent_deleted),MAT_000094,앙상블,Y
MAT_000099,앙상블 210g,MAT_TYPE.01,N,0,210.00,316.00,467.00,1,5,ORPHAN(parent_deleted),MAT_000094,앙상블,Y
MAT_000101,랑데뷰 WH 240g,MAT_TYPE.01,N,0,240.00,316.00,467.00,1,7,ORPHAN(parent_deleted),MAT_000100,랑데뷰,Y
MAT_000102,랑데뷰 WH 310g,MAT_TYPE.01,N,0,310.00,316.00,467.00,1,3,ORPHAN(parent_deleted),MAT_000100,랑데뷰,Y
MAT_000104,몽블랑 100g,MAT_TYPE.01,N,0,100.00,316.00,467.00,1,7,ORPHAN(parent_deleted),MAT_000103,몽블랑,Y
MAT_000105,몽블랑 130g,MAT_TYPE.01,N,0,130.00,316.00,467.00,1,11,ORPHAN(parent_deleted),MAT_000103,몽블랑,Y
MAT_000110,몽블랑 130g (3절),MAT_TYPE.01,N,0,130.00,316.00,467.00,0,0,ORPHAN(parent_deleted),MAT_000103,몽블랑,Y
MAT_000106,몽블랑 160g,MAT_TYPE.01,N,0,160.00,316.00,467.00,1,6,ORPHAN(parent_deleted),MAT_000103,몽블랑,Y
MAT_000107,몽블랑 190g,MAT_TYPE.01,N,0,190.00,316.00,467.00,1,14,ORPHAN(parent_deleted),MAT_000103,몽블랑,Y
MAT_000111,몽블랑 190g (3절),MAT_TYPE.01,N,0,190.00,316.00,467.00,0,1,ORPHAN(parent_deleted),MAT_000103,몽블랑,Y
MAT_000108,몽블랑 210g,MAT_TYPE.01,N,0,210.00,316.00,467.00,1,8,ORPHAN(parent_deleted),MAT_000103,몽블랑,Y
MAT_000109,몽블랑 240g,MAT_TYPE.01,N,0,240.00,316.00,467.00,1,17,ORPHAN(parent_deleted),MAT_000103,몽블랑,Y
MAT_000112,몽블랑 240g (3절),MAT_TYPE.01,N,0,240.00,316.00,467.00,0,1,ORPHAN(parent_deleted),MAT_000103,몽블랑,Y
MAT_000123,띤또레또 200g,MAT_TYPE.01,N,0,200.00,464.00,320.00,1,10,ORPHAN(parent_deleted),MAT_000122,띤또,Y
MAT_000124,띤또레또 250g,MAT_TYPE.01,N,0,250.00,464.00,320.00,1,4,ORPHAN(parent_deleted),MAT_000122,띤또,Y
MAT_000144,투명 PET 260g,MAT_TYPE.01,N,0,260.00,315.00,467.00,0,0,ORPHAN(parent_deleted),MAT_000143,투명,Y
MAT_000145,투명 PET 350g,MAT_TYPE.01,N,0,350.00,315.00,467.00,0,0,ORPHAN(parent_deleted),MAT_000143,투명,Y
MAT_000147,반투명 PET 260g,MAT_TYPE.01,N,0,260.00,315.00,467.00,0,0,ORPHAN(parent_deleted),MAT_000146,반투명,Y
MAT_000148,반투명 PET 350g,MAT_TYPE.01,N,0,350.00,315.00,467.00,0,0,ORPHAN(parent_deleted),MAT_000146,반투명,Y
MAT_000184,린넨,MAT_TYPE.05,N,0,,,,0,7,FLAT(standalone_stock),,,
MAT_000185,캔버스(옥스포드),MAT_TYPE.05,N,0,,,,0,11,FLAT(standalone_stock),,,
MAT_000188,타이벡(소프트),MAT_TYPE.05,N,0,,,,0,1,FLAT(standalone_stock),,,
MAT_000187,타이벡(하드),MAT_TYPE.05,N,0,,,,0,1,FLAT(standalone_stock),,,
MAT_000186,레더(화이트),MAT_TYPE.05,N,0,,,,0,6,FLAT(standalone_stock),,,
MAT_000183,메쉬,MAT_TYPE.08,N,0,,,,0,7,FLAT(standalone_stock),,,
MAT_000177,매트지,MAT_TYPE.08,N,0,,,,0,1,FLAT(standalone_stock),,,
MAT_000176,인화지,MAT_TYPE.08,N,0,,,,0,1,FLAT(standalone_stock),,,
MAT_000181,그래픽천,MAT_TYPE.08,N,0,,,,0,1,FLAT(standalone_stock),,,
MAT_000190,블랙시트,MAT_TYPE.08,N,0,,,,0,0,FLAT(standalone_stock),,,
MAT_000182,현수막천,MAT_TYPE.08,N,0,,,,0,1,FLAT(standalone_stock),,,
MAT_000189,화이트시트,MAT_TYPE.08,N,0,,,,0,0,FLAT(standalone_stock),,,
MAT_000191,홀로그램시트,MAT_TYPE.08,N,0,,,,0,0,FLAT(standalone_stock),,,
MAT_000178,PET,MAT_TYPE.08,N,0,,,,0,7,FLAT(standalone_stock),,,
MAT_000180,투명PVC,MAT_TYPE.08,N,0,,,,0,1,FLAT(standalone_stock),,,
MAT_000179,PVC,MAT_TYPE.08,N,0,,,,0,1,FLAT(standalone_stock),,,
MAT_000242,미색스티커,MAT_TYPE.11,N,0,,,,468,8,FLAT(standalone_stock),,,
MAT_000167,타투전용지,MAT_TYPE.11,N,0,,210.00,297.00,1,1,FLAT(standalone_stock),,,
MAT_000243,투명전용지,MAT_TYPE.11,N,0,,,,0,1,FLAT(standalone_stock),,,
MAT_000165,유포지+엠보코팅,MAT_TYPE.11,N,0,,,,0,0,FLAT(standalone_stock),,,
MAT_000166,투명접착 PVC,MAT_TYPE.11,N,0,,,,0,0,FLAT(standalone_stock),,,
MAT_000163,홀로그램스티커,MAT_TYPE.11,N,0,50.00,,,144,1,FLAT(standalone_stock),,,
MAT_000164,크라프트 스티커,MAT_TYPE.11,N,0,57.00,,,0,0,FLAT(standalone_stock),,,
MAT_000158,미색매트지,MAT_TYPE.11,N,0,80.00,,,0,0,FLAT(standalone_stock),,,
MAT_000153,유포스티커,MAT_TYPE.11,N,0,80.00,330.00,470.00,689,8,FLAT(standalone_stock),,,
MAT_000161,수분리스티커,MAT_TYPE.11,N,0,80.00,315.00,470.00,0,0,FLAT(standalone_stock),,,
MAT_000155,무광코팅스티커,MAT_TYPE.11,N,0,90.00,,,468,8,FLAT(standalone_stock),,,
MAT_000156,유광코팅스티커,MAT_TYPE.11,N,0,90.00,,,468,8,FLAT(standalone_stock),,,
MAT_000160,리무벌아트지 90g,MAT_TYPE.11,N,0,90.00,,,0,0,FLAT(standalone_stock),,,
MAT_000162,투명스티커,MAT_TYPE.11,N,0,105.00,330.00,480.00,174,2,FLAT(standalone_stock),,,
MAT_000171,은데드롱스티커,MAT_TYPE.13,N,0,25.00,,,0,1,FLAT(standalone_stock),,,
MAT_000170,투명데드롱스티커,MAT_TYPE.13,N,0,25.00,,,0,1,FLAT(standalone_stock),,,
MAT_000084,비코팅스티커,MAT_TYPE.13,N,0,90.00,316.00,467.00,653,9,FLAT(standalone_stock),,,
MAT_000169,레자크줄무늬백색 110g,MAT_TYPE.14,N,0,110.00,,,0,1,FLAT(standalone_stock),,,
MAT_000168,레자크체크백색 110g,MAT_TYPE.14,N,0,110.00,,,20,1,FLAT(standalone_stock),,,
