mat_cd,mat_nm,mat_typ_cd,mat_typ_nm,upr_mat_cd,upr_mat_nm,width,height,depth,weight,bdl_qty,sel_typ_cd,use_yn,del_yn,note,active_child_cnt,price_ref_cnt,prd_wire_cnt
MAT_000188,타이벡(소프트),MAT_TYPE.05,특수소재,,,,,,,,,Y,N, | 정정 2026-06-14: 실사소재(.08)→원단(.05) product-bom §146,0,0,1
MAT_000187,타이벡(하드),MAT_TYPE.05,특수소재,,,,,,,,,Y,N, | 정정 2026-06-14: 실사소재(.08)→원단(.05) product-bom §146,0,0,1
MAT_000186,레더(화이트),MAT_TYPE.05,특수소재,,,,,,,,,Y,N,,0,0,6
MAT_000215,천정고리,MAT_TYPE.07,포장부자재,,,,,,,,,Y,N,,0,0,0
MAT_000216,투명케이스,MAT_TYPE.07,포장부자재,,,,,,,,,Y,N,,0,0,0
MAT_000031,캘린더부자재,MAT_TYPE.07,포장부자재,,,,,,,,SEL_TYPE.01,Y,N,D9 본질 분해,3,0,0
MAT_000213,와이어링 블랙,MAT_TYPE.07,포장부자재,,,,,,,,,Y,N,,0,0,1
MAT_000210,와이어링 실버,MAT_TYPE.07,포장부자재,,,,,,,,,Y,N,,0,0,1
MAT_000212,와이어링 화이트,MAT_TYPE.07,포장부자재,,,,,,,,,Y,N,,0,0,1
MAT_000252,삼각대(그레이),MAT_TYPE.07,포장부자재,,,,,,,,,Y,N,,0,0,1
MAT_000254,삼각대(블랙),MAT_TYPE.07,포장부자재,,,,,,,,,Y,N,,0,0,1
MAT_000217,행택끈 사각검정 (100개),MAT_TYPE.07,포장부자재,,,,,,,,,Y,N,,0,0,1
MAT_000220,행택끈 사각마사 (100개),MAT_TYPE.07,포장부자재,,,,,,,100,,Y,N,,0,0,1
MAT_000219,행택끈 사각백색 (100개),MAT_TYPE.07,포장부자재,,,,,,,,,Y,N,,0,0,1
MAT_000222,우드거치대 120mm (4mm홈) 내추럴,MAT_TYPE.07,포장부자재,,,,,,,,,Y,N,,0,0,1
MAT_000221,자석고정용고무판 20 x 20 (20개입),MAT_TYPE.07,포장부자재,,,,,,,,,Y,N,,0,0,0
MAT_000228,우드행거 230mm + 면끈,MAT_TYPE.07,포장부자재,,,,,,,,,Y,N,,0,0,1
MAT_000224,우드봉 270mm + 면끈,MAT_TYPE.07,포장부자재,,,,,,,,,Y,N,,0,0,1
MAT_000230,우드행거 320mm + 면끈,MAT_TYPE.07,포장부자재,,,,,,,,,Y,N,,0,0,1
MAT_000226,우드봉 360mm + 면끈,MAT_TYPE.07,포장부자재,,,,,,,,,Y,N,,0,0,1
MAT_000231,우드행거 440mm + 면끈,MAT_TYPE.07,포장부자재,,,,,,,,,Y,N,,0,0,1
MAT_000227,우드봉 480mm + 면끈,MAT_TYPE.07,포장부자재,,,,,,,,,Y,N,,0,0,1
MAT_000253,링 블랙,MAT_TYPE.07,포장부자재,MAT_000012,링,,,,,,,Y,N,,0,0,4
MAT_000247,D링 D링(31mm),MAT_TYPE.07,포장부자재,MAT_000017,D링,,,,,,,Y,N,,0,0,1
MAT_000248,D링 D링(42mm),MAT_TYPE.07,포장부자재,MAT_000017,D링,,,,,,,Y,N,,0,0,1
MAT_000035,캘린더부자재 끈,MAT_TYPE.07,포장부자재,MAT_000031,캘린더부자재,,,,,,,Y,N,1구타공+끈 / 2구타공+끈,0,0,0
MAT_000033,캘린더부자재 삼각대블랙,MAT_TYPE.07,포장부자재,MAT_000031,캘린더부자재,,,,,,,Y,N,,0,0,0
MAT_000047,원형핀,MAT_TYPE.07,포장부자재,MAT_000045,아크릴부자재,,,,,,,Y,N,,0,0,1
MAT_000046,일자핀,MAT_TYPE.07,포장부자재,MAT_000045,아크릴부자재,,,,,,,Y,N,,0,0,1
MAT_000056,투명집게,MAT_TYPE.07,포장부자재,MAT_000045,아크릴부자재,,,,,,,Y,N,,0,0,1
MAT_000057,블랙헤어끈,MAT_TYPE.07,포장부자재,MAT_000045,아크릴부자재,,,,,,,Y,N,,0,0,1
MAT_000052,아크릴키링 금색고리,MAT_TYPE.07,포장부자재,MAT_000045,아크릴부자재,,,,,,,Y,N,,0,0,1
MAT_000051,아크릴키링 은색고리,MAT_TYPE.07,포장부자재,MAT_000045,아크릴부자재,,,,,,,Y,N,,0,0,1
MAT_000050,네오디움 자석,MAT_TYPE.07,포장부자재,MAT_000045,아크릴부자재,,,,,,,Y,N,,0,0,0
MAT_000060,맥세이프 스마트톡,MAT_TYPE.07,포장부자재,MAT_000045,아크릴부자재,,,,,,,Y,N,,0,0,0
MAT_000053,스마트톡 투명바디,MAT_TYPE.07,포장부자재,MAT_000045,아크릴부자재,,,,,,,Y,N,,0,0,1
