prd_cd	prd_nm	mat_cd	mat_nm	mat_typ_cd	usage_cd	dflt_yn
PRD_000245	타이벡 슬림 파우치	MAT_000319	M	MAT_TYPE.09	USAGE.07	Y
PRD_000245	타이벡 슬림 파우치	MAT_000320	L	MAT_TYPE.09	USAGE.07	Y
PRD_000246	타이벡 삼각 파우치	MAT_000319	M	MAT_TYPE.09	USAGE.07	Y
PRD_000246	타이벡 삼각 파우치	MAT_000320	L	MAT_TYPE.09	USAGE.07	Y
PRD_000247	타이벡 스트링 파우치	MAT_000319	M	MAT_TYPE.09	USAGE.07	Y
PRD_000247	타이벡 스트링 파우치	MAT_000320	L	MAT_TYPE.09	USAGE.07	Y
PRD_000247	타이벡 스트링 파우치	MAT_000327	XL	MAT_TYPE.09	USAGE.07	Y
PRD_000249	메쉬슬림파우치	MAT_000183	메쉬	MAT_TYPE.08	USAGE.07	Y
PRD_000249	메쉬슬림파우치	MAT_000319	M	MAT_TYPE.09	USAGE.07	Y
PRD_000249	메쉬슬림파우치	MAT_000320	L	MAT_TYPE.09	USAGE.07	Y
PRD_000252	레더 슬림 미니파우치	MAT_000008	레더	MAT_TYPE.06	USAGE.07	Y
PRD_000252	레더 슬림 미니파우치	MAT_000329	직사각	MAT_TYPE.09	USAGE.07	Y
PRD_000252	레더 슬림 미니파우치	MAT_000330	정사각	MAT_TYPE.09	USAGE.07	Y
PRD_000254	레더 볼륨 미니파우치	MAT_000008	레더	MAT_TYPE.06	USAGE.07	Y
PRD_000254	레더 볼륨 미니파우치	MAT_000329	직사각	MAT_TYPE.09	USAGE.07	Y
PRD_000254	레더 볼륨 미니파우치	MAT_000330	정사각	MAT_TYPE.09	USAGE.07	Y
PRD_000273	타이벡 양면 백팩	MAT_000319	M	MAT_TYPE.09	USAGE.07	Y
PRD_000273	타이벡 양면 백팩	MAT_000320	L	MAT_TYPE.09	USAGE.07	Y
PRD_000274	타이벡보냉보틀백	MAT_000319	M	MAT_TYPE.09	USAGE.07	Y
PRD_000274	타이벡보냉보틀백	MAT_000320	L	MAT_TYPE.09	USAGE.07	Y
