mallProductNo,productName,productManagementCd,saleStatusType,nonmemberPurchaseYn,minorPurchaseYn,memberGradeDisplayInfo,memberGroupDisplayInfo,판정,조회오류
136009380,메쉬에코백,PRD_000279,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009379,메쉬토트백,PRD_000278,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009378,타이벡보냉에코백,PRD_000277,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009376,타이벡보냉미니백,PRD_000275,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009374,타이벡보냉보틀백,PRD_000274,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009373,타이벡양면백팩,PRD_000273,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009372,캔버스 포켓숄더백,PRD_000272,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009370,캔버스숄더백,PRD_000271,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009369,캔버스에코백,PRD_000270,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009367,캔버스 포켓심플백,PRD_000269,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009366,캔버스심플백,PRD_000268,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009365,린넨 에코백,PRD_000267,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009364,린넨 토트백,PRD_000266,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009363,린넨 미니에코백,PRD_000265,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009361,레더숄더백,PRD_000264,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009360,레더원형필통,PRD_000260-DUP-136009360,STOP,Y,Y,없음,없음,비회원 구매 가능,
136009359,레더볼륨필통,PRD_000259-DUP-136009359,STOP,Y,Y,없음,없음,비회원 구매 가능,
136009358,레더삼각필통,PRD_000258-DUP-136009358,STOP,Y,Y,없음,없음,비회원 구매 가능,
136009357,레더슬림필통,PRD_000257-DUP-136009357,STOP,Y,Y,없음,없음,비회원 구매 가능,
136009355,레더플랫필통,PRD_000256-DUP-136009355,STOP,Y,Y,없음,없음,비회원 구매 가능,
136009354,레더원형미니파우치,PRD_000255,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009352,레더볼륨미니파우치,PRD_000254,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009351,레더삼각미니파우치,PRD_000253,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009350,레더슬림미니파우치,PRD_000252-DUP-136009350,STOP,Y,Y,없음,없음,비회원 구매 가능,
